bri,watt
1,0.9
2,1.0
3,0.9
4,1.1
5,1.0
6,1.1
7,1.2
8,1.3
9,1.2
10,1.3
11,1.2
12,1.4
13,1.3
14,1.4
15,1.4
16,1.5
17,1.4
18,1.5
19,1.4
20,1.5
21,1.6
22,1.5
23,1.6
24,1.7
25,1.6
26,1.7
27,1.8
28,1.7
29,1.8
30,1.7
31,1.9
32,2.0
33,2.1
34,2.0
35,2.1
36,2.0
37,2.1
38,2.0
39,2.2
40,2.2
41,2.3
42,2.2
43,2.3
44,2.4
45,2.5
46,2.4
47,2.5
48,2.4
49,2.6
50,2.5
51,2.6
52,2.5
53,2.7
54,2.6
55,2.7
56,2.8
57,2.7
58,2.9
59,2.8
60,2.9
61,3.0
62,2.9
63,3.0
64,2.9
65,3.0
66,3.1
67,3.0
68,3.1
69,3.2
70,3.1
71,3.2
72,3.3
73,3.2
74,3.3
75,3.4
76,3.3
77,3.5
78,3.4
79,3.6
80,3.5
81,3.6
82,3.7
83,3.6
84,3.7
85,3.6
86,3.8
87,3.7
88,3.8
89,3.9
90,3.8
91,4.0
92,3.9
93,4.1
94,4.0
95,4.1
96,4.0
97,4.1
98,4.2
99,4.3
100,4.2
101,4.3
102,4.4
103,4.3
104,4.4
105,4.5
106,4.4
107,4.5
108,4.6
109,4.5
110,4.6
111,4.5
112,4.7
113,4.6
114,4.7
115,4.8
116,4.7
117,4.8
118,4.9
119,4.7
120,5.0
121,4.9
122,5.0
123,5.1
124,5.0
125,5.1
126,5.2
127,5.1
128,5.3
129,5.2
130,5.3
131,5.4
132,5.3
133,5.5
134,5.4
135,5.5
136,5.4
137,5.5
138,5.6
139,5.7
140,5.6
141,5.5
142,5.7
143,5.6
144,5.8
145,5.9
146,5.8
147,5.9
148,5.8
149,6.0
150,5.9
151,6.0
152,6.1
153,6.2
154,6.1
155,6.0
156,6.1
157,6.2
158,6.3
159,6.2
160,6.3
161,6.4
162,6.3
163,6.5
164,6.4
165,6.5
166,6.6
167,6.5
168,6.6
169,6.7
170,6.6
171,6.7
172,6.8
173,6.7
174,6.9
175,6.8
176,7.0
177,6.9
178,7.0
179,7.1
180,7.0
181,7.1
182,7.2
183,7.1
184,7.2
185,7.3
186,7.2
187,7.3
188,7.4
189,7.3
190,7.4
191,7.3
192,7.4
193,7.6
194,7.5
195,7.6
196,7.7
197,7.6
198,7.7
199,7.8
200,7.7
201,7.8
202,7.9
203,7.8
204,7.9
205,7.8
206,7.9
207,8.0
208,0.4
209,8.1
210,8.2
211,8.1
212,8.3
213,8.2
214,8.3
215,8.2
216,8.3
217,8.2
218,8.3
219,8.4
220,8.5
221,8.4
222,8.5
223,8.6
224,8.5
225,8.6
226,8.7
227,8.6
228,8.8
229,8.9
230,8.8
231,8.9
232,8.8
233,8.9
234,9.0
235,8.9
236,9.0
237,9.1
238,9.0
239,9.1
240,9.2
241,9.1
242,9.2
243,9.3
244,9.4
245,9.2
246,9.4
247,9.5
248,9.4
249,9.5
250,9.4
251,9.5
252,9.4
253,9.5
254,9.7
255,9.8
