bri,mired,watt
1,153,11.0
1,163,11.0
1,173,11.0
1,183,11.0
1,193,11.0
1,203,11.0
1,213,11.0
1,223,11.0
1,233,11.5
1,243,11.0
1,253,11.0
1,263,11.0
1,273,11.0
1,283,11.0
1,293,11.0
1,303,11.5
1,313,11.0
1,323,11.0
1,333,11.0
1,343,11.0
1,353,11.0
1,363,11.0
1,370,11.0
6,153,2.5
6,163,2.0
6,173,2.0
6,183,2.0
6,193,2.0
6,203,2.0
6,213,2.0
6,223,2.5
6,233,3.0
6,243,2.0
6,253,2.5
6,263,2.5
6,273,2.0
6,283,2.0
6,293,2.0
6,303,2.0
6,313,2.0
6,323,3.0
6,333,2.0
6,343,2.0
6,353,2.0
6,363,2.0
6,370,2.0
11,153,2.0
11,163,3.0
11,173,3.0
11,183,3.0
11,193,3.0
11,203,3.0
11,213,2.5
11,223,2.5
11,233,2.5
11,243,3.0
11,253,2.0
11,263,2.5
11,273,3.0
11,283,2.5
11,293,2.5
11,303,2.5
11,313,3.0
11,323,2.5
11,333,3.0
11,343,3.0
11,353,2.0
11,363,3.0
11,370,3.0
16,153,3.0
16,163,3.0
16,173,3.0
16,183,3.0
16,193,3.0
16,203,3.0
16,213,3.0
16,223,3.0
16,233,3.0
16,243,3.0
16,253,3.0
16,263,3.0
16,273,3.0
16,283,2.0
16,293,3.0
16,303,3.0
16,313,3.0
16,323,3.0
16,333,3.0
16,343,3.0
16,353,3.0
16,363,3.0
16,370,3.0
21,153,3.0
21,163,3.0
21,173,3.0
21,183,3.0
21,193,3.0
21,203,3.0
21,213,3.0
21,223,3.0
21,233,2.5
21,243,3.0
21,253,3.0
21,263,3.0
21,273,3.0
21,283,3.0
21,293,3.0
21,303,3.0
21,313,3.0
21,323,3.0
21,333,3.0
21,343,3.0
21,353,3.0
21,363,3.0
21,370,3.0
26,153,3.0
26,163,3.0
26,173,3.0
26,183,3.0
26,193,3.0
26,203,3.0
26,213,3.0
26,223,3.0
26,233,3.0
26,243,3.0
26,253,3.0
26,263,3.0
26,273,3.0
26,283,3.0
26,293,3.0
26,303,3.0
26,313,3.0
26,323,3.0
26,333,3.0
26,343,3.0
26,353,3.0
26,363,3.0
26,370,3.0
31,153,3.0
31,163,3.0
31,173,3.0
31,183,3.0
31,193,3.5
31,203,3.0
31,213,3.0
31,223,3.5
31,233,3.5
31,243,3.0
31,253,3.0
31,263,3.0
31,273,3.0
31,283,3.0
31,293,3.5
31,303,3.0
31,313,3.0
31,323,1.0
31,333,3.5
31,343,3.0
31,353,3.0
31,363,3.0
31,370,3.0
36,153,3.0
36,163,3.5
36,173,3.0
36,183,4.0
36,193,3.5
36,203,3.5
36,213,3.0
36,223,4.0
36,233,3.5
36,243,4.0
36,253,4.0
36,263,4.0
36,273,4.0
36,283,4.0
36,293,3.5
36,303,3.5
36,313,3.5
36,323,3.5
36,333,3.5
36,343,3.5
36,353,4.0
36,363,3.5
36,370,3.5
41,153,4.0
41,163,4.0
41,173,3.5
41,183,4.0
41,193,4.0
41,203,4.0
41,213,3.5
41,223,4.0
41,233,4.0
41,243,4.0
41,253,4.0
41,263,4.0
41,273,4.0
41,283,3.5
41,293,4.0
41,303,4.0
41,313,4.0
41,323,4.0
41,333,4.0
41,343,4.0
41,353,3.5
41,363,4.0
41,370,4.0
46,153,4.0
46,163,4.0
46,173,4.0
46,183,4.0
46,193,4.0
46,203,4.0
46,213,4.0
46,223,4.0
46,233,4.0
46,243,4.0
46,253,4.0
46,263,4.0
46,273,4.0
46,283,4.0
46,293,4.0
46,303,4.0
46,313,4.0
46,323,4.0
46,333,4.0
46,343,4.0
46,353,4.0
46,363,4.0
46,370,3.5
51,153,4.0
51,163,4.0
51,173,4.0
51,183,4.0
51,193,4.0
51,203,4.0
51,213,4.0
51,223,3.5
51,233,4.0
