bri,hue,sat,watt
1,1,1,0.96
1,2732,1,0.77
1,5463,1,0.77
1,8194,1,0.76
1,10925,1,0.82
1,13656,1,0.75
1,16387,1,0.73
1,19118,1,0.77
1,21849,1,0.68
1,24580,1,0.78
1,27311,1,0.94
1,30042,1,0.77
1,32773,1,0.78
1,35504,1,0.81
1,38235,1,0.75
1,40966,1,0.76
1,43697,1,0.9
1,46428,1,0.83
1,49159,1,0.75
1,51890,1,0.74
1,54621,1,0.78
1,57352,1,0.75
1,60083,1,0.83
1,62814,1,0.77
1,65535,1,0.82
1,1,33,0.75
1,2732,33,0.7
1,5463,33,0.78
1,8194,33,0.81
1,10925,33,0.78
1,13656,33,0.86
1,16387,33,0.84
1,19118,33,0.7
1,21849,33,0.85
1,24580,33,0.78
1,27311,33,0.7
1,30042,33,0.74
1,32773,33,0.7
1,35504,33,0.72
1,38235,33,0.61
1,40966,33,0.75
1,43697,33,0.68
1,46428,33,0.68
1,49159,33,0.59
1,51890,33,0.74
1,54621,33,0.82
1,57352,33,0.7
1,60083,33,0.78
1,62814,33,0.74
1,65535,33,0.72
1,1,65,0.74
1,2732,65,0.68
1,5463,65,0.74
1,8194,65,0.81
1,10925,65,0.83
1,13656,65,0.67
1,16387,65,0.64
1,19118,65,0.56
1,21849,65,0.65
1,24580,65,0.58
1,27311,65,0.72
1,30042,65,0.68
1,32773,65,0.71
1,35504,65,0.79
1,38235,65,0.66
1,40966,65,0.69
1,43697,65,0.29
1,46428,65,0.75
1,49159,65,0.61
1,51890,65,0.74
1,54621,65,0.76
1,57352,65,0.28
1,60083,65,0.73
1,62814,65,0.8
1,65535,65,0.69
1,1,97,0.72
1,2732,97,0.89
1,5463,97,0.24
1,8194,97,0.73
1,10925,97,0.77
1,13656,97,0.72
1,16387,97,0.61
1,19118,97,0.54
1,24580,97,0.68
1,27311,97,0.67
1,30042,97,0.69
1,32773,97,0.59
1,35504,97,0.33
1,38235,97,0.55
1,40966,97,0.3
1,43697,97,0.53
1,46428,97,0.23
1,49159,97,0.23
1,51890,97,0.63
1,54621,97,0.64
1,57352,97,0.83
1,60083,97,0.73
1,62814,97,0.83
1,65535,97,0.68
1,1,129,0.65
1,2732,129,0.68
1,5463,129,0.56
1,8194,129,0.59
1,10925,129,0.65
1,13656,129,0.75
1,16387,129,0.61
1,19118,129,0.56
1,24580,129,0.36
1,27311,129,0.25
1,30042,129,0.53
1,32773,129,0.32
1,35504,129,0.0
1,49159,129,0.29
1,51890,129,0.71
1,54621,129,0.6
1,57352,129,0.7
1,60083,129,0.64
1,62814,129,0.69
1,65535,129,0.62
1,1,161,0.35
1,2732,161,0.55
1,5463,161,0.67
1,8194,161,0.69
1,10925,161,0.69
1,13656,161,0.69
1,16387,161,0.48
1,19118,161,0.59
1,27311,161,0.0
1,32773,161,0.52
1,38235,161,0.22
1,43697,161,0.42
1,46428,161,0.59
1,49159,161,0.27
1,51890,161,0.37
1,54621,161,0.68
1,57352,161,0.71
1,60083,161,0.71
1,62814,161,0.7
1,65535,161,0.52
1,1,193,0.38
1,2732,193,0.58
1,5463,193,0.34
1,8194,193,0.67
1,10925,193,0.64
1,13656,193,0.65
1,16387,193,0.59
1,27311,193,0.36
1,46428,193,0.48
1,51890,193,0.45
1,54621,193,0.37
1,57352,193,0.6
1,60083,193,0.68
1,62814,193,0.67
1,65535,193,0.3
1,1,225,0.57
1,2732,225,0.63
1,5463,225,0.65
1,8194,225,0.74
1,10925,225,0.67
1,13656,225,0.59
1,27311,225,0.31
1,32773,225,0.23
1,49159,225,0.37
1,51890,225,0.29
1,54621,225,0.58
1,57352,225,0.67
1,60083,225,0.64
1,62814,225,0.62
1,65535,225,0.54
1,1,255,0.55
1,2732,255,0.6
1,5463,255,0.61
1,8194,255,0.65
1,10925,255,0.65
1,13656,255,0.53
1,19118,255,0.43
1,27311,255,0.39
1,46428,255,0.28
1,51890,255,0.51
1,54621,255,0.7
1,57352,255,0.69
1,60083,255,0.58
1,62814,255,0.3
1,65535,255,0.31
33,1,1,1.56
33,2732,1,1.68
33,5463,1,1.61
33,8194,1,1.77
33,10925,1,1.55
33,13656,1,1.66
33,16387,1,1.69
33,19118,1,1.68
33,21849,1,1.59
33,24580,1,1.63
33,27311,1,1.71
33,30042,1,1.51
33,32773,1,1.54
33,35504,1,1.65
33,38235,1,1.58
33,40966,1,1.69
33,43697,1,1.62
33,46428,1,1.58
33,49159,1,1.58
33,51890,1,1.59
33,54621,1,1.65
33,57352,1,1.76
33,60083,1,1.67
33,62814,1,1.57
33,65535,1,1.68
33,1,33,1.46
33,2732,33,1.55
33,5463,33,1.53
33,8194,33,1.47
33,10925,33,1.63
33,13656,33,1.61
33,16387,33,1.47
33,19118,33,1.55
33,21849,33,1.47
33,24580,33,1.46
33,27311,33,1.56
33,30042,33,1.46
33,32773,33,1.47
33,35504,33,1.53
33,38235,33,1.46
33,40966,33,1.6
33,43697,33,1.49
33,46428,33,1.44
33,49159,33,1.52
33,51890,33,1.52
33,54621,33,1.54
33,57352,33,1.58
33,60083,33,1.53
33,62814,33,1.61
33,65535,33,1.65
33,1,65,1.43
33,2732,65,1.47
33,5463,65,1.42
33,8194,65,1.39
33,10925,65,1.54
33,13656,65,1.5
33,16387,65,1.57
33,19118,65,1.36
33,21849,65,1.28
33,24580,65,1.27
33,27311,65,1.34
33,30042,65,1.36
33,32773,65,1.52
33,35504,65,1.44
33,38235,65,1.46
33,40966,65,1.31
33,43697,65,1.32
33,46428,65,1.4
33,49159,65,1.49
33,51890,65,1.4
33,54621,65,1.58
33,57352,65,1.48
33,60083,65,1.48
33,62814,65,1.36
33,65535,65,1.41
33,1,97,1.39
33,2732,97,1.34
33,5463,97,1.37
33,8194,97,1.45
33,10925,97,1.42
33,13656,97,1.41
33,16387,97,1.33
33,19118,97,1.17
33,21849,97,1.1
33,24580,97,1.21
33,27311,97,1.19
33,30042,97,1.24
33,32773,97,1.28
33,35504,97,1.23
33,38235,97,1.23
33,40966,97,1.11
33,43697,97,1.18
33,46428,97,1.17
33,49159,97,1.5
33,51890,97,1.38
33,54621,97,1.4
33,57352,97,1.38
33,60083,97,1.36
33,62814,97,1.34
33,65535,97,1.29
33,1,129,1.27
33,2732,129,1.3
33,5463,129,1.33
33,8194,129,1.32
33,10925,129,1.37
33,13656,129,1.25
33,16387,129,1.27
33,19118,129,1.12
33,21849,129,0.98
33,24580,129,0.93
33,27311,129,0.97
33,30042,129,1.13
33,32773,129,1.24
33,35504,129,1.14
33,38235,129,1.1
33,40966,129,1.01
33,43697,129,1.0
33,46428,129,1.03
33,49159,129,1.17
33,51890,129,1.33
33,54621,129,1.39
33,57352,129,1.38
33,60083,129,1.32
33,62814,129,1.26
33,65535,129,1.28
33,1,161,1.19
33,2732,161,1.14
33,5463,161,1.2
33,8194,161,1.25
33,10925,161,1.28
33,13656,161,1.25
33,16387,161,1.01
33,19118,161,1.0
33,21849,161,0.79
33,24580,161,0.83
33,27311,161,0.94
33,30042,161,0.97
33,32773,161,0.97
33,35504,161,1.0
33,38235,161,0.95
33,40966,161,0.96
33,43697,161,0.81
33,46428,161,0.91
33,49159,161,1.07
33,51890,161,1.26
33,54621,161,1.32
33,57352,161,1.32
33,60083,161,1.35
33,62814,161,1.33
33,65535,161,1.16
33,1,193,1.07
33,2732,193,1.06
33,5463,193,1.18
33,8194,193,1.23
33,10925,193,1.41
33,13656,193,1.06
33,16387,193,1.12
33,19118,193,0.89
33,21849,193,0.75
33,24580,193,0.78
33,27311,193,0.82
33,30042,193,0.83
33,32773,193,0.99
33,35504,193,0.99
33,38235,193,0.9
33,40966,193,0.86
33,43697,193,0.68
33,46428,193,0.71
33,49159,193,0.94
33,51890,193,1.28
33,54621,193,1.5
33,57352,193,1.27
33,60083,193,1.28
33,62814,193,1.36
33,65535,193,1.12
33,1,225,0.97
33,2732,225,1.09
33,5463,225,1.16
33,8194,225,1.17
33,10925,225,1.24
33,13656,225,1.23
33,16387,225,1.0
33,19118,225,0.88
33,21849,225,0.76
33,24580,225,0.29
33,27311,225,0.72
33,30042,225,0.73
33,32773,225,0.84
33,35504,225,0.76
33,38235,225,0.78
33,40966,225,0.55
33,43697,225,0.53
33,46428,225,0.37
33,49159,225,0.82
33,51890,225,1.12
33,54621,225,1.26
33,57352,225,1.25
33,60083,225,1.18
33,62814,225,1.07
33,65535,225,1.04
33,1,255,1.02
33,2732,255,1.06
33,5463,255,1.04
33,8194,255,1.15
33,10925,255,1.35
33,13656,255,1.35
33,16387,255,0.92
33,19118,255,0.81
33,21849,255,0.7
33,24580,255,0.6
33,27311,255,0.55
33,30042,255,0.72
33,32773,255,0.8
33,35504,255,0.84
33,38235,255,0.68
33,40966,255,0.69
33,43697,255,0.53
33,46428,255,0.32
33,49159,255,0.75
33,51890,255,1.01
33,54621,255,1.28
33,57352,255,1.29
33,60083,255,1.1
33,62814,255,1.1
33,65535,255,1.11
65,1,1,2.74
65,2732,1,2.67
65,5463,1,2.75
65,8194,1,2.68
65,10925,1,2.72
65,13656,1,2.84
65,16387,1,2.72
65,19118,1,2.75
65,21849,1,2.72
65,24580,1,2.73
65,27311,1,2.78
65,30042,1,2.74
65,32773,1,2.84
65,35504,1,2.74
65,38235,1,2.72
65,40966,1,2.72
65,43697,1,2.75
65,46428,1,2.77
65,49159,1,2.76
65,51890,1,2.75
65,54621,1,2.79
65,57352,1,2.8
65,60083,1,2.79
65,62814,1,2.65
65,65535,1,2.8
65,1,33,2.51
65,2732,33,2.5
65,5463,33,2.5
65,8194,33,2.52
65,10925,33,2.6
65,13656,33,2.57
65,16387,33,2.5
65,19118,33,2.39
65,21849,33,2.44
65,24580,33,2.5
65,27311,33,2.47
65,30042,33,2.46
65,32773,33,2.56
65,35504,33,2.6
65,38235,33,2.57
65,40966,33,2.42
65,43697,33,2.42
65,46428,33,2.48
65,49159,33,2.54
65,51890,33,2.59
65,54621,33,2.6
65,57352,33,2.63
65,60083,33,2.58
65,62814,33,2.6
65,65535,33,2.48
65,1,65,2.31
