bri,mired,watt
5,158,0.54
5,168,0.54
5,178,0.53
5,188,0.54
5,198,0.55
5,208,0.54
5,218,0.54
5,228,0.54
5,238,0.54
5,248,0.56
5,258,0.54
5,268,0.53
5,278,0.53
5,288,0.54
5,298,0.53
5,308,0.54
5,318,0.54
5,328,0.54
5,338,0.62
5,348,0.64
5,358,0.54
5,368,0.62
5,378,0.53
5,388,0.53
5,398,0.53
5,408,0.54
5,418,0.53
5,428,0.54
5,438,0.53
5,448,0.53
5,458,0.53
5,468,0.53
5,478,0.53
5,488,0.53
5,495,0.53
10,158,0.68
10,168,0.7
10,178,0.7
10,188,0.7
10,198,0.7
10,208,0.7
10,218,0.7
10,228,0.7
10,238,0.7
10,248,0.71
10,258,0.7
10,268,0.7
10,278,0.7
10,288,0.69
10,298,0.7
10,308,0.7
10,318,0.7
10,328,0.69
10,338,0.74
10,348,0.78
10,358,0.7
10,368,0.53
10,378,0.7
10,388,0.69
10,398,0.69
10,408,0.7
10,418,0.7
10,428,0.69
10,438,0.7
10,448,0.7
10,458,0.69
10,468,0.79
10,478,0.69
10,488,0.72
10,495,0.7
15,158,0.86
15,168,0.88
15,178,0.88
15,188,0.91
15,198,0.88
15,208,0.89
15,218,0.88
15,228,0.88
15,238,0.88
15,248,0.89
15,258,0.88
15,268,0.93
15,278,0.89
15,288,0.88
15,298,0.89
15,308,0.88
15,318,0.88
15,328,0.88
15,338,0.88
15,348,0.88
15,358,0.88
15,368,0.93
15,378,0.89
15,388,0.88
15,398,0.88
15,408,0.88
15,418,0.88
15,428,0.88
15,438,0.88
15,448,0.86
15,458,0.9
15,468,0.88
15,478,0.88
15,488,0.88
15,495,0.86
20,158,1.04
20,168,1.05
20,178,1.05
20,188,1.05
20,198,1.05
20,208,1.05
20,218,1.05
20,228,1.05
20,238,1.05
20,248,1.05
20,258,1.05
20,268,1.11
20,278,1.05
20,288,1.05
20,298,1.15
20,308,1.05
20,318,1.05
20,328,1.05
20,338,1.06
20,348,1.06
20,358,1.05
20,368,1.05
20,378,1.07
20,388,1.06
20,398,1.05
20,408,1.05
20,418,1.05
20,428,1.05
20,438,1.05
20,448,1.04
20,458,1.05
20,468,1.06
20,478,1.05
20,488,1.06
20,495,1.04
25,158,1.23
25,168,1.26
25,178,1.23
25,188,1.24
25,198,1.23
25,208,1.23
25,218,1.23
25,228,1.24
25,238,1.29
25,248,1.23
25,258,1.24
25,268,1.23
25,278,1.88
25,288,1.23
25,298,2.44
25,308,1.23
25,318,1.23
25,328,1.24
25,338,2.42
25,348,1.23
25,358,0.69
25,368,0.96
25,378,1.82
25,388,1.23
25,398,1.21
25,408,1.23
25,418,1.21
25,428,1.23
25,438,1.23
25,448,1.21
25,458,1.21
25,468,1.23
25,478,1.21
25,488,1.21
25,495,1.21
30,158,1.4
30,168,1.4
30,178,1.4
30,188,1.41
30,198,1.4
30,208,1.4
30,218,1.4
30,228,1.44
30,238,1.4
30,248,2.59
30,258,1.39
30,268,1.43
30,278,1.4
30,288,1.4
30,298,1.4
30,308,1.4
30,318,1.4
30,328,1.4
30,338,1.43
30,348,1.4
30,358,1.4
30,368,1.4
30,378,1.39
30,388,1.4
30,398,1.4
30,408,1.39
30,418,1.39
30,428,1.4
30,438,1.39
30,448,1.4
30,458,1.4
30,468,1.39
30,478,1.39
30,488,1.39
30,495,1.39
35,158,1.59
35,168,1.59
35,178,1.59
35,188,1.59
35,198,1.59
35,208,1.59
35,218,1.57
35,228,1.59
35,238,1.57
35,248,1.57
35,258,1.57
35,268,1.57
35,278,1.57
35,288,1.57
35,298,1.6
35,308,1.57
35,318,1.57
35,328,1.57
35,338,1.57
35,348,1.56
35,358,1.56
35,368,1.57
35,378,2.62
35,388,1.57
35,398,1.57
35,408,1.6
35,418,1.57
35,428,2.24
35,438,1.57
35,448,1.57
35,458,1.56
35,468,1.57
35,478,1.57
35,488,1.56
35,495,1.57
40,158,1.71
40,168,0.36
40,178,1.76
40,188,1.75
40,198,1.76
40,208,1.76
40,218,1.76
40,228,1.76
40,238,1.76
40,248,1.75
40,258,1.75
40,268,1.76
40,278,1.76
40,288,1.75
40,298,1.76
40,308,1.76
40,318,1.74
40,328,1.75
40,338,1.75
40,348,1.75
40,358,1.75
40,368,1.82
40,378,1.75
40,388,1.75
40,398,1.75
40,408,1.76
40,418,1.75
40,428,1.75
40,438,1.74
40,448,1.75
40,458,1.82
40,468,1.76
40,478,1.75
40,488,1.75
40,495,1.74
45,158,1.93
45,168,1.95
45,178,1.96
45,188,1.95
45,198,1.94
45,208,1.96
45,218,1.94
45,228,1.94
45,238,1.94
45,248,1.98
45,258,1.94
45,268,1.94
45,278,1.93
45,288,1.93
45,298,1.96
45,308,1.93
45,318,1.93
45,328,1.93
45,338,1.94
45,348,1.93
45,358,1.93
45,368,1.93
45,378,1.94
45,388,1.93
45,398,1.93
45,408,1.93
45,418,1.93
45,428,1.91
45,438,1.93
45,448,1.94
45,458,2.0
45,468,1.93
45,478,1.94
45,488,1.93
45,495,1.94
50,158,2.11
50,168,2.15
50,178,2.14
50,188,2.14
50,198,2.14
50,208,2.17
50,218,2.15
50,228,2.12
50,238,2.14
50,248,2.14
50,258,2.12
50,268,2.12
50,278,2.11
50,288,2.12
50,298,2.11
50,308,2.12
50,318,2.1
50,328,2.11
50,338,2.11
50,348,2.11
50,358,2.21
50,368,2.11
50,378,2.11
50,388,2.1
50,398,2.11
50,408,2.12
50,418,2.12
50,428,2.11
50,438,2.11
50,448,2.12
50,458,2.23
50,468,2.1
50,478,2.19
50,488,2.12
50,495,2.12
55,158,2.31
55,168,2.34
55,178,2.35
55,188,2.33
55,198,2.34
55,208,2.34
55,218,2.34
55,228,2.34
55,238,2.34
55,248,2.42
55,258,2.31
55,268,2.4
55,278,2.44
55,288,2.31
55,298,2.41
55,308,2.33
55,318,2.3
55,328,2.31
55,338,2.31
55,348,2.33
55,358,2.31
55,368,2.31
55,378,2.3
55,388,2.36
55,398,2.3
55,408,2.31
55,418,2.3
55,428,2.34
55,438,2.31
55,448,2.31
55,458,2.31
55,468,2.33
55,478,2.31
55,488,2.33
55,495,2.33
60,158,2.48
60,168,2.59
60,178,2.55
60,188,2.54
60,198,2.54
60,208,2.54
60,218,2.54
60,228,2.55
60,238,2.52
60,248,2.55
60,258,2.51
60,268,2.52
60,278,2.51
60,288,2.52
60,298,2.51
60,308,2.58
60,318,2.51
60,328,2.54
60,338,2.5
60,348,2.51
60,358,2.5
60,368,2.51
60,378,2.51
60,388,2.52
60,398,2.51
60,408,2.56
60,418,2.5
60,428,2.52
60,438,2.5
60,448,2.54
60,458,2.51
60,468,2.52
60,478,2.51
60,488,2.52
60,495,2.51
65,158,2.66
65,168,2.75
65,178,2.75
65,188,2.75
65,198,2.75
65,208,2.74
65,218,2.74
65,228,2.74
65,238,2.85
65,248,2.74
65,258,2.73
65,268,2.85
65,278,2.71
65,288,2.74
65,298,2.73
65,308,2.71
65,318,2.71
65,328,2.76
65,338,2.73
65,348,2.7
65,358,2.71
65,368,2.71
65,378,2.73
65,388,2.71
65,398,2.73
65,408,2.71
65,418,2.71
65,428,2.7
65,438,2.76
65,448,2.71
65,458,2.73
65,468,2.71
65,478,2.77
65,488,2.73
65,495,2.73
70,158,2.92
70,168,2.96
70,178,2.96
70,188,2.94
70,198,2.95
70,208,2.94
70,218,2.95
70,228,2.92
70,238,3.06
70,248,2.91
70,258,2.92
70,268,2.91
70,278,2.95
70,288,2.91
70,298,2.92
70,308,2.91
70,318,2.92
70,328,2.91
70,338,2.91
70,348,2.92
70,358,2.92
70,368,2.91
70,378,2.92
70,388,2.91
70,398,3.0
70,408,2.91
70,418,2.92
70,428,2.91
70,438,3.01
70,448,2.91
70,458,2.92
70,468,2.91
70,478,2.94
70,488,2.92
70,495,2.94
75,158,3.14
75,168,3.16
75,178,3.17
