bri,watt
1,0.6
2,0.6
3,0.6
4,0.6
5,0.6
6,0.6
7,0.6
8,0.6
9,0.6
10,0.6
11,0.6
12,0.6
13,0.6
14,0.6
15,0.6
16,0.6
17,0.6
18,0.6
19,0.6
20,0.6
21,0.6
22,0.6
23,0.6
24,0.6
25,0.6
26,0.6
27,0.7
28,0.7
29,0.7
30,0.7
31,0.7
32,0.7
33,0.7
34,0.7
35,0.6
36,0.6
37,0.7
38,0.7
39,0.7
40,0.7
41,0.7
42,0.7
43,0.7
44,0.7
45,0.7
46,0.7
47,0.7
48,0.8
49,0.7
50,0.8
51,0.8
52,0.8
53,0.8
54,0.8
55,0.8
56,0.8
57,0.8
58,0.8
59,0.8
60,0.8
61,0.8
62,0.8
63,0.8
64,0.8
65,0.8
66,0.9
67,0.8
68,0.9
69,0.9
70,0.9
71,0.9
72,0.9
73,0.9
74,0.9
75,0.9
76,0.9
77,0.9
78,0.9
79,0.9
80,0.9
81,0.9
82,0.9
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.1
95,1.0
96,1.1
97,1.0
98,1.1
99,1.1
100,1.1
101,1.1
102,1.1
103,1.1
104,1.1
105,1.2
106,1.1
107,1.2
108,1.2
109,1.2
110,1.2
111,1.2
112,1.2
113,1.2
114,1.2
115,1.3
116,1.3
117,1.3
118,1.3
119,1.3
120,1.3
121,1.3
122,1.3
123,1.4
124,1.4
125,1.4
126,1.4
127,1.4
128,1.4
129,1.4
130,1.4
131,1.4
132,1.5
133,1.5
134,1.5
135,1.5
136,1.5
137,1.5
138,1.5
139,1.6
140,1.6
141,1.6
142,1.6
143,1.6
144,1.7
145,1.6
146,1.7
147,1.7
148,1.7
149,1.7
150,1.7
151,1.8
152,1.8
153,1.8
154,1.8
155,1.8
156,1.8
157,1.9
158,1.9
159,1.9
160,1.9
161,1.9
162,1.9
163,2.0
164,2.0
165,2.0
166,2.0
167,2.1
168,2.1
169,2.1
170,2.1
171,2.1
172,2.2
173,2.2
174,2.2
175,2.2
176,2.3
177,2.3
178,2.3
179,2.3
180,2.4
181,2.4
182,2.4
183,2.4
184,2.5
185,2.5
186,2.5
187,2.5
188,2.6
189,2.6
190,2.6
191,2.7
192,2.6
193,2.7
194,2.7
195,2.8
196,2.8
197,2.8
198,2.8
199,2.9
200,2.9
201,2.9
202,3.0
203,3.0
204,3.0
205,3.1
206,3.1
207,3.1
208,3.2
209,3.2
210,3.2
211,3.3
212,3.3
213,3.3
214,3.4
215,3.4
216,3.4
217,3.5
218,3.5
219,3.6
220,3.6
221,3.7
222,3.7
223,3.7
224,3.8
225,3.8
226,3.9
227,3.9
228,3.9
229,4.0
230,4.0
231,4.1
232,4.1
233,4.2
234,4.2
235,4.3
236,4.3
237,4.3
238,4.4
239,4.4
240,4.5
241,4.5
242,4.6
243,4.6
244,4.7
245,4.8
246,4.8
247,4.9
248,4.9
249,5.0
250,5.0
251,5.1
252,5.1
253,5.2
254,5.2
255,5.3
