bri,watt
1,3.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,2.0
9,2.0
10,2.0
11,2.5
12,2.0
13,2.0
14,2.0
15,2.0
16,2.0
17,2.0
18,3.0
19,2.0
20,2.0
21,2.0
22,2.0
23,2.0
24,2.0
25,2.5
26,2.0
27,4.5
28,2.0
29,2.0
30,2.0
31,2.0
32,2.0
33,2.0
34,2.0
35,2.5
36,2.0
37,2.5
38,2.0
39,2.0
40,2.0
41,2.0
42,2.0
43,2.0
44,2.0
45,2.0
46,2.5
47,2.0
48,2.0
49,2.0
50,3.0
51,2.0
52,2.0
53,2.0
54,3.0
55,2.0
56,3.0
57,2.0
58,2.0
59,2.0
60,2.0
61,2.0
62,2.0
63,2.0
64,2.5
65,2.0
66,2.0
67,2.0
68,2.0
69,2.0
70,2.0
71,2.0
72,2.0
73,2.0
74,2.0
75,2.0
76,2.0
77,2.0
78,2.0
79,2.0
80,2.0
81,2.0
82,2.0
83,2.0
84,2.0
85,2.0
86,2.0
87,2.0
88,3.0
89,2.0
90,2.5
91,2.0
92,2.0
93,2.0
94,2.0
95,3.0
96,3.0
97,2.5
98,3.0
99,3.0
100,3.0
101,3.0
102,3.0
103,3.0
104,3.0
105,3.0
106,3.0
107,4.0
108,3.0
109,3.0
110,3.0
111,3.0
112,3.0
113,3.0
114,3.0
115,3.0
116,3.0
117,4.0
118,3.0
119,3.0
120,3.0
121,3.0
122,3.0
123,3.0
124,3.0
125,3.0
126,3.0
127,3.0
128,3.0
129,3.0
130,3.0
131,3.0
132,3.0
133,3.0
134,3.0
135,3.0
136,3.0
137,3.0
138,3.0
139,3.0
140,3.0
141,3.0
142,4.0
143,3.5
144,3.5
145,3.5
146,4.0
147,4.0
148,4.0
149,4.0
150,4.0
151,4.0
152,4.0
153,4.0
154,4.0
155,4.0
156,4.0
157,4.0
158,4.0
159,4.0
160,4.0
161,4.0
162,4.0
163,4.0
164,4.0
165,4.0
166,4.0
167,4.0
168,4.0
169,4.0
170,4.0
171,4.0
172,4.0
173,4.0
174,4.0
175,4.0
176,5.0
177,5.0
178,5.0
179,4.5
180,5.0
181,5.0
182,5.0
183,5.0
184,5.0
185,5.0
186,5.0
187,5.0
188,5.0
189,5.0
190,5.0
191,5.0
192,5.0
193,5.0
194,5.0
195,5.0
196,5.0
197,5.0
198,5.0
199,5.0
200,5.0
201,5.0
202,5.0
203,5.5
204,5.5
205,6.0
206,6.0
207,6.0
208,5.5
209,6.0
210,6.0
211,6.0
212,6.0
213,6.0
214,6.0
215,6.0
216,6.0
217,6.0
218,6.0
219,6.0
220,6.0
221,6.0
222,6.0
223,6.0
224,6.0
225,6.0
226,6.0
227,6.0
228,6.5
229,6.5
230,6.5
231,6.5
232,6.5
233,6.5
234,7.0
235,7.0
236,7.0
237,6.5
238,7.0
239,7.0
240,7.0
241,7.0
242,7.0
243,7.0
244,7.0
245,7.0
246,7.0
247,7.0
248,7.0
249,7.0
250,7.0
251,7.0
252,7.0
253,7.0
254,7.0
255,7.0
