bri,watt
1,2.0
2,3.0
3,3.5
4,5.0
5,3.5
6,3.0
7,3.0
8,2.5
9,2.5
10,3.0
11,3.0
12,2.5
13,3.0
14,2.5
15,4.0
16,5.0
17,3.5
18,5.0
19,6.5
20,2.5
21,2.0
22,3.0
23,2.5
24,5.0
25,3.0
26,2.0
27,3.0
28,3.0
29,2.0
30,4.5
31,4.5
32,4.0
33,3.0
34,5.5
35,4.0
36,3.0
37,2.5
38,2.0
39,3.0
40,4.0
41,3.0
42,3.0
43,2.5
44,3.0
45,2.5
46,3.5
47,3.5
48,3.0
49,4.0
50,3.0
51,3.0
52,2.5
53,2.0
54,2.0
55,4.0
56,4.0
57,3.0
58,2.5
59,3.0
60,2.0
61,3.0
62,3.0
63,3.5
64,3.0
65,3.5
66,4.0
67,3.0
68,2.0
69,3.5
70,3.0
71,2.0
72,3.5
73,3.0
74,3.0
75,3.5
76,3.0
77,4.0
78,4.0
79,3.0
80,3.0
81,3.5
82,3.0
83,3.0
84,3.0
85,3.0
86,3.0
87,3.0
88,3.0
89,3.0
90,3.0
91,5.0
92,4.0
93,3.0
94,4.0
95,3.5
96,3.0
97,3.0
98,3.5
99,3.5
100,3.0
101,3.0
102,3.0
103,3.0
104,4.0
105,3.0
106,3.0
107,6.0
108,3.5
109,3.0
110,3.0
111,3.0
112,4.0
113,3.5
114,5.0
115,4.0
116,4.0
117,4.0
118,4.0
119,4.0
120,4.0
121,4.0
122,4.0
123,4.0
124,4.0
125,4.0
126,4.0
127,4.0
128,4.0
129,4.0
130,5.0
131,4.0
132,4.0
133,4.0
134,4.5
135,4.0
136,4.0
137,4.0
138,4.0
139,4.5
140,4.5
141,5.0
142,5.0
143,6.0
144,5.0
145,5.0
146,5.0
147,5.0
148,4.5
149,4.0
150,4.0
151,4.0
152,4.0
153,4.0
154,4.0
155,6.5
156,4.0
157,4.0
158,4.5
159,4.5
160,5.0
161,5.0
162,5.0
163,5.0
164,5.0
165,5.0
166,5.0
167,5.0
168,5.0
169,5.0
170,5.0
171,5.0
172,5.0
173,5.0
174,5.0
175,5.0
176,5.0
177,5.0
178,5.0
179,5.0
180,5.0
181,5.0
182,5.0
183,5.5
184,6.0
185,5.5
186,6.0
187,6.0
188,6.0
189,6.0
190,6.0
191,6.0
192,6.0
193,6.0
194,6.0
195,6.0
196,6.0
197,6.0
198,6.0
199,6.0
200,6.0
201,6.0
202,6.0
203,6.0
204,6.0
205,7.0
206,6.0
207,6.0
208,6.0
209,7.0
210,7.0
211,7.0
212,7.0
213,7.0
214,7.0
215,7.0
216,7.0
217,7.0
218,7.0
219,7.0
220,7.0
221,7.0
222,7.0
223,7.0
224,7.0
225,7.0
226,7.0
227,7.0
228,7.5
229,8.0
230,8.0
231,7.5
232,7.5
233,8.0
234,8.0
235,8.0
236,8.0
237,8.0
238,8.0
239,8.0
240,8.0
241,8.0
242,8.0
243,8.0
244,8.0
245,8.0
246,8.0
247,8.0
248,8.0
249,8.0
250,8.5
251,8.5
252,9.0
253,9.0
254,9.0
255,9.0
