bri,mired,watt
1,153,0.38
1,163,0.44
1,173,0.48
1,183,0.4
1,193,0.31
1,203,0.44
1,213,0.39
1,223,0.48
1,233,0.44
1,243,0.38
1,253,0.42
1,263,0.4
1,273,0.42
1,283,0.45
1,293,0.46
1,303,0.44
1,313,0.31
1,323,0.43
1,333,0.46
1,343,0.51
1,353,0.43
1,363,0.35
1,373,0.46
1,383,0.45
1,393,0.34
1,403,0.42
1,413,0.41
1,423,0.39
1,433,0.42
1,443,0.39
1,453,0.41
1,463,0.44
1,473,0.32
1,483,0.44
1,493,0.36
1,500,0.42
6,153,0.5
6,163,0.52
6,173,0.53
6,183,0.53
6,193,0.49
6,203,0.58
6,213,0.58
6,223,0.52
6,233,0.58
6,243,0.54
6,253,0.53
6,263,0.43
6,273,0.47
6,283,0.51
6,293,0.48
6,303,0.51
6,313,0.53
6,323,0.44
6,333,0.45
6,343,0.53
6,353,0.52
6,363,0.54
6,373,0.53
6,383,0.49
6,393,0.45
6,403,0.49
6,413,0.5
6,423,0.45
6,433,0.49
6,443,0.54
6,453,0.45
6,463,0.47
6,473,0.45
6,483,0.5
6,493,0.44
6,500,0.45
11,153,0.72
11,163,0.68
11,173,0.61
11,183,0.73
11,193,0.7
11,203,0.7
11,213,0.61
11,223,0.76
11,233,0.65
11,243,0.73
11,253,0.59
11,263,0.64
11,273,0.72
11,283,0.6
11,293,0.61
11,303,0.66
11,313,0.53
11,323,0.61
11,333,0.67
11,343,0.62
11,353,0.54
11,363,0.65
11,373,0.57
11,383,0.6
11,393,0.64
11,403,0.62
11,413,0.54
11,423,0.66
11,433,0.54
11,443,0.55
11,453,0.6
11,463,0.55
11,473,0.53
11,483,0.48
11,493,0.44
11,500,0.49
16,153,0.83
16,163,0.84
16,173,0.85
16,183,0.84
16,193,0.85
16,203,0.88
16,213,0.87
16,223,0.78
16,233,0.79
16,243,0.82
16,253,0.86
16,263,0.72
16,273,0.72
16,283,0.76
16,293,0.69
16,303,0.7
16,313,0.74
16,323,0.8
16,333,0.78
16,343,0.63
16,353,0.73
16,363,0.75
16,373,0.68
16,383,0.79
16,393,0.54
16,403,0.76
16,413,0.68
16,423,0.6
16,433,0.7
16,443,0.65
16,453,0.64
16,463,0.58
16,473,0.55
16,483,0.64
16,493,0.59
16,500,0.64
21,153,1.11
21,163,1.03
21,173,1.05
21,183,1.04
21,193,1.0
21,203,1.01
21,213,1.07
21,223,0.91
21,233,0.89
21,243,0.9
21,253,0.87
21,263,0.93
21,273,0.86
21,283,0.9
21,293,0.89
21,303,0.94
21,313,0.9
21,323,0.85
21,333,0.88
21,343,0.82
21,353,0.82
21,363,0.76
21,373,0.76
21,383,0.77
21,393,0.82
21,403,0.77
21,413,0.76
21,423,0.73
21,433,0.8
21,443,0.66
21,453,0.78
21,463,0.81
21,473,0.67
21,483,0.72
21,493,0.68
21,500,0.75
26,153,1.12
26,163,1.18
26,173,1.24
26,183,1.19
26,193,1.09
26,203,1.07
26,213,1.13
26,223,1.03
26,233,1.08
26,243,1.12
26,253,1.03
26,263,1.03
26,273,1.05
26,283,0.95
26,293,1.01
26,303,1.02
26,313,1.0
26,323,1.02
26,333,0.97
26,343,0.96
26,353,0.94
26,363,0.92
26,373,0.88
26,383,1.03
26,393,0.85
26,403,0.97
26,413,0.94
26,423,0.93
26,433,0.75
26,443,0.73
26,453,0.82
26,463,0.84
26,473,0.8
26,483,0.78
26,493,0.79
26,500,0.72
31,153,1.41
31,163,1.36
31,173,1.32
31,183,1.46
31,193,1.3
31,203,1.37
31,213,1.35
31,223,1.24
