bri,mired,watt
1,153,4.39
1,163,4.41
1,173,4.29
1,183,4.22
1,193,4.26
1,203,4.29
1,213,4.33
1,223,4.31
1,233,4.33
1,243,4.3
1,253,4.25
1,263,4.36
1,273,4.3
1,283,4.32
1,293,4.31
1,303,4.28
1,313,4.25
1,323,4.24
1,333,4.3
1,343,4.21
1,353,4.31
1,363,4.23
1,373,4.28
1,383,4.22
1,393,4.34
1,403,4.28
1,413,4.23
1,423,4.21
1,433,4.37
1,443,4.32
1,453,4.3
1,463,4.3
1,473,4.25
1,483,4.34
1,493,4.48
1,500,4.39
6,153,4.88
6,163,4.82
6,173,4.85
6,183,4.89
6,193,4.79
6,203,4.8
6,213,4.8
6,223,4.77
6,233,4.81
6,243,4.82
6,253,4.71
6,263,4.82
6,273,4.83
6,283,4.7
6,293,4.8
6,303,4.69
6,313,4.75
6,323,4.74
6,333,4.78
6,343,4.76
6,353,4.86
6,363,4.83
6,373,4.73
6,383,4.74
6,393,4.81
6,403,4.69
6,413,4.77
6,423,4.75
6,433,4.84
6,443,4.71
6,453,4.73
6,463,4.75
6,473,4.78
6,483,4.82
6,493,5.0
6,500,4.92
11,153,5.71
11,163,5.56
11,173,5.49
11,183,5.48
11,193,5.51
11,203,5.49
11,213,5.3
11,223,5.53
11,233,5.48
11,243,5.39
11,253,5.46
11,263,5.49
11,273,5.38
11,283,5.41
11,293,5.44
11,303,5.43
11,313,5.39
11,323,5.51
11,333,5.5
11,343,5.43
11,353,5.48
11,363,5.55
11,373,5.43
11,383,5.44
11,393,5.49
11,403,5.36
11,413,5.36
11,423,5.44
11,433,5.46
11,443,5.5
11,453,5.56
11,463,5.5
11,473,5.5
11,483,5.5
11,493,5.58
11,500,5.58
16,153,6.2
16,163,5.99
16,173,6.09
16,183,6.05
16,193,5.99
16,203,5.94
16,213,5.97
16,223,5.93
16,233,6.04
16,243,5.97
16,253,6.01
16,263,5.91
16,273,6.02
16,283,6.01
16,293,5.94
16,303,5.95
16,313,5.94
16,323,5.96
16,333,5.91
16,343,5.99
16,353,5.95
16,363,5.89
16,373,5.96
16,383,5.97
16,393,5.97
16,403,5.94
16,413,5.99
16,423,6.01
16,433,6.05
16,443,6.02
16,453,5.94
16,463,6.09
16,473,6.12
16,483,6.09
16,493,6.19
16,500,6.21
21,153,6.81
21,163,6.63
21,173,6.64
21,183,6.69
21,193,6.67
21,203,6.74
21,213,6.52
21,223,6.54
21,233,6.56
21,243,6.56
21,253,6.56
21,263,6.54
21,273,6.58
21,283,6.56
21,293,6.59
21,303,6.56
21,313,6.6
21,323,6.62
21,333,6.45
21,343,6.6
21,353,6.51
21,363,6.55
21,373,6.61
21,383,6.71
21,393,6.53
21,403,6.65
21,413,6.56
21,423,6.64
21,433,6.67
21,443,6.7
21,453,6.63
21,463,6.72
21,473,6.7
21,483,6.7
21,493,6.82
21,500,6.78
26,153,7.36
26,163,7.23
26,173,7.21
26,183,7.19
26,193,7.2
26,203,7.29
26,213,7.12
26,223,7.11
26,233,7.09
26,243,7.11
26,253,6.95
26,263,7.09
26,273,7.11
26,283,7.1
26,293,7.07
26,303,7.14
26,313,7.11
26,323,7.22
26,333,7.08
26,343,7.12
26,353,7.04
26,363,7.12
26,373,7.03
26,383,7.12
26,393,7.0
26,403,7.09
26,413,7.1
26,423,7.13
26,433,7.16
26,443,7.12
26,453,7.21
26,463,7.27
26,473,7.21
26,483,7.17
26,493,7.38
26,500,7.38
31,153,8.09
31,163,7.92
31,173,7.8
31,183,7.79
31,193,7.82
31,203,7.82
31,213,7.76
31,223,7.87
31,233,7.8
31,243,7.75
31,253,7.81
31,263,7.89
31,273,7.78
31,283,7.87
31,293,7.82
31,303,7.77
31,313,7.74
31,323,7.79
31,333,7.81
31,343,7.82
31,353,7.77
31,363,7.76
31,373,7.85
31,383,7.79
31,393,7.84
31,403,7.8
31,413,7.9
31,423,7.85
31,433,7.85
31,443,7.88
31,453,7.96
31,463,7.99
31,473,7.85
31,483,7.98
31,493,7.93
31,500,8.07
36,153,8.64
36,163,8.45
36,173,8.44
36,183,8.49
36,193,8.5
36,203,8.33
36,213,8.42
36,223,8.48
36,233,8.39
36,243,8.45
36,253,8.45
36,263,8.34
36,273,8.28
36,283,8.31
36,293,8.4
36,303,8.37
36,313,8.29
36,323,8.25
36,333,8.29
36,343,8.45
36,353,8.36
36,363,8.29
36,373,8.33
36,383,8.39
36,393,8.34
36,403,8.34
36,413,8.37
36,423,8.36
36,433,8.4
36,443,8.37
36,453,8.48
36,463,8.4
36,473,8.53
36,483,8.5
36,493,8.6
36,500,8.57
41,153,9.43
41,163,9.08
41,173,9.04
41,183,9.1
41,193,9.07
41,203,9.21
41,213,9.08
41,223,8.94
41,233,8.96
41,243,8.97
41,253,8.92
41,263,8.99
41,273,9.01
41,283,9.0
41,293,9.07
41,303,8.96
41,313,9.02
41,323,8.88
41,333,9.1
41,343,8.94
41,353,8.97
41,363,8.94
41,373,9.07
41,383,8.98
41,393,9.08
41,403,9.07
41,413,9.02
41,423,9.05
41,433,9.14
41,443,9.11
41,453,9.13
41,463,9.05
41,473,9.1
41,483,9.11
41,493,9.25
41,500,9.29
46,153,9.92
46,163,9.86
46,173,9.69
