bri,hue,sat,watt
1,1,1,0.36
1,5463,1,0.37
1,8194,1,0.36
1,10925,1,0.42
1,13656,1,0.45
1,16387,1,0.35
1,19118,1,0.4
1,21849,1,0.42
1,24580,1,0.37
1,27311,1,0.34
1,30042,1,0.35
1,32773,1,0.39
1,35504,1,0.36
1,40966,1,0.4
1,43697,1,0.35
1,46428,1,0.34
1,49159,1,0.4
1,51890,1,0.38
1,54621,1,0.31
1,60083,1,0.38
1,62814,1,0.37
1,65535,1,0.37
1,1,33,0.39
1,2732,33,0.36
1,5463,33,0.34
1,8194,33,0.39
1,10925,33,0.38
1,13656,33,0.34
1,16387,33,0.37
1,19118,33,0.4
1,21849,33,0.4
1,24580,33,0.36
1,27311,33,0.42
1,30042,33,0.44
1,32773,33,0.35
1,35504,33,0.34
1,38235,33,0.39
1,40966,33,0.38
1,43697,33,0.35
1,46428,33,0.36
1,49159,33,0.35
1,51890,33,0.38
1,54621,33,0.35
1,60083,33,0.37
1,65535,33,0.38
1,1,65,0.4
1,2732,65,0.34
1,5463,65,0.38
1,8194,65,0.36
1,10925,65,0.38
1,13656,65,0.4
1,19118,65,0.36
1,24580,65,0.35
1,27311,65,0.43
1,30042,65,0.36
1,35504,65,0.37
1,38235,65,0.4
1,40966,65,0.35
1,43697,65,0.34
1,49159,65,0.35
1,51890,65,0.36
1,54621,65,0.43
1,60083,65,0.43
1,62814,65,0.38
1,65535,65,0.39
1,1,97,0.39
1,5463,97,0.36
1,8194,97,0.38
1,10925,97,0.35
1,13656,97,0.38
1,16387,97,0.37
1,19118,97,0.37
1,21849,97,0.34
1,24580,97,0.44
1,27311,97,0.36
1,30042,97,0.39
1,32773,97,0.31
1,35504,97,0.39
1,40966,97,0.37
1,43697,97,0.39
1,46428,97,0.34
1,49159,97,0.39
1,51890,97,0.34
1,60083,97,0.41
1,62814,97,0.33
1,1,129,0.35
1,2732,129,0.34
1,5463,129,0.4
1,8194,129,0.45
1,10925,129,0.37
1,13656,129,0.39
1,16387,129,0.34
1,19118,129,0.34
1,27311,129,0.39
1,32773,129,0.39
1,38235,129,0.39
1,40966,129,0.37
1,43697,129,0.42
1,46428,129,0.42
1,49159,129,0.34
1,54621,129,0.4
1,57352,129,0.45
1,62814,129,0.37
1,65535,129,0.34
1,1,161,0.36
1,8194,161,0.42
1,10925,161,0.36
1,13656,161,0.38
1,19118,161,0.34
1,21849,161,0.35
1,24580,161,0.38
1,30042,161,0.35
1,32773,161,0.38
1,35504,161,0.4
1,38235,161,0.38
1,40966,161,0.35
1,43697,161,0.33
1,46428,161,0.35
1,49159,161,0.41
1,51890,161,0.34
1,57352,161,0.35
1,60083,161,0.39
1,62814,161,0.36
1,65535,161,0.35
1,1,193,0.33
1,2732,193,0.38
1,8194,193,0.38
1,10925,193,0.4
1,13656,193,0.35
1,16387,193,0.35
1,19118,193,0.36
1,21849,193,0.38
1,27311,193,0.36
1,32773,193,0.37
1,38235,193,0.35
1,46428,193,0.36
1,49159,193,0.35
1,54621,193,0.39
1,65535,193,0.35
1,5463,225,0.41
1,10925,225,0.4
1,13656,225,0.38
1,16387,225,0.34
1,19118,225,0.38
1,21849,225,0.41
1,24580,225,0.35
1,27311,225,0.36
1,30042,225,0.35
1,32773,225,0.37
1,35504,225,0.38
1,43697,225,0.36
1,46428,225,0.37
1,49159,225,0.35
1,51890,225,0.42
1,54621,225,0.35
1,60083,225,0.36
1,65535,225,0.39
1,1,255,0.35
1,2732,255,0.33
1,5463,255,0.38
1,8194,255,0.39
1,10925,255,0.33
1,13656,255,0.35
1,16387,255,0.36
1,19118,255,0.35
1,21849,255,0.35
1,27311,255,0.35
1,30042,255,0.4
1,35504,255,0.35
1,38235,255,0.37
1,40966,255,0.44
1,43697,255,0.33
1,49159,255,0.4
1,51890,255,0.35
1,60083,255,0.42
1,62814,255,0.35
33,1,1,0.71
33,2732,1,0.7
33,5463,1,0.76
33,8194,1,0.77
33,10925,1,0.76
33,13656,1,0.74
33,16387,1,0.76
33,19118,1,0.71
33,21849,1,0.7
33,24580,1,0.75
33,27311,1,0.72
33,30042,1,0.69
33,32773,1,0.71
33,35504,1,0.74
33,38235,1,0.76
33,40966,1,0.66
33,43697,1,0.71
33,46428,1,0.72
33,49159,1,0.71
33,51890,1,0.72
33,54621,1,0.76
33,57352,1,0.72
33,60083,1,0.67
33,62814,1,0.71
33,65535,1,0.69
33,1,33,0.81
33,2732,33,0.78
33,5463,33,0.8
33,8194,33,0.8
33,10925,33,0.78
33,13656,33,0.71
33,16387,33,0.71
33,19118,33,0.66
33,21849,33,0.62
33,24580,33,0.66
33,27311,33,0.69
33,30042,33,0.69
33,32773,33,0.68
33,35504,33,0.7
33,38235,33,0.65
33,40966,33,0.75
33,43697,33,0.69
33,46428,33,0.71
33,49159,33,0.71
33,51890,33,0.78
33,54621,33,0.74
33,57352,33,0.76
33,60083,33,0.73
33,62814,33,0.77
33,65535,33,0.76
33,1,65,0.8
33,2732,65,0.8
33,5463,65,0.87
33,8194,65,0.83
33,10925,65,0.81
33,13656,65,0.79
33,16387,65,0.72
33,19118,65,0.65
33,21849,65,0.63
33,24580,65,0.62
33,27311,65,0.6
33,30042,65,0.57
33,32773,65,0.6
33,35504,65,0.59
33,38235,65,0.66
33,40966,65,0.69
33,43697,65,0.7
33,46428,65,0.64
33,49159,65,0.65
33,51890,65,0.66
33,54621,65,0.66
33,57352,65,0.73
33,60083,65,0.75
33,62814,65,0.78
33,65535,65,0.8
33,1,97,0.74
33,2732,97,0.7
33,5463,97,0.79
33,8194,97,0.93
33,10925,97,0.84
33,13656,97,0.74
33,16387,97,0.62
33,19118,97,0.64
33,21849,97,0.57
33,24580,97,0.63
33,27311,97,0.58
33,30042,97,0.56
33,32773,97,0.65
33,35504,97,0.6
33,38235,97,0.64
33,40966,97,0.67
33,43697,97,0.67
33,46428,97,0.63
33,49159,97,0.61
33,51890,97,0.67
33,54621,97,0.7
33,57352,97,0.68
33,60083,97,0.66
33,62814,97,0.7
33,65535,97,0.62
33,1,129,0.65
33,2732,129,0.53
33,5463,129,0.66
33,8194,129,0.9
33,10925,129,0.87
33,13656,129,0.7
33,16387,129,0.64
33,19118,129,0.6
33,21849,129,0.55
33,24580,129,0.57
33,27311,129,0.57
33,30042,129,0.6
33,32773,129,0.47
33,35504,129,0.55
33,38235,129,0.59
33,40966,129,0.63
33,43697,129,0.61
33,46428,129,0.53
33,49159,129,0.54
33,51890,129,0.65
33,54621,129,0.65
33,57352,129,0.65
33,60083,129,0.57
33,62814,129,0.65
33,65535,129,0.56
33,1,161,0.51
33,2732,161,0.51
33,5463,161,0.51
33,8194,161,0.6
33,10925,161,0.69
33,13656,161,0.68
33,16387,161,0.59
33,19118,161,0.53
33,21849,161,0.56
33,24580,161,0.52
33,27311,161,0.49
33,30042,161,0.53
33,32773,161,0.52
33,35504,161,0.55
33,38235,161,0.59
33,40966,161,0.61
33,43697,161,0.59
33,46428,161,0.55
33,49159,161,0.54
33,51890,161,0.54
33,54621,161,0.59
33,57352,161,0.61
33,60083,161,0.53
33,62814,161,0.55
33,65535,161,0.51
33,1,193,0.49
33,2732,193,0.47
33,5463,193,0.5
33,8194,193,0.55
33,10925,193,0.61
33,13656,193,0.65
33,16387,193,0.7
33,19118,193,0.6
33,21849,193,0.52
33,24580,193,0.49
33,27311,193,0.49
33,30042,193,0.54
33,32773,193,0.57
33,35504,193,0.59
33,38235,193,0.61
33,40966,193,0.55
33,43697,193,0.59
33,46428,193,0.53
33,49159,193,0.59
33,51890,193,0.58
33,54621,193,0.57
33,57352,193,0.59
33,60083,193,0.52
33,62814,193,0.54
33,65535,193,0.53
33,1,225,0.5
33,2732,225,0.52
33,5463,225,0.51
33,8194,225,0.56
33,10925,225,0.59
33,13656,225,0.67
33,16387,225,0.65
33,19118,225,0.55
33,21849,225,0.52
33,24580,225,0.56
33,27311,225,0.53
33,30042,225,0.51
33,32773,225,0.52
33,35504,225,0.52
33,38235,225,0.62
33,40966,225,0.59
33,43697,225,0.57
33,46428,225,0.58
33,49159,225,0.55
33,51890,225,0.56
33,54621,225,0.65
33,57352,225,0.52
33,60083,225,0.55
33,62814,225,0.55
33,65535,225,0.5
33,1,255,0.49
33,2732,255,0.56
33,5463,255,0.47
33,8194,255,0.56
33,10925,255,0.6
33,13656,255,0.6
33,16387,255,0.58
33,19118,255,0.55
33,21849,255,0.53
33,24580,255,0.46
33,27311,255,0.57
33,30042,255,0.55
33,32773,255,0.52
33,35504,255,0.55
33,38235,255,0.64
33,40966,255,0.58
33,43697,255,0.49
33,46428,255,0.51
33,49159,255,0.53
33,51890,255,0.51
33,54621,255,0.6
33,57352,255,0.56
33,60083,255,0.59
33,62814,255,0.57
33,65535,255,0.49
65,1,1,0.91
65,2732,1,0.91
65,5463,1,0.86
65,8194,1,0.97
65,10925,1,0.95
65,13656,1,0.93
65,16387,1,0.92
65,19118,1,0.92
65,21849,1,0.95
65,24580,1,0.91
65,27311,1,0.97
65,30042,1,0.94
65,32773,1,0.88
65,35504,1,0.92
65,38235,1,0.94
65,40966,1,0.91
65,43697,1,0.9
65,46428,1,0.9
65,49159,1,0.92
65,51890,1,0.99
65,54621,1,0.92
65,57352,1,0.95
65,60083,1,0.94
65,62814,1,0.9
65,65535,1,0.92
65,1,33,1.08
65,2732,33,1.14
65,5463,33,1.1
65,8194,33,0.99
65,10925,33,0.98
65,13656,33,0.82
65,16387,33,0.9
65,19118,33,0.89
65,21849,33,0.8
65,24580,33,0.78
65,27311,33,0.81
65,30042,33,0.81
65,32773,33,0.82
65,35504,33,0.8
65,38235,33,0.88
65,40966,33,0.9
65,43697,33,0.92
65,46428,33,0.94
65,49159,33,1.0
65,51890,33,0.95
65,54621,33,0.95
65,57352,33,1.02
65,60083,33,1.01
65,62814,33,1.1
65,65535,33,1.02
65,1,65,1.1
65,2732,65,1.09
65,5463,65,1.14
65,8194,65,1.04
65,10925,65,1.05
65,13656,65,0.93
65,16387,65,0.82
65,19118,65,0.86
65,21849,65,0.8
65,24580,65,0.74
65,27311,65,0.78
65,30042,65,0.76
65,32773,65,0.74
65,35504,65,0.79
65,38235,65,0.78
65,40966,65,0.88
65,43697,65,0.9
65,46428,65,0.94
65,49159,65,0.87
65,51890,65,0.9
