bri,watt
1,1.33
2,1.33
3,1.33
4,1.33
5,1.27
6,1.36
7,1.33
8,1.33
9,1.33
10,1.39
11,1.38
12,1.33
13,1.39
14,1.34
15,1.4
16,1.4
17,1.37
18,1.35
19,1.39
20,1.39
21,1.38
22,1.36
23,1.42
24,1.47
25,1.44
26,1.37
27,1.52
28,1.58
29,1.48
30,1.5
31,1.5
32,1.58
33,1.47
34,1.57
35,1.5
36,1.56
37,1.63
38,1.62
39,1.58
40,1.65
41,1.58
42,1.7
43,1.65
44,1.69
45,1.62
46,1.65
47,1.7
48,1.7
49,1.81
50,1.71
51,1.78
52,1.82
53,1.73
54,1.74
55,1.83
56,1.89
57,1.79
58,1.81
59,1.88
60,1.88
61,1.86
62,1.94
63,1.84
64,1.92
65,1.9
66,1.92
67,1.94
68,2.0
69,1.96
70,1.96
71,2.04
72,2.04
73,2.03
74,2.04
75,2.06
76,2.06
77,2.11
78,2.17
79,2.13
80,2.13
81,2.12
82,2.2
83,2.2
84,2.23
85,2.21
86,2.27
87,2.26
88,2.23
89,2.21
90,2.26
91,2.22
92,2.29
93,2.34
94,2.3
95,2.35
96,2.33
97,2.39
98,2.44
99,2.37
100,2.4
101,2.52
102,2.51
103,2.51
104,2.58
105,2.52
106,2.55
107,2.54
108,2.56
109,2.56
110,2.57
111,2.65
112,2.73
113,2.7
114,2.6
115,2.73
116,2.76
117,2.73
118,2.81
119,2.81
120,2.81
121,2.86
122,2.92
123,2.88
124,3.06
125,3.0
126,2.92
127,3.04
128,3.05
129,3.08
130,3.07
131,3.1
132,3.09
133,3.1
134,3.1
135,3.2
136,3.2
137,3.21
138,3.19
139,3.2
140,3.33
141,3.29
142,3.33
143,3.45
144,3.38
145,3.46
146,3.38
147,3.54
148,3.6
149,3.62
150,3.65
151,3.74
152,3.73
153,3.69
154,3.79
155,3.77
156,3.87
157,3.87
158,3.88
159,3.96
160,3.98
161,4.01
162,4.04
163,4.1
164,4.0
165,4.16
166,4.06
167,4.17
168,4.11
169,4.29
170,4.26
171,4.31
172,4.3
173,4.54
174,4.48
175,4.54
176,4.57
177,4.62
178,4.73
179,4.72
180,4.77
181,4.84
182,4.9
183,4.93
184,4.9
185,5.04
186,5.1
187,5.13
188,5.2
189,5.25
190,5.23
191,5.29
192,5.36
193,5.24
194,5.45
195,5.41
196,5.56
197,5.5
198,5.58
199,5.65
200,5.65
201,5.67
202,5.81
203,5.8
204,5.9
205,5.95
206,6.03
207,6.04
208,6.07
209,6.1
210,6.21
211,6.29
212,6.23
213,6.42
214,6.5
215,6.62
216,6.63
217,6.71
218,6.75
219,6.88
220,7.0
221,6.99
222,7.09
223,7.15
224,7.26
225,7.31
226,7.41
227,7.35
228,7.53
229,7.63
230,7.74
231,7.78
232,7.88
233,8.01
234,8.03
235,8.0
236,8.19
237,8.32
238,8.36
239,8.41
240,8.56
241,8.68
242,8.71
243,8.8
244,8.8
245,9.06
246,9.05
247,9.18
248,9.14
249,9.19
250,9.23
251,9.12
252,9.12
253,9.07
254,9.08
255,9.2
