bri,mired,watt
1,153,0.43
1,163,0.37
1,173,0.4
1,183,0.6
1,193,0.4
1,203,0.47
1,213,0.8
1,223,0.5
1,233,0.5
1,243,0.8
1,253,0.7
1,263,0.73
1,273,0.6
1,283,0.5
1,293,0.47
1,303,0.9
1,313,0.47
1,323,0.9
1,333,0.57
1,343,0.6
1,353,0.5
1,363,0.4
1,373,0.43
1,383,0.87
1,393,0.53
1,403,0.4
1,413,0.63
1,423,0.6
1,433,0.3
1,443,0.3
1,453,0.7
1,463,0.43
1,473,0.5
1,483,0.3
1,493,0.47
1,500,0.47
6,153,0.83
6,163,0.5
6,173,0.7
6,183,0.7
6,193,0.6
6,203,0.5
6,213,0.43
6,223,0.33
6,233,0.4
6,243,0.6
6,253,0.3
6,263,0.57
6,273,0.47
6,283,0.4
6,293,0.67
6,303,0.8
6,313,0.43
6,323,0.7
6,333,0.5
6,343,0.7
6,353,0.6
6,363,0.5
6,373,0.8
6,383,0.4
6,393,0.53
6,403,0.53
6,413,0.53
6,423,0.4
6,433,0.53
6,443,0.8
6,453,0.4
6,463,0.53
6,473,0.6
6,483,0.5
6,493,0.3
6,500,0.53
11,153,0.4
11,163,0.7
11,173,0.63
11,183,0.4
11,193,0.63
11,203,0.47
11,213,0.5
11,223,0.5
11,233,0.6
11,243,0.5
11,253,0.4
11,263,0.4
11,273,0.5
11,283,0.43
11,293,0.5
11,303,0.5
11,313,0.3
11,323,0.4
11,333,0.5
11,343,0.47
11,353,0.7
11,363,0.4
11,373,0.53
11,383,0.73
11,393,0.6
11,403,0.67
11,413,0.73
11,423,0.5
11,433,0.5
11,443,0.53
11,453,0.4
11,463,0.2
11,473,0.3
11,483,0.47
11,493,0.6
11,500,0.5
16,153,0.3
16,163,0.4
16,173,0.4
16,183,0.6
16,193,0.5
16,203,0.4
16,213,0.6
16,223,0.5
16,233,0.7
16,243,0.7
16,253,0.53
16,263,0.77
16,273,0.7
16,283,0.6
16,293,0.4
16,303,0.63
16,313,0.7
16,323,0.5
16,333,0.9
16,343,0.47
16,353,0.8
16,363,0.6
16,373,0.4
16,383,0.67
16,393,0.47
16,403,0.7
16,413,0.6
16,423,0.4
16,433,0.6
16,443,0.5
16,453,0.5
16,463,0.47
16,473,0.6
16,483,0.6
16,493,0.53
16,500,0.6
21,153,0.5
21,163,0.53
21,173,0.77
21,183,0.5
21,193,0.5
21,203,0.53
21,213,0.73
21,223,1.0
21,233,0.5
21,243,0.3
21,253,0.5
21,263,0.6
21,273,0.5
21,283,0.4
21,293,0.43
21,303,0.8
21,313,0.3
21,323,0.63
21,333,0.47
21,343,0.4
21,353,0.6
21,363,0.47
21,373,0.47
21,383,0.5
21,393,0.5
21,403,0.87
21,413,0.67
21,423,0.7
21,433,0.6
21,443,0.63
21,453,0.5
21,463,0.3
21,473,0.5
21,483,0.8
21,493,0.7
21,500,0.43
26,153,0.43
26,163,0.6
26,173,0.6
26,183,0.53
26,193,0.63
26,203,0.7
26,213,0.7
26,223,0.8
26,233,0.5
26,243,0.5
26,253,0.5
26,263,0.83
26,273,0.5
26,283,0.4
26,293,0.5
26,303,0.3
26,313,0.5
26,323,0.5
26,333,0.67
26,343,0.5
26,353,0.6
26,363,0.8
26,373,0.57
26,383,0.5
26,393,0.37
26,403,0.8
26,413,0.3
26,423,0.57
26,433,0.63
26,443,0.9
26,453,0.6
26,463,0.6
26,473,0.57
26,483,0.67
26,493,0.5
26,500,0.6
31,153,0.9
31,163,0.53
31,173,0.6
31,183,0.57
31,193,0.7
31,203,0.5
31,213,0.87
31,223,0.73
31,233,0.8
31,243,0.6
31,253,0.77
31,263,0.7
31,273,0.8
31,283,0.57
31,293,0.5
31,303,0.3
31,313,0.6
31,323,0.6
31,333,0.6
31,343,0.63
31,353,0.4
31,363,0.5
31,373,0.63
31,383,0.8
31,393,0.53
31,403,0.7
31,413,0.6
31,423,0.5
31,433,0.5
31,443,0.4
31,453,0.47
31,463,0.73
31,473,0.7
31,483,0.4
31,493,0.63
31,500,0.4
36,153,0.5
36,163,0.4
36,173,0.7
36,183,0.5
36,193,0.8
36,203,0.67
36,213,0.6
36,223,0.57
36,233,0.77
36,243,0.7
36,253,0.67
36,263,0.9
36,273,0.77
36,283,0.6
36,293,0.8
36,303,0.73
36,313,0.5
36,323,0.7
36,333,0.6
36,343,0.93
36,353,0.77
36,363,1.1
36,373,0.9
36,383,0.57
36,393,0.67
36,403,0.5
36,413,0.37
36,423,0.77
36,433,0.6
36,443,0.6
36,453,0.7
36,463,0.67
36,473,0.73
36,483,0.53
36,493,0.5
36,500,0.53
41,153,0.4
41,163,0.5
41,173,0.6
41,183,0.53
41,193,0.7
41,203,0.7
41,213,0.63
41,223,0.83
41,233,0.73
41,243,0.8
41,253,0.77
41,263,0.87
41,273,0.6
41,283,0.67
41,293,0.93
41,303,0.9
41,313,0.6
41,323,0.53
41,333,1.8
41,343,0.67
41,353,0.6
41,363,0.9
41,373,0.6
41,383,0.77
41,393,0.43
41,403,0.67
41,413,0.6
41,423,0.57
41,433,0.7
41,443,0.6
41,453,0.5
41,463,0.67
41,473,0.93
41,483,0.57
41,493,0.5
41,500,0.53
46,153,0.6
46,163,0.53
46,173,0.8
46,183,0.63
46,193,0.67
46,203,1.1
46,213,0.67
46,223,0.9
46,233,0.7
46,243,0.9
46,253,0.57
46,263,0.7
46,273,0.63
46,283,0.77
46,293,0.9
46,303,0.73
46,313,0.6
46,323,0.9
46,333,0.7
46,343,0.7
46,353,0.7
46,363,0.43
46,373,0.7
46,383,0.8
46,393,0.7
46,403,0.6
46,413,0.57
46,423,0.6
46,433,0.73
46,443,0.63
46,453,0.8
46,463,0.63
46,473,0.77
46,483,0.9
46,493,0.67
46,500,0.77
51,153,0.77
51,163,0.7
51,173,0.8
51,183,0.93
51,193,0.83
51,203,0.8
51,213,0.8
51,223,0.83
51,233,1.0
51,243,0.83
51,253,0.8
51,263,0.8
51,273,0.9
51,283,1.0
51,293,0.73
51,303,0.6
51,313,0.67
51,323,1.27
51,333,0.9
51,343,0.6
51,353,0.5
51,363,0.6
51,373,0.8
51,383,0.7
51,393,0.83
51,403,0.8
51,413,0.8
51,423,0.73
51,433,0.7
51,443,0.7
51,453,0.8
51,463,0.73
51,473,0.7
51,483,0.5
51,493,0.8
51,500,0.5
56,153,0.77
56,163,0.7
56,173,0.87
56,183,1.0
56,193,1.2
56,203,1.13
56,213,1.3
56,223,0.9
56,233,1.0
56,243,0.83
56,253,1.27
56,263,0.97
56,273,0.73
56,283,0.9
56,293,0.67
56,303,0.93
56,313,1.17
56,323,0.93
56,333,0.63
56,343,0.83
56,353,0.63
56,363,0.73
56,373,0.9
56,383,0.8
56,393,0.5
56,403,0.57
56,413,0.73
56,423,0.7
56,433,1.0
56,443,0.8
56,453,0.67
56,463,0.87
56,473,0.9
56,483,0.6
56,493,0.77
56,500,0.73
61,153,0.9
61,163,0.63
61,173,1.1
61,183,1.0
61,193,0.87
61,203,0.83
61,213,1.03
61,223,1.1
61,233,0.83
61,243,1.17
61,253,1.13
61,263,0.8
61,273,1.0
61,283,1.07
61,293,1.17
61,303,1.03
61,313,1.1
61,323,0.7
61,333,1.03
61,343,0.87
61,353,1.13
61,363,0.67
61,373,0.83
61,383,0.6
61,393,0.8
61,403,0.9
61,413,0.7
61,423,0.6
61,433,0.77
61,443,0.8
61,453,0.87
61,463,0.6
61,473,0.7
61,483,0.8
61,493,0.8
61,500,0.83
66,153,0.73
66,163,0.9
66,173,0.97
66,183,0.97
66,193,1.1
66,203,1.03
66,213,1.33
66,223,1.5
66,233,1.3
66,243,1.17
66,253,1.17
66,263,1.3
66,273,1.0
66,283,0.87
66,293,1.03
66,303,1.0
66,313,0.9
66,323,0.77
66,333,0.8
66,343,1.03
66,353,0.8
66,363,1.03
66,373,0.8
66,383,1.0
66,393,0.63
66,403,1.0
66,413,0.9
66,423,1.0
66,433,1.1
66,443,0.87
66,453,0.67
66,463,0.77
66,473,0.9
66,483,0.8
66,493,0.67
66,500,0.73
71,153,1.1
71,163,1.03
71,173,1.03
71,183,1.1
71,193,0.97
71,203,1.2
71,213,1.07
71,223,1.1
71,233,1.07
71,243,1.33
71,253,1.13
71,263,1.17
71,273,1.3
71,283,1.1
71,293,1.23
71,303,1.0
71,313,1.1
71,323,1.13
71,333,1.03
71,343,0.83
71,353,1.3
71,363,1.0
71,373,1.03
71,383,0.87
71,393,0.9
71,403,0.9
71,413,0.93
71,423,0.83
71,433,1.0
71,443,0.9
71,453,0.7
71,463,1.1
71,473,0.83
71,483,0.83
71,493,0.73
71,500,0.8
76,153,0.97
76,163,1.1
76,173,1.37
76,183,0.97
76,193,1.4
76,203,1.23
76,213,1.5
76,223,1.27
76,233,1.47
76,243,1.23
76,253,1.1
76,263,1.13
76,273,1.27
76,283,1.07
76,293,1.23
76,303,1.2
76,313,1.03
76,323,1.0
76,333,1.3
76,343,1.17
76,353,0.8
76,363,1.13
76,373,0.93
76,383,0.83
76,393,1.4
76,403,1.03
76,413,0.87
76,423,0.8
76,433,0.77
76,443,1.0
76,453,1.17
76,463,1.23
76,473,1.13
76,483,0.7
76,493,0.77
76,500,1.3
81,153,1.5
81,163,1.07
81,173,1.4
81,183,1.07
81,193,1.67
81,203,1.6
81,213,1.3
81,223,1.4
81,233,1.37
81,243,1.37
81,253,1.47
81,263,1.2
81,273,1.23
81,283,1.63
81,293,1.37
81,303,1.23
81,313,0.97
81,323,1.0
81,333,1.2
81,343,1.33
81,353,1.23
81,363,1.0
81,373,1.17
81,383,1.27
81,393,1.3
81,403,1.07
81,413,0.97
81,423,1.1
81,433,0.93
81,443,0.87
81,453,1.1
81,463,1.17
81,473,1.07
81,483,0.97
81,493,0.63
81,500,0.8
86,153,1.07
86,163,1.03
86,173,1.17
86,183,1.7
86,193,1.3
86,203,1.5
86,213,1.67
86,223,1.53
86,233,1.77
86,243,1.5
86,253,1.53
86,263,1.57
86,273,1.47
86,283,1.6
86,293,1.5
86,303,1.37
86,313,1.3
86,323,1.47
86,333,1.1
86,343,1.17
86,353,1.2
86,363,1.13
86,373,1.43
86,383,1.17
86,393,1.13
86,403,1.2
86,413,1.07
86,423,1.17
86,433,1.13
86,443,0.9
86,453,1.13
86,463,1.33
86,473,1.13
86,483,1.07
86,493,0.9
86,500,0.9
91,153,1.4
91,163,1.47
91,173,1.4
91,183,1.5
91,193,1.23
91,203,1.6
91,213,1.8
91,223,1.7
91,233,1.7
91,243,1.67
91,253,1.7
91,263,1.53
91,273,1.67
91,283,1.6
91,293,1.5
91,303,1.53
91,313,1.3
91,323,1.33
91,333,1.5
91,343,1.33
91,353,1.37
