bri,hue,sat,watt
1,1,1,0.5
1,2001,1,0.6
1,4001,1,0.6
1,6001,1,0.5
1,8001,1,0.57
1,10001,1,0.5
1,12001,1,0.5
1,14001,1,0.6
1,16001,1,0.67
1,18001,1,0.6
1,20001,1,0.6
1,22001,1,0.8
1,24001,1,0.5
1,26001,1,0.4
1,28001,1,0.3
1,30001,1,0.63
1,32001,1,0.53
1,34001,1,0.6
1,36001,1,0.5
1,38001,1,0.5
1,40001,1,0.73
1,42001,1,0.4
1,44001,1,0.5
1,46001,1,0.5
1,48001,1,0.4
1,50001,1,0.5
1,52001,1,0.5
1,54001,1,0.5
1,56001,1,0.5
1,58001,1,0.4
1,60001,1,0.5
1,62001,1,0.7
1,64001,1,0.5
1,65535,1,0.5
1,1,11,0.6
1,2001,11,0.47
1,4001,11,0.5
1,6001,11,0.6
1,8001,11,0.5
1,10001,11,0.5
1,12001,11,0.4
1,14001,11,0.53
1,16001,11,0.8
1,18001,11,0.57
1,20001,11,0.6
1,22001,11,0.4
1,24001,11,0.57
1,26001,11,0.4
1,28001,11,0.5
1,30001,11,0.6
1,32001,11,0.6
1,34001,11,0.5
1,36001,11,0.4
1,38001,11,0.4
1,40001,11,0.7
1,42001,11,0.4
1,44001,11,0.6
1,46001,11,0.57
1,48001,11,0.43
1,50001,11,0.4
1,52001,11,0.5
1,54001,11,0.53
1,56001,11,0.6
1,58001,11,0.5
1,60001,11,0.53
1,62001,11,0.4
1,64001,11,0.37
1,65535,11,0.6
1,1,21,0.63
1,2001,21,0.6
1,4001,21,0.5
1,6001,21,0.5
1,8001,21,0.57
1,10001,21,0.5
1,12001,21,0.4
1,14001,21,0.47
1,16001,21,0.47
1,18001,21,0.5
1,20001,21,0.47
1,22001,21,0.8
1,24001,21,0.5
1,26001,21,0.6
1,28001,21,0.6
1,30001,21,0.3
1,32001,21,0.5
1,34001,21,0.4
1,36001,21,0.33
1,38001,21,0.53
1,40001,21,0.57
1,42001,21,0.4
1,44001,21,0.5
1,46001,21,0.6
1,48001,21,0.7
1,50001,21,0.8
1,52001,21,1.2
1,54001,21,0.43
1,56001,21,0.5
1,58001,21,0.4
1,60001,21,0.4
1,62001,21,0.7
1,64001,21,1.1
1,65535,21,0.47
1,1,31,0.3
1,2001,31,0.5
1,4001,31,0.53
1,6001,31,0.5
1,8001,31,0.5
1,10001,31,0.57
1,12001,31,0.5
1,14001,31,0.5
1,16001,31,0.63
1,18001,31,0.3
1,20001,31,0.33
1,22001,31,0.4
1,24001,31,0.5
1,26001,31,0.47
1,28001,31,0.6
1,30001,31,0.53
1,32001,31,0.4
1,34001,31,0.4
1,36001,31,0.37
1,38001,31,0.47
1,40001,31,0.3
1,42001,31,0.37
1,44001,31,0.5
1,46001,31,0.5
1,48001,31,0.4
1,50001,31,0.4
1,52001,31,0.33
1,54001,31,0.4
1,56001,31,0.57
1,58001,31,0.57
1,60001,31,0.9
1,62001,31,0.6
1,64001,31,0.57
1,65535,31,0.37
1,1,41,0.5
1,2001,41,0.5
1,4001,41,0.6
1,6001,41,0.63
1,8001,41,0.4
1,10001,41,0.5
1,12001,41,0.4
1,14001,41,0.3
1,16001,41,0.6
1,18001,41,0.7
1,20001,41,0.5
1,22001,41,0.4
1,24001,41,0.57
1,26001,41,0.4
1,28001,41,0.37
1,30001,41,0.6
1,32001,41,0.8
1,34001,41,0.6
1,36001,41,0.5
1,38001,41,0.67
1,40001,41,0.6
1,42001,41,0.4
1,44001,41,0.47
1,46001,41,0.43
1,48001,41,0.9
1,50001,41,0.7
1,52001,41,0.5
1,54001,41,0.5
1,56001,41,0.6
1,58001,41,0.5
1,60001,41,0.4
1,62001,41,0.6
1,64001,41,0.4
1,65535,41,0.5
1,1,51,0.57
1,2001,51,0.47
1,4001,51,0.53
1,6001,51,0.4
1,8001,51,0.43
1,10001,51,0.5
1,12001,51,0.6
1,14001,51,0.7
1,16001,51,0.37
1,18001,51,0.7
1,20001,51,0.43
1,22001,51,0.43
1,24001,51,0.4
1,26001,51,0.63
1,28001,51,0.3
1,30001,51,0.5
1,32001,51,0.5
1,34001,51,0.7
1,36001,51,0.7
1,38001,51,0.67
1,40001,51,0.4
1,42001,51,0.33
1,44001,51,0.8
1,46001,51,0.5
1,48001,51,0.5
1,50001,51,0.43
1,52001,51,0.5
1,54001,51,0.47
1,56001,51,0.5
1,58001,51,0.6
1,60001,51,0.67
1,62001,51,0.7
1,64001,51,0.4
1,65535,51,0.6
1,1,61,0.43
1,2001,61,0.8
1,4001,61,0.57
1,6001,61,0.4
1,8001,61,0.7
1,10001,61,0.5
1,12001,61,0.67
1,14001,61,0.6
1,16001,61,0.6
1,18001,61,0.47
1,20001,61,0.7
1,22001,61,0.57
1,24001,61,0.5
1,26001,61,0.47
1,28001,61,0.8
1,30001,61,0.5
1,32001,61,0.4
1,34001,61,0.57
1,36001,61,0.5
1,38001,61,0.5
1,40001,61,0.47
1,42001,61,0.47
1,44001,61,0.6
1,46001,61,0.6
1,48001,61,0.57
1,50001,61,0.5
1,52001,61,0.63
1,54001,61,0.37
1,56001,61,0.5
1,58001,61,0.4
1,60001,61,0.6
1,62001,61,0.6
1,64001,61,0.7
1,65535,61,0.3
1,1,71,0.4
1,2001,71,0.6
1,4001,71,0.73
1,6001,71,0.57
1,8001,71,0.7
1,10001,71,0.6
1,12001,71,0.43
1,14001,71,0.4
1,16001,71,0.3
1,18001,71,0.53
1,20001,71,0.77
1,22001,71,0.7
1,24001,71,0.53
1,26001,71,0.4
1,28001,71,0.43
1,30001,71,0.47
1,32001,71,0.57
1,34001,71,0.43
1,36001,71,0.6
1,38001,71,0.63
