bri,mired,watt
1,150,0.7
1,160,0.53
1,170,0.7
1,180,0.6
1,190,0.7
1,200,0.67
1,210,1.03
1,220,0.77
1,230,1.33
1,240,0.7
1,250,0.6
1,260,0.6
1,270,0.73
1,280,0.73
1,290,0.83
1,300,0.9
1,310,1.57
1,320,0.8
1,330,0.83
1,340,1.5
1,350,0.97
1,360,0.9
1,370,0.73
1,380,0.7
1,390,1.0
1,400,0.73
1,410,0.53
1,420,0.5
1,430,0.47
1,440,0.53
1,450,0.6
1,460,0.5
1,470,0.6
1,480,0.6
1,490,0.6
1,500,1.0
6,150,0.53
6,160,0.5
6,170,0.8
6,180,1.0
6,190,0.7
6,200,1.03
6,210,0.77
6,220,0.77
6,230,0.77
6,240,0.8
6,250,0.9
6,260,0.63
6,270,0.83
6,280,0.83
6,290,0.9
6,300,0.63
6,310,0.77
6,320,0.87
6,330,1.1
6,340,0.57
6,350,0.9
6,360,0.87
6,370,0.73
6,380,0.83
6,390,0.63
6,400,0.7
6,410,0.73
6,420,0.5
6,430,0.7
6,440,1.0
6,450,0.53
6,460,0.6
6,470,0.63
6,480,0.7
6,490,0.53
6,500,0.43
11,150,0.67
11,160,0.53
11,170,0.7
11,180,0.8
11,190,0.73
11,200,0.67
11,210,0.87
11,220,0.9
11,230,1.23
11,240,0.83
11,250,0.87
11,260,0.77
11,270,0.73
11,280,0.7
11,290,1.07
11,300,0.93
11,310,0.8
11,320,1.0
11,330,0.7
11,340,0.8
11,350,0.87
11,360,0.83
11,370,0.77
11,380,0.73
11,390,0.7
11,400,0.8
11,410,0.7
11,420,0.77
11,430,0.5
11,440,0.67
11,450,0.6
11,460,0.57
11,470,0.57
11,480,0.6
11,490,0.5
11,500,0.37
16,150,0.5
16,160,0.6
16,170,0.7
16,180,0.67
16,190,0.73
16,200,0.53
16,210,0.9
16,220,0.7
16,230,0.9
16,240,0.83
16,250,0.63
16,260,0.7
16,270,0.7
16,280,0.7
16,290,1.03
16,300,0.83
16,310,0.77
