bri,mired,watt
1,153,1.63
1,163,1.27
1,173,1.17
1,183,1.47
1,193,1.23
1,203,1.47
1,213,1.4
1,223,1.6
1,233,1.17
1,243,1.3
1,253,1.33
1,263,1.43
1,273,1.53
1,283,1.13
1,293,1.43
1,303,1.2
1,313,1.53
1,323,1.53
1,333,1.2
1,343,1.67
1,353,1.2
1,363,1.43
1,373,1.53
1,383,1.6
1,393,1.27
1,403,1.37
1,413,1.3
1,423,1.17
1,433,1.17
1,443,1.3
1,453,1.63
1,463,1.5
1,473,1.33
1,483,1.37
1,493,1.2
1,500,1.0
6,153,1.17
6,163,1.0
6,173,1.4
6,183,1.33
6,193,1.23
6,203,1.43
6,213,1.13
6,223,1.33
6,233,1.2
6,243,1.47
6,253,1.4
6,263,1.07
6,273,1.27
6,283,1.23
6,293,1.33
6,303,1.4
6,313,1.33
6,323,1.4
6,333,1.3
6,343,1.17
6,353,1.0
6,363,1.47
6,373,1.5
6,383,1.23
6,393,1.27
6,403,1.23
6,413,1.37
6,423,1.13
6,433,1.2
6,443,1.47
6,453,1.47
6,463,1.63
6,473,1.43
6,483,1.4
6,493,1.4
6,500,1.43
11,153,1.13
11,163,1.57
11,173,1.53
11,183,1.4
11,193,1.33
11,203,1.23
11,213,1.33
11,223,1.3
11,233,1.27
11,243,1.37
11,253,1.33
11,263,1.3
11,273,1.37
11,283,1.57
11,293,1.2
11,303,1.3
11,313,1.3
11,323,1.4
11,333,1.47
11,343,1.5
11,353,1.3
11,363,1.43
11,373,1.43
11,383,1.5
11,393,1.67
11,403,1.6
11,413,1.27
11,423,1.47
11,433,1.4
11,443,1.3
11,453,1.9
11,463,2.07
11,473,1.73
11,483,1.63
11,493,2.2
11,500,1.1
16,153,1.43
16,163,1.93
16,173,0.93
16,183,1.23
16,193,1.5
16,203,2.03
16,213,1.8
16,223,1.07
16,233,2.63
16,243,1.8
16,253,1.63
16,263,2.17
16,273,2.53
16,283,2.17
16,293,2.4
16,303,0.97
16,313,1.53
16,323,1.87
16,333,1.2
16,343,1.1
16,353,1.73
16,363,1.93
16,373,1.83
16,383,1.23
16,393,2.03
16,403,1.63
16,413,1.47
16,423,1.5
16,433,0.93
16,443,1.57
16,453,1.13
16,463,2.03
16,473,1.23
16,483,1.1
16,493,2.1
16,500,1.27
21,153,1.63
21,163,1.47
21,173,1.53
21,183,1.7
21,193,1.73
21,203,1.7
21,213,1.8
21,223,1.47
21,233,2.2
21,243,1.47
21,253,1.7
21,263,1.53
21,273,1.33
21,283,1.23
21,293,1.6
21,303,1.87
21,313,1.93
21,323,1.9
21,333,2.0
21,343,1.8
21,353,1.9
21,363,1.47
21,373,1.13
21,383,1.93
21,393,1.37
21,403,1.6
21,413,1.33
21,423,1.63
21,433,1.9
21,443,1.5
21,453,1.7
21,463,1.7
21,473,1.83
21,483,1.4
21,493,1.63
21,500,1.47
26,153,1.6
26,163,1.7
26,173,1.83
26,183,1.67
26,193,1.77
26,203,1.57
26,213,1.93
26,223,1.93
26,233,2.0
26,243,1.93
26,253,1.8
26,263,1.73
26,273,1.6
26,283,2.17
26,293,1.87
26,303,1.7
26,313,1.73
26,323,1.5
26,333,1.73
26,343,1.8
26,353,1.8
26,363,1.8
26,373,1.8
26,383,1.93
26,393,1.87
26,403,1.5
26,413,1.73
