bri,hue,sat,watt
1,1,1,7.82
1,2732,1,7.83
1,5463,1,7.77
1,8194,1,7.55
1,10925,1,7.14
1,13656,1,7.3
1,16387,1,7.56
1,19118,1,7.68
1,21849,1,7.8
1,24580,1,8.2
1,27311,1,8.12
1,30042,1,7.4
1,32773,1,7.13
1,35504,1,6.54
1,38235,1,6.81
1,40966,1,6.88
1,43697,1,6.9
1,46428,1,8.27
1,49159,1,7.99
1,51890,1,7.55
1,54621,1,7.57
1,57352,1,7.67
1,60083,1,8.37
1,62814,1,7.9
1,65535,1,7.79
1,1,33,6.99
1,2732,33,7.26
1,5463,33,7.15
1,8194,33,7.0
1,10925,33,6.42
1,13656,33,6.55
1,16387,33,6.69
1,19118,33,6.94
1,21849,33,7.04
1,24580,33,7.23
1,27311,33,7.29
1,30042,33,6.7
1,32773,33,6.78
1,35504,33,5.92
1,38235,33,6.28
1,40966,33,6.16
1,43697,33,6.18
1,46428,33,7.38
1,49159,33,7.42
1,51890,33,6.97
1,54621,33,7.17
1,57352,33,7.19
1,60083,33,7.56
1,62814,33,7.22
1,65535,33,7.05
1,1,65,6.71
1,2732,65,6.79
1,5463,65,6.88
1,8194,65,6.47
1,10925,65,5.67
1,13656,65,6.14
1,16387,65,6.3
1,19118,65,6.44
1,21849,65,6.78
1,24580,65,6.79
1,27311,65,6.88
1,30042,65,6.59
1,32773,65,6.34
1,35504,65,5.63
1,38235,65,5.79
1,40966,65,5.92
1,43697,65,5.76
1,46428,65,6.7
1,49159,65,6.93
1,51890,65,6.47
1,54621,65,6.61
1,57352,65,6.64
1,60083,65,7.17
1,62814,65,7.03
1,65535,65,6.63
1,1,97,5.94
1,2732,97,6.08
1,5463,97,6.3
1,8194,97,6.28
1,10925,97,5.39
1,13656,97,5.81
1,16387,97,5.83
1,19118,97,5.88
1,21849,97,6.04
1,24580,97,6.04
1,27311,97,6.29
1,30042,97,5.57
1,32773,97,5.97
1,35504,97,5.11
1,38235,97,5.4
1,40966,97,4.98
1,43697,97,5.17
1,46428,97,5.98
1,49159,97,6.28
1,51890,97,6.29
1,54621,97,6.61
1,57352,97,6.37
1,60083,97,6.32
1,62814,97,6.08
1,65535,97,5.92
1,1,129,5.3
1,2732,129,5.36
1,5463,129,6.09
1,8194,129,6.14
1,10925,129,5.33
1,13656,129,5.59
1,16387,129,5.58
1,19118,129,5.25
1,21849,129,5.68
1,24580,129,5.25
1,27311,129,5.81
1,30042,129,4.94
1,32773,129,5.62
1,35504,129,4.76
1,38235,129,5.01
1,40966,129,4.41
1,43697,129,4.65
1,46428,129,5.28
1,49159,129,5.83
1,51890,129,6.39
1,54621,129,6.21
1,57352,129,6.08
1,60083,129,5.68
1,62814,129,5.33
1,65535,129,5.31
1,1,161,4.71
1,2732,161,4.74
1,5463,161,5.26
1,8194,161,5.68
1,10925,161,4.93
1,13656,161,5.05
1,16387,161,5.02
1,19118,161,4.99
1,21849,161,4.68
1,24580,161,4.86
1,27311,161,5.28
1,30042,161,4.7
1,32773,161,5.35
1,35504,161,4.59
1,38235,161,4.72
1,40966,161,4.2
1,43697,161,4.31
1,46428,161,4.89
1,49159,161,5.26
1,51890,161,5.59
1,54621,161,6.2
1,57352,161,5.46
1,60083,161,5.28
1,62814,161,4.68
1,65535,161,4.74
1,1,193,4.19
1,2732,193,4.2
1,5463,193,4.67
1,8194,193,5.16
1,10925,193,5.16
1,13656,193,4.84
1,16387,193,4.43
1,19118,193,4.24
1,21849,193,4.13
1,24580,193,4.33
1,27311,193,4.8
1,30042,193,4.48
1,32773,193,5.21
1,35504,193,4.39
1,38235,193,4.27
1,40966,193,4.33
1,43697,193,3.94
1,46428,193,4.25
1,49159,193,4.65
1,51890,193,5.31
1,54621,193,5.41
1,57352,193,4.84
1,60083,193,4.42
1,62814,193,4.1
1,65535,193,4.05
1,1,225,3.84
1,2732,225,4.04
1,5463,225,4.44
1,8194,225,4.87
1,10925,225,4.95
1,13656,225,4.4
1,16387,225,4.19
1,19118,225,3.94
1,21849,225,4.03
1,24580,225,4.1
1,27311,225,4.42
1,30042,225,4.2
1,32773,225,5.01
1,35504,225,4.22
1,38235,225,4.14
1,40966,225,3.81
1,43697,225,3.85
1,46428,225,4.1
1,49159,225,4.43
1,51890,225,5.14
1,54621,225,5.29
1,57352,225,4.76
1,60083,225,4.31
1,62814,225,3.92
1,65535,225,3.94
1,1,255,3.48
1,2732,255,3.66
1,5463,255,4.05
1,8194,255,4.48
1,10925,255,4.5
1,13656,255,3.99
1,16387,255,3.73
1,19118,255,3.57
1,21849,255,3.41
1,24580,255,3.68
1,27311,255,4.07
1,30042,255,3.78
1,32773,255,4.44
1,35504,255,3.87
1,38235,255,3.83
1,40966,255,3.42
1,43697,255,3.53
1,46428,255,3.56
1,49159,255,4.08
1,51890,255,4.77
1,54621,255,4.96
1,57352,255,4.39
1,60083,255,4.0
1,62814,255,3.6
1,65535,255,3.54
33,1,1,1.52
33,2732,1,1.58
33,5463,1,1.51
33,8194,1,1.48
33,10925,1,1.35
33,13656,1,1.42
33,16387,1,1.5
33,19118,1,1.51
33,21849,1,1.51
33,24580,1,1.52
33,27311,1,1.54
33,30042,1,1.45
33,32773,1,1.4
33,35504,1,1.28
33,38235,1,1.34
33,40966,1,1.4
33,43697,1,1.36
33,46428,1,1.52
33,49159,1,1.44
33,51890,1,1.43
33,54621,1,1.54
33,57352,1,1.52
33,60083,1,1.59
33,62814,1,1.46
33,65535,1,1.5
33,1,33,1.5
33,2732,33,1.5
33,5463,33,1.38
33,8194,33,1.42
33,10925,33,1.28
33,13656,33,1.38
33,16387,33,1.31
33,19118,33,1.38
33,21849,33,1.45
33,24580,33,1.45
33,27311,33,1.45
33,30042,33,1.4
33,32773,33,1.32
33,35504,33,1.24
33,38235,33,1.32
33,40966,33,1.27
33,43697,33,1.35
33,46428,33,1.43
33,49159,33,1.45
33,51890,33,1.4
33,54621,33,1.39
33,57352,33,1.4
33,60083,33,1.5
33,62814,33,1.43
33,65535,33,1.4
33,1,65,1.4
33,2732,65,1.4
33,5463,65,1.37
33,8194,65,1.4
33,10925,65,1.23
33,13656,65,1.31
33,16387,65,1.39
33,19118,65,1.4
