bri,hue,sat,watt
1,1,1,1.5
1,2732,1,1.48
1,5463,1,1.49
1,8194,1,1.49
1,10925,1,1.49
1,13656,1,1.49
1,16387,1,1.46
1,19118,1,1.56
1,21849,1,1.54
1,24580,1,1.54
1,27311,1,1.54
1,30042,1,1.51
1,32773,1,1.54
1,35504,1,1.55
1,38235,1,1.52
1,40966,1,1.55
1,43697,1,1.52
1,46428,1,1.55
1,49159,1,1.52
1,51890,1,1.55
1,54621,1,1.54
1,57352,1,1.52
1,60083,1,1.54
1,62814,1,1.51
1,65535,1,1.54
1,1,33,1.51
1,2732,33,1.52
1,5463,33,1.52
1,8194,33,1.52
1,10925,33,1.52
1,13656,33,1.52
1,16387,33,1.52
1,19118,33,1.54
1,21849,33,1.54
1,24580,33,1.54
1,27311,33,1.54
1,30042,33,1.52
1,32773,33,1.54
1,35504,33,1.54
1,38235,33,1.55
1,40966,33,1.52
1,43697,33,1.52
1,46428,33,1.51
1,49159,33,1.5
1,51890,33,1.52
1,54621,33,1.51
1,57352,33,1.5
1,60083,33,1.51
1,62814,33,1.51
1,65535,33,1.48
1,1,65,1.5
1,2732,65,1.48
1,5463,65,1.5
1,8194,65,1.51
1,10925,65,1.51
1,13656,65,1.52
1,16387,65,1.51
1,19118,65,1.55
1,21849,65,1.51
1,24580,65,1.51
1,27311,65,1.51
1,30042,65,1.52
1,32773,65,1.51
1,35504,65,1.5
1,38235,65,1.52
1,40966,65,1.5
1,43697,65,1.49
1,46428,65,1.49
1,49159,65,1.48
1,51890,65,1.46
1,54621,65,1.45
1,57352,65,1.48
1,60083,65,1.46
1,62814,65,1.45
1,65535,65,1.49
1,1,97,1.5
1,2732,97,1.49
1,5463,97,1.51
1,8194,97,1.5
1,10925,97,1.49
1,13656,97,1.52
1,16387,97,1.54
1,19118,97,1.52
1,21849,97,1.52
1,24580,97,1.51
1,27311,97,1.5
1,30042,97,1.52
1,32773,97,1.48
1,35504,97,1.5
1,38235,97,1.49
1,40966,97,1.48
1,43697,97,1.49
1,46428,97,1.45
1,49159,97,1.45
1,51890,97,1.46
1,54621,97,1.48
1,57352,97,1.45
1,60083,97,1.46
1,62814,97,1.49
1,65535,97,1.46
1,1,129,1.49
1,2732,129,1.49
1,5463,129,1.49
1,8194,129,1.51
1,10925,129,1.54
1,13656,129,1.54
1,16387,129,1.52
1,19118,129,1.52
1,21849,129,1.51
1,24580,129,1.51
1,27311,129,1.49
1,30042,129,1.49
1,32773,129,1.49
1,35504,129,1.49
1,38235,129,1.48
1,40966,129,1.51
1,43697,129,1.5
1,46428,129,1.46
1,49159,129,1.49
1,51890,129,1.48
1,54621,129,1.49
1,57352,129,1.46
1,60083,129,1.45
1,62814,129,1.52
1,65535,129,1.52
1,1,161,1.51
1,2732,161,1.48
1,5463,161,1.5
1,8194,161,1.51
1,10925,161,1.51
1,13656,161,1.49
1,16387,161,1.49
1,19118,161,1.5
1,21849,161,1.5
1,24580,161,1.48
1,27311,161,1.5
1,30042,161,1.46
1,32773,161,1.49
1,35504,161,1.5
1,38235,161,1.48
1,40966,161,1.46
1,43697,161,1.46
1,46428,161,1.45
1,49159,161,1.46
1,51890,161,1.46
1,54621,161,1.48
1,57352,161,1.45
1,60083,161,1.44
1,62814,161,1.43
1,65535,161,1.44
1,1,193,1.48
1,2732,193,1.45
1,5463,193,1.46
1,8194,193,1.49
1,10925,193,1.46
1,13656,193,1.46
1,16387,193,1.45
1,19118,193,1.46
1,21849,193,1.44
1,24580,193,1.48
1,27311,193,1.5
1,30042,193,1.46
1,32773,193,1.48
1,35504,193,1.48
1,38235,193,1.46
1,40966,193,1.45
1,43697,193,1.4
1,46428,193,1.43
1,49159,193,1.45
1,51890,193,1.5
