bri,mired,watt
1,153,0.93
1,163,1.01
1,173,1.02
1,183,1.04
1,193,1.02
1,203,1.04
1,213,1.06
1,223,1.07
1,233,1.11
1,243,1.12
1,253,1.14
1,263,1.11
1,273,1.11
1,283,1.09
1,293,1.04
1,303,1.06
1,313,1.02
1,323,1.01
1,333,1.0
1,343,1.02
1,353,0.96
1,363,0.94
1,373,0.97
1,383,1.01
1,393,1.02
1,403,1.0
1,413,1.04
1,423,1.06
1,433,1.07
1,443,1.06
1,453,1.06
1,454,1.09
6,153,0.91
6,163,1.02
6,173,1.01
6,183,1.04
6,193,1.04
6,203,1.05
6,213,1.07
6,223,1.09
6,233,1.11
6,243,1.15
6,253,1.12
6,263,1.14
6,273,1.1
6,283,1.07
6,293,1.05
6,303,1.06
6,313,1.04
6,323,1.01
6,333,1.02
6,343,1.0
6,353,0.96
6,363,0.91
6,373,0.99
6,383,0.99
6,393,1.02
6,403,1.01
6,413,1.04
6,423,1.05
6,433,1.07
6,443,1.09
6,453,1.09
6,454,1.05
11,153,0.93
11,163,1.01
11,173,1.02
11,183,1.01
11,193,1.04
11,203,1.04
11,213,1.08
11,223,1.09
11,233,1.12
11,243,1.11
11,253,1.11
11,263,1.11
11,273,1.09
11,283,1.09
11,293,1.04
11,303,1.02
11,313,1.04
11,323,1.05
11,333,1.07
11,343,1.05
11,353,1.01
11,363,0.94
11,373,1.0
11,383,1.02
11,393,1.02
11,403,1.02
11,413,1.05
11,423,1.04
11,433,1.06
11,443,1.08
11,453,1.06
11,454,1.05
16,153,0.91
16,163,1.01
16,173,1.02
16,183,1.04
16,193,1.01
16,203,1.04
16,213,1.08
16,223,1.07
16,233,1.11
16,243,1.11
16,253,1.11
16,263,1.1
16,273,1.09
16,283,1.06
16,293,1.05
16,303,1.06
16,313,1.02
16,323,1.01
16,333,1.01
16,343,1.04
16,353,0.99
16,363,0.94
16,373,0.99
16,383,0.99
16,393,1.0
16,403,1.02
16,413,1.06
16,423,1.07
16,433,1.06
16,443,1.09
16,453,1.09
16,454,1.07
21,153,0.91
21,163,1.02
21,173,1.04
21,183,1.04
21,193,1.02
21,203,1.02
21,213,1.05
21,223,1.09
21,233,1.11
21,243,1.12
21,253,1.11
21,263,1.11
21,273,1.09
21,283,1.06
21,293,1.05
21,303,1.06
21,313,1.01
21,323,1.01
21,333,1.0
21,343,1.02
21,353,0.97
21,363,0.91
21,373,0.97
21,383,0.99
21,393,1.01
21,403,1.0
21,413,1.04
21,423,1.04
21,433,1.06
21,443,1.06
21,453,1.09
21,454,1.06
26,153,0.91
26,163,1.02
26,173,1.0
26,183,1.02
26,193,1.0
26,203,1.02
26,213,1.04
26,223,1.07
26,233,1.1
26,243,1.11
26,253,1.11
26,263,1.1
26,273,1.09
26,283,1.06
26,293,1.06
26,303,1.05
26,313,1.01
26,323,1.04
26,333,1.01
26,343,1.01
26,353,0.97
26,363,0.93
26,373,0.97
26,383,1.0
26,393,1.0
26,403,1.01
26,413,1.02
26,423,1.04
26,433,1.05
26,443,1.04
26,453,1.07
26,454,1.08
31,153,0.99
31,163,1.09
31,173,1.09
31,183,1.07
31,193,1.14
31,203,1.17
31,213,1.19
31,223,1.24
31,233,1.23
31,243,1.24
31,253,1.26
31,263,1.21
31,273,1.19
31,283,1.18
31,293,1.15
