bri,mired,watt
1,153,1.05
1,163,1.05
1,173,1.02
1,183,1.1
1,193,1.08
1,203,1.05
1,213,1.08
1,223,1.1
1,233,1.08
1,243,1.08
1,253,1.05
1,263,1.1
1,273,1.05
1,283,1.1
1,293,1.05
1,303,1.08
1,313,1.08
1,323,1.1
1,333,1.08
1,343,1.05
1,353,1.08
1,363,1.1
1,370,1.08
6,153,1.1
6,163,1.05
6,173,1.08
6,183,1.08
6,193,1.1
6,203,1.08
6,213,1.12
6,223,1.05
6,233,1.08
6,243,1.08
6,253,1.05
6,263,1.1
6,273,1.08
6,283,1.02
6,293,1.08
6,303,1.08
6,313,1.08
6,323,1.1
6,333,1.05
6,343,1.08
6,353,1.1
6,363,1.08
6,370,1.08
11,153,1.08
11,163,1.08
11,173,1.02
11,183,1.08
11,193,1.08
11,203,1.08
11,213,1.08
11,223,1.08
11,233,1.1
11,243,1.05
11,253,1.05
11,263,1.08
11,273,1.08
11,283,1.08
11,293,1.08
11,303,1.05
11,313,1.08
11,323,1.08
11,333,1.12
11,343,1.05
11,353,1.08
11,363,1.08
11,370,1.1
16,153,1.1
16,163,1.05
16,173,1.1
16,183,1.05
16,193,1.05
16,203,1.08
16,213,1.08
16,223,1.08
16,233,1.08
16,243,1.08
16,253,1.08
16,263,1.05
16,273,1.1
16,283,1.08
16,293,1.05
16,303,1.1
16,313,1.05
16,323,1.05
16,333,1.05
16,343,1.1
16,353,1.05
16,363,1.08
16,370,1.1
21,153,1.05
21,163,1.05
21,173,1.08
21,183,1.05
21,193,1.08
21,203,1.1
21,213,1.08
21,223,1.08
21,233,1.05
21,243,1.08
21,253,1.08
21,263,1.08
21,273,1.05
21,283,1.08
21,293,1.1
21,303,1.05
21,313,1.1
21,323,1.08
21,333,1.08
21,343,1.08
21,353,1.08
21,363,1.05
21,370,1.05
26,153,1.05
26,163,1.1
26,173,1.08
26,183,1.08
26,193,1.05
26,203,1.08
26,213,1.1
26,223,1.08
26,233,1.05
26,243,1.08
26,253,1.05
26,263,1.05
26,273,1.1
26,283,1.05
26,293,1.08
26,303,1.08
26,313,1.05
26,323,1.1
26,333,1.08
26,343,1.08
26,353,1.05
26,363,1.08
26,370,1.1
31,153,1.1
31,163,1.1
31,173,1.15
31,183,1.12
31,193,1.12
31,203,1.1
31,213,1.15
31,223,1.1
31,233,1.15
31,243,1.1
31,253,1.15
31,263,1.12
31,273,1.15
31,283,1.1
31,293,1.15
31,303,1.17
31,313,1.1
31,323,1.15
31,333,1.1
31,343,1.15
31,353,1.1
31,363,1.12
31,370,1.15
36,153,1.17
36,163,1.15
36,173,1.2
36,183,1.12
36,193,1.2
36,203,1.15
36,213,1.2
36,223,1.17
36,233,1.15
36,243,1.17
36,253,1.2
36,263,1.17
36,273,1.15
36,283,1.2
36,293,1.15
36,303,1.2
36,313,1.17
36,323,1.2
36,333,1.17
36,343,1.17
36,353,1.15
36,363,1.17
36,370,1.2
41,153,1.27
41,163,1.25
41,173,1.3
41,183,1.27
41,193,1.25
41,203,1.3
41,213,1.27
41,223,1.3
41,233,1.27
41,243,1.27
41,253,1.3
41,263,1.27
41,273,1.27
41,283,1.33
41,293,1.27
41,303,1.25
41,313,1.3
41,323,1.27
41,333,1.27
41,343,1.25
41,353,1.3
41,363,1.25
41,370,1.3
46,153,1.4
46,163,1.38
46,173,1.38
46,183,1.38
46,193,1.38
46,203,1.35
46,213,1.4
46,223,1.42
46,233,1.35
46,243,1.4
46,253,1.4
46,263,1.4
46,273,1.38
46,283,1.38
46,293,1.38
46,303,1.42
46,313,1.38
46,323,1.4
46,333,1.38
46,343,1.38
46,353,1.38
46,363,1.4
46,370,1.38
51,153,1.52
51,163,1.55
51,173,1.52
51,183,1.52
51,193,1.5
51,203,1.52
51,213,1.52
51,223,1.55
51,233,1.5
51,243,1.52
51,253,1.52
51,263,1.5
51,273,1.5
51,283,1.55
51,293,1.5
51,303,1.55
51,313,1.48
51,323,1.5
51,333,1.5
51,343,1.5
51,353,1.55
51,363,1.5
51,370,1.5
56,153,1.62
56,163,1.6
56,173,1.6
56,183,1.65
56,193,1.62
56,203,1.62
56,213,1.6
56,223,1.62
56,233,1.62
56,243,1.6
56,253,1.62
56,263,1.62
56,273,1.62
56,283,1.65
56,293,1.6
56,303,1.62
56,313,1.6
56,323,1.6
56,333,1.58
56,343,1.58
56,353,1.55
56,363,1.65
56,370,1.6
61,153,1.67
61,163,1.67
61,173,1.7
61,183,1.67
61,193,1.65
61,203,1.67
61,213,1.7
61,223,1.67
61,233,1.7
61,243,1.73
61,253,1.73
61,263,1.67
61,273,1.67
61,283,1.67
61,293,1.7
61,303,1.7
61,313,1.65
61,323,1.73
61,333,1.67
61,343,1.7
61,353,1.7
61,363,1.67
61,370,1.75
66,153,1.83
66,163,1.83
66,173,1.8
66,183,1.85
66,193,1.83
66,203,1.8
66,213,1.85
66,223,1.83
66,233,1.8
66,243,1.83
66,253,1.83
66,263,1.83
66,273,1.83
66,283,1.85
66,293,1.83
66,303,1.8
66,313,1.83
66,323,1.83
66,333,1.83
66,343,1.83
66,353,1.77
66,363,1.85
66,370,1.8
71,153,1.95
71,163,1.95
71,173,1.95
71,183,1.92
71,193,1.9
71,203,1.92
71,213,1.98
71,223,2.0
71,233,1.92
71,243,1.98
71,253,1.98
71,263,1.92
71,273,1.98
71,283,1.98
71,293,1.98
71,303,1.98
71,313,1.95
71,323,1.98
71,333,1.98
71,343,1.95
71,353,1.98
71,363,1.95
71,370,1.92
76,153,2.1
76,163,2.05
76,173,2.08
76,183,2.1
76,193,2.05
76,203,2.08
76,213,2.1
76,223,2.08
76,233,2.1
76,243,2.08
76,253,2.1
76,263,2.08
76,273,2.05
76,283,2.1
76,293,2.05
76,303,2.1
76,313,2.08
76,323,2.08
76,333,2.08
76,343,2.05
76,353,2.1
76,363,2.05
76,370,2.1
81,153,2.17
81,163,2.2
81,173,2.17
81,183,2.25
81,193,2.23
81,203,2.23
81,213,2.23
81,223,2.2
81,233,2.25
81,243,2.27
81,253,2.2
81,263,2.17
81,273,2.23
81,283,2.17
81,293,2.2
81,303,2.23
81,313,2.23
81,323,2.25
81,333,2.17
81,343,2.23
81,353,2.15
81,363,2.2
81,370,2.17
86,153,2.33
86,163,2.3
86,173,2.33
86,183,2.38
86,193,2.35
86,203,2.33
86,213,2.3
86,223,2.35
86,233,2.33
86,243,2.33
86,253,2.35
86,263,2.35
86,273,2.38
86,283,2.3
86,293,2.35
86,303,2.33
86,313,2.33
86,323,2.3
86,333,2.33
86,343,2.27
86,353,2.33
86,363,2.33
86,370,2.33
91,153,2.52
91,163,2.48
91,173,2.48
91,183,2.45
91,193,2.48
91,203,2.5
91,213,2.48
91,223,2.48
91,233,2.5
91,243,2.52
91,253,2.5
91,263,2.52
91,273,2.52
91,283,2.52
91,293,2.55
91,303,2.5
91,313,2.48
91,323,2.52
91,333,2.52
91,343,2.5
91,353,2.52
91,363,2.55
91,370,2.52
96,153,2.62
96,163,2.65
96,173,2.65
96,183,2.62
96,193,2.6
96,203,2.65
96,213,2.62
96,223,2.62
96,233,2.6
96,243,2.65
96,253,2.6
96,263,2.65
96,273,2.6
96,283,2.62
96,293,2.65
96,303,2.65
96,313,2.62
96,323,2.6
96,333,2.65
96,343,2.6
96,353,2.65
96,363,2.6
96,370,2.62
101,153,2.8
101,163,2.85
101,173,2.8
101,183,2.85
101,193,2.8
101,203,2.83
101,213,2.8
101,223,2.8
101,233,2.83
101,243,2.85
101,253,2.83
101,263,2.83
101,273,2.8
101,283,2.83
101,293,2.83
101,303,2.85
101,313,2.8
101,323,2.85
101,333,2.77
101,343,2.85
101,353,2.83
101,363,2.85
101,370,2.83
106,153,3.02
106,163,2.98
106,173,2.98
106,183,2.98
106,193,2.98
106,203,2.98
106,213,2.98
106,223,2.95
106,233,2.98
106,243,3.02
106,253,2.95
106,263,3.0
106,273,2.98
106,283,3.0
106,293,2.98
106,303,2.98
106,313,2.98
106,323,3.0
106,333,2.98
106,343,3.02
106,353,2.98
106,363,2.98
106,370,2.98
111,153,3.23
111,163,3.2
111,173,3.15
111,183,3.23
111,193,3.15
111,203,3.2
111,213,3.15
111,223,3.23
111,233,3.2
111,243,3.23
111,253,3.25
111,263,3.2
111,273,3.2
111,283,3.15
111,293,3.23
111,303,3.17
111,313,3.23
111,323,3.23
111,333,3.15
111,343,3.25
111,353,3.2
111,363,3.2
111,370,3.23
116,153,3.23
116,163,3.25
116,173,3.25
116,183,3.27
116,193,3.3
116,203,3.25
116,213,3.27
116,223,3.2
116,233,3.27
116,243,3.27
116,253,3.27
116,263,3.27
116,273,3.27
116,283,3.27
116,293,3.23
116,303,3.27
116,313,3.33
116,323,3.25
116,333,3.3
116,343,3.27
116,353,3.23
116,363,3.27
116,370,3.33
121,153,3.38
121,163,3.4
121,173,3.38
121,183,3.4
121,193,3.38
121,203,3.4
121,213,3.42
121,223,3.42
121,233,3.42
121,243,3.42
121,253,3.42
121,263,3.38
121,273,3.35
121,283,3.42
121,293,3.38
121,303,3.42
121,313,3.38
121,323,3.4
121,333,3.38
121,343,3.42
121,353,3.4
121,363,3.38
121,370,3.45
126,153,3.62
126,163,3.6
126,173,3.58
126,183,3.55
126,193,3.6
126,203,3.55
126,213,3.58
126,223,3.58
126,233,3.6
126,243,3.58
126,253,3.55
126,263,3.58
126,273,3.6
126,283,3.58
126,293,3.6
126,303,3.58
126,313,3.58
126,323,3.55
126,333,3.6
126,343,3.55
126,353,3.58
126,363,3.58
126,370,3.58
131,153,3.85
131,163,3.83
131,173,3.88
131,183,3.83
131,193,3.88
131,203,3.83
131,213,3.83
131,223,3.83
131,233,3.83
131,243,3.85
131,253,3.85
131,263,3.8
131,273,3.85
131,283,3.83
131,293,3.85
131,303,3.8
131,313,3.85
131,323,3.83
131,333,3.8
131,343,3.8
131,353,3.83
131,363,3.83
131,370,3.85
136,153,4.07
136,163,4.07
136,173,4.05
136,183,4.03
136,193,4.07
136,203,4.07
136,213,4.07
136,223,4.07
136,233,4.07
136,243,4.07
136,253,4.1
136,263,4.05
136,273,4.1
136,283,4.05
136,293,4.07
136,303,4.07
136,313,4.03
136,323,4.1
136,333,4.05
136,343,4.07
136,353,4.03
136,363,4.07
136,370,4.07
141,153,4.25
141,163,4.28
141,173,4.28
141,183,4.28
141,193,4.28
141,203,4.25
141,213,4.22
141,223,4.25
141,233,4.22
141,243,4.28
141,253,4.22
141,263,4.3
141,273,4.25
141,283,4.22
141,293,4.28
141,303,4.22
141,313,4.28
141,323,4.2
141,333,4.25
141,343,4.25
141,353,4.25
141,363,4.25
141,370,4.28
146,153,4.45
146,163,4.4
146,173,4.43
146,183,4.43
146,193,4.45
146,203,4.4
146,213,4.45
146,223,4.4
146,233,4.43
146,243,4.43
146,253,4.45
146,263,4.43
146,273,4.4
146,283,4.47
146,293,4.43
146,303,4.4
146,313,4.45
146,323,4.4
146,333,4.45
146,343,4.4
146,353,4.47
146,363,4.43
146,370,4.43
151,153,4.62
151,163,4.6
151,173,4.62
151,183,4.55
151,193,4.6
151,203,4.57
151,213,4.62
151,223,4.65
151,233,4.6
151,243,4.62
151,253,4.62
151,263,4.65
151,273,4.6
151,283,4.65
151,293,4.57
151,303,4.65
151,313,4.6
151,323,4.6
151,333,4.6
