bri,mired,watt
1,153,0.78
1,163,0.74
1,173,0.77
1,183,0.81
1,193,0.81
1,203,0.78
1,213,0.72
1,223,0.71
1,233,0.71
1,243,0.81
1,253,0.78
1,263,0.75
1,273,0.79
1,283,0.75
1,293,0.77
1,303,0.71
1,313,0.77
1,323,0.76
1,333,0.7
1,343,0.75
1,353,0.76
1,363,0.83
1,370,0.77
6,153,0.95
6,163,1.04
6,173,1.04
6,183,1.1
6,193,1.15
6,203,1.21
6,213,1.16
6,223,1.22
6,233,1.27
6,243,1.27
6,253,1.29
6,263,1.25
6,273,1.32
6,283,1.3
6,293,1.15
6,303,1.28
6,313,1.2
6,323,1.22
6,333,1.2
6,343,1.25
6,353,1.23
6,363,1.16
6,370,1.12
11,153,1.01
11,163,1.12
11,173,1.13
11,183,1.09
11,193,1.17
11,203,1.1
11,213,1.23
11,223,1.16
11,233,1.21
11,243,1.35
11,253,1.25
11,263,1.21
11,273,1.38
11,283,1.24
11,293,1.17
11,303,1.24
11,313,1.26
11,323,1.27
11,333,1.23
11,343,1.22
11,353,1.2
11,363,1.16
11,370,1.26
16,153,1.15
16,163,1.05
16,173,1.08
16,183,1.08
16,193,1.13
16,203,1.17
16,213,1.18
16,223,1.25
16,233,1.14
16,243,1.2
16,253,1.24
16,263,1.3
16,273,1.27
16,283,1.25
16,293,1.22
16,303,1.2
16,313,1.24
16,323,1.22
16,333,1.26
16,343,1.18
16,353,1.21
16,363,1.2
16,370,1.22
21,153,1.12
21,163,1.09
21,173,1.09
21,183,1.14
21,193,1.19
21,203,1.15
21,213,1.23
21,223,1.24
21,233,1.25
21,243,1.29
21,253,1.42
21,263,1.27
21,273,1.29
21,283,1.23
21,293,1.31
21,303,1.22
21,313,1.24
21,323,1.28
21,333,1.29
21,343,1.28
21,353,1.25
21,363,1.3
21,370,1.2
26,153,1.05
26,163,1.13
26,173,1.14
26,183,1.1
26,193,1.21
26,203,1.22
26,213,1.24
26,223,1.19
26,233,1.29
26,243,1.25
26,253,1.34
26,263,1.27
26,273,1.28
26,283,1.29
26,293,1.3
26,303,1.29
26,313,1.25
26,323,1.21
26,333,1.17
26,343,1.21
26,353,1.29
26,363,1.26
26,370,1.26
31,153,1.2
31,163,1.12
31,173,1.14
31,183,1.22
31,193,1.21
31,203,1.25
31,213,1.24
31,223,1.29
31,233,1.26
31,243,1.32
31,253,1.31
31,263,1.38
31,273,1.38
31,283,1.3
31,293,1.24
31,303,1.42
31,313,1.28
31,323,1.34
31,333,1.32
31,343,1.24
31,353,1.44
31,363,1.24
31,370,1.21
36,153,1.23
36,163,1.17
36,173,1.15
36,183,1.2
36,193,1.1
36,203,1.25
36,213,1.32
36,223,1.17
36,233,1.38
36,243,1.33
36,253,1.35
36,263,1.38
36,273,1.4
36,283,1.38
36,293,1.36
36,303,1.26
36,313,1.31
36,323,1.37
36,333,1.27
36,343,1.33
36,353,1.32
36,363,1.33
36,370,1.33
41,153,1.21
41,163,1.15
41,173,1.16
41,183,1.25
41,193,1.19
41,203,1.26
41,213,1.33
41,223,1.36
41,233,1.31
41,243,1.42
41,253,1.42
41,263,1.42
41,273,1.45
41,283,1.39
