bri,mired,watt
1,158,0.6
1,168,0.62
1,178,0.62
1,188,0.55
1,198,0.59
1,208,0.52
1,218,0.6
1,228,0.57
1,238,0.53
1,248,0.61
1,258,0.49
1,268,0.59
1,278,0.65
1,288,0.61
1,298,0.6
1,308,0.52
1,318,0.58
1,328,0.56
1,338,0.57
1,348,0.56
1,358,0.55
1,368,0.52
1,378,0.47
1,388,0.57
1,398,0.61
1,408,0.6
1,418,0.65
1,428,0.54
1,438,0.59
1,448,0.66
1,458,0.63
1,468,0.6
1,478,0.58
1,488,0.61
1,495,0.56
6,158,0.59
6,168,0.78
6,178,0.73
6,188,0.69
6,198,0.79
6,208,0.68
6,218,0.73
6,228,0.68
6,238,0.74
6,248,0.73
6,258,0.7
6,268,0.76
6,278,0.79
6,288,0.74
6,298,0.68
6,308,0.83
6,318,0.78
6,328,0.69
6,338,0.7
6,348,0.64
6,358,0.65
6,368,0.71
6,378,0.77
6,388,0.75
6,398,0.73
6,408,0.74
6,418,0.78
6,428,0.8
6,438,0.71
6,448,0.76
6,458,0.74
6,468,0.73
6,478,0.73
6,488,0.72
6,495,0.75
11,158,0.79
11,168,0.96
11,178,0.87
11,188,0.89
11,198,0.9
11,208,0.86
11,218,0.94
11,228,0.94
11,238,0.89
11,248,0.9
11,258,0.89
11,268,0.97
11,278,0.94
11,288,0.87
11,298,0.9
11,308,0.9
11,318,0.94
11,328,0.91
11,338,0.91
11,348,0.94
11,358,0.93
11,368,0.98
11,378,0.93
11,388,0.93
11,398,0.91
11,408,0.93
11,418,0.91
11,428,0.91
11,438,0.91
11,448,0.93
11,458,0.91
11,468,0.89
11,478,0.9
11,488,0.91
11,495,0.89
16,158,0.88
16,168,1.03
16,178,1.12
16,188,1.03
16,198,1.09
16,208,1.11
16,218,1.07
16,228,1.09
16,238,1.07
16,248,1.06
16,258,1.12
16,268,1.08
16,278,1.08
16,288,1.09
16,298,1.08
16,308,1.1
16,318,1.06
16,328,1.11
16,338,1.03
16,348,1.09
16,358,1.1
16,368,1.06
16,378,1.07
16,388,1.04
16,398,1.09
16,408,1.13
16,418,1.04
16,428,1.06
16,438,1.15
16,448,1.18
16,458,1.08
16,468,1.07
16,478,1.13
16,488,1.12
16,495,1.04
21,158,1.07
21,168,1.28
21,178,1.29
21,188,1.23
21,198,1.31
21,208,1.32
21,218,1.28
21,228,1.23
21,238,1.23
21,248,1.27
21,258,1.25
21,268,1.22
21,278,1.21
21,288,1.24
21,298,1.24
21,308,1.18
21,318,1.29
21,328,1.24
21,338,1.21
21,348,1.28
21,358,1.21
21,368,1.32
21,378,1.29
21,388,1.24
21,398,1.3
21,408,1.23
21,418,1.27
21,428,1.33
21,438,1.23
21,448,1.31
21,458,1.29
21,468,1.31
21,478,1.24
21,488,1.21
21,495,1.37
26,158,1.48
26,168,1.49
26,178,1.48
26,188,1.46
26,198,1.42
26,208,1.43
26,218,1.42
26,228,1.43
26,238,1.43
26,248,1.48
26,258,1.43
26,268,1.53
26,278,1.47
26,288,1.42
26,298,1.45
26,308,1.47
26,318,1.42
26,328,1.43
26,338,1.48
26,348,1.37
26,358,1.39
26,368,1.44
26,378,1.43
26,388,1.45
26,398,1.41
26,408,1.38
26,418,1.42
26,428,1.45
26,438,1.38
26,448,1.37
26,458,1.46
26,468,1.44
26,478,1.45
26,488,1.43
26,495,1.42
31,158,1.45
31,168,1.62
31,178,1.68
31,188,1.61
31,198,1.72
31,208,1.64
31,218,1.57
31,228,1.68
31,238,1.6
31,248,1.57
31,258,1.69
31,268,1.63
31,278,1.64
31,288,1.61
31,298,1.66
31,308,1.61
31,318,1.67
31,328,1.64
31,338,1.67
31,348,1.67
31,358,1.61
31,368,1.66
31,378,1.59
31,388,1.62
31,398,1.63
31,408,1.67
31,418,1.61
31,428,1.69
31,438,1.57
31,448,1.54
31,458,1.61
31,468,1.68
31,478,1.63
31,488,1.66
31,495,1.61
36,158,1.57
36,168,1.8
36,178,1.85
36,188,1.76
36,198,1.83
36,208,1.77
36,218,1.85
36,228,1.86
36,238,1.79
36,248,1.73
36,258,1.79
36,268,1.8
36,278,1.75
36,288,1.77
36,298,1.81
36,308,1.82
36,318,1.77
36,328,1.85
36,338,1.78
36,348,1.72
36,358,1.8
36,368,1.84
36,378,1.79
36,388,1.82
36,398,1.75
36,408,1.86
36,418,1.82
36,428,1.81
36,438,1.79
36,448,1.81
36,458,1.78
36,468,1.81
36,478,1.75
36,488,1.79
36,495,1.86
41,158,2.03
41,168,1.98
41,178,1.93
41,188,1.95
41,198,1.97
41,208,1.97
41,218,1.97
41,228,1.91
41,238,2.0
41,248,1.94
41,258,1.96
41,268,1.85
41,278,2.05
41,288,1.97
41,298,1.96
41,308,1.95
41,318,2.05
41,328,1.95
41,338,1.88
41,348,1.99
41,358,1.95
41,368,1.99
41,378,2.0
41,388,1.98
41,398,1.96
41,408,1.91
41,418,1.99
41,428,2.01
41,438,1.94
41,448,1.89
41,458,1.98
41,468,1.93
41,478,1.92
41,488,1.99
41,495,1.95
46,158,1.96
46,168,2.14
46,178,2.18
46,188,2.14
46,198,2.18
46,208,2.12
46,218,2.12
46,228,2.16
46,238,2.17
46,248,2.06
46,258,2.18
46,268,2.12
46,278,2.15
46,288,2.15
46,298,2.08
46,308,2.1
46,318,2.21
46,328,2.08
46,338,2.15
46,348,2.1
46,358,2.1
46,368,2.16
46,378,2.2
46,388,2.14
46,398,2.14
46,408,2.11
46,418,2.13
46,428,2.11
46,438,2.13
46,448,2.19
46,458,2.16
46,468,2.12
46,478,2.2
46,488,2.2
46,495,2.17
51,158,2.13
51,168,2.33
51,178,2.32
51,188,2.34
51,198,2.32
51,208,2.32
51,218,2.36
51,228,2.33
51,238,2.31
51,248,2.3
51,258,2.29
51,268,2.27
51,278,2.36
51,288,2.35
51,298,2.33
51,308,2.32
51,318,2.36
51,328,2.34
51,338,2.33
51,348,2.36
51,358,2.34
51,368,2.31
51,378,2.3
51,388,2.32
51,398,2.28
51,408,2.27
51,418,2.33
51,428,2.31
51,438,2.34
51,448,2.31
51,458,2.25
51,468,2.32
51,478,2.35
51,488,2.32
51,495,2.34
56,158,2.4
56,168,2.56
56,178,2.49
56,188,2.56
56,198,2.54
56,208,2.55
56,218,2.48
56,228,2.51
56,238,2.47
56,248,2.53
56,258,2.49
56,268,2.51
56,278,2.52
56,288,2.43
56,298,2.55
56,308,2.51
56,318,2.59
56,328,2.51
56,338,2.45
56,348,2.44
56,358,2.48
56,368,2.51
56,378,2.51
56,388,2.53
56,398,2.48
56,408,2.53
56,418,2.49
56,428,2.58
56,438,2.54
56,448,2.52
56,458,2.5
56,468,2.5
56,478,2.54
56,488,2.53
56,495,2.53
61,158,2.56
61,168,2.71
61,178,2.67
61,188,2.67
61,198,2.73
61,208,2.74
61,218,2.75
61,228,2.71
61,238,2.65
61,248,2.72
61,258,2.7
61,268,2.64
61,278,2.66
61,288,2.65
61,298,2.74
61,308,2.74
61,318,2.7
61,328,2.67
61,338,2.68
61,348,2.71
61,358,2.69
61,368,2.66
61,378,2.66
61,388,2.64
61,398,2.65
61,408,2.71
61,418,2.7
61,428,2.69
61,438,2.71
61,448,2.76
61,458,2.72
61,468,2.72
61,478,2.7
61,488,2.73
61,495,2.69
66,158,2.71
66,168,2.83
66,178,2.88
66,188,2.93
66,198,2.82
66,208,2.85
66,218,2.85
66,228,2.91
66,238,2.9
66,248,2.86
66,258,2.86
66,268,2.86
66,278,2.91
66,288,2.91
66,298,2.88
66,308,2.91
