bri,mired,watt
1,153,1.11
1,163,1.15
1,173,1.18
1,183,1.15
1,193,1.1
1,203,1.09
1,213,1.15
1,223,1.14
1,233,1.08
1,243,1.18
1,253,1.13
1,263,1.05
1,273,1.09
1,283,1.16
1,293,1.04
1,303,1.11
1,313,1.08
1,323,1.12
1,333,1.05
1,343,1.08
1,353,1.1
1,363,1.12
1,370,1.08
6,153,1.2
6,163,1.19
6,173,1.11
6,183,1.13
6,193,1.2
6,203,1.18
6,213,1.1
6,223,1.17
6,233,1.14
6,243,1.16
6,253,1.1
6,263,1.09
6,273,1.17
6,283,1.2
6,293,1.11
6,303,1.14
6,313,1.15
6,323,1.19
6,333,1.31
6,343,1.17
6,353,1.28
6,363,1.19
6,370,1.19
11,153,1.25
11,163,1.2
11,173,1.15
11,183,1.11
11,193,1.17
11,203,1.16
11,213,1.15
11,223,1.13
11,233,1.16
11,243,1.17
11,253,1.26
11,263,1.15
11,273,1.23
11,283,1.06
11,293,1.11
11,303,1.16
11,313,1.12
11,323,1.12
11,333,1.09
11,343,1.09
11,353,1.18
11,363,1.16
11,370,1.15
16,153,1.13
16,163,1.14
16,173,1.17
16,183,1.2
16,193,1.15
16,203,1.19
16,213,1.17
16,223,1.13
16,233,1.14
16,243,1.15
16,253,1.04
16,263,1.17
16,273,1.22
16,283,1.14
16,293,1.26
16,303,1.23
16,313,1.13
16,323,1.23
16,333,1.15
16,343,1.13
16,353,1.1
16,363,1.1
16,370,1.2
21,153,1.16
21,163,1.13
21,173,1.13
21,183,1.18
21,193,1.18
21,203,1.18
21,213,1.27
21,223,1.28
21,233,1.22
21,243,1.19
21,253,1.21
21,263,1.14
21,273,1.16
21,283,1.14
21,293,1.27
21,303,1.19
21,313,1.12
21,323,1.13
21,333,1.31
21,343,1.07
21,353,1.11
21,363,1.21
21,370,1.08
26,153,1.19
26,163,1.16
26,173,1.18
26,183,1.17
26,193,1.22
26,203,1.16
26,213,1.25
26,223,1.14
26,233,1.3
26,243,1.24
26,253,1.22
26,263,1.16
26,273,1.18
26,283,1.24
26,293,1.18
26,303,1.12
26,313,1.16
26,323,1.21
26,333,1.15
26,343,1.16
26,353,1.1
26,363,1.19
26,370,1.16
31,153,1.17
31,163,1.27
31,173,1.23
31,183,1.31
31,193,1.17
31,203,1.23
31,213,1.18
31,223,1.18
31,233,1.2
31,243,1.2
31,253,1.13
31,263,1.2
31,273,1.21
