bri,mired,watt
1,111,0.53
1,121,0.51
1,131,0.51
1,141,0.48
1,151,0.51
1,161,0.51
1,171,0.48
1,181,0.48
1,191,0.49
1,201,0.51
1,211,0.51
1,221,0.48
1,231,0.49
1,241,0.51
1,251,0.5
1,261,0.48
1,271,0.42
1,281,0.46
1,291,0.43
1,301,0.45
1,311,0.37
1,321,0.25
1,331,0.24
1,341,0.22
1,351,0.23
1,361,0.24
1,371,0.2
1,381,0.22
1,391,0.22
1,401,0.23
1,411,0.22
1,421,0.19
1,431,0.23
1,441,0.23
1,451,0.21
1,461,0.15
1,471,0.2
1,481,0.18
1,491,0.21
1,500,0.2
6,111,0.19
6,121,0.2
6,131,0.19
6,141,0.23
6,151,0.25
6,161,0.25
6,171,0.21
6,181,0.21
6,191,0.24
6,201,0.22
6,211,0.21
6,221,0.22
6,231,0.22
6,241,0.25
6,251,0.22
6,261,0.23
6,271,0.26
6,281,0.25
6,291,0.25
6,301,0.21
6,311,0.24
6,321,0.27
6,331,0.22
6,341,0.22
6,351,0.22
6,361,0.17
6,371,0.2
6,381,0.25
6,391,0.24
6,401,0.21
6,411,0.22
6,421,0.22
6,431,0.22
6,441,0.22
6,451,0.21
6,461,0.22
6,471,0.23
6,481,0.25
6,491,0.23
6,500,0.22
11,111,0.22
11,121,0.25
11,131,0.22
11,141,0.21
11,151,0.22
11,161,0.22
11,171,0.27
11,181,0.26
11,191,0.26
11,201,0.25
11,211,0.24
11,221,0.22
11,231,0.26
11,241,0.23
11,251,0.22
11,261,0.28
11,271,0.28
11,281,0.26
11,291,0.24
11,301,0.25
11,311,0.24
11,321,0.25
11,331,0.25
11,341,0.22
11,351,0.22
11,361,0.2
11,371,0.23
11,381,0.25
11,391,0.22
11,401,0.24
11,411,0.21
11,421,0.22
11,431,0.22
11,441,0.22
11,451,0.25
11,461,0.21
11,471,0.21
11,481,0.22
11,491,0.21
11,500,0.21
16,111,0.24
16,121,0.21
16,131,0.25
16,141,0.31
16,151,0.31
16,161,0.31
16,171,0.28
16,181,0.29
16,191,0.3
16,201,0.24
16,211,0.29
16,221,0.24
16,231,0.29
16,241,0.29
16,251,0.29
16,261,0.3
16,271,0.27
16,281,0.29
16,291,0.25
16,301,0.29
16,311,0.28
16,321,0.28
16,331,0.33
16,341,0.32
16,351,0.31
16,361,0.29
16,371,0.29
16,381,0.32
16,391,0.25
16,401,0.25
16,411,0.31
16,421,0.3
16,431,0.3
16,441,0.26
16,451,0.28
16,461,0.24
16,471,0.28
16,481,0.28
16,491,0.27
16,500,0.32
21,111,0.28
21,121,0.28
21,131,0.32
21,141,0.32
21,151,0.32
21,161,0.34
21,171,0.28
21,181,0.31
21,191,0.31
21,201,0.31
21,211,0.31
21,221,0.28
21,231,0.32
21,241,0.29
21,251,0.3
21,261,0.32
21,271,0.3
21,281,0.34
21,291,0.34
21,301,0.34
21,311,0.36
21,321,0.36
21,331,0.36
21,341,0.33
21,351,0.32
21,361,0.27
21,371,0.33
21,381,0.32
21,391,0.32
21,401,0.33
21,411,0.32
21,421,0.3
21,431,0.33
21,441,0.29
21,451,0.33
21,461,0.34
21,471,0.28
21,481,0.33
21,491,0.31
21,500,0.33
26,111,0.37
26,121,0.37
26,131,0.34
26,141,0.31
26,151,0.33
26,161,0.36
26,171,0.35
26,181,0.36
26,191,0.33
26,201,0.33
26,211,0.33
26,221,0.33
26,231,0.33
26,241,0.34
26,251,0.37
26,261,0.37
26,271,0.32
26,281,0.33
26,291,0.34
26,301,0.38
26,311,0.41
26,321,0.38
26,331,0.39
26,341,0.38
26,351,0.36
26,361,0.35
26,371,0.31
26,381,0.34
26,391,0.32
26,401,0.27
26,411,0.31
26,421,0.32
26,431,0.33
26,441,0.33
26,451,0.33
26,461,0.3
26,471,0.27
26,481,0.34
26,491,0.31
26,500,0.35
31,111,0.37
31,121,0.39
31,131,0.36
31,141,0.4
31,151,0.38
31,161,0.39
31,171,0.36
31,181,0.4
31,191,0.37
31,201,0.37
31,211,0.38
31,221,0.38
31,231,0.36
31,241,0.36
31,251,0.38
31,261,0.35
31,271,0.34
31,281,0.37
31,291,0.4
31,301,0.37
31,311,0.39
31,321,0.36
31,331,0.35
31,341,0.38
31,351,0.39
31,361,0.38
31,371,0.32
31,381,0.37
31,391,0.35
31,401,0.32
31,411,0.34
31,421,0.34
31,431,0.33
31,441,0.35
31,451,0.3
31,461,0.33
31,471,0.33
31,481,0.29
31,491,0.32
31,500,0.33
36,111,0.37
36,121,0.38
36,131,0.38
36,141,0.41
36,151,0.4
36,161,0.37
36,171,0.34
36,181,0.35
36,191,0.38
36,201,0.36
36,211,0.37
36,221,0.31
36,231,0.31
36,241,0.34
36,251,0.36
36,261,0.39
36,271,0.35
36,281,0.34
36,291,0.33
36,301,0.41
36,311,0.41
36,321,0.4
36,331,0.37
36,341,0.35
36,351,0.37
36,361,0.39
36,371,0.35
36,381,0.37
36,391,0.37
36,401,0.31
36,411,0.3
36,421,0.36
36,431,0.29
36,441,0.29
36,451,0.29
36,461,0.31
36,471,0.29
36,481,0.29
36,491,0.29
36,500,0.29
41,111,0.34
41,121,0.38
41,131,0.38
41,141,0.39
41,151,0.38
41,161,0.37
41,171,0.36
41,181,0.36
41,191,0.36
41,201,0.37
41,211,0.36
41,221,0.32
41,231,0.35
41,241,0.33
41,251,0.28
