bri,mired,watt
1,153,0.65
1,163,0.6
1,173,0.65
1,183,0.7
1,193,0.65
1,203,0.6
1,213,0.7
1,223,0.7
1,233,0.6
1,243,0.7
1,253,0.7
1,263,0.7
1,273,0.6
1,283,0.7
1,293,0.6
1,303,0.6
1,313,0.6
1,323,0.7
1,333,0.6
1,343,0.7
1,353,0.7
1,363,0.6
1,370,0.6
6,153,0.6
6,163,0.7
6,173,0.6
6,183,0.6
6,193,0.6
6,203,0.7
6,213,0.6
6,223,0.7
6,233,0.6
6,243,0.7
6,253,0.7
6,263,0.7
6,273,0.6
6,283,0.6
6,293,0.7
6,303,0.6
6,313,0.6
6,323,0.7
6,333,0.6
6,343,0.6
6,353,0.7
6,363,0.6
6,370,0.7
11,153,0.7
11,163,0.6
11,173,0.7
11,183,0.6
11,193,0.7
11,203,0.7
11,213,0.6
11,223,0.7
11,233,0.6
11,243,0.7
11,253,0.7
11,263,0.7
11,273,0.7
11,283,0.6
11,293,0.7
11,303,0.7
11,313,0.7
11,323,0.7
11,333,0.7
11,343,0.6
11,353,0.8
11,363,0.7
11,370,0.7
16,153,0.6
16,163,0.7
16,173,0.6
16,183,0.7
16,193,0.6
16,203,0.7
16,213,0.7
16,223,0.7
16,233,0.6
16,243,0.7
16,253,0.7
16,263,0.7
16,273,0.7
16,283,0.7
16,293,0.7
16,303,0.6
16,313,0.7
16,323,0.6
16,333,0.7
16,343,0.6
16,353,0.7
16,363,0.6
16,370,0.7
21,153,0.6
21,163,0.7
21,173,0.7
21,183,0.7
21,193,0.7
21,203,0.7
21,213,0.7
21,223,0.8
21,233,0.7
21,243,0.8
21,253,0.8
21,263,0.7
21,273,0.7
21,283,0.8
21,293,0.7
21,303,0.7
21,313,0.8
21,323,0.7
21,333,0.8
21,343,0.7
21,353,0.7
21,363,0.8
21,370,0.7
26,153,0.7
26,163,0.7
26,173,0.8
26,183,0.7
26,193,0.7
26,203,0.8
26,213,0.8
26,223,0.8
26,233,0.8
26,243,0.7
26,253,0.7
26,263,0.7
26,273,0.8
26,283,0.7
26,293,0.8
26,303,0.7
26,313,0.7
26,323,0.8
26,333,0.7
26,343,0.8
26,353,0.7
26,363,0.7
26,370,0.8
31,153,0.7
31,163,0.7
31,173,0.7
31,183,0.8
31,193,0.7
31,203,0.7
31,213,0.8
31,223,0.7
31,233,0.7
31,243,0.7
31,253,0.7
31,263,0.7
31,273,0.7
31,283,0.7
31,293,0.8
31,303,0.7
31,313,0.7
31,323,0.8
31,333,0.8
31,343,0.7
31,353,0.8
31,363,0.7
31,370,0.8
36,153,0.8
36,163,0.8
36,173,0.7
36,183,0.7
36,193,0.8
36,203,0.7
36,213,0.8
36,223,0.8
36,233,0.8
36,243,0.7
36,253,0.8
36,263,0.7
36,273,0.8
36,283,0.8
36,293,0.8
36,303,0.8
36,313,0.8
36,323,0.8
36,333,0.7
36,343,0.7
36,353,0.7
36,363,0.7
36,370,0.8
41,153,0.8
41,163,0.7
41,173,0.8
41,183,0.8
41,193,0.8
41,203,0.7
41,213,0.8
