bri,mired,watt
1,153,1.5
1,163,1.5
1,173,1.5
1,183,1.5
1,193,1.5
1,203,1.45
1,213,1.55
1,223,1.5
1,233,1.55
1,243,1.5
1,253,1.55
1,263,1.45
1,273,1.65
1,283,1.55
1,293,1.55
1,303,1.55
1,313,1.45
1,323,1.5
1,333,1.55
1,343,1.45
1,353,1.5
1,363,1.65
1,370,1.55
6,153,1.7
6,163,1.6
6,173,1.7
6,183,1.7
6,193,1.65
6,203,1.7
6,213,1.65
6,223,1.6
6,233,1.65
6,243,1.7
6,253,1.6
6,263,1.75
6,273,1.7
6,283,1.65
6,293,1.65
6,303,1.7
6,313,1.65
6,323,1.6
6,333,1.7
6,343,1.65
6,353,1.65
6,363,1.7
6,370,1.6
11,153,1.85
11,163,1.75
11,173,1.8
11,183,1.85
11,193,1.85
11,203,1.8
11,213,1.85
11,223,1.85
11,233,1.8
11,243,1.8
11,253,1.8
11,263,1.8
11,273,1.8
11,283,1.85
11,293,1.85
11,303,1.85
11,313,1.75
11,323,1.75
11,333,1.85
11,343,1.9
11,353,1.8
11,363,1.85
11,370,1.8
16,153,2.0
16,163,2.0
16,173,1.85
16,183,1.95
16,193,1.9
16,203,1.9
16,213,1.95
16,223,1.95
16,233,1.9
16,243,2.0
16,253,1.9
16,263,1.95
16,273,1.9
16,283,1.9
16,293,1.9
16,303,2.0
16,313,1.9
16,323,1.9
16,333,2.0
16,343,2.0
16,353,1.95
16,363,1.95
16,370,2.0
21,153,2.05
21,163,2.1
21,173,2.05
21,183,2.05
21,193,2.05
21,203,2.05
21,213,2.1
21,223,2.05
21,233,2.05
21,243,2.05
21,253,2.0
21,263,2.15
21,273,2.0
21,283,2.15
21,293,2.1
21,303,2.1
21,313,2.05
21,323,2.05
21,333,2.05
21,343,2.05
21,353,2.1
21,363,2.1
21,370,2.1
26,153,2.2
26,163,2.2
26,173,2.15
26,183,2.2
26,193,2.25
26,203,2.2
26,213,2.2
26,223,2.2
26,233,2.2
26,243,2.25
26,253,2.2
26,263,2.2
26,273,2.2
26,283,2.2
26,293,2.2
26,303,2.25
26,313,2.2
26,323,2.15
26,333,2.25
26,343,2.25
26,353,2.25
26,363,2.2
26,370,2.25
31,153,2.4
31,163,2.35
31,173,2.3
31,183,2.4
31,193,2.25
31,203,2.3
31,213,2.35
31,223,2.35
31,233,2.4
31,243,2.4
31,253,2.4
31,263,2.35
31,273,2.4
31,283,2.3
31,293,2.4
31,303,2.35
31,313,2.35
31,323,2.4
31,333,2.3
31,343,2.35
31,353,2.3
31,363,2.35
31,370,2.4
36,153,2.45
36,163,2.45
36,173,2.6
36,183,2.5
36,193,2.45
36,203,2.5
36,213,2.5
36,223,2.55
36,233,2.45
36,243,2.5
36,253,2.55
36,263,2.5
36,273,2.55
36,283,2.45
36,293,2.45
36,303,2.5
36,313,2.55
36,323,2.45
36,333,2.45
36,343,2.5
36,353,2.45
36,363,2.5
36,370,2.55
41,153,2.65
41,163,2.45
41,173,2.65
41,183,2.6
41,193,2.6
41,203,2.6
41,213,2.55
41,223,2.55
41,233,2.65
41,243,2.65
41,253,2.55
41,263,2.6
41,273,2.65
41,283,2.65
41,293,2.6
41,303,2.7
41,313,2.6
41,323,2.7
41,333,2.65
41,343,2.7
41,353,2.6
41,363,2.65
41,370,2.65
46,153,2.75
46,163,2.8
46,173,2.7
46,183,2.75
46,193,2.8
46,203,2.7
46,213,2.65
46,223,2.75
46,233,2.7
46,243,2.7
46,253,2.7
46,263,2.75
46,273,2.8
46,283,2.75
46,293,2.85
46,303,2.8
46,313,2.75
46,323,2.75
46,333,2.75
46,343,2.8
46,353,2.85
46,363,2.8
46,370,2.7
51,153,2.85
51,163,2.85
51,173,2.9
51,183,2.85
51,193,2.9
51,203,2.85
51,213,2.85
51,223,2.9
51,233,2.95
51,243,3.0
51,253,2.95
51,263,2.9
51,273,2.95
51,283,2.9
51,293,3.0
51,303,2.9
51,313,2.9
51,323,3.0
51,333,2.9
51,343,2.9
51,353,2.95
51,363,2.95
51,370,2.9
56,153,2.95
56,163,3.05
56,173,3.0
56,183,3.0
56,193,3.0
56,203,3.0
56,213,3.0
56,223,3.0
56,233,3.0
56,243,3.1
56,253,3.05
56,263,3.0
56,273,3.0
56,283,3.0
56,293,3.05
56,303,3.05
56,313,3.0
56,323,3.05
56,333,3.1
56,343,3.2
56,353,3.05
56,363,3.15
56,370,3.1
61,153,3.25
61,163,3.15
61,173,3.2
61,183,3.2
61,193,3.2
61,203,3.2
61,213,3.15
61,223,3.25
61,233,3.25
61,243,3.3
61,253,3.25
61,263,3.2
61,273,3.2
61,283,3.2
61,293,3.3
61,303,3.25
61,313,3.2
61,323,3.3
61,333,3.25
61,343,3.2
61,353,3.25
61,363,3.2
61,370,3.2
66,153,3.35
66,163,3.3
66,173,3.3
66,183,3.25
66,193,3.3
66,203,3.3
66,213,3.3
66,223,3.35
66,233,3.3
66,243,3.35
66,253,3.35
66,263,3.35
66,273,3.35
66,283,3.35
66,293,3.4
66,303,3.4
66,313,3.4
66,323,3.35
66,333,3.4
66,343,3.35
66,353,3.4
66,363,3.35
66,370,3.4
71,153,3.55
71,163,3.5
71,173,3.45
71,183,3.45
71,193,3.45
71,203,3.5
71,213,3.4
71,223,3.5
71,233,3.55
71,243,3.5
71,253,3.45
71,263,3.45
71,273,3.5
71,283,3.45
71,293,3.45
71,303,3.45
71,313,3.5
71,323,3.5
71,333,3.45
71,343,3.5
71,353,3.6
71,363,3.5
71,370,3.5
76,153,3.55
76,163,3.55
76,173,3.65
76,183,3.65
76,193,3.6
76,203,3.55
76,213,3.55
76,223,3.65
76,233,3.55
76,243,3.65
76,253,3.6
76,263,3.7
76,273,3.6
76,283,3.65
76,293,3.6
76,303,3.6
76,313,3.6
76,323,3.7
76,333,3.65
76,343,3.65
76,353,3.65
76,363,3.65
76,370,3.6
81,153,3.8
81,163,3.7
81,173,3.7
81,183,3.7
81,193,3.65
81,203,3.7
81,213,3.65
81,223,3.7
81,233,3.7
81,243,3.7
81,253,3.75
81,263,3.75
81,273,3.7
81,283,3.8
81,293,3.7
81,303,3.7
81,313,3.75
81,323,3.75
81,333,3.7
81,343,3.8
81,353,3.8
81,363,3.8
81,370,3.8
86,153,3.75
86,163,3.85
86,173,3.8
86,183,3.8
86,193,3.85
86,203,3.8
86,213,3.85
86,223,3.8
86,233,3.9
86,243,3.9
86,253,3.85
86,263,3.8
86,273,3.8
86,283,3.85
86,293,3.85
86,303,3.85
86,313,3.9
86,323,3.9
86,333,3.9
86,343,3.9
86,353,3.9
86,363,3.85
86,370,3.85
91,153,3.95
91,163,3.95
91,173,3.95
91,183,4.0
91,193,4.0
91,203,3.95
91,213,3.9
91,223,4.0
91,233,3.95
91,243,3.95
91,253,3.9
91,263,4.05
91,273,4.0
91,283,4.0
91,293,4.0
91,303,4.05
91,313,4.0
91,323,4.0
91,333,4.0
91,343,3.95
91,353,3.95
91,363,4.05
91,370,4.05
96,153,4.1
96,163,4.1
96,173,4.1
96,183,4.1
96,193,4.15
96,203,4.1
96,213,4.1
96,223,4.1
96,233,4.1
96,243,4.2
96,253,4.1
96,263,4.2
96,273,4.1
96,283,4.2
96,293,4.15
96,303,4.2
96,313,4.1
96,323,4.2
96,333,4.15
96,343,4.15
96,353,4.15
96,363,4.15
96,370,4.15
101,153,4.25
101,163,4.2
101,173,4.25
101,183,4.3
101,193,4.25
101,203,4.25
101,213,4.2
101,223,4.3
101,233,4.25
101,243,4.3
101,253,4.3
101,263,4.25
