bri,mired,watt
1,153,1.03
1,163,1.47
1,173,1.54
1,183,1.47
1,193,1.4
1,203,1.29
1,213,1.39
1,223,1.3
1,233,1.34
1,243,1.38
1,253,1.28
1,263,1.24
1,273,1.21
1,283,1.45
1,293,1.23
1,303,1.21
1,313,1.3
1,323,1.48
1,333,1.25
1,343,1.29
1,353,1.27
1,363,1.45
1,370,1.28
6,153,1.63
6,163,1.55
6,173,1.62
6,183,1.6
6,193,1.71
6,203,1.43
6,213,1.46
6,223,1.48
6,233,1.66
6,243,1.56
6,253,1.64
6,263,1.58
6,273,1.45
6,283,1.62
6,293,1.6
6,303,1.69
6,313,1.56
6,323,1.58
6,333,1.63
6,343,1.68
6,353,1.54
6,363,1.6
6,370,1.6
11,153,1.75
11,163,1.79
11,173,1.85
11,183,1.82
11,193,1.79
11,203,1.85
11,213,1.77
11,223,1.74
11,233,1.84
11,243,1.8
11,253,1.76
11,263,1.7
11,273,1.84
11,283,1.92
11,293,1.81
11,303,1.81
11,313,1.86
11,323,1.76
11,333,1.73
11,343,1.74
11,353,1.8
11,363,1.77
11,370,1.84
16,153,2.11
16,163,2.09
16,173,2.07
16,183,2.07
16,193,2.05
16,203,2.12
16,213,2.04
16,223,2.02
16,233,2.06
16,243,2.03
16,253,2.04
16,263,1.96
16,273,2.07
16,283,2.09
16,293,2.04
16,303,1.97
16,313,1.95
16,323,1.89
16,333,1.98
16,343,2.01
16,353,2.06
16,363,2.03
16,370,2.03
21,153,2.19
21,163,2.31
21,173,2.26
21,183,2.22
21,193,2.24
21,203,2.34
21,213,2.31
21,223,2.33
21,233,2.19
21,243,2.22
21,253,2.22
21,263,2.18
21,273,2.25
21,283,2.35
21,293,2.31
21,303,2.37
21,313,2.25
21,323,2.25
21,333,2.23
21,343,2.3
21,353,2.27
21,363,2.22
21,370,2.25
26,153,2.59
26,163,2.49
26,173,2.5
26,183,2.55
26,193,2.48
26,203,2.45
26,213,2.45
26,223,2.54
26,233,2.57
26,243,2.49
26,253,2.42
26,263,2.47
26,273,2.38
26,283,2.47
26,293,2.46
26,303,2.43
26,313,2.44
26,323,2.49
26,333,2.43
26,343,2.53
26,353,2.5
26,363,2.51
26,370,2.47
31,153,2.77
31,163,2.73
31,173,2.7
31,183,2.85
31,193,2.74
31,203,2.8
31,213,2.74
31,223,2.75
31,233,2.73
31,243,2.77
31,253,2.78
31,263,2.66
31,273,2.61
31,283,2.71
31,293,2.75
31,303,2.74
31,313,2.73
31,323,2.64
31,333,2.79
31,343,2.7
31,353,2.58
31,363,2.65
31,370,2.62
36,153,2.98
36,163,2.98
36,173,3.0
36,183,2.78
36,193,2.97
36,203,2.9
36,213,2.78
36,223,2.94
36,233,3.02
36,243,2.89
36,253,2.89
36,263,2.88
36,273,2.86
36,283,2.91
36,293,2.8
36,303,2.88
36,313,2.88
36,323,3.01
36,333,2.96
36,343,2.83
36,353,2.83
36,363,3.02
36,370,2.96
41,153,3.1
41,163,3.14
41,173,3.13
41,183,3.15
41,193,3.06
41,203,3.08
41,213,3.08
41,223,3.08
41,233,3.15
41,243,3.18
41,253,3.15
41,263,3.11
41,273,3.07
41,283,3.16
41,293,3.08
41,303,3.17
41,313,3.11
41,323,3.25
41,333,3.14
41,343,3.07
41,353,3.15
41,363,3.13
41,370,3.28
46,153,3.46
46,163,3.4
46,173,3.36
46,183,3.42
46,193,3.33
46,203,3.41
46,213,3.47
46,223,3.42
46,233,3.31
46,243,3.3
46,253,3.41
46,263,3.47
46,273,3.51
46,283,3.38
46,293,3.34
46,303,3.44
46,313,3.41
46,323,3.35
46,333,3.34
46,343,3.36
46,353,3.34
46,363,3.27
46,370,3.54
51,153,3.56
51,163,3.5
51,173,3.48
51,183,3.61
51,193,3.59
51,203,3.57
51,213,3.63
51,223,3.53
51,233,3.66
51,243,3.6
51,253,3.51
51,263,3.43
51,273,3.61
51,283,3.69
51,293,3.63
51,303,3.57
51,313,3.59
51,323,3.4
51,333,3.59
51,343,3.6
51,353,3.76
51,363,3.58
51,370,3.65
56,153,3.95
56,163,3.86
56,173,3.96
56,183,3.79
56,193,3.9
56,203,3.67
56,213,3.81
56,223,3.78
56,233,3.77
56,243,3.83
56,253,3.85
56,263,3.82
56,273,3.75
56,283,3.77
56,293,3.85
56,303,4.0
56,313,3.86
56,323,3.72
56,333,3.83
56,343,3.77
56,353,3.82
56,363,3.84
56,370,3.88
61,153,3.83
61,163,4.15
61,173,4.11
61,183,4.11
61,193,4.09
61,203,4.08
61,213,3.97
61,223,4.16
61,233,4.18
61,243,4.15
