bri,hue,sat,watt
1,1,1,1.23
1,2732,1,1.06
1,5463,1,0.96
1,8194,1,0.99
1,10925,1,1.05
1,13656,1,1.09
1,16387,1,1.05
1,19118,1,0.97
1,21849,1,1.1
1,24580,1,1.04
1,27311,1,1.05
1,30042,1,1.01
1,32773,1,1.09
1,35504,1,1
1,38235,1,0.97
1,40966,1,0.98
1,43697,1,1.07
1,46428,1,0.98
1,49159,1,0.94
1,51890,1,0.89
1,54621,1,0.97
1,57352,1,1.15
1,60083,1,1.08
1,62814,1,0.8
1,65535,1,1.06
1,1,33,0.9
1,2732,33,1.13
1,5463,33,0.91
1,8194,33,1.04
1,10925,33,0.84
1,13656,33,1.03
1,16387,33,0.93
1,19118,33,0.83
1,21849,33,1.04
1,24580,33,0.97
1,27311,33,0.92
1,30042,33,0.82
1,32773,33,1.09
1,35504,33,0.94
1,38235,33,1.01
1,40966,33,1.08
1,43697,33,1.04
1,46428,33,0.82
1,49159,33,0.87
1,51890,33,0.83
1,54621,33,0.86
1,57352,33,0.85
1,60083,33,1.03
1,62814,33,1
1,65535,33,0.93
1,1,65,1
1,2732,65,0.98
1,5463,65,0.96
1,8194,65,0.94
1,10925,65,0.9
1,13656,65,0.9
1,16387,65,0.88
1,19118,65,0.82
1,21849,65,0.89
1,24580,65,0.75
1,27311,65,0.8
1,30042,65,0.9
1,32773,65,0.75
1,35504,65,0.88
1,38235,65,0.78
1,40966,65,0.82
1,43697,65,0.7
1,46428,65,0.85
1,49159,65,0.84
1,51890,65,1.03
1,54621,65,0.89
1,57352,65,0.86
1,60083,65,0.94
1,62814,65,0.89
1,65535,65,0.89
1,1,97,0.9
1,2732,97,0.78
1,5463,97,0.92
1,8194,97,0.86
1,10925,97,0.82
1,13656,97,0.92
1,16387,97,0.89
1,19118,97,0.83
1,21849,97,0.77
1,24580,97,0.84
1,27311,97,0.85
1,30042,97,0.83
1,32773,97,0.85
1,35504,97,0.8
1,38235,97,0.8
1,40966,97,0.74
1,43697,97,0.75
1,46428,97,0.77
1,49159,97,0.8
1,51890,97,0.79
1,54621,97,0.85
1,57352,97,0.94
1,60083,97,0.91
1,62814,97,0.92
1,65535,97,1.01
1,1,129,0.91
1,2732,129,0.98
1,5463,129,0.81
1,8194,129,0.94
1,10925,129,0.93
1,13656,129,0.89
1,16387,129,0.86
1,19118,129,0.77
1,21849,129,0.68
1,24580,129,0.68
1,27311,129,0.71
1,30042,129,0.78
1,32773,129,0.72
1,35504,129,0.8
