bri,mired,watt
1,167,0.53
1,177,0.53
1,187,0.53
1,197,0.5
1,207,0.53
1,217,0.5
1,227,0.53
1,237,0.5
1,247,0.53
1,257,0.5
1,267,0.47
1,277,0.5
1,287,0.53
1,297,0.5
1,307,0.53
1,317,0.47
1,327,0.53
1,333,0.53
6,167,0.53
6,177,0.53
6,187,0.5
6,197,0.53
6,207,0.5
6,217,0.5
6,227,0.53
6,237,0.53
6,247,0.53
6,257,0.5
6,267,0.53
6,277,0.57
6,287,0.53
6,297,0.5
6,307,0.57
6,317,0.5
6,327,0.5
6,333,0.5
11,167,0.53
11,177,0.5
11,187,0.53
11,197,0.5
11,207,0.53
11,217,0.5
11,227,0.53
11,237,0.53
11,247,0.53
11,257,0.53
11,267,0.53
11,277,0.5
11,287,0.5
11,297,0.5
11,307,0.57
11,317,0.5
11,327,0.5
11,333,0.5
16,167,0.53
16,177,0.5
16,187,0.53
16,197,0.47
16,207,0.5
16,217,0.5
16,227,0.5
16,237,0.53
16,247,0.53
16,257,0.5
16,267,0.5
16,277,0.53
16,287,0.57
16,297,0.53
16,307,0.57
16,317,0.57
16,327,0.57
16,333,0.57
21,167,0.57
21,177,0.53
21,187,0.57
21,197,0.53
21,207,0.6
21,217,0.53
21,227,0.53
21,237,0.57
21,247,0.57
21,257,0.57
21,267,0.6
21,277,0.53
21,287,0.53
21,297,0.53
21,307,0.53
21,317,0.57
21,327,0.53
21,333,0.5
26,167,0.57
26,177,0.57
26,187,0.57
26,197,0.57
26,207,0.53
26,217,0.57
26,227,0.6
26,237,0.6
26,247,0.57
26,257,0.63
26,267,0.6
26,277,0.57
26,287,0.6
26,297,0.57
26,307,0.57
26,317,0.57
26,327,0.53
26,333,0.53
31,167,0.53
31,177,0.57
31,187,0.6
31,197,0.53
31,207,0.57
31,217,0.57
31,227,0.6
31,237,0.57
31,247,0.57
31,257,0.57
31,267,0.57
31,277,0.63
31,287,0.6
31,297,0.57
31,307,0.57
31,317,0.57
31,327,0.57
31,333,0.57
36,167,0.57
36,177,0.53
36,187,0.53
36,197,0.53
36,207,0.6
36,217,0.6
36,227,0.6
36,237,0.57
36,247,0.57
36,257,0.57
36,267,0.57
36,277,0.6
36,287,0.6
36,297,0.57
36,307,0.57
36,317,0.6
36,327,0.57
36,333,0.57
41,167,0.57
41,177,0.63
41,187,0.57
41,197,0.6
41,207,0.6
41,217,0.6
41,227,0.6
41,237,0.6
41,247,0.6
41,257,0.6
41,267,0.63
41,277,0.6
41,287,0.6
41,297,0.63
41,307,0.6
41,317,0.57
