bri,mired,watt
1,153,1.15
1,163,1.22
1,173,1.24
1,183,1.23
1,193,1.24
1,203,1.26
1,213,1.19
1,223,1.2
1,233,1.2
1,243,1.17
1,253,1.17
1,263,1.24
1,273,1.17
1,283,1.24
1,293,1.29
1,303,1.27
1,313,1.24
1,323,1.3
1,333,1.27
1,343,1.21
1,353,1.21
1,363,1.24
1,370,1.25
6,153,1.19
6,163,1.22
6,173,1.31
6,183,1.24
6,193,1.24
6,203,1.26
6,213,1.27
6,223,1.22
6,233,1.26
6,243,1.31
6,253,1.25
6,263,1.21
6,273,1.26
6,283,1.26
6,293,1.26
6,303,1.25
6,313,1.22
6,323,1.26
6,333,1.26
6,343,1.3
6,353,1.23
6,363,1.22
6,370,1.26
11,153,1.1
11,163,1.22
11,173,1.27
11,183,1.29
11,193,1.26
11,203,1.28
11,213,1.24
11,223,1.25
11,233,1.21
11,243,1.27
11,253,1.24
11,263,1.22
11,273,1.21
11,283,1.22
11,293,1.24
11,303,1.22
11,313,1.22
11,323,1.26
11,333,1.26
11,343,1.19
11,353,1.17
11,363,1.23
11,370,1.24
16,153,1.13
16,163,1.17
16,173,1.2
16,183,1.19
16,193,1.13
16,203,1.19
16,213,1.15
16,223,1.19
16,233,1.2
16,243,1.17
16,253,1.1
16,263,1.19
16,273,1.14
16,283,1.18
16,293,1.13
16,303,1.17
16,313,1.17
16,323,1.17
16,333,1.21
16,343,1.14
16,353,1.11
16,363,1.17
16,370,1.19
21,153,1.19
21,163,1.19
21,173,1.19
21,183,1.2
21,193,1.22
21,203,1.21
21,213,1.15
21,223,1.24
21,233,1.21
21,243,1.19
21,253,1.22
21,263,1.28
21,273,1.24
21,283,1.17
21,293,1.21
21,303,1.24
21,313,1.21
21,323,1.21
21,333,1.26
21,343,1.24
21,353,1.26
21,363,1.22
21,370,1.21
26,153,1.21
26,163,1.24
26,173,1.21
26,183,1.24
26,193,1.24
26,203,1.22
26,213,1.24
26,223,1.22
26,233,1.24
26,243,1.21
26,253,1.25
26,263,1.21
26,273,1.24
26,283,1.19
26,293,1.21
26,303,1.26
26,313,1.22
26,323,1.29
26,333,1.28
26,343,1.24
26,353,1.27
26,363,1.22
26,370,1.21
31,153,1.17
31,163,1.21
31,173,1.21
31,183,1.21
31,193,1.24
31,203,1.27
31,213,1.23
31,223,1.3
31,233,1.24
31,243,1.28
31,253,1.29
31,263,1.33
31,273,1.26
31,283,1.27
31,293,1.28
31,303,1.28
31,313,1.24
31,323,1.22
31,333,1.26
31,343,1.22
31,353,1.24
31,363,1.26
31,370,1.26
36,153,1.13
36,163,1.21
36,173,1.26
36,183,1.25
36,193,1.25
36,203,1.27
36,213,1.24
36,223,1.27
36,233,1.26
36,243,1.27
36,253,1.27
36,263,1.28
36,273,1.23
36,283,1.3
36,293,1.24
36,303,1.28
36,313,1.06
36,323,1.26
36,333,1.24
36,343,1.27
36,353,1.21
36,363,1.29
36,370,1.24
41,153,1.27
41,163,1.01
41,173,1.22
41,183,1.29
41,193,1.28
41,203,1.31
41,213,1.26
41,223,1.27
41,233,1.34
41,243,1.31
41,253,1.32
41,263,1.24
41,273,1.3
41,283,1.29
41,293,1.28
41,303,1.29
41,313,1.32
41,323,1.26
41,333,1.33
41,343,1.29
41,353,1.26
41,363,1.24
41,370,1.27
46,153,1.27
46,163,1.29
46,173,1.22
46,183,1.19
46,193,1.21
46,203,1.27
46,213,1.28
46,223,1.26
46,233,0.9
46,243,1.28
46,253,1.26
46,263,1.33
46,273,1.34
46,283,1.31
46,293,1.32
46,303,1.35
46,313,1.35
46,323,1.34
46,333,1.31
46,343,1.31
46,353,1.35
46,363,1.32
46,370,1.29
51,153,1.29
51,163,1.29
51,173,1.26
51,183,1.29
51,193,1.26
51,203,1.33
51,213,1.29
51,223,1.33
51,233,1.24
51,243,1.31
51,253,1.38
51,263,1.26
51,273,1.33
51,283,1.31
51,293,1.35
51,303,1.26
51,313,1.32
51,323,1.29
51,333,1.26
51,343,1.3
51,353,1.27
51,363,1.29
51,370,1.28
56,153,1.31
56,163,1.26
56,173,1.31
56,183,1.33
56,193,1.28
56,203,1.29
56,213,1.3
56,223,1.29
56,233,1.31
56,243,1.37
56,253,1.34
56,263,1.29
