bri,hue,sat,watt
1,1,1,1.39
1,2732,1,1.46
1,5463,1,1.46
1,8194,1,1.43
1,10925,1,1.45
1,13656,1,1.39
1,16387,1,1.41
1,19118,1,1.39
1,21849,1,1.48
1,24580,1,1.43
1,27311,1,1.42
1,30042,1,1.45
1,32773,1,1.44
1,35504,1,1.42
1,38235,1,1.4
1,40966,1,1.41
1,43697,1,1.38
1,46428,1,1.4
1,49159,1,1.37
1,51890,1,1.27
1,54621,1,1.36
1,57352,1,1.36
1,60083,1,1.33
1,62814,1,1.36
1,65535,1,1.3
1,1,33,1.29
1,2732,33,1.31
1,5463,33,1.34
1,8194,33,1.33
1,10925,33,1.37
1,13656,33,1.26
1,16387,33,1.33
1,19118,33,1.31
1,21849,33,1.35
1,24580,33,1.34
1,27311,33,1.35
1,30042,33,1.33
1,32773,33,1.33
1,35504,33,1.33
1,38235,33,1.32
1,40966,33,1.38
1,43697,33,1.33
1,46428,33,1.35
1,49159,33,1.33
1,51890,33,1.35
1,54621,33,1.33
1,57352,33,1.4
1,60083,33,1.37
1,62814,33,1.4
1,65535,33,1.36
1,1,65,1.33
1,2732,65,1.39
1,5463,65,1.39
1,8194,65,1.42
1,10925,65,1.43
1,13656,65,1.42
1,16387,65,1.26
1,19118,65,1.02
1,21849,65,1.05
1,24580,65,1.01
1,27311,65,1.04
1,30042,65,1.07
1,32773,65,1.03
1,35504,65,1.04
1,38235,65,1.01
1,40966,65,0.98
1,43697,65,1.0
1,46428,65,0.99
1,49159,65,1.04
1,51890,65,1.04
1,54621,65,0.96
1,57352,65,1.05
1,60083,65,1.01
1,62814,65,0.96
1,65535,65,0.98
1,1,97,0.89
1,2732,97,0.96
1,5463,97,1.03
1,8194,97,0.93
1,10925,97,0.95
1,13656,97,1.01
1,16387,97,0.94
1,19118,97,0.99
1,21849,97,0.97
1,24580,97,0.99
1,27311,97,0.97
1,30042,97,0.99
1,32773,97,1.03
1,35504,97,0.99
1,38235,97,0.96
1,40966,97,1.01
1,43697,97,1.02
1,46428,97,0.96
1,49159,97,0.98
1,51890,97,1.01
1,54621,97,0.96
1,57352,97,1.01
1,60083,97,1.03
1,62814,97,0.97
1,65535,97,0.92
1,1,129,0.95
1,2732,129,1.05
1,5463,129,1.01
1,8194,129,1.06
1,10925,129,1.02
1,13656,129,0.95
1,16387,129,0.99
1,19118,129,0.95
1,21849,129,0.98
1,24580,129,0.99
1,27311,129,1.0
1,30042,129,0.9
1,32773,129,0.89
1,35504,129,0.88
1,38235,129,0.95
1,40966,129,0.98
1,43697,129,0.97
1,46428,129,1.01
1,49159,129,0.99
1,51890,129,0.99
1,54621,129,1.03
1,57352,129,1.04
1,60083,129,1.01
1,62814,129,1.01
1,65535,129,0.99
1,1,161,0.99
1,2732,161,1.03
1,5463,161,1.04
1,8194,161,1.01
1,10925,161,0.96
1,13656,161,1.01
1,16387,161,1.06
1,19118,161,0.97
1,21849,161,1.0
1,24580,161,1.0
1,27311,161,0.97
1,30042,161,0.95
1,32773,161,0.97
1,35504,161,0.95
1,38235,161,0.95
1,40966,161,0.99
1,43697,161,0.95
1,46428,161,0.97
1,49159,161,0.96
1,51890,161,0.92
1,54621,161,0.94
1,57352,161,0.97
1,60083,161,0.99
1,62814,161,0.96
1,65535,161,1.03
1,1,193,0.95
1,2732,193,0.97
1,5463,193,1.02
1,8194,193,0.99
1,10925,193,0.99
1,13656,193,1.03
1,16387,193,0.99
1,19118,193,0.99
1,21849,193,1.01
1,24580,193,1.03
1,27311,193,0.9
1,30042,193,1.01
1,32773,193,1.02
1,35504,193,0.96
1,38235,193,0.96
1,40966,193,0.92
1,43697,193,1.01
1,46428,193,0.95
1,49159,193,0.96
1,51890,193,0.97
1,54621,193,0.94
1,57352,193,0.94
1,60083,193,0.92
1,62814,193,0.9
1,65535,193,0.96
1,1,225,0.98
1,2732,225,0.96
1,5463,225,0.99
1,8194,225,1.02
1,10925,225,0.96
1,13656,225,0.97
1,16387,225,1.05
1,19118,225,1.03
1,21849,225,0.97
1,24580,225,1.01
1,27311,225,0.99
1,30042,225,0.98
1,32773,225,0.96
1,35504,225,0.96
1,38235,225,1.02
1,40966,225,0.99
1,43697,225,0.97
1,46428,225,0.88
1,49159,225,1.01
1,51890,225,0.97
1,54621,225,0.97
1,57352,225,0.94
1,60083,225,0.97
1,62814,225,1.02
1,65535,225,0.89
1,1,255,0.9
1,2732,255,0.88
1,5463,255,0.97
1,8194,255,0.96
1,10925,255,0.93
1,13656,255,0.97
1,16387,255,0.96
1,19118,255,0.92
1,21849,255,0.99
1,24580,255,0.98
1,27311,255,1.06
1,30042,255,1.02
1,32773,255,1.04
1,35504,255,0.96
1,38235,255,0.99
1,40966,255,1.02
1,43697,255,0.96
1,46428,255,1.03
1,49159,255,1.06
1,51890,255,1.02
1,54621,255,1.01
1,57352,255,0.99
1,60083,255,1.02
1,62814,255,0.97
1,65535,255,1.03
33,1,1,1.07
33,2732,1,1.02
33,5463,1,1.1
33,8194,1,1.09
33,10925,1,1.06
33,13656,1,1.07
33,16387,1,1.01
33,19118,1,1.01
33,21849,1,1.08
33,24580,1,1.09
33,27311,1,1.06
33,30042,1,1.04
33,32773,1,1.05
33,35504,1,1.09
33,38235,1,1.14
33,40966,1,1.08
33,43697,1,1.08
33,46428,1,1.02
33,49159,1,1.03
33,51890,1,1.08
33,54621,1,1.02
33,57352,1,1.04
33,60083,1,1.06
33,62814,1,1.06
33,65535,1,1.02
33,1,33,1.06
33,2732,33,1.07
33,5463,33,1.02
33,8194,33,1.05
33,10925,33,1.04
33,13656,33,0.95
33,16387,33,0.97
33,19118,33,1.02
33,21849,33,0.98
33,24580,33,1.04
33,27311,33,0.98
33,30042,33,1.01
33,32773,33,1.0
33,35504,33,1.03
33,38235,33,0.99
33,40966,33,1.0
33,43697,33,0.97
33,46428,33,0.96
33,49159,33,1.0
33,51890,33,1.04
33,54621,33,0.99
33,57352,33,0.97
33,60083,33,0.99
33,62814,33,0.93
33,65535,33,0.99
33,1,65,0.99
33,2732,65,0.97
33,5463,65,0.96
33,8194,65,1.0
33,10925,65,0.99
33,13656,65,1.02
33,16387,65,0.99
33,19118,65,1.0
33,21849,65,0.98
33,24580,65,1.01
33,27311,65,1.01
33,30042,65,1.01
33,32773,65,0.97
33,35504,65,1.01
33,38235,65,0.99
33,40966,65,1.03
33,43697,65,0.99
33,46428,65,0.92
33,49159,65,0.91
33,51890,65,0.89
33,54621,65,0.88
33,57352,65,0.95
33,60083,65,0.97
33,62814,65,1.01
33,65535,65,1.01
33,1,97,0.97
33,2732,97,0.96
33,5463,97,0.99
33,8194,97,0.96
33,10925,97,0.93
33,13656,97,0.92
33,16387,97,0.91
33,19118,97,0.94
33,21849,97,0.94
33,24580,97,0.96
33,27311,97,0.9
33,30042,97,0.96
33,32773,97,0.97
33,35504,97,0.92
33,38235,97,0.92
33,40966,97,0.95
33,43697,97,0.94
33,46428,97,1.02
33,49159,97,0.96
33,51890,97,0.89
33,54621,97,0.9
33,57352,97,0.93
33,60083,97,0.93
33,62814,97,0.98
33,65535,97,0.96
33,1,129,0.99
33,2732,129,1.06
33,5463,129,0.98
33,8194,129,1.03
33,10925,129,1.04
33,13656,129,1.01
33,16387,129,1.02
33,19118,129,0.99
33,21849,129,0.92
33,24580,129,0.98
33,27311,129,0.99
33,30042,129,1.0
33,32773,129,0.99
33,35504,129,1.02
33,38235,129,1.01
33,40966,129,1.02
33,43697,129,1.02
33,46428,129,1.02
33,49159,129,0.97
33,51890,129,0.97
33,54621,129,1.06
33,57352,129,1.04
33,60083,129,1.06
33,62814,129,1.0
33,65535,129,0.97
33,1,161,1.01
33,2732,161,1.01
33,5463,161,0.96
33,8194,161,0.96
33,10925,161,0.99
33,13656,161,0.97
33,16387,161,0.99
33,19118,161,0.96
33,21849,161,0.95
33,24580,161,0.98
33,27311,161,0.96
33,30042,161,1.04
33,32773,161,0.99
33,35504,161,0.94
33,38235,161,0.96
33,40966,161,0.93
33,43697,161,0.98
33,46428,161,1.0
33,49159,161,1.05
33,51890,161,1.02
33,54621,161,1.1
33,57352,161,1.06
33,60083,161,1.09
33,62814,161,1.08
33,65535,161,0.99
33,1,193,1.04
33,2732,193,1.12
33,5463,193,1.06
33,8194,193,0.95
33,10925,193,1.02
33,13656,193,1.03
33,16387,193,1.02
33,19118,193,0.97
33,21849,193,1.01
33,24580,193,1.04
33,27311,193,1.02
33,30042,193,1.01
33,32773,193,0.96
33,35504,193,0.99
33,38235,193,1.01
33,40966,193,1.04
33,43697,193,1.02
33,46428,193,1.06
33,49159,193,1.03
33,51890,193,0.94
33,54621,193,1.06
33,57352,193,0.99
33,60083,193,1.04
33,62814,193,0.97
33,65535,193,1.01
33,1,225,0.97
33,2732,225,1.04
33,5463,225,1.03
33,8194,225,0.98
33,10925,225,1.09
33,13656,225,1.04
33,16387,225,1.06
33,19118,225,1.08
33,21849,225,1.06
33,24580,225,1.04
33,27311,225,1.06
33,30042,225,1.01
33,32773,225,1.03
33,35504,225,1.01
33,38235,225,1.06
33,40966,225,1.06
33,43697,225,1.01
33,46428,225,1.01
33,49159,225,1.08
33,51890,225,0.97
33,54621,225,1.04
33,57352,225,0.99
33,60083,225,0.99
33,62814,225,0.99
33,65535,225,1.04
33,1,255,0.99
33,2732,255,0.95
33,5463,255,1.0
33,8194,255,0.93
33,10925,255,0.99
33,13656,255,0.97
33,16387,255,0.89
33,19118,255,0.96
33,21849,255,0.99
33,24580,255,1.02
33,27311,255,0.94
33,30042,255,0.98
33,32773,255,0.96
33,35504,255,0.99
33,38235,255,0.98
33,40966,255,0.98
33,43697,255,0.93
33,46428,255,1.02
33,49159,255,0.99
33,51890,255,0.96
33,54621,255,1.03
33,57352,255,0.97
33,60083,255,1.03
33,62814,255,0.93
33,65535,255,0.94
65,1,1,1.23
65,2732,1,1.21
65,5463,1,1.25
65,8194,1,1.2
65,10925,1,1.19
65,13656,1,1.19
65,16387,1,1.19
65,19118,1,1.24
65,21849,1,1.16
65,24580,1,1.19
65,27311,1,1.21
65,30042,1,1.21
65,32773,1,1.24
65,35504,1,1.19
65,38235,1,1.21
65,40966,1,1.2
65,43697,1,1.17
65,46428,1,1.19
65,49159,1,1.2
65,51890,1,1.2
65,54621,1,1.17
65,57352,1,1.15
65,60083,1,1.19
65,62814,1,1.15
65,65535,1,1.22
65,1,33,1.12
65,2732,33,1.17
65,5463,33,1.14
65,8194,33,1.12
65,10925,33,1.13
65,13656,33,1.15
65,16387,33,1.1
65,19118,33,1.06
65,21849,33,1.12
65,24580,33,1.09
65,27311,33,1.14
65,30042,33,1.12
65,32773,33,1.14
65,35504,33,1.14
65,38235,33,1.11
65,40966,33,1.13
65,43697,33,1.12
65,46428,33,1.05
65,49159,33,1.13
65,51890,33,1.12
65,54621,33,1.18
65,57352,33,1.12
65,60083,33,1.2
65,62814,33,1.15
65,65535,33,1.14
