bri,watt
1,0.17
2,0.83
3,0.83
4,0.83
5,0.83
6,0.83
7,0.83
8,0.83
9,0.92
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.17
19,1.17
20,1.17
21,1.17
22,1.17
23,1.17
24,1.17
25,1.17
26,1.17
27,1.17
28,1.17
29,1.17
30,1.25
31,1.33
32,1.33
33,1.33
34,1.33
35,1.33
36,1.33
37,1.33
38,1.33
39,1.33
40,1.33
41,1.33
42,1.33
43,1.33
44,1.33
45,1.33
46,1.33
47,1.5
48,1.5
49,1.5
50,1.5
51,1.5
52,1.5
53,1.5
54,1.5
55,1.5
56,1.5
57,1.5
58,1.5
59,1.5
60,1.58
61,1.67
62,1.67
63,1.67
64,1.67
65,1.67
66,1.67
67,1.67
68,1.67
69,1.67
70,1.83
71,1.83
72,1.83
73,1.83
74,1.83
75,1.83
76,1.83
77,1.83
78,2.0
79,2.0
80,2.0
81,2.0
82,2.0
83,2.17
84,2.17
85,2.17
86,2.25
87,2.33
88,2.33
89,2.33
90,2.5
91,2.5
92,2.58
93,2.67
94,2.67
95,2.83
96,2.83
97,2.83
98,3.0
99,3.0
100,3.0
101,3.17
102,3.17
103,3.33
104,3.33
105,3.33
106,3.5
107,3.5
108,3.67
109,3.67
110,3.67
111,3.83
112,3.83
113,4.0
114,4.0
115,4.0
116,4.17
117,4.17
118,4.17
119,4.33
120,4.33
121,4.5
122,4.5
123,4.5
124,4.67
125,4.67
126,4.67
127,4.83
128,4.83
129,4.83
130,5.0
131,5.0
132,5.0
133,5.17
134,5.17
135,5.17
136,5.33
137,5.33
138,5.42
139,5.5
140,5.5
141,5.67
142,5.67
143,5.67
144,5.83
145,5.83
146,5.83
147,5.92
148,6.0
149,6.0
150,6.17
151,6.17
152,6.17
153,6.33
154,6.33
155,6.33
156,6.5
157,6.5
158,6.5
159,6.67
160,6.67
161,6.67
162,6.75
163,6.83
164,6.83
165,7.0
166,7.0
167,7.0
168,7.08
169,7.17
170,7.17
171,7.17
172,7.33
173,7.33
174,7.33
175,7.5
176,7.5
177,7.5
178,7.5
179,7.67
180,7.67
181,7.67
182,7.83
183,7.83
184,7.83
185,7.83
186,8.0
187,8.0
188,8.0
189,8.17
190,8.17
191,8.17
192,8.17
193,8.33
194,8.33
195,8.33
196,8.33
197,8.5
198,8.5
199,8.5
200,8.5
201,8.67
202,8.67
203,8.67
204,8.67
205,8.83
206,8.83
207,8.83
208,8.83
209,9.0
210,9.0
211,9.0
212,9.0
213,9.17
214,9.17
215,9.17
216,9.17
217,9.33
218,9.33
219,9.33
220,9.33
221,9.33
222,9.5
223,9.5
224,9.5
225,9.5
226,9.58
227,9.67
228,9.67
229,9.67
230,9.67
231,9.83
232,9.83
233,9.83
234,9.83
235,9.83
236,10.0
237,10.0
238,10.0
239,10.0
240,10.08
241,10.17
242,10.17
243,10.17
244,10.17
245,10.33
246,10.33
247,10.33
248,10.33
249,10.33
250,10.42
251,10.5
252,10.5
253,10.67
254,10.67
255,10.67
