bri,mired,watt
1,153,0.96
1,163,0.81
1,173,0.81
1,183,0.69
1,193,0.71
1,203,0.88
1,213,0.7
1,223,0.81
1,233,0.87
1,243,0.9
1,253,0.73
1,263,1.01
1,273,0.96
1,283,0.78
1,293,0.66
1,303,0.8
1,313,0.68
1,323,0.85
1,333,0.69
1,343,0.93
1,353,0.8
1,363,0.9
1,370,0.69
6,153,0.81
6,163,1.1
6,173,0.85
6,183,0.94
6,193,0.75
6,203,1.0
6,213,0.78
6,223,0.97
6,233,0.74
6,243,0.99
6,253,0.7
6,263,0.92
6,273,0.72
6,283,0.88
6,293,0.96
6,303,0.82
6,313,1.06
6,323,0.78
6,333,0.91
6,343,0.64
6,353,0.88
6,363,0.61
6,370,0.82
11,153,0.79
11,163,0.94
11,173,0.91
11,183,0.99
11,193,0.93
11,203,1.05
11,213,0.91
11,223,0.99
11,233,0.93
11,243,0.88
11,253,0.68
11,263,0.71
11,273,0.67
11,283,0.92
11,293,0.78
11,303,0.66
11,313,0.74
11,323,0.67
11,333,0.7
11,343,0.67
11,353,0.92
11,363,0.7
11,370,0.76
16,153,0.82
16,163,1.14
16,173,0.9
16,183,1.09
16,193,0.91
16,203,1.06
16,213,0.91
16,223,0.77
16,233,0.93
16,243,0.86
16,253,1.05
16,263,1.07
16,273,0.92
16,283,0.99
16,293,0.91
16,303,1.09
16,313,0.91
16,323,1.1
16,333,0.8
16,343,1.0
16,353,0.84
16,363,0.85
16,370,0.77
21,153,0.89
21,163,0.99
21,173,0.88
21,183,0.95
21,193,1.1
21,203,0.9
21,213,1.19
21,223,1.02
21,233,1.09
21,243,1.02
21,253,0.86
21,263,1.05
21,273,0.84
21,283,1.1
21,293,0.85
21,303,1.02
21,313,0.91
21,323,1.02
21,333,0.84
21,343,1.03
21,353,0.87
21,363,1.16
21,370,0.96
26,153,1.03
26,163,1.37
26,173,1.04
26,183,1.04
26,193,1.13
26,203,1.27
26,213,1.08
26,223,0.97
26,233,1.21
26,243,1.03
26,253,1.26
26,263,0.98
26,273,1.05
26,283,1.25
26,293,1.03
26,303,1.29
