bri,mired,watt
1,143,0.76
1,153,0.88
1,163,0.76
1,173,0.77
1,183,0.76
1,193,0.79
1,203,0.76
1,213,0.87
1,223,0.75
1,233,0.94
1,243,0.78
1,253,0.86
1,263,0.88
1,273,0.82
1,283,0.91
1,293,0.84
1,303,0.78
1,313,0.91
1,323,0.84
1,333,0.86
1,343,0.83
1,344,0.83
6,143,0.93
6,153,1.0
6,163,1.0
6,173,1.13
6,183,1.01
6,193,1.05
6,203,1.01
6,213,1.04
6,223,1.12
6,233,1.04
6,243,1.05
6,253,1.15
6,263,1.11
6,273,1.15
6,283,1.08
6,293,1.15
6,303,1.12
6,313,1.01
6,323,1.03
6,333,1.04
6,343,1.03
6,344,1.1
11,143,1.93
11,153,1.96
11,163,2.02
11,173,2.04
11,183,2.03
11,193,2.11
11,203,2.25
11,213,2.3
11,223,2.91
11,233,3.0
11,243,2.95
11,253,3.07
11,263,2.83
11,273,2.58
11,283,2.57
11,293,2.36
11,303,1.96
11,313,2.1
11,323,2.04
11,333,1.98
11,343,2.07
11,344,1.91
16,143,2.26
16,153,2.48
16,163,2.43
16,173,2.78
16,183,2.74
16,193,3.22
16,203,3.27
16,213,3.6
16,223,3.71
16,233,3.77
16,243,4.03
16,253,3.87
16,263,3.88
16,273,3.69
16,283,3.58
16,293,3.31
16,303,3.06
16,313,2.74
16,323,2.72
16,333,2.6
16,343,2.61
16,344,2.61
21,143,3.34
21,153,3.27
21,163,3.38
21,173,3.3
21,183,3.54
21,193,4.15
21,203,4.4
21,213,4.77
21,223,4.86
21,233,5.04
21,243,5.16
21,253,5.07
21,263,4.95
21,273,4.66
21,283,4.32
21,293,4.25
21,303,4.13
21,313,3.76
21,323,3.42
21,333,3.31
21,343,3.14
21,344,3.22
26,143,3.52
26,153,3.55
26,163,3.67
26,173,4.15
26,183,4.54
26,193,4.97
26,203,5.02
26,213,5.38
26,223,5.48
26,233,5.67
26,243,6.0
26,253,5.92
26,263,5.88
26,273,5.54
26,283,5.33
26,293,4.99
26,303,4.78
26,313,4.46
26,323,3.98
26,333,3.68
26,343,3.65
26,344,3.76
31,143,4.33
31,153,4.32
31,163,4.34
31,173,4.72
31,183,5.06
31,193,5.39
31,203,5.79
31,213,6.2
31,223,6.62
31,233,6.87
31,243,7.11
31,253,6.8
31,263,6.62
31,273,6.34
31,283,6.04
31,293,5.66
31,303,5.29
31,313,4.93
31,323,4.65
31,333,4.25
31,343,4.21
31,344,4.2
36,143,4.27
36,153,4.67
36,163,4.74
36,173,5.26
36,183,5.69
36,193,6.28
36,203,6.66
36,213,7.03
36,223,7.2
36,233,7.51
36,243,7.96
36,253,7.59
36,263,7.47
36,273,7.16
36,283,6.69
36,293,6.43
36,303,6.14
36,313,5.64
36,323,4.98
36,333,4.61
36,343,4.7
36,344,4.61
41,143,5.26
41,153,5.09
41,163,5.32
41,173,5.86
41,183,6.25
41,193,7.24
41,203,7.49
41,213,7.89
41,223,7.93
41,233,8.21
41,243,8.88
41,253,8.49
41,263,8.26
41,273,7.97
41,283,7.54
41,293,7.03
41,303,6.61
41,313,6.13
41,323,5.86
41,333,5.25
41,343,5.22
41,344,5.16
46,143,5.68
46,153,5.7
46,163,6.04
46,173,6.49
46,183,6.96
46,193,7.39
46,203,8.15
46,213,8.47
46,223,8.95
46,233,9.22
46,243,9.63
46,253,9.22
46,263,9.06
46,273,8.74
46,283,8.38
46,293,8.1
46,303,7.51
46,313,7.13
46,323,6.81
46,333,6.45
46,343,5.99
46,344,5.84
51,143,6.06
51,153,6.28
51,163,6.75
51,173,7.25
51,183,7.82
51,193,8.49
51,203,8.64
51,213,9.0
51,223,9.51
51,233,9.95
51,243,10.33
51,253,10.07
51,263,9.48
51,273,9.35
51,283,9.0
51,293,8.7
51,303,8.27
51,313,7.5
51,323,7.1
51,333,6.59
51,343,6.38
51,344,6.36
56,143,6.89
56,153,7.13
56,163,7.37
56,173,7.94
56,183,8.34
56,193,8.93
56,203,9.44
56,213,9.95
56,223,10.33
56,233,10.39
56,243,10.82
56,253,10.83
56,263,10.45
56,273,9.83
56,283,9.51
56,293,9.19
56,303,8.78
56,313,8.35
56,323,7.79
56,333,7.04
56,343,6.53
56,344,6.33
61,143,6.78
61,153,6.89
61,163,7.8
61,173,8.53
61,183,9.08
61,193,9.75
61,203,10.12
61,213,10.42
61,223,10.54
61,233,11.05
61,243,11.42
61,253,11.48
61,263,11.0
61,273,10.36
61,283,10.16
61,293,9.67
61,303,9.26
61,313,9.03
61,323,8.4
61,333,7.99
61,343,7.18
61,344,6.99
66,143,7.64
66,153,7.66
66,163,8.62
66,173,9.26
66,183,9.71
66,193,10.16
66,203,10.8
66,213,10.8
66,223,11.23
66,233,11.73
66,243,12.39
66,253,12.05
66,263,11.47
66,273,11.1
66,283,10.8
66,293,10.45
66,303,9.91
66,313,9.35
