bri,mired,watt
1,143,0.35
1,153,0.43
1,163,0.36
1,173,0.42
1,183,0.44
1,193,0.31
1,203,0.33
1,213,0.37
1,223,0.44
1,233,0.35
1,243,0.37
1,253,0.36
1,263,0.39
1,273,0.31
1,283,0.37
1,293,0.45
1,303,0.52
1,313,0.41
1,323,0.35
1,333,0.36
1,343,0.37
1,344,0.29
6,143,0.48
6,153,0.5
6,163,0.53
6,173,0.48
6,183,0.52
6,193,0.5
6,203,0.53
6,213,0.52
6,223,0.48
6,233,0.5
6,243,0.6
6,253,0.51
6,263,0.54
6,273,0.6
6,283,0.83
6,293,0.9
6,303,0.8
6,313,0.89
6,323,0.59
6,333,0.45
6,343,0.54
6,344,0.48
11,143,0.91
11,153,0.92
11,163,0.96
11,173,0.99
11,183,1.01
11,193,1.01
11,203,1.03
11,213,1.13
11,223,1.15
11,233,1.21
11,243,1.32
11,253,1.29
11,263,1.15
11,273,1.21
11,283,1.1
11,293,1.04
11,303,0.92
11,313,0.95
11,323,0.9
11,333,0.97
11,343,0.94
11,344,0.94
16,143,1.12
16,153,1.18
16,163,1.21
16,173,1.19
16,183,1.35
16,193,1.4
16,203,1.5
16,213,1.51
16,223,1.69
16,233,1.73
16,243,1.76
16,253,1.63
16,263,1.57
16,273,1.58
16,283,1.65
16,293,1.48
16,303,1.38
16,313,1.35
16,323,1.17
16,333,1.21
16,343,1.25
16,344,1.2
21,143,1.52
21,153,1.54
21,163,1.55
21,173,1.67
21,183,1.79
21,193,1.92
21,203,1.98
21,213,2.13
21,223,2.14
21,233,2.32
21,243,2.44
21,253,2.33
21,263,2.17
21,273,2.13
21,283,2.08
21,293,1.92
21,303,1.89
21,313,1.8
21,323,1.7
21,333,1.51
21,343,1.5
21,344,1.55
26,143,1.74
26,153,1.79
26,163,1.92
26,173,1.96
26,183,2.14
26,193,2.24
26,203,2.38
26,213,2.49
26,223,2.59
26,233,2.78
26,243,2.82
26,253,2.7
26,263,2.68
26,273,2.54
26,283,2.43
26,293,2.25
26,303,2.19
26,313,2.01
26,323,1.87
26,333,1.79
26,343,1.77
26,344,1.83
31,143,2.13
31,153,2.07
31,163,2.15
31,173,2.42
31,183,2.46
31,193,2.74
31,203,2.77
31,213,3.02
31,223,3.05
31,233,3.23
31,243,3.37
31,253,3.29
31,263,3.34
31,273,2.99
31,283,2.88
31,293,2.75
31,303,2.6
31,313,2.41
31,323,2.21
31,333,2.03
31,343,2.0
31,344,2.06
36,143,2.25
36,153,2.25
36,163,2.41
36,173,2.73
36,183,2.86
36,193,3.03
36,203,3.21
36,213,3.27
36,223,3.54
36,233,3.6
36,243,3.87
36,253,3.71
36,263,3.58
36,273,3.52
36,283,3.25
36,293,3.05
36,303,2.93
36,313,2.79
36,323,2.5
36,333,2.26
36,343,2.33
36,344,2.28
41,143,2.61
41,153,2.61
41,163,2.81
41,173,3.0
41,183,3.22
41,193,3.43
41,203,3.61
41,213,3.8
41,223,4.03
41,233,4.16
41,243,4.27
41,253,4.25
41,263,4.22
41,273,4.0
41,283,3.71
41,293,3.63
41,303,3.33
41,313,3.09
41,323,2.86
41,333,2.55
41,343,2.58
41,344,2.59
46,143,2.9
46,153,2.96
46,163,3.17
46,173,3.33
46,183,3.65
46,193,3.88
46,203,4.1
46,213,4.27
46,223,4.49
46,233,4.62
46,243,4.91
46,253,4.72
46,263,4.58
46,273,4.38
46,283,4.14
46,293,3.86
46,303,3.79
46,313,3.48
46,323,3.3
46,333,3.04
46,343,2.91
46,344,2.81
51,143,3.12
51,153,3.17
51,163,3.49
51,173,3.76
51,183,3.97
51,193,4.08
51,203,4.45
51,213,4.67
51,223,4.88
51,233,5.08
51,243,5.31
51,253,5.14
51,263,4.96
51,273,4.76
51,283,4.46
51,293,4.37
51,303,4.11
51,313,3.87
51,323,3.63
51,333,3.28
51,343,3.25
51,344,3.2
56,143,3.44
56,153,3.58
56,163,3.83
56,173,4.24
56,183,4.5
56,193,4.76
56,203,4.94
56,213,5.18
56,223,5.4
56,233,5.71
56,243,5.84
56,253,5.67
56,263,5.53
56,273,5.17
56,283,4.93
56,293,4.73
56,303,4.42
56,313,4.09
56,323,3.84
56,333,3.57
56,343,3.41
56,344,3.34
61,143,3.69
61,153,3.8
61,163,3.94
61,173,4.42
61,183,4.59
61,193,5.0
61,203,5.31
61,213,5.62
61,223,5.91
61,233,5.99
61,243,6.14
61,253,6.08
61,263,5.95
61,273,5.62
61,283,5.45
61,293,5.16
61,303,4.86
61,313,4.51
61,323,4.17
61,333,3.73
61,343,3.54
61,344,3.58
66,143,3.93
66,153,4.04
66,163,4.41
66,173,4.68
66,183,5.08
66,193,5.32
66,203,5.67
66,213,5.95
66,223,6.12
66,233,6.47
66,243,6.75
66,253,6.59
66,263,6.24
66,273,6.07
66,283,5.71
66,293,5.41
66,303,5.22
66,313,4.93
66,323,4.76
66,333,4.13
66,343,3.91
66,344,3.81
71,143,4.12
71,153,4.41
71,163,4.7
71,173,5.02
71,183,5.29
71,193,5.66
71,203,5.9
71,213,6.33
71,223,6.6
71,233,6.9
71,243,7.09
71,253,7.05
71,263,6.73
71,273,6.44
71,283,6.0
71,293,5.73
71,303,5.38
71,313,5.1
71,323,4.74
71,333,4.4
71,343,4.11
71,344,4.13
76,143,4.47
76,153,4.68
76,163,4.86
76,173,5.38
76,183,5.71
76,193,6.08
76,203,6.43
76,213,6.82
76,223,7.11
76,233,7.4
76,243,7.73
76,253,7.42
76,263,7.39
76,273,6.9
76,283,6.49
76,293,6.23
76,303,5.68
76,313,5.42
76,323,5.19
76,333,4.83
76,343,4.42
76,344,4.46
81,143,4.71
81,153,4.86
81,163,5.21
81,173,5.61
81,183,5.88
81,193,6.5
81,203,6.79
81,213,7.17
81,223,7.43
81,233,7.75
81,243,8.19
81,253,7.94
81,263,7.59
81,273,7.38
81,283,6.93
81,293,6.6
81,303,6.25
81,313,5.97
81,323,5.38
81,333,4.98
81,343,4.63
81,344,4.55
86,143,5.0
86,153,5.22
86,163,5.59
86,173,6.12
86,183,6.43
86,193,6.85
86,203,7.31
86,213,7.62
86,223,8.07
86,233,8.25
86,243,8.69
86,253,8.52
86,263,8.19
86,273,7.75
86,283,7.36
86,293,7.03
86,303,6.46
86,313,6.17
86,323,5.77
86,333,5.4
86,343,5.06
86,344,5.0
91,143,5.29
91,153,5.49
91,163,5.97
91,173,6.42
91,183,6.83
91,193,7.19
91,203,7.68
91,213,8.08
91,223,8.41
91,233,8.98
91,243,9.23
91,253,8.93
91,263,8.59
91,273,8.45
91,283,7.74
91,293,7.32
91,303,7.0
91,313,6.53
91,323,6.02
91,333,5.59
91,343,5.22
91,344,5.23
96,143,5.52
96,153,5.75
96,163,6.25
96,173,6.76
96,183,7.16
96,193,7.47
96,203,7.92
96,213,8.56
96,223,8.96
96,233,9.36
96,243,9.71
96,253,9.37
96,263,9.01
96,273,8.63
96,283,8.29
96,293,7.7
96,303,7.33
96,313,6.82
96,323,6.33
96,333,5.83
96,343,5.44
96,344,5.47
101,143,5.73
101,153,6.08
101,163,6.57
101,173,6.93
101,183,7.5
101,193,7.99
101,203,8.41
101,213,8.85
101,223,9.34
101,233,9.62
101,243,10.16
101,253,9.84
101,263,9.38
101,273,8.97
101,283,8.61
101,293,8.09
101,303,7.57
101,313,6.99
101,323,6.63
101,333,6.16
101,343,5.61
101,344,5.75
106,143,6.07
106,153,6.4
106,163,6.89
106,173,7.4
106,183,7.83
106,193,8.39
106,203,8.79
106,213,9.14
106,223,9.7
106,233,10.3
106,243,10.61
106,253,10.38
106,263,9.92
106,273,9.39
106,283,8.81
106,293,8.48
106,303,8.13
106,313,7.6
106,323,6.96
106,333,6.4
106,343,6.03
106,344,6.06
111,143,6.17
111,153,6.45
111,163,6.97
111,173,7.51
111,183,8.05
111,193,8.56
111,203,9.23
111,213,9.66
111,223,10.11
111,233,10.59
111,243,11.04
111,253,10.77
111,263,10.3
111,273,9.89
111,283,9.36
111,293,8.84
111,303,8.36
111,313,7.86
111,323,7.16
111,333,6.64
111,343,6.24
111,344,6.15
116,143,6.43
116,153,6.79
116,163,7.36
116,173,7.69
116,183,8.35
116,193,8.95
116,203,9.38
116,213,10.02
116,223,10.51
116,233,10.93
116,243,11.41
116,253,11.07
116,263,10.57
116,273,10.07
116,283,9.61
116,293,9.02
116,303,8.63
116,313,7.92
116,323,7.48
116,333,6.86
116,343,6.39
116,344,6.38
121,143,6.88
121,153,7.04
121,163,7.66
121,173,8.2
121,183,8.62
121,193,9.32
121,203,9.79
121,213,10.39
121,223,10.84
121,233,11.43
121,243,11.88
121,253,11.78
121,263,11.05
121,273,10.52
121,283,9.96
121,293,9.41
121,303,8.98
121,313,8.42
121,323,7.72
121,333,7.25
121,343,6.75
121,344,6.65
126,143,6.88
126,153,7.3
126,163,7.83
126,173,8.54
126,183,9.0
126,193,9.52
126,203,10.21
126,213,10.73
126,223,11.43
126,233,11.71
126,243,12.24
126,253,12.03
126,263,11.46
126,273,10.88
126,283,10.36
126,293,9.81
126,303,9.2
126,313,8.57
126,323,8.04
126,333,7.49
126,343,7.02
126,344,6.93
131,143,7.28
131,153,7.67
131,163,8.28
131,173,8.77
131,183,9.28
131,193,10.03
131,203,10.62
131,213,11.16
131,223,11.79
131,233,12.22
131,243,12.82
131,253,12.51
131,263,12.01
131,273,11.29
131,283,10.75
131,293,10.05
131,303,9.5
131,313,8.97
131,323,8.41
131,333,7.75
131,343,7.33
131,344,7.29
136,143,7.47
136,153,7.85
136,163,8.55
136,173,8.87
136,183,9.76
136,193,10.34
136,203,10.89
136,213,11.52
136,223,12.32
136,233,12.68
136,243,13.14
136,253,12.81
136,263,12.44
136,273,11.92
136,283,11.22
136,293,10.56
136,303,9.84
136,313,9.29
136,323,8.72
136,333,7.9
136,343,7.38
136,344,7.34
141,143,7.66
141,153,8.09
141,163,8.82
141,173,9.31
141,183,10.07
141,193,10.65
141,203,11.5
141,213,11.93
141,223,12.45
141,233,13.18
141,243,13.81
141,253,13.38
141,263,12.89
141,273,12.21
141,283,11.54
141,293,10.88
141,303,10.31
141,313,9.67
141,323,8.99
141,333,8.17
141,343,7.56
141,344,7.69
146,143,7.97
146,153,8.29
146,163,9.06
146,173,9.86
146,183,10.31
146,193,11.18
146,203,11.81
146,213,12.25
146,223,12.93
146,233,13.7
146,243,14.32
146,253,13.89
146,263,13.45
146,273,12.5
146,283,11.96
146,293,11.23
146,303,10.68
146,313,10.13
146,323,9.49
146,333,8.55
146,343,7.93
146,344,7.9
151,143,8.29
151,153,8.82
151,163,9.21
151,173,9.96
151,183,10.77
151,193,11.5
151,203,12.08
151,213,12.79
151,223,13.59
151,233,14.04
151,243,14.62
151,253,14.36
151,263,13.63
151,273,12.93
151,283,12.38
151,293,11.67
151,303,10.95
151,313,10.18
151,323,9.7
151,333,8.83
151,343,8.22
151,344,8.07
156,143,8.42
156,153,8.97
156,163,9.62
156,173,10.31
156,183,11.13
156,193,11.85
156,203,12.48
156,213,13.19
156,223,14.0
156,233,14.64
156,243,15.16
156,253,14.8
156,263,14.14
156,273,13.61
156,283,12.84
156,293,12.0
156,303,11.4
156,313,10.52
156,323,9.9
156,333,9.11
156,343,8.54
156,344,8.43
161,143,8.75
161,153,9.36
161,163,10.0
161,173,10.65
161,183,11.48
161,193,12.2
161,203,12.76
161,213,13.56
161,223,14.41
161,233,15.02
161,243,15.55
161,253,15.04
161,263,14.56
161,273,13.93
161,283,13.2
161,293,12.36
161,303,11.84
161,313,10.97
161,323,10.14
161,333,9.45
161,343,8.9
161,344,8.59
166,143,9.07
166,153,9.6
166,163,10.33
166,173,11.04
166,183,11.72
166,193,12.34
166,203,13.23
166,213,13.91
166,223,14.8
166,233,15.41
166,243,16.07
166,253,15.52
166,263,14.94
166,273,14.38
166,283,13.46
166,293,12.61
166,303,12.09
166,313,11.27
166,323,10.57
166,333,9.95
166,343,8.93
166,344,8.89
171,143,9.2
171,153,9.81
171,163,10.45
171,173,11.43
171,183,12.19
171,193,12.77
171,203,13.68
171,213,14.44
171,223,15.02
171,233,15.69
171,243,16.42
171,253,16.14
171,263,15.5
171,273,14.58
171,283,14.02
171,293,13.14
171,303,12.49
171,313,11.59
171,323,10.73
171,333,9.98
171,343,9.21
171,344,9.16
176,143,9.45
176,153,10.21
176,163,10.88
176,173,11.84
176,183,12.46
176,193,13.16
176,203,14.09
176,213,14.64
176,223,15.45
176,233,16.45
176,243,17.09
176,253,16.51
176,263,15.73
176,273,15.16
176,283,14.44
176,293,13.56
176,303,12.7
176,313,11.9
176,323,11.05
176,333,10.37
176,343,9.66
176,344,9.4
181,143,9.74
181,153,10.5
181,163,11.52
181,173,12.2
181,183,13.05
181,193,13.75
181,203,14.21
181,213,15.17
181,223,15.94
181,233,16.96
181,243,17.45
181,253,16.97
181,263,16.16
181,273,15.46
181,283,14.82
181,293,13.8
181,303,12.92
181,313,12.18
181,323,11.52
181,333,10.56
181,343,9.75
181,344,9.7
186,143,10.0
186,153,10.61
186,163,11.64
186,173,12.36
186,183,13.06
186,193,14.14
186,203,14.78
186,213,15.56
186,223,16.42
186,233,17.38
186,243,17.95
186,253,17.67
186,263,16.71
186,273,15.88
186,283,15.03
186,293,14.39
186,303,13.34
186,313,12.43
186,323,11.94
186,333,10.81
186,343,10.04
186,344,9.98
191,143,10.22
191,153,10.87
191,163,11.82
191,173,12.5
191,183,13.45
191,193,14.4
191,203,15.0
191,213,15.75
191,223,16.93
191,233,17.78
191,243,18.53
191,253,17.92
191,263,17.39
191,273,16.27
191,283,15.4
191,293,14.6
191,303,13.71
191,313,12.86
191,323,12.31
191,333,11.06
191,343,10.25
191,344,10.27
196,143,10.53
196,153,11.2
196,163,12.1
196,173,12.9
196,183,13.73
196,193,14.74
196,203,15.55
196,213,16.5
196,223,17.49
196,233,18.25
196,243,18.86
196,253,18.49
196,263,17.84
196,273,16.84
196,283,15.81
196,293,14.95
196,303,14.32
196,313,13.09
196,323,12.18
196,333,11.55
196,343,10.54
196,344,10.54
201,143,10.71
201,153,11.77
201,163,12.38
201,173,13.22
201,183,14.27
201,193,15.04
201,203,15.91
201,213,16.82
201,223,17.54
201,233,18.48
201,243,19.13
201,253,18.77
201,263,18.17
201,273,17.21
201,283,16.1
201,293,15.3
201,303,14.52
201,313,13.56
201,323,12.54
201,333,11.86
201,343,10.59
201,344,10.75
206,143,11.18
206,153,11.81
206,163,12.57
206,173,13.68
206,183,14.64
206,193,15.31
206,203,16.36
206,213,17.25
206,223,18.13
206,233,18.85
206,243,19.78
206,253,19.25
206,263,18.49
206,273,17.67
206,283,16.8
206,293,15.71
206,303,14.74
206,313,14.04
206,323,12.83
206,333,12.11
206,343,11.02
206,344,10.98
211,143,11.34
211,153,12.09
211,163,12.99
211,173,13.94
211,183,14.7
211,193,15.67
211,203,16.68
211,213,17.77
211,223,18.33
211,233,19.06
211,243,20.24
211,253,19.47
211,263,18.79
211,273,18.09
211,283,16.99
211,293,15.97
211,303,14.94
211,313,14.19
