bri,mired,watt
1,153,1.11
1,163,1.17
1,173,1.16
1,183,1.17
1,193,1.12
1,203,1.17
1,213,1.17
1,223,1.12
1,233,1.17
1,243,1.12
1,253,1.18
1,263,1.17
1,273,1.17
1,283,1.17
1,285,1.13
6,153,1.48
6,163,1.48
6,173,1.48
6,183,1.47
6,193,1.47
6,203,1.47
6,213,1.47
6,223,1.47
6,233,1.47
6,243,1.52
6,253,1.23
6,263,1.22
6,273,1.22
6,283,1.17
6,285,1.27
11,153,1.83
11,163,1.87
11,173,1.77
11,183,1.72
11,193,1.78
11,203,1.83
11,213,1.73
11,223,1.78
11,233,1.83
11,243,1.78
11,253,1.58
11,263,1.57
11,273,1.42
11,283,1.47
11,285,1.4
16,153,2.26
16,163,2.3
16,173,2.25
16,183,2.31
16,193,2.31
16,203,2.3
16,213,2.3
16,223,2.27
16,233,2.33
16,243,2.33
16,253,2.07
16,263,1.87
16,273,1.82
16,283,1.62
16,285,1.57
21,153,2.62
21,163,2.6
21,173,2.62
21,183,2.62
21,193,2.57
21,203,2.62
21,213,2.62
21,223,2.62
21,233,2.66
21,243,2.66
21,253,2.36
21,263,2.31
21,273,2.01
21,283,1.86
21,285,1.86
26,153,2.96
26,163,2.96
26,173,2.96
26,183,3.01
26,193,2.92
26,203,2.96
26,213,2.96
26,223,2.96
26,233,2.96
26,243,2.96
26,253,2.76
26,263,2.66
26,273,2.41
26,283,2.26
26,285,2.02
31,153,3.37
31,163,3.42
31,173,3.47
31,183,3.36
31,193,3.42
31,203,3.47
31,213,3.48
31,223,3.38
31,233,3.42
31,243,3.37
31,253,2.97
31,263,2.73
31,273,2.59
31,283,2.39
31,285,2.39
36,153,3.72
36,163,3.77
36,173,3.72
36,183,3.72
36,193,3.73
36,203,3.72
36,213,3.72
36,223,3.77
36,233,3.76
36,243,3.71
36,253,3.37
36,263,3.22
36,273,2.76
36,283,2.66
36,285,2.66
41,153,4.11
41,163,4.11
41,173,4.13
41,183,4.13
41,193,4.07
41,203,4.08
41,213,4.08
41,223,4.08
