bri,mired,watt
3,153,2.3
3,163,2.25
3,173,2.2
3,183,2.4
3,193,2.1
3,203,2.35
3,213,2.0
3,223,2.15
3,233,2.55
3,243,2.3
3,253,2.1
3,263,2.3
3,273,2.3
3,283,2.4
3,293,2.5
3,303,2.35
3,313,2.15
3,323,2.2
3,333,2.1
3,343,2.25
3,353,2.5
3,363,2.2
3,373,2.1
3,383,2.3
3,393,2.25
3,403,2.1
3,413,2.2
3,423,2.3
3,433,2.3
3,443,2.25
3,453,2.25
3,463,2.3
3,473,2.2
3,483,2.4
3,493,2.3
3,500,2.15
8,153,2.5
8,163,2.5
8,173,2.2
8,183,2.55
8,193,2.45
8,203,2.5
8,213,2.6
8,223,2.4
8,233,2.35
8,243,2.65
8,253,2.45
8,263,2.55
8,273,2.2
8,283,2.5
8,293,2.6
8,303,2.5
8,313,2.6
8,323,2.7
8,333,2.3
8,343,2.4
8,353,2.5
8,363,2.55
8,373,2.6
8,383,2.6
8,393,2.4
8,403,2.6
8,413,2.6
8,423,2.35
8,433,2.45
8,443,2.4
8,453,2.5
8,463,2.6
8,473,2.8
8,483,2.7
8,493,2.5
8,500,2.45
13,153,2.6
13,163,2.7
13,173,2.75
13,183,2.8
13,193,2.7
13,203,2.4
13,213,2.6
13,223,2.7
13,233,2.9
13,243,2.75
13,253,2.7
13,263,2.85
13,273,2.7
13,283,2.9
13,293,2.8
13,303,2.6
13,313,2.7
13,323,2.7
13,333,2.9
13,343,2.7
13,353,2.7
13,363,2.8
13,373,2.75
13,383,2.7
13,393,2.8
13,403,2.6
13,413,2.75
13,423,2.6
13,433,2.6
13,443,2.9
13,453,2.8
13,463,2.5
13,473,2.8
13,483,2.7
13,493,2.8
13,500,2.95
18,153,2.95
18,163,2.9
18,173,3.0
18,183,2.9
18,193,2.7
18,203,2.9
18,213,3.1
18,223,3.1
18,233,3.0
18,243,3.2
18,253,2.95
18,263,3.0
18,273,2.9
18,283,2.9
18,293,3.0
18,303,3.1
18,313,3.1
18,323,3.2
18,333,3.0
18,343,3.0
18,353,3.15
18,363,3.25
18,373,3.0
18,383,3.1
18,393,3.1
18,403,3.1
18,413,3.1
18,423,3.15
18,433,2.95
18,443,3.1
18,453,3.2
18,463,3.2
18,473,3.05
18,483,3.1
18,493,3.0
18,500,3.0
23,153,3.2
23,163,3.4
23,173,3.25
23,183,3.4
23,193,3.3
23,203,3.35
23,213,3.4
