bri,mired,watt
3,153,1.1
3,163,1.6
3,173,1.9
3,183,2.1
3,193,2.0
3,203,1.75
3,213,2.0
3,223,1.9
3,233,1.8
3,243,1.95
3,253,1.8
3,263,1.9
3,273,1.9
3,283,1.8
3,293,2.0
3,303,1.8
3,313,1.8
3,323,1.8
3,333,1.8
3,343,1.8
3,353,1.9
3,363,1.8
3,373,1.8
3,383,1.8
3,393,1.65
3,403,1.8
3,413,1.7
3,423,1.9
3,433,1.8
3,443,1.8
3,453,1.75
3,463,1.9
3,473,1.7
3,483,1.8
3,493,1.85
3,500,1.7
8,153,2.1
8,163,1.9
8,173,2.0
8,183,1.9
8,193,1.95
8,203,1.8
8,213,2.2
8,223,1.6
8,233,2.1
8,243,1.9
8,253,1.9
8,263,1.8
8,273,1.9
8,283,1.8
8,293,1.9
8,303,2.1
8,313,1.8
8,323,2.2
8,333,2.1
8,343,2.1
8,353,1.8
8,363,1.9
8,373,1.9
8,383,2.1
8,393,1.95
8,403,1.8
8,413,1.9
8,423,1.9
8,433,1.85
8,443,1.7
8,453,1.8
8,463,2.3
8,473,2.1
8,483,1.95
8,493,1.9
8,500,2.0
13,153,2.0
13,163,2.0
13,173,2.4
13,183,2.0
13,193,2.0
13,203,2.2
13,213,2.1
13,223,2.05
13,233,2.2
13,243,2.3
13,253,2.0
13,263,2.05
13,273,2.0
13,283,2.1
13,293,2.2
13,303,2.2
13,313,2.1
13,323,2.25
13,333,1.9
13,343,2.0
13,353,2.5
13,363,2.1
13,373,2.1
13,383,2.3
13,393,2.1
13,403,2.25
13,413,2.1
13,423,2.1
13,433,2.15
13,443,2.2
13,453,2.0
13,463,2.0
13,473,2.2
13,483,2.3
13,493,2.3
13,500,2.2
18,153,2.3
18,163,2.4
18,173,2.4
18,183,2.4
18,193,2.3
18,203,2.3
18,213,2.6
18,223,2.4
18,233,2.2
18,243,2.7
18,253,2.3
18,263,2.25
18,273,2.35
18,283,2.3
18,293,2.25
18,303,1.9
18,313,2.2
18,323,2.1
18,333,2.2
18,343,2.4
18,353,2.4
18,363,2.35
18,373,2.4
18,383,2.15
18,393,2.3
18,403,2.3
18,413,2.0
18,423,2.3
18,433,2.3
18,443,2.7
18,453,2.4
18,463,2.2
18,473,2.4
18,483,2.45
18,493,2.45
18,500,2.2
23,153,2.5
23,163,2.45
23,173,2.5
23,183,2.6
23,193,2.5
23,203,2.6
23,213,2.5
23,223,2.4
23,233,2.5
23,243,2.8
23,253,2.4
23,263,2.5
23,273,2.5
23,283,2.5
23,293,2.45
23,303,2.4
23,313,2.6
23,323,2.55
23,333,2.4
23,343,2.3
23,353,2.2
23,363,2.35
23,373,2.4
23,383,2.4
23,393,2.45
23,403,2.45
23,413,2.45
23,423,2.4
23,433,2.5
23,443,2.5
23,453,2.3
23,463,2.3
23,473,2.6
23,483,2.5
23,493,2.65
23,500,2.4
28,153,2.65
28,163,2.6
28,173,2.8
28,183,2.7
28,193,2.8
28,203,2.9
28,213,3.1
28,223,2.55
28,233,3.1
28,243,2.8
28,253,2.8
28,263,2.7
28,273,2.75
28,283,2.7
28,293,2.7
28,303,2.7
28,313,2.8
28,323,2.4
28,333,2.7
28,343,2.9
28,353,2.85
28,363,2.6
28,373,2.6
28,383,2.6
28,393,2.75
28,403,2.6
28,413,2.2
28,423,2.5
28,433,2.6
28,443,2.8
28,453,2.6
28,463,2.5
28,473,2.75
28,483,2.3
28,493,2.6
28,500,2.7
33,153,2.9
33,163,2.8
33,173,3.1
33,183,2.5
33,193,2.8
33,203,2.6
