bri,hue,sat,watt
3,1,1,3.49
3,2732,1,1.43
3,5463,1,1.64
3,8194,1,1.42
3,10925,1,1.41
3,13656,1,1.5
3,16387,1,1.43
3,19118,1,1.48
3,21849,1,1.45
3,24580,1,1.6
3,27311,1,1.74
3,30042,1,1.68
3,32773,1,1.46
3,35504,1,1.88
3,38235,1,1.56
3,40966,1,1.63
3,43697,1,1.38
3,46428,1,1.57
3,49159,1,1.83
3,51890,1,1.4
3,54621,1,1.47
3,57352,1,1.5
3,60083,1,1.48
3,62814,1,1.69
3,65535,1,1.47
3,1,33,1.75
3,2732,33,1.63
3,5463,33,1.5
3,8194,33,1.24
3,10925,33,1.67
3,13656,33,1.33
3,16387,33,1.58
3,19118,33,1.49
3,21849,33,1.69
3,24580,33,1.41
3,27311,33,1.64
3,30042,33,1.52
3,32773,33,1.44
3,35504,33,1.43
3,38235,33,1.44
3,40966,33,1.42
3,43697,33,1.46
3,46428,33,1.55
3,49159,33,1.44
3,51890,33,1.26
3,54621,33,1.48
3,57352,33,1.48
3,60083,33,1.52
3,62814,33,1.64
3,65535,33,1.58
3,1,65,1.29
3,2732,65,1.74
3,5463,65,1.54
3,8194,65,1.54
3,10925,65,1.92
3,13656,65,1.58
3,16387,65,1.64
3,19118,65,1.98
3,21849,65,1.4
3,24580,65,1.9
3,27311,65,1.42
3,30042,65,1.43
3,32773,65,1.49
3,35504,65,1.77
3,38235,65,1.48
3,40966,65,1.42
3,43697,65,1.41
3,46428,65,1.34
3,49159,65,1.66
3,51890,65,1.61
3,54621,65,1.5
3,57352,65,1.39
3,60083,65,1.79
3,62814,65,1.8
3,65535,65,1.66
3,1,97,1.65
3,2732,97,1.52
3,5463,97,1.55
3,8194,97,1.51
3,10925,97,1.51
3,13656,97,1.66
3,16387,97,1.54
3,19118,97,1.39
3,21849,97,1.59
3,24580,97,1.5
3,27311,97,1.42
3,30042,97,1.47
3,32773,97,1.33
3,35504,97,1.53
3,38235,97,1.17
3,40966,97,1.49
3,43697,97,1.71
3,46428,97,1.41
3,49159,97,1.53
3,51890,97,1.5
3,54621,97,1.61
3,57352,97,1.4
3,60083,97,1.48
3,62814,97,1.34
3,65535,97,1.54
3,1,129,1.48
3,2732,129,1.3
3,5463,129,1.41
3,8194,129,1.77
3,10925,129,1.6
3,13656,129,1.53
3,16387,129,1.39
3,19118,129,1.43
3,21849,129,1.23
3,24580,129,1.3
3,27311,129,1.46
3,30042,129,1.21
3,32773,129,1.45
3,35504,129,1.25
3,38235,129,1.46
3,40966,129,1.38
3,43697,129,1.48
3,46428,129,1.36
3,49159,129,1.39
3,51890,129,1.52
3,54621,129,1.67
3,57352,129,1.53
3,60083,129,1.25
3,62814,129,1.67
3,65535,129,1.64
3,1,161,1.19
3,2732,161,1.67
3,5463,161,1.75
3,8194,161,1.59
3,10925,161,1.75
3,13656,161,1.58
3,16387,161,1.7
3,19118,161,1.34
3,21849,161,1.46
3,24580,161,1.25
3,27311,161,1.49
3,30042,161,1.7
3,32773,161,1.75
3,35504,161,1.75
3,38235,161,2.15
3,40966,161,1.56
3,43697,161,1.5
3,46428,161,1.59
3,49159,161,1.61
3,51890,161,1.89
3,54621,161,1.77
3,57352,161,1.38
3,60083,161,1.7
3,62814,161,1.61
3,65535,161,1.57
3,1,193,1.41
3,2732,193,1.52
3,5463,193,1.53
3,8194,193,1.43
3,10925,193,1.48
3,13656,193,1.54
3,16387,193,1.44
3,19118,193,1.36
3,21849,193,1.67
3,24580,193,1.38
3,27311,193,1.26
3,30042,193,1.35
3,32773,193,1.35
3,35504,193,1.24
3,38235,193,1.39
3,40966,193,1.39
3,43697,193,1.38
3,46428,193,1.58
3,49159,193,1.33
3,51890,193,1.38
3,54621,193,1.36
3,57352,193,1.43
3,60083,193,1.54
3,62814,193,1.45
3,65535,193,1.53
3,1,225,1.33
3,2732,225,1.71
3,5463,225,1.7
3,8194,225,1.51
3,10925,225,1.52
3,13656,225,1.29
3,16387,225,1.32
3,19118,225,1.33
3,21849,225,1.35
3,24580,225,1.46
3,27311,225,1.3
3,30042,225,1.2
3,32773,225,1.37
3,35504,225,1.33
3,38235,225,1.4
3,40966,225,1.31
3,43697,225,1.26
3,46428,225,1.39
3,49159,225,1.19
3,51890,225,1.43
3,54621,225,1.41
3,57352,225,1.65
3,60083,225,1.37
3,62814,225,1.47
3,65535,225,1.44
3,1,255,1.54
3,2732,255,1.34
3,5463,255,1.49
3,8194,255,1.44
3,10925,255,1.63
3,13656,255,1.53
3,16387,255,1.34
3,19118,255,1.41
3,21849,255,1.24
3,24580,255,1.31
3,27311,255,1.29
3,30042,255,1.18
3,32773,255,1.31
3,35504,255,1.45
3,38235,255,1.16
3,40966,255,1.08
3,43697,255,1.27
3,46428,255,1.24
3,49159,255,1.29
3,51890,255,1.45
3,54621,255,1.49
3,57352,255,1.7
3,60083,255,1.39
3,62814,255,1.77
3,65535,255,1.48
35,1,1,2.41
35,2732,1,2.2
35,5463,1,2.38
35,8194,1,2.07
35,10925,1,2.23
35,13656,1,2.26
35,16387,1,2.28
35,19118,1,2.28
35,21849,1,2.56
35,24580,1,2.18
35,27311,1,2.46
35,30042,1,2.66
35,32773,1,2.26
35,35504,1,2.32
35,38235,1,2.36
35,40966,1,2.46
35,43697,1,2.09
35,46428,1,2.38
35,49159,1,2.47
35,51890,1,2.19
35,54621,1,2.44
35,57352,1,2.48
35,60083,1,2.5
35,62814,1,2.24
35,65535,1,2.2
35,1,33,2.19
35,2732,33,2.08
35,5463,33,2.21
35,8194,33,2.2
35,10925,33,2.12
35,13656,33,2.14
35,16387,33,2.06
35,19118,33,2.08
35,21849,33,2.35
35,24580,33,2.31
35,27311,33,2.24
35,30042,33,2.41
35,32773,33,2.45
35,35504,33,2.19
35,38235,33,2.18
35,40966,33,2.01
35,43697,33,2.27
35,46428,33,1.99
35,49159,33,2.25
35,51890,33,2.29
35,54621,33,2.45
35,57352,33,2.25
35,60083,33,2.07
35,62814,33,2.12
