bri,mired,watt
1,153,0.42
1,163,0.46
1,173,0.47
1,183,0.43
1,193,0.44
1,203,0.49
1,213,0.48
1,223,0.49
1,233,0.49
1,243,0.51
1,253,0.47
1,263,0.48
1,283,0.47
1,293,0.47
1,303,0.48
1,313,0.54
1,323,0.46
1,333,0.53
1,343,0.49
1,353,0.49
1,363,0.48
1,373,0.48
1,383,0.51
1,393,0.52
1,403,0.5
1,413,0.46
1,423,0.48
1,433,0.52
1,443,0.47
1,453,0.48
1,463,0.47
1,473,0.49
1,483,0.54
1,493,0.48
1,500,0.53
6,153,0.6
6,163,0.53
6,173,0.52
6,183,0.53
6,193,0.52
6,203,0.52
6,213,0.52
6,223,0.57
6,233,0.54
6,243,0.55
6,253,0.6
6,263,0.58
6,273,0.56
6,283,0.53
6,293,0.52
6,303,0.58
6,313,0.58
6,323,0.59
6,333,0.59
6,343,0.53
6,353,0.56
6,363,0.51
6,373,0.62
6,383,0.63
6,393,0.54
6,403,0.47
6,413,0.47
6,423,0.56
6,433,0.56
6,443,0.56
6,453,0.52
6,463,0.59
6,473,0.58
6,483,0.53
6,493,0.55
6,500,0.55
11,153,0.65
11,163,0.64
11,173,0.65
11,183,0.62
11,193,0.64
11,203,0.59
11,213,0.64
11,223,0.62
11,233,0.62
11,243,0.66
11,253,0.62
11,263,0.63
11,273,0.69
11,283,0.61
11,293,0.64
11,303,0.64
11,313,0.64
11,323,0.61
11,333,0.66
11,343,0.57
11,353,0.64
11,363,0.62
11,373,0.67
11,383,0.63
11,393,0.62
11,403,0.7
11,413,0.66
11,423,0.68
11,433,0.62
11,443,0.64
11,453,0.65
11,463,0.65
11,473,0.65
11,483,0.62
11,493,0.65
11,500,0.6
16,153,0.72
16,163,0.71
16,173,0.69
16,183,0.75
16,193,0.7
16,203,0.78
16,213,0.74
16,223,0.67
16,233,0.72
16,243,0.71
16,253,0.73
16,263,0.69
16,273,0.7
16,283,0.71
16,293,0.74
16,303,0.73
16,313,0.74
16,323,0.73
16,333,0.74
16,343,0.7
16,353,0.74
16,363,0.74
16,373,0.68
16,383,0.74
16,393,0.74
16,403,0.77
16,413,0.68
16,423,0.69
16,433,0.7
16,443,0.76
16,453,0.68
16,463,0.66
16,473,0.72
16,483,0.74
16,493,0.78
16,500,0.71
21,153,0.79
21,163,0.84
21,173,0.8
21,183,0.72
21,193,0.82
21,203,0.85
21,213,0.79
21,223,0.84
21,233,0.78
21,243,0.83
21,253,0.77
21,263,0.86
21,273,0.9
21,283,0.79
21,293,0.81
21,303,0.84
21,313,0.8
21,323,0.81
21,333,0.76
21,343,0.8
21,353,0.76
21,363,0.79
21,373,0.9
21,383,0.8
21,393,0.87
21,403,0.81
21,413,0.8
21,423,0.84
21,433,0.82
21,443,0.89
21,453,0.79
21,463,0.77
21,473,0.75
21,483,0.73
21,493,0.81
21,500,0.82
26,153,0.85
26,163,0.92
26,173,0.89
26,183,0.86
26,193,0.86
26,203,0.85
26,213,0.91
26,223,0.91
26,233,0.94
26,243,0.87
26,253,0.92
26,263,0.91
26,273,0.93
26,283,0.91
26,293,0.87
26,303,0.89
26,313,0.85
26,323,0.86
26,333,0.9
26,343,0.9
26,353,0.94
26,363,0.92
26,373,0.88
26,383,0.88
26,393,0.88
26,403,0.91
26,413,0.88
26,423,0.89
26,433,0.86
26,443,0.82
26,453,0.9
26,463,0.88
26,473,0.81
26,483,0.89
26,493,0.9
26,500,0.91
31,153,0.98
31,163,0.96
31,173,0.98
31,183,1.01
31,193,1.05
31,203,0.99
31,213,1.01
31,223,0.96
31,233,1.0
31,243,1.0
31,253,1.04
31,263,0.98
31,273,1.0
31,283,1.04
31,293,0.9
31,303,0.92
31,313,0.9
31,323,1.01
31,333,0.98
31,343,0.95
31,353,0.98
31,363,0.96
31,373,0.9
31,383,0.94
31,393,1.03
31,403,0.99
31,413,0.93
31,423,1.05
31,433,0.99
31,443,0.92
31,453,1.0
31,463,1.05
31,473,0.98
31,483,1.0
31,493,0.96
31,500,1.02
36,153,1.08
36,163,1.12
36,173,1.09
36,183,1.05
36,193,1.13
36,203,1.14
36,213,1.1
36,223,1.13
36,233,1.08
36,243,1.1
36,253,1.07
36,263,1.07
36,273,1.12
36,283,1.02
36,293,1.09
36,303,1.14
36,313,1.12
36,323,1.11
36,333,1.11
36,343,1.12
36,353,1.13
36,363,1.11
36,373,1.1
36,383,1.13
36,393,1.12
36,403,1.09
36,413,1.07
36,423,1.13
36,433,1.08
36,443,1.13
36,453,1.06
36,463,1.09
36,473,1.07
36,483,1.1
36,493,1.16
36,500,1.07
41,153,1.16
41,163,1.24
41,173,1.19
41,183,1.13
41,193,1.16
41,203,1.13
41,213,1.18
41,223,1.2
41,233,1.11
41,243,1.13
41,253,1.11
41,263,1.17
41,273,1.17
41,283,1.17
41,293,1.16
41,303,1.15
41,313,1.22
41,323,1.17
41,333,1.2
41,343,1.18
41,353,1.24
41,363,1.13
41,373,1.18
41,383,1.15
41,393,1.22
41,403,1.2
41,413,1.19
41,423,1.2
41,433,1.05
41,443,1.13
41,453,1.23
41,463,1.15
41,473,1.22
41,483,1.19
41,493,1.25
41,500,1.17
46,153,1.27
46,163,1.28
46,173,1.28
46,183,1.33
46,193,1.24
46,203,1.28
46,213,1.24
46,223,1.26
46,233,1.27
46,243,1.25
46,253,1.28
46,263,1.27
46,273,1.22
46,283,1.22
46,293,1.23
46,303,1.27
46,313,1.19
46,323,1.21
46,333,1.22
46,343,1.21
46,353,1.25
46,363,1.31
46,373,1.28
46,383,1.25
46,393,1.22
46,403,1.23
46,413,1.24
46,423,1.27
46,433,1.22
46,443,1.27
46,453,1.31
46,463,1.25
46,473,1.23
46,483,1.33
46,493,1.23
46,500,1.27
51,153,1.41
51,163,1.35
51,173,1.45
51,183,1.39
51,193,1.37
51,203,1.38
51,213,1.35
51,223,1.36
51,233,1.35
51,243,1.3
51,253,1.33
51,263,1.36
51,273,1.33
51,283,1.31
51,293,1.29
51,303,1.3
51,313,1.32
51,323,1.34
51,333,1.47
51,343,1.28
51,353,1.34
51,363,1.3
51,373,1.26
51,383,1.37
51,393,1.31
51,403,1.36
51,413,1.38
51,423,1.33
51,433,1.31
51,443,1.31
51,453,1.29
51,463,1.34
51,473,1.35
51,483,1.33
51,493,1.38
51,500,1.37
56,153,1.45
56,163,1.49
56,173,1.37
56,183,1.53
56,193,1.42
56,203,1.46
56,213,1.39
56,223,1.45
56,233,1.46
56,243,1.45
56,253,1.42
56,263,1.48
56,273,1.4
56,283,1.42
56,293,1.4
56,303,1.43
56,313,1.46
56,323,1.46
56,333,1.42
56,343,1.43
56,353,1.44
56,363,1.48
56,373,1.43
56,383,1.41
56,393,1.42
56,403,1.45
56,413,1.47
56,423,1.38
56,433,1.43
56,443,1.45
56,453,1.49
56,463,1.51
56,473,1.37
56,483,1.44
56,493,1.41
56,500,1.39
61,153,1.6
61,163,1.53
61,173,1.6
61,183,1.58
61,193,1.57
61,203,1.56
61,213,1.51
61,223,1.47
61,233,1.43
61,243,1.54
61,253,1.53
61,263,1.59
61,273,1.5
61,283,1.57
61,293,1.53
61,303,1.5
61,313,1.53
61,323,1.5
61,333,1.49
61,343,1.51
61,353,1.55
61,363,1.55
61,373,1.49
61,383,1.56
61,393,1.52
61,403,1.51
61,413,1.5
61,423,1.56
61,433,1.48
61,443,1.49
61,453,1.49
61,463,1.51
61,473,1.52
61,483,1.53
61,493,1.56
61,500,1.56
66,153,1.62
66,163,1.66
66,173,1.61
66,183,1.61
66,193,1.59
66,203,1.64
66,213,1.66
66,223,1.65
66,233,1.58
66,243,1.62
