bri,mired,watt
1,153,0.46
1,163,0.51
1,173,0.46
1,183,0.47
1,193,0.48
1,203,0.48
1,213,0.53
1,223,0.5
1,233,0.49
1,243,0.49
1,253,0.43
1,263,0.48
1,273,0.48
1,283,0.51
1,293,0.5
1,303,0.46
1,313,0.48
1,323,0.46
1,333,0.45
1,343,0.39
1,353,0.48
1,363,0.48
1,370,0.46
6,153,0.53
6,163,0.48
6,173,0.45
6,183,0.53
6,193,0.51
6,203,0.49
6,213,0.48
6,223,0.44
6,233,0.46
6,243,0.57
6,253,0.48
6,263,0.49
6,273,0.44
6,283,0.5
6,293,0.49
6,303,0.53
6,313,0.54
6,323,0.51
6,333,0.53
6,343,0.5
6,353,0.43
6,363,0.49
6,370,0.53
11,153,0.59
11,163,0.52
11,173,0.54
11,183,0.5
11,193,0.54
11,203,0.5
11,213,0.5
11,223,0.48
11,233,0.5
11,243,0.56
11,253,0.5
11,263,0.52
11,273,0.52
11,283,0.55
11,293,0.55
11,303,0.49
11,313,0.5
11,323,0.52
11,333,0.47
11,343,0.51
11,353,0.54
11,363,0.52
11,370,0.47
16,153,0.6
16,163,0.57
16,173,0.55
16,183,0.58
16,193,0.58
16,203,0.54
16,213,0.58
16,223,0.54
16,233,0.56
16,243,0.58
16,253,0.53
16,263,0.58
16,273,0.56
16,283,0.54
16,293,0.57
16,303,0.55
16,313,0.54
16,323,0.56
16,333,0.53
16,343,0.55
16,353,0.55
16,363,0.56
16,370,0.54
21,153,0.59
21,163,0.62
21,173,0.62
21,183,0.62
21,193,0.6
21,203,0.62
21,213,0.56
21,223,0.62
21,233,0.59
21,243,0.6
21,253,0.54
21,263,0.63
21,273,0.56
21,283,0.61
21,293,0.62
21,303,0.58
21,313,0.6
21,323,0.61
21,333,0.62
21,343,0.62
21,353,0.61
21,363,0.58
21,370,0.6
26,153,0.68
26,163,0.75
26,173,0.65
26,183,0.64
26,193,0.69
26,203,0.65
26,213,0.6
26,223,0.59
26,233,0.64
26,243,0.63
26,253,0.63
26,263,0.59
26,273,0.63
26,283,0.6
26,293,0.65
26,303,0.58
26,313,0.6
26,323,0.58
26,333,0.56
26,343,0.6
26,353,0.6
26,363,0.58
26,370,0.59
31,153,0.72
31,163,0.63
31,173,0.64
31,183,0.7
31,193,0.73
31,203,0.68
31,213,0.67
31,223,0.68
31,233,0.7
31,243,0.71
31,253,0.67
31,263,0.7
31,273,0.69
31,283,0.67
31,293,0.66
31,303,0.6
31,313,0.7
31,323,0.68
31,333,0.67
31,343,0.64
31,353,0.7
31,363,0.68
31,370,0.67
36,153,0.77
36,163,0.75
36,173,0.74
36,183,0.71
36,193,0.71
36,203,0.77
36,213,0.72
36,223,0.73
36,233,0.69
36,243,0.75
36,253,0.74
36,263,0.67
36,273,0.78
36,283,0.73
36,293,0.77
36,303,0.74
36,313,0.69
36,323,0.75
36,333,0.72
36,343,0.75
36,353,0.75
36,363,0.71
36,370,0.72
41,153,0.82
41,163,0.75
41,173,0.8
41,183,0.84
41,193,0.79
41,203,0.81
41,213,0.82
41,223,0.8
41,233,0.8
41,243,0.78
41,253,0.79
41,263,0.79
41,273,0.74
41,283,0.79
41,293,0.73
41,303,0.76
41,313,0.71
41,323,0.78
41,333,0.78
41,343,0.73
41,353,0.67
41,363,0.71
41,370,0.73
46,153,0.83
46,163,0.8
46,173,0.88
46,183,0.85
46,193,0.85
46,203,0.85
46,213,0.83
46,223,0.79
46,233,0.82
46,243,0.83
46,253,0.81
46,263,0.8
46,273,0.82
46,283,0.81
46,293,0.86
46,303,0.85
46,313,0.81
46,323,0.78
46,333,0.81
46,343,0.8
46,353,0.83
46,363,0.82
46,370,0.82
51,153,0.92
51,163,0.95
51,173,0.86
51,183,0.93
51,193,0.9
51,203,0.92
51,213,0.83
51,223,0.87
51,233,0.89
51,243,0.91
51,253,0.88
51,263,0.91
51,273,0.87
51,283,0.88
51,293,0.9
51,303,0.84
51,313,0.88
51,323,0.86
51,333,0.88
51,343,0.86
51,353,0.88
51,363,0.83
51,370,0.82
56,153,0.95
56,163,0.95
56,173,0.99
56,183,0.98
56,193,0.97
56,203,0.91
56,213,0.91
56,223,0.94
56,233,0.92
56,243,0.9
56,253,0.86
56,263,0.94
56,273,0.9
56,283,0.87
56,293,0.89
56,303,0.9
56,313,0.92
56,323,0.9
56,333,0.89
56,343,0.92
56,353,0.9
56,363,0.93
56,370,0.88
61,153,1.04
61,163,1.02
61,173,1.03
61,183,1.04
61,193,0.97
61,203,0.99
61,213,1.0
61,223,0.99
61,233,0.98
61,243,0.96
61,253,0.99
61,263,0.98
61,273,0.96
61,283,0.95
61,293,0.99
61,303,0.96
61,313,0.98
61,323,0.96
61,333,0.96
61,343,0.94
61,353,0.93
61,363,0.97
61,370,0.99
66,153,1.08
66,163,1.11
66,173,1.11
66,183,1.15
66,193,1.15
66,203,1.05
66,213,1.06
66,223,1.04
66,233,1.03
66,243,1.11
66,253,1.03
66,263,0.98
66,273,0.96
66,283,1.01
66,293,1.03
66,303,1.03
66,313,1.05
66,323,0.99
66,333,0.98
66,343,1.01
66,353,1.02
66,363,1.03
66,370,0.99
71,153,1.16
71,163,1.23
71,173,1.15
71,183,1.15
71,193,1.14
71,203,1.12
71,213,1.15
71,223,1.09
71,233,1.11
71,243,1.08
71,253,1.12
71,263,1.13
71,273,1.1
71,283,1.16
71,293,1.16
71,303,1.09
71,313,1.12
71,323,1.1
71,333,1.11
71,343,1.1
71,353,1.11
71,363,1.05
71,370,1.05
76,153,1.27
76,163,1.26
76,173,1.22
76,183,1.21
76,193,1.21
76,203,1.12
76,213,1.19
76,223,1.09
76,233,1.19
76,243,1.16
76,253,1.2
76,263,1.2
76,273,1.21
76,283,1.12
76,293,1.14
76,303,1.09
76,313,1.11
76,323,1.12
76,333,1.17
76,343,1.14
76,353,1.21
76,363,1.2
76,370,1.13
81,153,1.33
81,163,1.29
81,173,1.27
81,183,1.25
81,193,1.25
81,203,1.2
