bri,mired,watt
1,142,0.46
1,152,0.44
1,162,0.42
1,172,0.5
1,182,0.42
1,192,0.42
1,202,0.44
1,212,0.49
1,222,0.39
1,232,0.41
1,242,0.41
1,252,0.42
1,262,0.47
1,272,0.41
1,282,0.45
1,292,0.51
1,302,0.43
1,312,0.43
1,322,0.4
1,332,0.46
1,342,0.42
1,352,0.45
1,362,0.47
1,372,0.51
1,382,0.38
1,392,0.42
1,402,0.42
1,412,0.46
1,422,0.4
1,432,0.41
1,442,0.43
1,452,0.42
1,462,0.39
1,472,0.49
1,482,0.41
1,492,0.45
1,500,0.47
6,142,0.58
6,152,0.57
6,162,0.59
6,172,0.61
6,182,0.61
6,192,0.6
6,202,0.62
6,212,0.62
6,222,0.59
6,232,0.58
6,242,0.61
6,252,0.53
6,262,0.59
6,272,0.62
6,282,0.63
6,292,0.63
6,302,0.57
6,312,0.59
6,322,0.57
6,332,0.58
6,342,0.57
6,352,0.62
6,362,0.61
6,372,0.56
6,382,0.55
6,392,0.59
6,402,0.66
6,412,0.6
6,422,0.6
6,432,0.56
6,442,0.52
6,452,0.63
6,462,0.65
6,472,0.62
6,482,0.66
6,492,0.63
6,500,0.63
11,142,0.73
11,152,0.67
11,162,0.72
11,172,0.69
11,182,0.62
11,192,0.65
11,202,0.58
11,212,0.67
11,222,0.71
11,232,0.7
11,242,0.58
11,252,0.72
11,262,0.59
11,272,0.66
11,282,0.65
11,292,0.65
11,302,0.66
11,312,0.69
11,322,0.64
11,332,0.63
11,342,0.52
11,352,0.7
11,362,0.66
11,372,0.63
11,382,0.67
11,392,0.65
11,402,0.68
11,412,0.62
11,422,0.64
11,432,0.59
11,442,0.63
11,452,0.67
11,462,0.64
11,472,0.65
11,482,0.6
11,492,0.67
11,500,0.59
16,142,0.69
16,152,0.7
16,162,0.68
16,172,0.71
16,182,0.7
16,192,0.71
16,202,0.67
16,212,0.68
16,222,0.64
16,232,0.67
16,242,0.64
16,252,0.58
16,262,0.67
16,272,0.67
16,282,0.63
16,292,0.69
16,302,0.73
16,312,0.63
16,322,0.7
16,332,0.65
16,342,0.72
16,352,0.68
16,362,0.68
16,372,0.69
16,382,0.63
16,392,0.69
16,402,0.69
16,412,0.73
16,422,0.74
16,432,0.67
16,442,0.68
16,452,0.73
16,462,0.69
16,472,0.7
16,482,0.72
16,492,0.66
16,500,0.66
21,142,0.73
21,152,0.71
21,162,0.61
21,172,0.7
21,182,0.73
21,192,0.74
21,202,0.71
21,212,0.68
21,222,0.78
21,232,0.75
21,242,0.74
21,252,0.65
21,262,0.68
21,272,0.76
21,282,0.66
21,292,0.71
21,302,0.7
21,312,0.68
21,322,0.69
21,332,0.71
21,342,0.66
21,352,0.73
21,362,0.67
21,372,0.77
21,382,0.63
21,392,0.73
21,402,0.67
21,412,0.69
21,422,0.7
21,432,0.73
21,442,0.69
21,452,0.73
21,462,0.71
21,472,0.77
21,482,0.63
21,492,0.68
21,500,0.73
26,142,0.77
26,152,0.75
26,162,0.75
26,172,0.77
26,182,0.75
26,192,0.73
26,202,0.79
26,212,0.79
26,222,0.71
26,232,0.74
26,242,0.75
26,252,0.79
26,262,0.81
26,272,0.73
26,282,0.69
26,292,0.77
26,302,0.76
26,312,0.76
26,322,0.75
26,332,0.84
26,342,0.75
26,352,0.72
26,362,0.84
26,372,0.74
26,382,0.71
26,392,0.78
26,402,0.76
26,412,0.78
26,422,0.74
26,432,0.74
26,442,0.71
26,452,0.77
26,462,0.8
26,472,0.72
26,482,0.77
26,492,0.75
26,500,0.74
31,142,0.82
31,152,0.79
31,162,0.84
31,172,0.81
31,182,0.82
31,192,0.85
31,202,0.77
31,212,0.83
31,222,0.84
31,232,0.82
31,242,0.74
31,252,0.8
31,262,0.83
31,272,0.79
31,282,0.79
31,292,0.81
31,302,0.8
31,312,0.75
31,322,0.73
31,332,0.78
31,342,0.76
31,352,0.73
31,362,0.84
31,372,0.86
31,382,0.77
31,392,0.77
31,402,0.79
31,412,0.8
31,422,0.73
31,432,0.8
31,442,0.79
31,452,0.82
31,462,0.8
31,472,0.8
31,482,0.9
31,492,0.81
31,500,0.89
36,142,0.89
36,152,0.86
36,162,0.84
36,172,0.89
36,182,0.89
36,192,0.81
36,202,0.84
36,212,0.85
36,222,0.85
36,232,0.82
36,242,0.88
36,252,0.83
36,262,0.88
36,272,0.87
36,282,0.82
36,292,0.88
36,302,0.82
36,312,0.8
36,322,0.9
36,332,0.82
36,342,0.85
36,352,0.8
36,362,0.83
36,372,0.84
36,382,0.86
36,392,0.88
36,402,0.93
36,412,0.83
36,422,0.84
36,432,0.9
36,442,0.84
36,452,0.82
36,462,0.84
36,472,0.86
36,482,0.8
36,492,0.88
36,500,0.81
41,142,0.91
41,152,0.86
41,162,0.92
41,172,0.87
41,182,0.88
41,192,0.85
41,202,0.94
41,212,0.89
41,222,0.88
41,232,0.88
41,242,0.95
41,252,0.85
41,262,0.89
41,272,0.87
41,282,0.89
41,292,0.95
41,302,0.89
41,312,0.91
41,322,0.81
41,332,0.88
41,342,0.92
41,352,0.87
41,362,0.89
41,372,0.91
41,382,0.92
41,392,0.9
41,402,0.87
41,412,0.92
41,422,0.89
41,432,0.87
41,442,0.93
41,452,0.92
41,462,0.95
41,472,0.91
41,482,0.9
41,492,0.91
41,500,0.89
46,142,1.0
46,152,0.98
46,162,0.92
46,172,0.96
46,182,0.98
46,192,0.96
46,202,0.88
46,212,0.96
46,222,0.91
46,232,0.88
46,242,0.91
46,252,0.96
46,262,0.95
46,272,0.92
46,282,0.88
46,292,0.94
46,302,0.93
46,312,0.92
46,322,0.97
46,332,0.99
46,342,0.94
46,352,0.96
46,362,0.85
46,372,0.9
46,382,0.98
46,392,0.93
46,402,0.96
46,412,0.88
46,422,0.98
46,432,0.91
46,442,0.97
46,452,0.86
46,462,0.99
46,472,0.94
46,482,0.96
46,492,0.95
46,500,0.96
51,142,0.98
51,152,1.02
51,162,0.98
51,172,0.96
51,182,0.96
51,192,1.0
51,202,1.02
51,212,1.0
51,222,1.01
51,232,1.02
51,242,0.96
51,252,0.93
51,262,1.0
51,272,0.96
51,282,0.92
51,292,1.01
51,302,1.0
51,312,0.93
51,322,0.98
51,332,0.93
51,342,0.94
51,352,0.98
51,362,0.99
51,372,0.94
51,382,1.03
51,392,1.01
51,402,0.99
51,412,0.94
51,422,0.93
51,432,1.01
51,442,0.98
51,452,0.98
51,462,0.98
51,472,1.0
51,482,0.93
51,492,0.94
51,500,0.96
56,142,1.07
56,152,0.96
56,162,1.01
56,172,1.07
56,182,1.03
56,192,0.99
56,202,0.99
56,212,1.02
56,222,1.01
56,232,1.01
56,242,1.02
56,252,1.05
56,262,1.04
56,272,0.97
56,282,0.96
56,292,1.0
56,302,1.03
56,312,0.99
56,322,1.04
56,332,1.09
56,342,0.99
56,352,1.06
56,362,1.0
56,372,0.93
56,382,1.06
56,392,1.02
56,402,0.98
56,412,1.07
56,422,1.01
56,432,0.99
56,442,1.07
56,452,1.04
56,462,0.98
56,472,1.04
56,482,1.07
56,492,1.03
56,500,1.03
61,142,1.06
61,152,1.1
61,162,1.06
61,172,1.01
61,182,1.11
61,192,1.07
61,202,1.07
61,212,1.1
61,222,1.04
61,232,1.06
61,242,0.99
61,252,1.06
61,262,1.06
61,272,1.07
61,282,1.05
61,292,1.09
61,302,1.03
61,312,1.04
61,322,1.1
61,332,1.06
61,342,1.1
61,352,1.02
61,362,1.12
61,372,1.08
61,382,1.08
61,392,1.01
61,402,1.07
61,412,1.1
61,422,1.04
61,432,1.09
61,442,1.03
61,452,1.0
61,462,1.11
61,472,1.13
61,482,1.04
61,492,1.1
61,500,1.12
66,142,1.13
66,152,1.09
66,162,1.1
66,172,1.13
66,182,1.08
66,192,1.09
66,202,1.12
66,212,1.11
66,222,1.18
66,232,1.04
66,242,1.09
66,252,1.13
66,262,1.04
66,272,1.08
66,282,1.15
66,292,1.11
66,302,1.13
66,312,1.12
66,322,1.1
66,332,1.12
66,342,1.13
66,352,1.08
66,362,1.1
66,372,1.1
66,382,1.18
66,392,1.06
66,402,1.07
66,412,1.14
66,422,1.13
66,432,1.13
66,442,1.15
66,452,1.06
66,462,1.19
66,472,1.2
66,482,1.1
66,492,1.1
66,500,1.06
71,142,1.19
71,152,1.15
71,162,1.14
71,172,1.22
71,182,1.14
71,192,1.19
71,202,1.18
71,212,1.11
71,222,1.15
71,232,1.12
