bri,mired,watt
1,153,1.57
1,163,1.57
1,173,1.57
1,183,1.57
1,193,2.34
1,203,2.34
1,213,2.34
1,223,2.34
1,233,2.34
1,243,2.34
1,253,2.34
1,263,2.34
1,273,2.4
1,283,2.4
1,293,2.4
1,303,2.4
1,313,2.4
1,323,2.4
1,333,2.4
1,343,2.09
1,353,2.09
1,363,2.09
1,370,2.09
6,153,2.09
6,163,2.09
6,173,2.09
6,183,2.54
6,193,2.54
6,203,2.54
6,213,2.54
6,223,2.54
6,233,2.54
6,243,2.54
6,253,2.23
6,263,2.23
6,273,2.23
6,283,2.23
6,293,2.23
6,303,2.23
6,313,2.23
6,323,2.19
6,333,2.19
6,343,2.19
6,353,2.19
6,363,2.19
6,370,2.19
11,153,2.19
11,163,2.19
11,173,2.48
11,183,2.48
11,193,2.48
11,203,2.48
11,213,2.48
11,223,2.48
11,233,2.69
11,243,2.69
11,253,2.69
11,263,2.69
11,273,2.69
11,283,2.69
11,293,2.69
11,303,2.71
11,313,2.71
11,323,2.71
11,333,2.71
11,343,2.71
11,353,2.71
11,363,2.71
11,370,2.72
16,153,2.72
16,163,2.72
16,173,2.72
16,183,2.72
16,193,2.72
16,203,2.72
16,213,2.72
16,223,2.6
16,233,2.6
16,243,2.6
16,253,2.6
16,263,2.6
16,273,2.6
16,283,2.6
16,293,2.6
16,303,2.89
16,313,2.89
16,323,2.89
16,333,2.89
16,343,2.89
16,353,2.89
16,363,2.89
16,370,2.89
21,153,2.79
21,163,2.79
21,173,2.79
21,183,2.79
21,193,2.79
21,203,2.79
21,213,2.79
21,223,3.08
21,233,3.08
21,243,3.08
21,253,3.08
21,263,3.08
21,273,3.08
21,283,3.08
21,293,2.75
21,303,2.75
21,313,2.75
21,323,2.75
21,333,2.75
21,343,2.75
21,353,2.75
21,363,2.72
21,370,2.72
26,153,2.72
26,163,2.72
26,173,2.72
26,183,2.72
26,193,2.72
26,203,2.89
26,213,2.89
26,223,2.89
26,233,2.89
26,243,2.89
26,253,2.89
26,263,2.89
26,273,2.89
26,283,2.89
26,293,2.89
26,303,2.89
26,313,2.89
26,323,2.89
26,333,2.89
26,343,2.89
26,353,3.21
26,363,3.21
26,370,3.21
31,153,3.21
31,163,3.21
31,173,3.21
31,183,3.21
31,193,3.21
31,203,3.21
31,213,3.21
31,223,3.21
31,233,3.21
31,243,3.21
31,253,3.21
31,263,3.21
31,273,3.21
31,283,3.21
31,293,3.42
31,303,3.42
31,313,3.42
31,323,3.42
31,333,3.42
31,343,3.42
31,353,3.42
31,363,3.16
31,370,3.16
36,153,3.16
36,163,3.16
36,173,3.16
36,183,3.16
36,193,3.16
36,203,3.35
36,213,3.35
36,223,3.35
36,233,3.35
36,243,3.35
36,253,3.35
36,263,3.63
36,273,3.63
36,283,3.63
36,293,3.63
36,303,3.63
36,313,3.63
36,323,3.63
36,333,3.63
36,343,3.63
36,353,3.63
36,363,3.63
36,370,3.63
41,153,3.63
41,163,3.63
41,173,3.47
41,183,3.47
41,193,3.47
41,203,3.47
41,213,3.47
41,223,3.81
41,233,3.81
41,243,3.81
41,253,3.81
41,263,3.81
41,273,3.81
41,283,3.81
41,293,3.75
41,303,3.75
41,313,3.75
41,323,3.75
41,333,3.75
41,343,3.75
41,353,3.75
41,363,3.78
41,370,3.78
46,153,4
46,163,4
46,173,4
46,183,4
46,193,4
46,203,4
46,213,4
46,223,4
46,233,4
46,243,4
46,253,4
46,263,4
46,273,4
46,283,4
46,293,4
46,303,3.9
46,313,3.9
46,323,3.9
46,333,3.9
46,343,3.9
46,353,3.9
46,363,3.9
46,370,3.9
51,153,4.07
51,163,4.07
51,173,4.07
51,183,4.07
51,193,4.07
51,203,4.07
51,213,4.07
51,223,4.04
51,233,4.04
51,243,4.04
51,253,4.04
51,263,4.04
51,273,4.04
51,283,4.04
51,293,4.04
51,303,3.69
51,313,3.69
51,323,3.69
51,333,3.69
51,343,3.69
51,353,3.69
51,363,3.69
51,370,3.81
56,153,3.81
56,163,3.81
56,173,3.81
56,183,3.81
56,193,3.81
56,203,3.81
56,213,3.81
56,223,4.3
56,233,4.3
56,243,4.3
56,253,4.3
56,263,4.3
56,273,4.3
56,283,4.3
56,293,4.3
56,303,4.3
56,313,4.3
56,323,4.3
56,333,4.3
56,343,4.3
56,353,4.3
56,363,4.3
56,370,4.3
61,153,4.15
61,163,4.15
61,173,4.15
61,183,4.15
61,193,4.15
61,203,4.15
61,213,4.15
61,223,4.15
61,233,4.22
61,243,4.22
61,253,4.22
61,263,4.22
61,273,4.22
61,283,4.22
61,293,4.15
61,303,4.15
61,313,4.15
61,323,4.15
61,333,4.15
61,343,4.15
61,353,4.15
61,363,4.15
61,370,4.46
66,153,4.46
66,163,4.46
66,173,4.46
66,183,4.46
66,193,4.46
66,203,4.46
66,213,4.46
66,223,4.46
66,233,4.38
66,243,4.38
66,253,4.38
66,263,4.38
66,273,4.38
66,283,4.38
66,293,4.38
66,303,4.38
66,313,4.38
66,323,4.59
66,333,4.59
66,343,4.59
66,353,4.59
66,363,4.59
66,370,4.59
71,153,4.59
71,163,4.59
71,173,4.78
71,183,4.78
71,193,4.78
71,203,4.78
71,213,4.78
71,223,4.78
71,233,4.78
71,243,4.78
71,253,4.78
71,263,4.5
71,273,4.5
71,283,4.5
71,293,4.5
71,303,4.5
71,313,4.5
71,323,4.5
71,333,4.78
71,343,4.78
71,353,4.78
71,363,4.78
71,370,4.78
76,153,4.78
76,163,4.78
76,173,4.78
76,183,4.73
76,193,4.73
76,203,4.73
76,213,4.73
76,223,4.73
76,233,4.73
76,243,4.73
76,253,4.73
76,263,4.73
76,273,4.98
76,283,4.98
76,293,4.98
76,303,4.98
76,313,4.98
76,323,4.98
76,333,4.98
76,343,4.93
76,353,4.93
76,363,4.93
76,370,4.93
81,153,4.93
81,163,4.93
81,173,4.93
81,183,4.93
