bri,mired,watt
1,153,0.14
1,163,0.17
1,173,0.18
1,183,0.22
1,193,0.24
1,203,0.28
1,213,0.19
1,223,0.2
1,233,0.12
1,243,0.1
1,253,0.12
1,263,0.12
1,273,0.13
1,283,0.11
1,293,0.13
1,303,0.13
1,313,0.19
1,323,0.2
1,333,0.15
1,343,0.16
1,353,0.13
1,363,0.15
1,373,0.17
1,383,0.16
1,393,0.16
1,403,0.17
1,413,0.16
1,423,0.16
1,433,0.14
1,443,0.11
1,453,0.06
1,463,0.09
1,473,0.06
1,483,0.09
1,493,0.14
1,500,0.13
6,153,0.26
6,163,0.26
6,173,0.23
6,183,0.28
6,193,0.26
6,203,0.21
6,213,0.18
6,223,0.2
6,233,0.2
6,243,0.23
6,253,0.18
6,263,0.2
6,273,0.23
6,283,0.24
6,293,0.23
6,303,0.2
6,313,0.21
6,323,0.25
6,333,0.33
6,343,0.3
6,353,0.31
6,363,0.26
6,373,0.3
6,383,0.32
6,393,0.34
6,403,0.34
6,413,0.45
6,423,0.23
6,433,0.29
6,443,0.31
6,453,0.28
6,463,0.29
6,473,0.36
6,483,0.33
6,493,0.34
6,500,0.28
11,153,0.41
11,163,0.42
11,173,0.44
11,183,0.44
11,193,0.45
11,203,0.44
11,213,0.48
11,223,0.5
11,233,0.41
11,243,0.35
11,253,0.34
11,263,0.31
11,273,0.37
11,283,0.46
11,293,0.38
11,303,0.41
11,313,0.4
11,323,0.36
11,333,0.4
11,343,0.44
11,353,0.47
11,363,0.43
11,373,0.45
11,383,0.45
11,393,0.5
11,403,0.45
11,413,0.35
11,423,0.34
11,433,0.43
11,443,0.4
11,453,0.4
11,463,0.4
11,473,0.39
11,483,0.4
11,493,0.43
11,500,0.43
16,153,0.56
16,163,0.48
16,173,0.54
16,183,0.49
16,193,0.51
16,203,0.52
16,213,0.53
16,223,0.55
16,233,0.53
16,243,0.47
16,253,0.4
16,263,0.42
16,273,0.45
16,283,0.45
16,293,0.44
16,303,0.45
16,313,0.42
16,323,0.45
16,333,0.51
16,343,0.44
16,353,0.47
16,363,0.46
16,373,0.48
16,383,0.51
16,393,0.51
16,403,0.53
16,413,0.63
16,423,0.68
16,433,0.7
16,443,0.68
16,453,0.66
16,463,0.68
16,473,0.67
16,483,0.69
16,493,0.7
16,500,0.75
21,153,0.78
21,163,0.75
21,173,0.79
21,183,0.78
21,193,0.6
21,203,0.61
21,213,0.63
21,223,0.59
21,233,0.62
21,243,0.61
21,253,0.56
21,263,0.6
21,273,0.55
21,283,0.56
21,293,0.58
21,303,0.58
21,313,0.64
21,323,0.72
21,333,0.7
21,343,0.7
21,353,0.66
21,363,0.69
21,373,0.71
21,383,0.7
21,393,0.7
21,403,0.72
21,413,0.76
21,423,0.67
21,433,0.68
21,443,0.71
21,453,0.72
21,463,0.75
21,473,0.77
21,483,0.78
21,493,0.74
21,500,0.75
26,153,0.89
26,163,0.9
26,173,0.89
26,183,0.93
26,193,0.89
26,203,0.9
26,213,0.9
26,223,0.82
26,233,0.9
26,243,0.86
26,253,0.9
26,263,0.88
26,273,0.9
26,283,0.92
26,293,0.88
26,303,0.9
26,313,0.91
26,323,0.83
26,333,0.86
26,343,0.89
26,353,0.89
26,363,0.86
26,373,0.93
26,383,0.92
26,393,0.95
26,403,0.92
26,413,0.89
26,423,0.94
26,433,0.87
26,443,0.81
26,453,0.82
26,463,0.84
26,473,0.84
26,483,0.8
26,493,0.88
26,500,0.84
31,153,0.94
31,163,0.97
31,173,0.98
31,183,0.99
31,193,0.97
31,203,0.93
31,213,0.87
31,223,0.9
31,233,0.92
31,243,0.98
31,253,0.95
31,263,0.96
31,273,0.93
31,283,0.88
31,293,0.94
31,303,0.95
31,313,1.01
31,323,0.99
31,333,1.03
31,343,1.02
31,353,1.03
31,363,1.04
31,373,1.02
31,383,0.97
31,393,0.9
31,403,0.94
31,413,0.98
31,423,1.02
31,433,1.0
31,443,1.02
31,453,0.99
31,463,1.0
31,473,1.01
31,483,1.04
31,493,1.02
31,500,0.95
36,153,1.03
36,163,1.01
36,173,1.02
36,183,1.0
36,193,1.03
36,203,1.07
36,213,1.06
36,223,1.05
36,233,1.04
36,243,1.04
36,253,1.06
36,263,1.1
36,273,1.06
36,283,0.99
36,293,1.02
36,303,1.02
36,313,1.02
36,323,1.02
36,333,1.02
36,343,1.02
36,353,1.01
36,363,1.02
36,373,1.04
36,383,1.02
36,393,1.01
36,403,1.01
36,413,0.98
36,423,1.01
36,433,1.11
36,443,1.06
36,453,1.06
36,463,0.97
36,473,1.06
36,483,1.08
36,493,1.1
36,500,1.12
41,153,1.26
41,163,1.17
41,173,1.1
41,183,1.11
41,193,1.13
41,203,1.09
41,213,1.1
41,223,1.08
41,233,1.07
41,243,1.12
41,253,1.16
41,263,1.15
41,273,1.18
41,283,1.12
41,293,1.12
41,303,1.09
41,313,1.1
41,323,1.1
41,333,1.14
41,343,1.16
41,353,1.17
41,363,1.11
41,373,1.13
41,383,1.17
41,393,1.14
41,403,1.19
41,413,1.16
41,423,1.16
41,433,1.12
41,443,1.14
41,453,1.14
41,463,1.12
41,473,1.09
41,483,1.1
41,493,1.15
41,500,1.14
46,153,1.3
46,163,1.37
46,173,1.3
46,183,1.4
46,193,1.38
46,203,1.39
46,213,1.34
46,223,1.34
46,233,1.32
46,243,1.34
46,253,1.32
46,263,1.35
46,273,1.37
46,283,1.44
46,293,1.38
46,303,1.41
46,313,1.3
46,323,1.3
46,333,1.33
46,343,1.33
46,353,1.29
46,363,1.3
46,373,1.28
46,383,1.3
46,393,1.27
46,403,1.3
46,413,1.3
46,423,1.29
46,433,1.29
46,443,1.28
46,453,1.26
46,463,1.26
46,473,1.29
46,483,1.25
46,493,1.27
46,500,1.26
51,153,1.37
51,163,1.28
51,173,1.26
51,183,1.3
51,193,1.32
51,203,1.31
51,213,1.3
51,223,1.34
51,233,1.32
51,243,1.35
51,253,1.28
51,263,1.26
51,273,1.28
51,283,1.26
51,293,1.27
51,303,1.29
51,313,1.28
51,323,1.26
51,333,1.33
51,343,1.35
51,353,1.39
51,363,1.41
51,373,1.41
51,383,1.43
51,393,1.41
51,403,1.42
51,413,1.44
51,423,1.46
51,433,1.45
51,443,1.47
51,453,1.46
51,463,1.38
51,473,1.35
51,483,1.37
51,493,1.38
51,500,1.36
56,153,1.45
56,163,1.43
56,173,1.41
56,183,1.45
56,193,1.43
56,203,1.46
56,213,1.44
56,223,1.41
56,233,1.45
56,243,1.44
56,253,1.45
56,263,1.44
56,273,1.42
56,283,1.43
56,293,1.44
56,303,1.41
56,313,1.48
56,323,1.45
56,333,1.48
56,343,1.47
56,353,1.45
56,363,1.41
56,373,1.46
56,383,1.47
56,393,1.5
56,403,1.47
56,413,1.51
56,423,1.48
56,433,1.51
56,443,1.49
56,453,1.57
56,463,1.58
56,473,1.57
56,483,1.55
56,493,1.59
56,500,1.6
61,153,1.7
61,163,1.69
61,173,1.7
61,183,1.68
61,193,1.74
61,203,1.64
61,213,1.62
61,223,1.66
61,233,1.64
61,243,1.65
61,253,1.68
61,263,1.69
61,273,1.67
61,283,1.66
61,293,1.7
61,303,1.73
61,313,1.74
61,323,1.67
61,333,1.73
61,343,1.7
61,353,1.74
61,363,1.76
61,373,1.76
61,383,1.74
61,393,1.74
61,403,1.72
61,413,1.73
61,423,1.75
61,433,1.76
61,443,1.71
61,453,1.72
61,463,1.7
61,473,1.71
61,483,1.65
61,493,1.63
61,500,1.61
66,153,1.71
66,163,1.73
66,173,1.71
66,183,1.66
66,193,1.64
66,203,1.7
66,213,1.68
66,223,1.69
66,233,1.82
66,243,1.85
66,253,1.81
66,263,1.87
66,273,1.91
66,283,1.92
66,293,1.89
66,303,1.91
66,313,1.84
66,323,1.85
66,333,1.82
66,343,1.88
66,353,1.85
66,363,1.87
66,373,1.89
66,383,1.87
66,393,1.84
66,403,1.84
66,413,1.86
66,423,1.88
66,433,1.87
66,443,1.87
66,453,1.81
66,463,1.77
66,473,1.69
66,483,1.75
66,493,1.76
66,500,1.8
71,153,1.92
71,163,1.94
71,173,1.93
71,183,1.93
71,193,1.95
71,203,1.97
71,213,1.95
71,223,1.97
71,233,1.96
71,243,1.95
71,253,1.94
71,263,1.84
71,273,1.86
71,283,1.84
71,293,1.88
71,303,1.9
71,313,1.87
71,323,1.84
71,333,1.85
71,343,1.85
71,353,1.95
71,363,1.99
71,373,1.99
71,383,2.01
71,393,1.96
71,403,1.96
71,413,1.92
71,423,1.93
71,433,1.91
71,443,1.97
71,453,2.0
71,463,1.98
71,473,1.9
71,483,1.85
71,493,1.86
71,500,1.84
76,153,1.95
76,163,1.95
76,173,1.99
76,183,1.98
76,193,1.99
76,203,2.01
76,213,2.01
76,223,1.97
76,233,1.94
76,243,1.97
76,253,1.97
76,263,1.98
76,273,1.95
76,283,2.0
76,293,1.98
76,303,2.01
76,313,2.02
76,323,2.02
76,333,1.98
76,343,1.95
76,353,1.95
76,363,1.96
76,373,1.97
76,383,1.94
76,393,2.01
76,403,2.03
76,413,2.01
76,423,2.05
76,433,2.03
76,443,2.0
76,453,1.98
76,463,1.99
76,473,2.08
76,483,2.0
76,493,2.02
76,500,2.05
81,153,2.16
81,163,2.15
81,173,2.18
81,183,2.15
81,193,2.21
81,203,2.23
81,213,2.15
81,223,2.14
81,233,2.11
81,243,2.15
81,253,2.2
81,263,2.17
81,273,2.16
81,283,2.07
81,293,2.07
81,303,2.08
81,313,2.1
81,323,2.08
81,333,2.09
81,343,2.1
81,353,2.1
81,363,2.08
81,373,2.14
81,383,2.11
81,393,2.11
81,403,2.09
81,413,2.17
81,423,2.08
81,433,2.12
81,443,2.16
81,453,2.15
81,463,2.13
81,473,2.13
