bri,mired,watt
1,153,0.09
1,163,0.09
1,173,0.08
1,183,0.08
1,193,0.12
1,203,0.07
1,213,0.07
1,223,0.07
1,233,0.08
1,243,0.08
1,253,0.08
1,263,0.08
1,273,0.08
1,283,0.09
1,293,0.08
1,303,0.18
1,313,0.13
1,323,0.09
1,333,0.14
1,343,0.09
1,353,0.09
1,363,0.13
1,373,0.09
1,383,0.14
1,393,0.07
1,403,0.07
1,413,0.07
1,423,0.08
1,433,0.08
1,443,0.08
1,453,0.13
1,463,0.08
1,473,0.13
1,483,0.08
1,493,0.07
1,500,0.18
6,153,0.23
6,163,0.23
6,173,0.22
6,183,0.22
6,193,0.17
6,203,0.22
6,213,0.23
6,223,0.18
6,233,0.23
6,243,0.29
6,253,0.24
6,263,0.25
6,273,0.26
6,283,0.25
6,293,0.24
6,303,0.25
6,313,0.2
6,323,0.2
6,333,0.25
6,343,0.26
6,353,0.31
6,363,0.25
6,373,0.31
6,383,0.2
6,393,0.29
6,403,0.29
6,413,0.24
6,423,0.18
6,433,0.24
6,443,0.24
6,453,0.24
6,463,0.24
6,473,0.19
6,483,0.19
6,493,0.19
6,500,0.29
11,153,0.34
11,163,0.29
11,173,0.29
11,183,0.39
11,193,0.29
11,203,0.29
11,213,0.45
11,223,0.39
11,233,0.34
11,243,0.35
11,253,0.34
11,263,0.35
11,273,0.35
11,283,0.39
11,293,0.3
11,303,0.29
11,313,0.34
11,323,0.39
11,333,0.35
11,343,0.35
11,353,0.35
11,363,0.35
11,373,0.41
11,383,0.36
11,393,0.4
11,403,0.35
11,413,0.4
11,423,0.36
11,433,0.4
11,443,0.31
11,453,0.3
11,463,0.31
11,473,0.36
11,483,0.36
11,493,0.35
11,500,0.36
16,153,0.5
16,163,0.51
16,173,0.52
16,183,0.52
16,193,0.52
16,203,0.46
16,213,0.57
16,223,0.5
16,233,0.51
16,243,0.52
16,253,0.52
16,263,0.48
16,273,0.52
16,283,0.52
16,293,0.53
16,303,0.48
16,313,0.52
16,323,0.51
16,333,0.51
16,343,0.46
16,353,0.51
16,363,0.46
16,373,0.56
16,383,0.51
16,393,0.51
16,403,0.5
16,413,0.51
16,423,0.49
16,433,0.49
16,443,0.45
16,453,0.46
16,463,0.5
16,473,0.5
16,483,0.51
16,493,0.41
16,500,0.56
21,153,0.66
21,163,0.59
21,173,0.61
21,183,0.59
21,193,0.63
21,203,0.61
21,213,0.6
21,223,0.6
21,233,0.55
21,243,0.64
21,253,0.62
21,263,0.65
21,273,0.59
21,283,0.6
21,293,0.59
21,303,0.64
21,313,0.59
21,323,0.59
21,333,0.59
21,343,0.64
21,353,0.69
21,363,0.64
21,373,0.58
21,383,0.64
21,393,0.54
21,403,0.64
21,413,0.65
21,423,0.61
21,433,0.69
21,443,0.59
21,453,0.65
21,463,0.62
21,473,0.6
21,483,0.61
21,493,0.57
21,500,0.69
26,153,0.81
26,163,0.8
26,173,0.79
26,183,0.75
26,193,0.69
26,203,0.69
26,213,0.79
26,223,0.79
26,233,0.78
26,243,0.69
26,253,0.69
26,263,0.79
26,273,0.78
26,283,0.73
26,293,0.79
26,303,0.69
26,313,0.73
26,323,0.69
26,333,0.79
26,343,0.84
26,353,0.69
26,363,0.74
26,373,0.73
26,383,0.74
26,393,0.74
26,403,0.8
26,413,0.69
26,423,0.74
26,433,0.74
26,443,0.8
26,453,0.74
26,463,0.75
26,473,0.78
26,483,0.73
26,493,0.69
26,500,0.79
31,153,0.89
31,163,0.89
31,173,0.9
31,183,0.94
31,193,0.9
31,203,0.89
31,213,0.89
31,223,0.89
31,233,0.89
31,243,0.88
31,253,0.84
31,263,0.89
31,273,0.84
31,283,0.89
31,293,0.89
31,303,0.93
31,313,0.88
31,323,0.89
31,333,0.9
31,343,0.9
31,353,0.95
31,363,0.9
31,373,0.91
31,383,0.89
31,393,0.89
31,403,0.88
31,413,0.88
31,423,0.84
31,433,0.88
31,443,0.89
31,453,0.89
31,463,0.88
31,473,0.89
31,483,0.83
31,493,0.88
31,500,0.87
36,153,0.98
36,163,0.98
36,173,0.98
36,183,0.99
36,193,0.99
36,203,0.99
36,213,0.99
36,223,0.99
36,233,0.99
36,243,1.03
36,253,1.08
36,263,0.98
36,273,0.98
36,283,0.98
36,293,0.98
36,303,1.03
36,313,0.98
36,323,0.98
36,333,1.03
36,343,1.03
36,353,1.02
36,363,1.03
36,373,0.98
36,383,1.03
36,393,1.07
36,403,1.02
36,413,1.01
36,423,0.96
36,433,1.06
36,443,1.06
36,453,0.96
36,463,0.96
36,473,1.01
36,483,0.96
36,493,1.06
36,500,0.95
41,153,1.11
41,163,1.05
41,173,1.15
41,183,1.06
41,193,1.15
41,203,1.11
41,213,1.16
41,223,1.16
41,233,1.16
41,243,1.16
41,253,1.16
41,263,1.11
41,273,1.16
41,283,1.11
41,293,1.05
41,303,1.05
41,313,1.06
41,323,1.11
41,333,1.16
41,343,1.06
41,353,1.15
41,363,1.16
41,373,1.1
41,383,1.1
41,393,1.09
41,403,1.15
41,413,1.14
41,423,1.15
41,433,1.15
41,443,1.08
41,453,1.13
41,463,1.1
41,473,1.19
41,483,1.15
41,493,1.15
41,500,1.15
46,153,1.24
46,163,1.25
46,173,1.29
46,183,1.3
46,193,1.25
46,203,1.19
46,213,1.24
46,223,1.2
46,233,1.24
46,243,1.2
46,253,1.24
