bri,mired,watt
1,155,0.8
1,165,0.79
1,175,0.79
1,185,0.76
1,195,0.76
1,205,0.75
1,215,0.76
1,225,0.74
1,235,0.75
1,245,0.77
1,255,0.8
1,265,0.74
1,275,0.75
1,285,0.73
1,295,0.74
1,305,0.76
1,315,0.78
1,325,0.75
1,335,0.73
1,345,0.76
1,355,0.76
1,365,0.74
1,375,0.77
1,385,0.79
1,395,0.77
1,405,0.82
1,415,0.79
1,425,0.78
1,435,0.77
1,445,0.79
1,455,0.78
1,465,0.83
1,475,0.79
1,485,0.8
1,495,0.79
6,155,0.77
6,165,0.79
6,175,0.72
6,185,0.77
6,195,0.73
6,205,0.77
6,215,0.76
6,225,0.78
6,235,0.77
6,245,0.77
6,255,0.77
6,265,0.75
6,275,0.81
6,285,0.72
6,295,0.74
6,305,0.75
6,315,0.81
6,325,0.77
6,335,0.75
6,345,0.73
6,355,0.75
6,365,0.79
6,375,0.76
6,385,0.76
6,395,0.78
6,405,0.8
6,415,0.76
6,425,0.77
6,435,0.77
6,445,0.75
6,455,0.8
6,465,0.76
6,475,0.76
6,485,0.77
6,495,0.8
11,155,0.8
11,165,0.84
11,175,0.83
11,185,0.78
11,195,0.79
11,205,0.76
11,215,0.8
11,225,0.78
11,235,0.8
11,245,0.82
11,255,0.82
11,265,0.81
11,275,0.78
11,285,0.8
11,295,0.79
11,305,0.82
11,315,0.8
11,325,0.81
11,335,0.78
11,345,0.79
11,355,0.82
11,365,0.79
11,375,0.8
11,385,0.8
11,395,0.85
11,405,0.8
11,415,0.85
11,425,0.82
11,435,0.76
11,445,0.8
11,455,0.79
11,465,0.81
11,475,0.81
11,485,0.86
11,495,0.84
16,155,0.86
16,165,0.86
16,175,0.86
16,185,0.81
16,195,0.87
16,205,0.87
16,215,0.85
16,225,0.85
16,235,0.88
16,245,0.89
16,255,0.86
16,265,0.82
16,275,0.86
16,285,0.86
16,295,0.84
16,305,0.87
16,315,0.85
16,325,0.82
16,335,0.85
16,345,0.87
16,355,0.84
16,365,0.87
16,375,0.84
16,385,0.89
16,395,0.87
16,405,0.87
16,415,0.86
16,425,0.85
16,435,0.87
16,445,0.83
16,455,0.86
16,465,0.88
16,475,0.87
16,485,0.87
16,495,0.86
21,155,0.88
21,165,0.91
21,175,0.93
21,185,0.91
21,195,0.97
21,205,0.88
21,215,0.92
21,225,0.9
21,235,0.91
21,245,0.89
21,255,0.89
21,265,0.9
21,275,0.88
21,285,0.87
21,295,0.89
21,305,0.88
21,315,0.89
21,325,0.89
21,335,0.9
21,345,0.91
21,355,0.91
21,365,0.89
21,375,0.94
21,385,0.95
21,395,0.88
21,405,0.91
21,415,0.92
21,425,0.92
21,435,0.88
21,445,0.93
21,455,0.89
21,465,0.92
21,475,0.93
21,485,0.93
21,495,1.01
26,155,0.98
26,165,0.97
26,175,0.93
26,185,0.98
26,195,0.94
26,205,0.98
26,215,0.95
26,225,0.93
26,235,0.98
26,245,0.98
26,255,0.95
26,265,0.96
26,275,0.97
26,285,0.91
26,295,0.98
26,305,0.96
26,315,0.96
26,325,0.97
26,335,0.92
26,345,1.0
26,355,0.95
26,365,0.97
26,375,0.94
26,385,0.99
26,395,1.02
26,405,0.94
26,415,0.99
26,425,0.96
26,435,0.94
26,445,0.96
26,455,0.96
26,465,1.0
26,475,0.95
26,485,0.99
26,495,0.97
31,155,0.99
31,165,1.06
31,175,1.04
31,185,1.02
31,195,1.01
31,205,1.04
31,215,1.01
31,225,1.03
31,235,1.03
31,245,1.05
31,255,1.0
31,265,1.01
31,275,1.02
31,285,1.02
31,295,0.99
31,305,1.02
31,315,1.02
31,325,1.0
31,335,1.02
31,345,1.01
31,355,1.03
31,365,0.97
31,375,1.0
31,385,1.02
31,395,1.0
31,405,1.01
31,415,1.01
31,425,1.04
31,435,0.98
31,445,1.01
31,455,1.04
31,465,0.98
31,475,1.03
31,485,1.04
31,495,1.07
36,155,1.14
36,165,1.09
36,175,1.04
36,185,1.08
36,195,1.11
36,205,1.14
36,215,1.08
36,225,1.09
36,235,1.08
36,245,1.08
36,255,1.08
36,265,1.14
36,275,1.07
36,285,1.1
36,295,1.13
36,305,1.07
36,315,1.08
36,325,1.1
36,335,1.1
36,345,1.08
36,355,1.07
36,365,1.1
36,375,1.08
36,385,1.08
36,395,1.08
36,405,1.11
36,415,1.1
36,425,1.09
36,435,1.13
36,445,1.1
