bri,mired,watt
1,150,0.2
1,160,0.1
1,170,0.2
1,180,0.3
1,190,0.15
1,200,0.15
1,210,0.2
1,220,0.2
1,230,0.2
1,240,0.1
1,250,0.1
1,260,0.1
1,270,0.1
1,280,0.2
1,290,0.2
1,300,0.2
1,310,0.1
1,320,0.15
1,330,0.2
1,340,0.15
1,350,0.2
1,360,0.2
1,370,0.15
1,380,0.2
1,390,0.15
1,400,0.15
1,410,0.2
1,420,0.15
1,430,0.2
1,440,0.1
1,450,0.15
1,460,0.2
1,470,0.1
1,480,0.25
1,490,0.3
1,500,0.3
6,150,0.35
6,160,0.35
6,170,0.3
6,180,0.3
6,190,0.35
6,200,0.4
6,210,0.35
6,220,0.4
6,230,0.2
6,240,0.2
6,250,0.2
6,260,0.2
6,270,0.2
6,280,0.2
6,290,0.15
6,300,0.25
6,310,0.4
6,320,0.2
6,330,0.3
6,340,0.4
6,350,0.4
6,360,0.4
6,370,0.3
6,380,0.3
6,390,0.2
6,400,0.2
6,410,0.25
6,420,0.2
6,430,0.2
6,440,0.2
6,450,0.15
6,460,0.2
6,470,0.15
6,480,0.2
6,490,0.15
6,500,0.2
11,150,0.2
11,160,0.25
11,170,0.2
11,180,0.25
11,190,0.2
11,200,0.2
11,210,0.2
11,220,0.3
11,230,0.5
11,240,0.3
11,250,0.2
11,260,0.2
11,270,0.2
11,280,0.45
11,290,0.45
11,300,0.25
11,310,0.2
11,320,0.2
11,330,0.2
11,340,0.4
11,350,0.2
11,360,0.2
11,370,0.2
11,380,0.2
11,390,0.4
11,400,0.25
11,410,0.25
11,420,0.3
11,430,0.2
11,440,0.4
11,450,0.3
11,460,0.2
11,470,0.2
11,480,0.2
11,490,0.2
11,500,0.2
16,150,0.2
16,160,0.3
16,170,0.25
16,180,0.35
16,190,0.3
16,200,0.25
16,210,0.3
16,220,0.3
16,230,0.25
16,240,0.3
16,250,0.3
16,260,0.2
16,270,0.25
16,280,0.2
16,290,0.25
16,300,0.3
16,310,0.5
16,320,0.2
16,330,0.2
16,340,0.25
16,350,0.2
16,360,0.25
16,370,0.3
16,380,0.2
16,390,0.2
16,400,0.2
16,410,0.2
16,420,0.2
16,430,0.2
16,440,0.4
16,450,0.5
16,460,0.25
16,470,0.2
16,480,0.2
16,490,0.2
16,500,0.2
21,150,0.2
21,160,0.45
21,170,0.35
21,180,0.35
21,190,0.3
21,200,0.3
21,210,0.3
21,220,0.35
21,230,0.3
21,240,0.35
21,250,0.3
21,260,0.3
21,270,0.3
21,280,0.2
21,290,0.45
21,300,0.45
21,310,0.3
21,320,0.3
21,330,0.35
21,340,0.3
21,350,0.25
21,360,0.35
21,370,0.25
21,380,0.25
21,390,0.3
21,400,0.3
21,410,0.2
21,420,0.2
21,430,0.3
21,440,0.3
21,450,0.2
21,460,0.25
21,470,0.2
21,480,0.3
21,490,0.2
21,500,0.4
26,150,0.5
26,160,0.35
26,170,0.3
26,180,0.3
26,190,0.35
26,200,0.35
26,210,0.3
26,220,0.45
26,230,0.55
26,240,0.5
26,250,0.3
26,260,0.3
26,270,0.3
26,280,0.4
26,290,0.3
26,300,0.3
26,310,0.3
26,320,0.25
26,330,0.3
26,340,0.25
26,350,0.3
26,360,0.4
26,370,0.3
26,380,0.2
26,390,0.3
26,400,0.25
26,410,0.3
26,420,0.3
26,430,0.35
26,440,0.3
26,450,0.2
26,460,0.3
26,470,0.3
26,480,0.25
26,490,0.35
26,500,0.3
31,150,0.3
31,160,0.4
31,170,0.4
31,180,0.4
31,190,0.4
31,200,0.35
31,210,0.35
31,220,0.35
31,230,0.4
31,240,0.45
31,250,0.4
31,260,0.35
31,270,0.3
31,280,0.35
31,290,0.3
31,300,0.4
31,310,0.3
31,320,0.3
31,330,0.3
31,340,0.3
31,350,0.3
31,360,0.35
31,370,0.3
31,380,0.3
31,390,0.3
31,400,0.3
31,410,0.35
31,420,0.35
31,430,0.25
31,440,0.3
31,450,0.3
31,460,0.3
31,470,0.25
31,480,0.3
31,490,0.3
31,500,0.3
36,150,0.3
36,160,0.45
36,170,0.35
36,180,0.3
36,190,0.4
36,200,0.4
36,210,0.4
36,220,0.4
36,230,0.45
36,240,0.4
36,250,0.4
36,260,0.35
36,270,0.4
36,280,0.35
36,290,0.35
36,300,0.45
36,310,0.4
36,320,0.35
36,330,0.35
36,340,0.35
36,350,0.3
36,360,0.3
36,370,0.3
36,380,0.3
36,390,0.3
36,400,0.25
36,410,0.45
36,420,0.4
36,430,0.3
36,440,0.35
36,450,0.3
36,460,0.3
36,470,0.3
36,480,0.3
36,490,0.3
36,500,0.3
41,150,0.4
41,160,0.45
41,170,0.4
41,180,0.5
41,190,0.4
41,200,0.45
41,210,0.5
41,220,0.6
41,230,0.6
41,240,0.35
41,250,0.4
41,260,0.4
41,270,0.35
41,280,0.4
41,290,0.35
41,300,0.4
41,310,0.35
41,320,0.35
41,330,0.3
41,340,0.45
41,350,0.3
41,360,0.3
41,370,0.4
41,380,0.35
41,390,0.3
41,400,0.3
41,410,0.3
41,420,0.3
41,430,0.4
41,440,0.3
41,450,0.35
41,460,0.4
41,470,0.45
41,480,0.35
41,490,0.3
41,500,0.35
46,150,0.5
46,160,0.5
46,170,0.45
46,180,0.45
46,190,0.4
46,200,0.4
46,210,0.4
46,220,0.5
46,230,0.6
46,240,0.45
46,250,0.4
46,260,0.45
46,270,0.45
46,280,0.4
46,290,0.4
46,300,0.4
46,310,0.4
46,320,0.45
46,330,0.4
46,340,0.35
46,350,0.4
46,360,0.35
46,370,0.4
46,380,0.4
46,390,0.3
46,400,0.35
46,410,0.45
46,420,0.6
46,430,0.35
46,440,0.3
46,450,0.4
46,460,0.35
46,470,0.3
46,480,0.5
46,490,0.35
46,500,0.4
51,150,0.5
51,160,0.5
51,170,0.45
51,180,0.5
51,190,0.45
51,200,0.4
51,210,0.45
51,220,0.4
51,230,0.45
51,240,0.45
51,250,0.45
51,260,0.4
51,270,0.4
51,280,0.45
51,290,0.45
51,300,0.4
51,310,0.55
51,320,0.4
51,330,0.4
51,340,0.45
51,350,0.45
51,360,0.35
51,370,0.45
51,380,0.4
51,390,0.4
51,400,0.5
51,410,0.55
51,420,0.35
51,430,0.45
51,440,0.4
51,450,0.3
51,460,0.4
51,470,0.4
51,480,0.3
51,490,0.35
51,500,0.3
56,150,0.55
56,160,0.5
56,170,0.5
56,180,0.5
56,190,0.55
56,200,0.6
56,210,0.7
56,220,0.65
56,230,0.65
56,240,0.5
56,250,0.5
56,260,0.6
56,270,0.45
56,280,0.45
56,290,0.5
56,300,0.45
56,310,0.5
56,320,0.45
56,330,0.45
56,340,0.45
56,350,0.55
56,360,0.4
56,370,0.4
56,380,0.5
56,390,0.45
56,400,0.4
56,410,0.4
56,420,0.4
56,430,0.45
56,440,0.45
56,450,0.4
56,460,0.4
56,470,0.45
56,480,0.4
56,490,0.4
56,500,0.4
61,150,0.6
61,160,0.6
61,170,0.6
61,180,0.65
61,190,0.75
61,200,0.65
61,210,0.6
61,220,0.5
61,230,0.5
61,240,0.55
61,250,0.5
61,260,0.55
61,270,0.55
61,280,0.65
61,290,0.55
61,300,0.55
61,310,0.65
61,320,0.7
61,330,0.65
61,340,0.75
61,350,0.55
61,360,0.45
61,370,0.5
61,380,0.45
61,390,0.45
61,400,0.5
61,410,0.4
61,420,0.6
61,430,0.5
61,440,0.45
61,450,0.5
61,460,0.55
61,470,0.6
61,480,0.6
61,490,0.6
61,500,0.65
66,150,0.85
66,160,0.9
66,170,0.85
66,180,0.85
66,190,0.6
66,200,0.65
66,210,0.6
66,220,0.6
66,230,0.6
66,240,0.6
66,250,0.6
66,260,0.55
66,270,0.6
66,280,0.55
66,290,0.6
66,300,0.5
66,310,0.6
66,320,0.55
66,330,0.55
66,340,0.55
66,350,0.5
66,360,0.5
66,370,0.5
66,380,0.5
66,390,0.55
66,400,0.55
66,410,0.55
66,420,0.5
66,430,0.55
66,440,0.55
66,450,0.5
66,460,0.5
66,470,0.5
66,480,0.5
66,490,0.5
66,500,0.5
71,150,1.0
71,160,1.0
71,170,0.8
71,180,0.75
71,190,0.7
71,200,0.75
71,210,0.65
71,220,0.75
71,230,0.65
71,240,0.7
71,250,0.65
71,260,0.75
71,270,0.8
71,280,0.8
71,290,0.6
71,300,0.6
71,310,0.6
71,320,0.6
71,330,0.55
71,340,0.7
71,350,0.6
71,360,0.65
71,370,0.6
71,380,0.6
71,390,0.6
71,400,0.6
71,410,0.6
71,420,0.6
71,430,0.55
71,440,0.6
71,450,0.55
71,460,0.6
71,470,0.6
71,480,0.55
71,490,0.7
71,500,0.7
76,150,1.1
76,160,0.9
76,170,0.9
76,180,0.9
76,190,0.8
76,200,0.85
76,210,0.75
76,220,0.75
76,230,0.75
76,240,0.7
76,250,0.75
76,260,0.65
76,270,0.75
76,280,0.65
76,290,0.7
76,300,0.7
76,310,0.7
76,320,0.6
76,330,0.65
76,340,0.7
76,350,0.7
76,360,0.65
76,370,0.6
76,380,0.65
76,390,0.65
76,400,0.65
76,410,0.65
76,420,0.6
76,430,0.65
76,440,0.65
76,450,0.65
76,460,0.6
76,470,0.55
76,480,0.6
76,490,0.65
76,500,0.55
81,150,1.05
81,160,1.1
81,170,1.15
81,180,1.2
81,190,1.1
81,200,1.05
81,210,1.0
81,220,0.95
81,230,0.85
81,240,0.85
81,250,0.8
81,260,0.8
81,270,0.75
81,280,0.8
81,290,0.8
81,300,0.75
81,310,0.75
81,320,0.75
81,330,0.8
81,340,0.9
81,350,0.85
81,360,0.9
81,370,0.85
81,380,0.9
81,390,0.9
81,400,0.85
81,410,0.9
