bri,mired,watt
6,153,0.427
6,163,0.42
6,183,0.42
6,203,0.4
6,223,0.4
6,233,0.42
6,243,0.43
6,253,0.38
6,263,0.43
6,283,0.37
6,293,0.38
6,303,0.52
6,313,0.38
6,323,0.45
6,333,0.45
6,343,0.43
6,363,0.45
6,371,0.45
11,153,0.53
11,163,0.53
11,173,0.52
11,183,0.53
11,193,0.53
11,203,0.52
11,213,0.53
11,223,0.53
11,233,0.53
11,243,0.55
11,253,0.55
11,263,0.55
11,273,0.52
11,283,0.5
11,293,0.53
11,303,0.53
11,313,0.52
11,323,0.53
11,333,0.55
11,343,0.52
11,353,0.52
11,363,0.52
11,371,0.52
16,153,0.6
16,163,0.65
16,173,0.62
16,183,0.62
16,193,0.67
16,203,0.63
16,213,0.63
16,223,0.65
16,233,0.63
16,243,0.62
16,253,0.63
16,263,0.65
16,273,0.62
16,283,0.63
16,293,0.63
16,303,0.63
16,313,0.63
16,323,0.63
16,333,0.63
16,343,0.62
16,353,0.62
16,363,0.67
16,371,0.67
21,153,0.72
21,163,0.77
21,173,0.72
21,183,0.77
21,193,0.75
21,203,0.7
21,213,0.7
21,223,0.75
21,233,0.72
21,243,0.73
21,253,0.73
21,263,0.72
21,273,0.75
21,283,0.73
21,293,0.73
21,303,0.72
21,313,0.73
21,323,0.7
21,333,0.73
21,343,0.73
21,353,0.73
21,363,0.72
21,371,0.73
26,153,0.85
26,163,0.82
26,173,0.8
26,183,0.82
26,193,0.82
26,203,0.82
26,213,0.85
26,223,0.82
26,233,0.83
26,243,0.82
26,253,0.83
26,263,0.82
26,273,0.88
26,283,0.82
26,293,0.82
26,303,0.83
26,313,0.85
26,323,0.85
26,333,0.85
26,343,0.8
26,353,0.85
26,363,0.83
26,371,0.85
31,153,0.92
31,163,0.9
31,173,0.92
31,183,0.93
31,193,0.92
31,203,0.92
31,213,0.95
31,223,0.93
31,233,0.93
31,243,0.95
31,253,0.92
31,263,0.93
31,273,0.92
31,283,0.93
31,293,0.9
31,303,0.9
31,313,0.9
31,323,0.95
31,333,0.92
31,343,0.93
31,353,0.93
31,363,0.95
31,371,0.95
36,153,1.02
36,163,1.03
36,173,1.02
36,183,1.03
36,193,1.05
36,203,1.02
36,213,1.02
36,223,1.0
36,233,1.03
36,243,1.03
36,253,1.0
36,263,1.02
36,273,1.02
36,283,1.02
36,293,1.08
36,303,1.03
36,313,1.02
36,323,1.02
36,333,1.02
36,343,1.03
36,353,1.02
36,363,1.03
36,371,1.02
41,153,1.13
41,163,1.1
41,173,1.1
41,183,1.1
41,193,1.1
41,203,1.13
41,213,1.13
41,223,1.12
41,233,1.17
41,243,1.13
41,253,1.15
41,263,1.12
41,273,1.08
41,283,1.13
41,293,1.13
41,303,1.12
41,313,1.1
41,323,1.15
41,333,1.13
41,343,1.12
41,353,1.13
41,363,1.12
41,371,1.13
46,153,1.2
46,163,1.18
46,173,1.22
46,183,1.22
46,193,1.2
46,203,1.23
46,213,1.23
46,223,1.22
46,233,1.22
46,243,1.23
46,253,1.28
46,263,1.28
46,273,1.22
46,283,1.18
46,293,1.18
46,303,1.22
46,313,1.22
46,323,1.22
46,333,1.22
46,343,1.23
46,353,1.27
46,363,1.18
46,371,1.25
51,153,1.28
51,163,1.3
51,173,1.3
51,183,1.3
51,193,1.3
51,203,1.33
51,213,1.28
51,223,1.3
51,233,1.3
51,243,1.33
51,253,1.3
51,263,1.33
51,273,1.32
51,283,1.32
51,293,1.35
51,303,1.38
51,313,1.3
51,323,1.33
51,333,1.33
51,343,1.33
51,353,1.3
51,363,1.32
51,371,1.37
56,153,1.4
56,163,1.42
56,173,1.4
56,183,1.4
56,193,1.43
56,203,1.42
56,213,1.42
56,223,1.4
56,233,1.47
56,243,1.43
56,253,1.42
56,263,1.38
56,273,1.42
56,283,1.43
56,293,1.4
56,303,1.45
56,313,1.47
56,323,1.42
56,333,1.43
56,343,1.43
56,353,1.4
56,363,1.4
56,371,1.43
61,153,1.48
61,163,1.52
61,173,1.53
61,183,1.5
61,193,1.53
61,203,1.5
61,213,1.55
61,223,1.52
61,233,1.53
61,243,1.53
61,253,1.55
61,263,1.53
61,273,1.5
61,283,1.5
61,293,1.52
61,303,1.52
61,313,1.53
61,323,1.52
61,333,1.52
61,343,1.53
61,353,1.53
61,363,1.55
61,371,1.5
66,153,1.55
66,163,1.57
66,173,1.6
66,183,1.55
66,193,1.57
66,203,1.62
66,213,1.57
66,223,1.57
66,233,1.55
66,243,1.63
66,253,1.58
66,263,1.53
66,273,1.53
66,283,1.57
66,293,1.58
66,303,1.6
66,313,1.58
66,323,1.53
66,333,1.58
66,343,1.57
66,353,1.55
66,363,1.57
66,371,1.58
71,153,1.63
71,163,1.63
71,173,1.65
71,183,1.68
71,193,1.68
71,203,1.72
71,213,1.68
71,223,1.68
71,233,1.63
71,243,1.63
71,253,1.67
71,263,1.63
71,273,1.63
71,283,1.67
71,293,1.67
71,303,1.67
71,313,1.65
71,323,1.67
71,333,1.65
71,343,1.7
71,353,1.68
71,363,1.7
71,371,1.65
76,153,1.73
76,163,1.78
76,173,1.75
76,183,1.73
76,193,1.73
76,203,1.77
76,213,1.77
76,223,1.75
76,233,1.73
76,243,1.82
76,253,1.77
76,263,1.77
76,273,1.78
76,283,1.78
76,293,1.72
76,303,1.77
76,313,1.75
76,323,1.72
76,333,1.77
76,343,1.78
76,353,1.77
76,363,1.8
76,371,1.78
81,153,1.85
81,163,1.85
81,173,1.85
81,183,1.85
81,193,1.9
81,203,1.87
81,213,1.85
81,223,1.85
81,233,1.88
81,243,1.88
81,253,1.87
81,263,1.83
81,273,1.83
81,283,1.87
81,293,1.85
81,303,1.9
81,313,1.87
81,323,1.87
81,333,1.88
81,343,1.85
81,353,1.88
81,363,1.82
81,371,1.88
86,153,1.95
86,163,1.97
86,173,1.98
86,183,1.97
86,193,1.92
86,203,1.92
86,213,1.95
86,223,1.97
86,233,1.97
86,243,1.95
86,253,1.97
86,263,1.97
86,273,1.95
86,283,1.95
86,293,1.93
86,303,1.93
86,313,1.97
86,323,1.97
86,333,1.93
86,343,1.93
86,353,1.97
86,363,1.98
86,371,2.0
91,153,2.02
91,163,2.03
91,173,2.05
91,183,2.07
91,193,2.05
91,203,2.05
91,213,2.05
91,223,2.03
91,233,2.07
91,243,2.07
91,253,2.05
91,263,2.08
91,273,2.03
91,283,2.05
91,293,2.05
91,303,2.08
91,313,2.05
91,323,2.05
91,333,2.03
91,343,2.08
91,353,2.07
91,363,2.08
91,371,2.05
96,153,2.12
96,163,2.13
96,173,2.12
96,183,2.15
96,193,2.13
96,203,2.15
96,213,2.13
96,223,2.17
96,233,2.15
96,243,2.15
96,253,2.13
96,263,2.15
96,273,2.15
96,283,2.15
96,293,2.18
96,303,2.17
96,313,2.17
96,323,2.18
96,333,2.18
96,343,2.17
96,353,2.2
96,363,2.17
96,371,2.17
101,153,2.23
101,163,2.22
101,173,2.25
101,183,2.25
101,193,2.25
101,203,2.2
101,213,2.23
101,223,2.25
101,233,2.25
101,243,2.25
101,253,2.25
101,263,2.25
101,273,2.28
101,283,2.28
101,293,2.23
101,303,2.25
101,313,2.27
101,323,2.28
101,333,2.25
101,343,2.27
101,353,2.25
101,363,2.27
101,371,2.25
106,153,2.35
106,163,2.37
106,173,2.37
