bri,hue,sat,watt
3,5463,1,0.5
3,27311,1,0.37
3,5463,65,0.48
3,10925,65,0.5
3,16387,65,0.47
3,21849,65,0.47
3,27311,65,0.4
3,32773,65,0.58
3,38235,65,0.45
3,43697,65,0.43
3,49159,65,0.47
3,54621,65,0.38
3,60083,65,0.52
3,65535,65,0.42
3,10925,129,0.48
3,60083,129,0.5
3,10925,193,0.43
3,16387,193,0.4
3,27311,193,0.37
3,54621,193,0.53
3,60083,193,0.35
3,65535,193,0.5
3,5463,255,0.4
3,10925,255,0.43
3,16387,255,0.4
67,1,1,0.48
67,5463,1,0.57
67,10925,1,0.58
67,16387,1,0.6
67,21849,1,0.57
67,27311,1,0.58
67,32773,1,0.58
67,38235,1,0.63
67,43697,1,0.55
67,49159,1,0.52
67,54621,1,0.57
67,60083,1,0.55
67,65535,1,0.58
67,1,65,0.85
67,5463,65,0.95
67,10925,65,1.1
67,16387,65,0.98
67,21849,65,0.98
67,27311,65,0.82
67,32773,65,1.02
67,38235,65,0.88
67,43697,65,0.83
67,49159,65,0.87
67,54621,65,1.0
67,60083,65,0.93
67,65535,65,1.0
67,1,129,0.78
67,5463,129,0.9
67,10925,129,1.02
67,16387,129,0.95
67,21849,129,0.8
67,27311,129,0.8
67,32773,129,0.85
67,38235,129,0.75
67,43697,129,0.62
67,49159,129,0.7
67,54621,129,0.8
67,60083,129,0.85
67,65535,129,0.9
67,1,193,0.72
67,5463,193,0.78
67,10925,193,0.87
67,16387,193,0.9
67,21849,193,0.68
67,27311,193,0.63
67,32773,193,0.78
67,38235,193,0.62
67,43697,193,0.55
67,49159,193,0.55
67,54621,193,0.77
67,60083,193,0.77
67,65535,193,0.83
67,1,255,0.7
67,5463,255,0.78
67,10925,255,0.83
67,16387,255,0.8
67,21849,255,0.75
67,27311,255,0.68
67,32773,255,0.68
67,38235,255,0.62
67,43697,255,0.45
67,49159,255,0.45
67,54621,255,0.73
67,60083,255,0.77
67,65535,255,0.75
131,1,1,0.67
131,5463,1,0.82
131,10925,1,0.77
131,16387,1,0.77
131,21849,1,0.73
131,27311,1,0.78
131,32773,1,0.78
131,38235,1,0.77
131,43697,1,0.75
131,49159,1,0.77
131,54621,1,0.77
131,60083,1,0.82
131,65535,1,0.77
131,1,65,1.43
131,5463,65,1.57
131,10925,65,1.67
131,16387,65,1.72
131,21849,65,1.52
131,27311,65,1.48
131,32773,65,1.57
131,38235,65,1.45
131,43697,65,1.3
131,49159,65,1.27
131,54621,65,1.6
131,60083,65,1.63
131,65535,65,1.55
131,1,129,1.22
131,5463,129,1.42
131,10925,129,1.53
131,16387,129,1.55
131,21849,129,1.15
131,27311,129,1.22
131,32773,129,1.25
131,38235,129,1.17
131,43697,129,0.92
131,49159,129,0.83
131,54621,129,1.33
131,60083,129,1.38
131,65535,129,1.33
131,1,193,1.12
131,5463,193,1.22
131,10925,193,1.38
131,16387,193,1.38
131,21849,193,1.1
131,27311,193,0.97
131,32773,193,1.13
131,38235,193,1.0
131,43697,193,0.73
131,49159,193,0.7
131,54621,193,1.03
131,60083,193,1.25
131,65535,193,1.3
131,1,255,1.08
131,5463,255,1.12
131,10925,255,1.35
131,16387,255,1.23
131,21849,255,0.98
131,27311,255,0.95
131,32773,255,1.1
131,38235,255,0.92
131,43697,255,0.62
131,49159,255,0.58
131,54621,255,1.0
131,60083,255,1.22
131,65535,255,1.18
195,1,1,0.88
195,5463,1,0.95
195,10925,1,0.95
195,16387,1,0.95
195,21849,1,1.0
195,27311,1,0.97
195,32773,1,0.92
195,38235,1,0.97
195,43697,1,0.95
195,49159,1,0.97
195,54621,1,0.93
195,60083,1,0.95
195,65535,1,0.97
195,1,65,2.08
195,5463,65,2.28
195,10925,65,2.43
195,16387,65,2.35
195,21849,65,2.12
195,27311,65,1.98
195,32773,65,2.1
195,38235,65,1.97
195,43697,65,1.78
195,49159,65,1.7
195,54621,65,2.02
195,60083,65,2.17
195,65535,65,2.15
195,1,129,1.68
195,5463,129,1.93
195,10925,129,2.1
195,16387,129,2.13
195,21849,129,1.7
195,27311,129,1.57
195,32773,129,1.63
195,38235,129,1.55
195,43697,129,1.15
195,49159,129,1.17
195,54621,129,1.52
195,60083,129,1.88
195,65535,129,1.8
195,1,193,1.53
195,5463,193,1.67
195,10925,193,1.93
195,16387,193,1.87
195,21849,193,1.47
195,27311,193,1.42
195,32773,193,1.55
195,38235,193,1.03
195,43697,193,0.77
195,49159,193,0.8
195,54621,193,1.27
195,60083,193,1.7
195,65535,193,1.62
195,1,255,1.45
195,5463,255,1.55
195,10925,255,1.77
195,16387,255,1.72
195,21849,255,1.32
195,27311,255,1.23
195,32773,255,1.5
195,38235,255,0.85
195,43697,255,0.82
195,49159,255,0.77
195,54621,255,1.23
195,60083,255,1.65
195,65535,255,1.58
255,1,1,1.08
255,5463,1,1.17
255,10925,1,1.13
255,16387,1,1.17
255,21849,1,1.13
255,27311,1,1.25
255,32773,1,1.12
255,38235,1,1.17
255,43697,1,1.18
255,49159,1,1.13
255,54621,1,1.18
255,60083,1,1.18
255,65535,1,1.15
255,1,65,2.7
255,5463,65,2.92
255,10925,65,3.13
255,16387,65,3.02
255,21849,65,2.72
255,27311,65,2.62
255,32773,65,2.68
255,38235,65,2.55
255,43697,65,2.15
255,49159,65,2.23
255,54621,65,2.85
255,60083,65,2.85
255,65535,65,2.87
255,1,129,2.22
255,5463,129,2.4
255,10925,129,2.88
255,16387,129,2.8
255,21849,129,2.13
255,27311,129,2.02
255,32773,129,2.13
255,38235,129,1.82
255,43697,129,1.45
255,49159,129,1.48
255,54621,129,2.3
255,60083,129,2.43
255,65535,129,2.35
255,1,193,2.0
255,5463,193,2.17
255,10925,193,2.8
255,16387,193,2.47
255,21849,193,1.85
255,27311,193,1.7
255,32773,193,1.8
255,38235,193,1.58
255,43697,193,1.03
255,49159,193,1.13
255,54621,193,1.67
255,60083,193,2.17
255,65535,193,2.1
255,1,255,1.93
255,5463,255,2.0
255,10925,255,2.48
255,16387,255,2.05
255,21849,255,1.63
255,27311,255,1.63
255,32773,255,1.95
255,38235,255,1.52
255,43697,255,0.92
255,49159,255,0.9
255,54621,255,1.55
255,60083,255,2.17
255,65535,255,2.03
