bri,mired,watt
3,153,0.43
3,163,0.41
3,173,0.4
3,183,0.38
3,193,0.5
3,203,0.38
3,213,0.39
3,223,0.4
3,233,0.38
3,243,0.38
3,253,0.39
3,263,0.42
3,273,0.39
3,283,0.41
3,293,0.39
3,303,0.4
3,313,0.36
3,323,0.49
3,333,0.4
3,343,0.42
3,353,0.4
3,363,0.41
3,371,0.39
8,153,0.47
8,163,0.5
8,173,0.5
8,183,0.5
8,193,0.51
8,203,0.46
8,213,0.52
8,223,0.49
8,233,0.45
8,243,0.45
8,253,0.48
8,263,0.47
8,273,0.46
8,283,0.47
8,293,0.51
8,303,0.53
8,313,0.46
8,323,0.47
8,333,0.48
8,343,0.45
8,353,0.49
8,363,0.48
8,371,0.47
13,153,0.55
13,163,0.54
13,173,0.57
13,183,0.61
13,193,0.56
13,203,0.55
13,213,0.57
13,223,0.54
13,233,0.57
13,243,0.54
13,253,0.56
13,263,0.61
13,273,0.57
13,283,0.57
13,293,0.56
13,303,0.58
13,313,0.61
13,323,0.56
13,333,0.56
13,343,0.56
13,353,0.55
13,363,0.56
13,371,0.56
18,153,0.64
18,163,0.65
18,173,0.65
18,183,0.64
18,193,0.62
18,203,0.64
18,213,0.71
18,223,0.63
18,233,0.63
18,243,0.64
18,253,0.64
18,263,0.65
18,273,0.62
18,283,0.64
18,293,0.66
18,303,0.63
18,313,0.65
18,323,0.65
18,333,0.64
18,343,0.76
18,353,0.65
18,363,0.67
18,371,0.64
23,153,0.72
23,163,0.72
23,173,0.73
23,183,0.74
23,193,0.77
23,203,0.72
23,213,0.73
23,223,0.7
23,233,0.71
23,243,0.78
23,253,0.75
23,263,0.75
23,273,0.74
23,283,0.77
23,293,0.76
23,303,0.78
23,313,0.75
23,323,0.76
23,333,0.74
23,343,0.74
23,353,0.73
23,363,0.76
23,371,0.76
28,153,0.86
28,163,0.83
28,173,0.82
28,183,0.82
28,193,0.83
28,203,0.85
28,213,0.83
28,223,0.84
28,233,0.79
28,243,0.8
28,253,0.81
28,263,0.82
28,273,0.81
28,283,0.8
28,293,0.8
28,303,0.8
28,313,0.79
28,323,0.79
28,333,0.87
28,343,0.8
28,353,0.77
28,363,0.79
28,371,0.79
33,153,0.88
33,163,0.88
33,173,0.92
33,183,0.93
33,193,0.89
33,203,0.94
33,213,0.92
33,223,0.94
33,233,0.98
33,243,0.95
33,253,0.95
33,263,0.94
33,273,0.93
33,283,0.91
33,293,0.96
33,303,0.92
33,313,0.96
33,323,0.91
33,333,0.92
33,343,0.94
33,353,0.95
33,363,0.97
33,371,0.93
38,153,1.02
38,163,1.02
38,173,1.02
38,183,1.02
38,193,1.06
38,203,0.99
38,213,1.0
38,223,1.01
38,233,0.99
38,243,0.99
38,253,0.97
38,263,1.04
38,273,1.03
38,283,0.99
38,293,1.02
38,303,0.98
38,313,0.97
38,323,1.01
38,333,0.99
38,343,0.98
38,353,0.99
38,363,1.0
38,371,1.0
43,153,1.06
43,163,1.07
43,173,1.08
43,183,1.08
43,193,1.06
43,203,1.07
43,213,1.11
43,223,1.11
43,233,1.08
43,243,1.08
43,253,1.09
43,263,1.08
43,273,1.09
43,283,1.07
43,293,1.06
43,303,1.09
43,313,1.07
43,323,1.08
