bri,hue,sat,watt
3,1,1,0.4
3,2732,1,0.44
3,5463,1,0.45
3,8194,1,0.4
3,10925,1,0.38
3,13656,1,0.39
3,16387,1,0.43
3,19118,1,0.41
3,21849,1,0.47
3,24580,1,0.4
3,27311,1,0.43
3,30042,1,0.41
3,32773,1,0.37
3,35504,1,0.4
3,38235,1,0.41
3,40966,1,0.41
3,43697,1,0.42
3,46428,1,0.39
3,49159,1,0.4
3,51890,1,0.41
3,54621,1,0.41
3,57352,1,0.46
3,60083,1,0.41
3,62814,1,0.41
3,65535,1,0.42
3,1,33,0.57
3,2732,33,0.64
3,5463,33,0.69
3,8194,33,0.66
3,10925,33,0.64
3,13656,33,0.64
3,16387,33,0.67
3,19118,33,0.67
3,21849,33,0.64
3,24580,33,0.65
3,27311,33,0.63
3,30042,33,0.62
3,32773,33,0.64
3,35504,33,0.65
3,38235,33,0.67
3,40966,33,0.69
3,43697,33,0.66
3,46428,33,0.65
3,49159,33,0.65
3,51890,33,0.68
3,54621,33,0.68
3,57352,33,0.65
3,60083,33,0.64
3,62814,33,0.67
3,65535,33,0.66
3,1,65,0.61
3,2732,65,0.59
3,5463,65,0.62
3,8194,65,0.69
3,10925,65,0.68
3,13656,65,0.62
3,16387,65,0.62
3,19118,65,0.63
3,21849,65,0.62
3,24580,65,0.63
3,27311,65,0.59
3,30042,65,0.63
3,32773,65,0.64
3,35504,65,0.61
3,38235,65,0.63
3,40966,65,0.62
3,43697,65,0.66
3,46428,65,0.64
3,49159,65,0.6
3,51890,65,0.64
3,54621,65,0.62
3,57352,65,0.64
3,60083,65,0.65
3,62814,65,0.66
3,65535,65,0.61
3,1,97,0.53
3,2732,97,0.56
3,5463,97,0.58
3,8194,97,0.62
3,10925,97,0.62
3,13656,97,0.63
3,16387,97,0.57
3,19118,97,0.58
3,21849,97,0.56
3,24580,97,0.54
3,27311,97,0.66
3,30042,97,0.57
3,32773,97,0.62
3,35504,97,0.57
3,38235,97,0.57
3,40966,97,0.56
3,43697,97,0.58
3,46428,97,0.57
3,49159,97,0.59
3,51890,97,0.58
3,54621,97,0.59
3,57352,97,0.62
3,60083,97,0.62
3,62814,97,0.66
3,65535,97,0.57
3,1,129,0.53
3,2732,129,0.51
3,5463,129,0.55
3,8194,129,0.55
3,10925,129,0.64
3,13656,129,0.64
3,16387,129,0.58
3,19118,129,0.54
3,21849,129,0.52
3,24580,129,0.53
3,27311,129,0.53
3,30042,129,0.6
3,32773,129,0.56
3,35504,129,0.61
3,38235,129,0.54
3,40966,129,0.54
3,43697,129,0.54
3,46428,129,0.57
3,49159,129,0.56
3,51890,129,0.56
3,54621,129,0.62
