bri,mired,watt
1,111,1.35
1,121,1.4
1,131,1.4
1,141,1.4
1,151,1.4
1,161,1.35
1,171,1.35
1,181,1.4
1,191,1.35
1,201,1.4
1,211,1.4
1,221,1.4
1,231,1.4
1,241,1.4
1,251,1.4
1,261,1.35
1,271,1.4
1,281,1.4
1,291,1.45
1,301,1.4
1,311,1.4
1,321,1.4
1,331,1.4
1,341,1.35
1,351,1.4
1,361,1.4
1,371,1.4
1,381,1.4
1,391,1.4
1,401,1.4
1,411,1.4
1,421,1.4
1,431,1.45
1,441,1.45
1,451,1.4
1,461,1.4
1,471,1.4
1,481,1.45
1,491,1.5
1,500,1.45
6,111,1.4
6,121,1.4
6,131,1.4
6,141,1.4
6,151,1.4
6,161,1.4
6,171,1.4
6,181,1.35
6,191,1.35
6,201,1.35
6,211,1.4
6,221,1.3
6,231,1.4
6,241,1.45
6,251,1.4
6,261,1.4
6,271,1.4
6,281,1.4
6,291,1.4
6,301,1.35
6,311,1.4
6,321,1.4
6,331,1.4
6,341,1.4
6,351,1.4
6,361,1.4
6,371,1.4
6,381,1.4
6,391,1.4
6,401,1.45
6,411,1.4
6,421,1.4
6,431,1.4
6,441,1.4
6,451,1.4
6,461,1.4
6,471,1.45
6,481,1.4
6,491,1.4
6,500,1.4
11,111,1.35
11,121,1.4
11,131,1.4
11,141,1.4
11,151,1.4
11,161,1.45
11,171,1.35
11,181,1.4
11,191,1.3
11,201,1.35
11,211,1.4
11,221,1.35
11,231,1.4
11,241,1.4
11,251,1.4
11,261,1.4
11,271,1.35
11,281,1.4
11,291,1.45
11,301,1.4
11,311,1.4
11,321,1.4
11,331,1.4
11,341,1.35
11,351,1.4
11,361,1.4
11,371,1.4
11,381,1.4
11,391,1.45
11,401,1.4
11,411,1.45
11,421,1.4
11,431,1.4
11,441,1.4
11,451,1.4
11,461,1.4
11,471,1.4
11,481,1.45
11,491,1.4
11,500,1.45
16,111,1.45
16,121,1.5
16,131,1.5
16,141,1.55
16,151,1.55
16,161,1.5
16,171,1.5
16,181,1.55
16,191,1.5
16,201,1.5
16,211,1.5
16,221,1.5
16,231,1.5
16,241,1.55
16,251,1.5
16,261,1.5
16,271,1.5
16,281,1.5
16,291,1.5
16,301,1.5
16,311,1.5
16,321,1.5
16,331,1.5
16,341,1.5
16,351,1.5
16,361,1.5
16,371,1.5
16,381,1.55
16,391,1.55
16,401,1.5
16,411,1.5
16,421,1.5
16,431,1.55
16,441,1.55
16,451,1.5
16,461,1.5
16,471,1.5
16,481,1.5
16,491,1.55
16,500,1.5
21,111,1.7
21,121,1.75
21,131,1.75
21,141,1.7
21,151,1.8
21,161,1.7
21,171,1.7
21,181,1.75
21,191,1.7
21,201,1.75
21,211,1.7
21,221,1.75
21,231,1.75
21,241,1.7
21,251,1.75
21,261,1.75
21,271,1.75
21,281,1.75
21,291,1.75
21,301,1.7
21,311,1.7
21,321,1.75
21,331,1.7
21,341,1.7
21,351,1.75
21,361,1.75
21,371,1.8
21,381,1.8
21,391,1.8
21,401,1.8
21,411,1.75
21,421,1.75
21,431,1.8
21,441,1.8
21,451,1.8
21,461,1.8
21,471,1.8
21,481,1.7
21,491,1.8
21,500,1.75
26,111,2.0
26,121,1.95
26,131,2.0
26,141,2.0
26,151,2.0
26,161,1.95
26,171,1.9
26,181,1.95
26,191,1.95
26,201,1.95
26,211,2.0
26,221,1.95
26,231,2.05
26,241,2.0
26,251,2.0
26,261,2.0
26,271,2.0
26,281,1.95
26,291,1.95
26,301,2.0
26,311,1.95
26,321,1.95
26,331,1.95
26,341,1.95
26,351,1.95
26,361,2.0
26,371,2.0
26,381,2.0
26,391,2.0
26,401,2.0
26,411,2.0
26,421,1.95
26,431,2.0
26,441,2.0
26,451,2.0
26,461,2.05
26,471,2.05
26,481,2.0
26,491,1.95
26,500,2.0
31,111,2.1
31,121,2.2
31,131,2.15
31,141,2.25
31,151,2.25
31,161,2.2
31,171,2.2
31,181,2.2
31,191,2.2
31,201,2.2
31,211,2.2
31,221,2.2
31,231,2.25
31,241,2.2
31,251,2.15
31,261,2.2
31,271,2.2
31,281,2.15
31,291,2.15
31,301,2.2
31,311,2.15
31,321,2.2
31,331,2.2
31,341,2.2
31,351,2.25
31,361,2.2
31,371,2.25
31,381,2.25
31,391,2.2
31,401,2.2
31,411,2.3
31,421,2.15
31,431,2.25
31,441,2.25
31,451,2.25
31,461,2.25
31,471,2.15
31,481,2.2
31,491,2.2
31,500,2.25
36,111,2.4
36,121,2.4
36,131,2.5
36,141,2.5
36,151,2.4
36,161,2.45
36,171,2.4
36,181,2.4
36,191,2.4
36,201,2.4
36,211,2.4
36,221,2.4
36,231,2.45
36,241,2.45
36,251,2.4
36,261,2.5
36,271,2.4
36,281,2.4
36,291,2.5
36,301,2.45
36,311,2.4
36,321,2.45
36,331,2.45
36,341,2.45
36,351,2.5
36,361,2.45
36,371,2.45
36,381,2.5
36,391,2.45
36,401,2.5
36,411,2.45
36,421,2.5
36,431,2.45
36,441,2.5
36,451,2.5
36,461,2.5
36,471,2.4
36,481,2.45
36,491,2.5
36,500,2.5
41,111,2.65
41,121,2.65
41,131,2.75
41,141,2.65
41,151,2.7
41,161,2.6
41,171,2.7
41,181,2.6
41,191,2.65
41,201,2.7
41,211,2.7
41,221,2.65
41,231,2.7
41,241,2.65
41,251,2.65
41,261,2.7
41,271,2.65
41,281,2.65
41,291,2.75
41,301,2.65
41,311,2.7
41,321,2.7
41,331,2.7
41,341,2.7
41,351,2.65
41,361,2.7
41,371,2.7
41,381,2.75
41,391,2.7
41,401,2.75
41,411,2.7
41,421,2.7
41,431,2.7
41,441,2.75
41,451,2.7
41,461,2.7
41,471,2.75
41,481,2.75
41,491,2.7
41,500,2.7
46,111,2.85
46,121,2.9
46,131,2.9
46,141,2.9
46,151,2.9
46,161,2.9
46,171,2.95
46,181,2.9
46,191,2.85
46,201,2.9
46,211,2.9
46,221,2.95
46,231,2.9
46,241,2.85
46,251,2.9
46,261,2.9
46,271,2.95
46,281,2.9
46,291,2.9
46,301,2.95
46,311,2.95
46,321,2.9
46,331,2.95
46,341,2.95
46,351,2.85
46,361,2.95
46,371,2.95
46,381,2.95
46,391,2.95
46,401,3.0
46,411,2.9
46,421,3.0
46,431,3.0
46,441,3.0
46,451,3.0
46,461,2.95
46,471,2.95
46,481,2.95
46,491,2.95
46,500,2.95
51,111,3.1
51,121,3.15
51,131,3.15
51,141,3.15
51,151,3.15
51,161,3.1
51,171,3.1
51,181,3.1
51,191,3.15
51,201,3.1
51,211,3.15
51,221,3.2
51,231,3.2
51,241,3.15
51,251,3.15
51,261,3.1
51,271,3.15
51,281,3.15
51,291,3.15
51,301,3.15
51,311,3.2
51,321,3.2
51,331,3.2
51,341,3.2
51,351,3.15
51,361,3.15
51,371,3.2
51,381,3.2
51,391,3.2
51,401,3.2
51,411,3.2
51,421,3.2
51,431,3.2
51,441,3.2
51,451,3.2
51,461,3.25
51,471,3.2
51,481,3.2
51,491,3.15
51,500,3.25
56,111,3.25
56,121,3.4
56,131,3.3
56,141,3.4
56,151,3.4
56,161,3.4
56,171,3.3
56,181,3.4
56,191,3.3
56,201,3.35
56,211,3.4
56,221,3.35
56,231,3.4
56,241,3.4
56,251,3.4
56,261,3.4
56,271,3.4
56,281,3.4
56,291,3.35
56,301,3.4
56,311,3.4
56,321,3.4
56,331,3.35
56,341,3.4
56,351,3.35
56,361,3.4
56,371,3.4
56,381,3.4
56,391,3.4
56,401,3.4
56,411,3.5
56,421,3.4
56,431,3.4
56,441,3.5
56,451,3.45
56,461,3.4
56,471,3.4
56,481,3.45
56,491,3.4
56,500,3.4
61,111,3.6
61,121,3.6
61,131,3.6
61,141,3.6
61,151,3.6
61,161,3.55
61,171,3.65
61,181,3.6
61,191,3.65
61,201,3.6
61,211,3.65
61,221,3.65
61,231,3.65
61,241,3.65
61,251,3.65
61,261,3.6
61,271,3.65
61,281,3.65
61,291,3.65
61,301,3.65
61,311,3.65
61,321,3.65
61,331,3.6
61,341,3.65
61,351,3.6
61,361,3.6
61,371,3.7
61,381,3.65
61,391,3.7
61,401,3.6
61,411,3.7
61,421,3.7
61,431,3.7
61,441,3.65
61,451,3.65
61,461,3.65
61,471,3.65
61,481,3.7
61,491,3.65
61,500,3.7
66,111,3.9
66,121,3.8
66,131,3.8
66,141,3.8
66,151,3.85
66,161,3.8
66,171,3.9
66,181,3.85
66,191,3.85
66,201,3.8
66,211,3.85
66,221,3.85
66,231,3.9
66,241,3.9
66,251,3.85
66,261,3.9
66,271,3.8
66,281,3.85
66,291,3.9
66,301,3.9
66,311,3.9
66,321,3.9
66,331,3.9
66,341,3.8
66,351,3.9
66,361,3.9
66,371,3.9
66,381,3.95
66,391,3.95
66,401,3.9
66,411,3.9
66,421,3.9
66,431,3.95
66,441,3.9
66,451,4.0
66,461,3.9
66,471,3.9
66,481,3.95
66,491,3.9
66,500,3.9
71,111,4.05
71,121,4.05
71,131,4.1
71,141,4.1
71,151,4.1
71,161,4.1
71,171,4.05
71,181,4.1
71,191,4.0
71,201,4.1
71,211,4.1
71,221,4.1
71,231,4.1
71,241,4.1
71,251,4.15
71,261,4.1
71,271,4.1
71,281,4.15
71,291,4.1
71,301,4.1
71,311,4.15
71,321,4.15
71,331,4.15
71,341,4.1
71,351,4.1
71,361,4.15
71,371,4.2
71,381,4.2
71,391,4.25
71,401,4.2
71,411,4.15
71,421,4.2
71,431,4.2
71,441,4.2
71,451,4.15
71,461,4.15
71,471,4.1
71,481,4.2
71,491,4.15
71,500,4.15
76,111,4.3
76,121,4.4
76,131,4.3
76,141,4.3
76,151,4.3
76,161,4.3
76,171,4.3
76,181,4.3
76,191,4.35
76,201,4.35
76,211,4.25
76,221,4.3
76,231,4.35
76,241,4.35
76,251,4.35
76,261,4.35
76,271,4.35
76,281,4.4
76,291,4.35
76,301,4.35
76,311,4.4
76,321,4.4
76,331,4.35
76,341,4.35
76,351,4.35
76,361,4.4
76,371,4.4
76,381,4.4
76,391,4.4
76,401,4.4
76,411,4.4
76,421,4.4
76,431,4.4
76,441,4.4
76,451,4.45
76,461,4.4
76,471,4.4
76,481,4.4
76,491,4.4
76,500,4.4
81,111,4.6
81,121,4.5
81,131,4.6
81,141,4.6
81,151,4.55
81,161,4.55
81,171,4.5
81,181,4.5
81,191,4.55
81,201,4.6
81,211,4.6
81,221,4.55
81,231,4.6
81,241,4.6
81,251,4.55
81,261,4.55
81,271,4.6
81,281,4.6
81,291,4.6
81,301,4.6
81,311,4.65
81,321,4.6
81,331,4.65
81,341,4.6
81,351,4.6
81,361,4.6
81,371,4.6
81,381,4.6
81,391,4.65
81,401,4.6
81,411,4.65
81,421,4.6
81,431,4.65
81,441,4.7
81,451,4.6
81,461,4.6
81,471,4.65
81,481,4.65
81,491,4.65
81,500,4.6
86,111,4.75
86,121,4.8
86,131,4.8
86,141,4.8
86,151,4.8
86,161,4.8
86,171,4.8
86,181,4.7
86,191,4.8
86,201,4.75
86,211,4.8
86,221,4.8
86,231,4.8
86,241,4.9
86,251,4.85
86,261,4.85
86,271,4.8
86,281,4.85
86,291,4.85
86,301,4.8
86,311,4.85
86,321,4.8
86,331,4.85
86,341,4.85
86,351,4.8
86,361,4.85
86,371,4.9
86,381,4.85
86,391,4.9
86,401,4.9
86,411,4.9
86,421,4.9
86,431,4.85
86,441,4.9
86,451,4.9
86,461,4.85
86,471,4.9
86,481,4.9
86,491,4.85
86,500,4.9
91,111,5.05
91,121,5.0
91,131,5.05
91,141,5.05
91,151,5.0
91,161,5.0
91,171,5.0
91,181,5.05
91,191,5.0
91,201,5.0
91,211,5.05
91,221,5.0
91,231,5.1
91,241,5.0
91,251,5.1
91,261,5.1
91,271,5.05
91,281,5.1
91,291,5.1
91,301,5.1
91,311,5.05
91,321,5.1
91,331,5.05
91,341,5.1
91,351,5.1
91,361,5.1
91,371,5.1
91,381,5.1
91,391,5.15
91,401,5.1
91,411,5.15
91,421,5.1
91,431,5.15
91,441,5.15
91,451,5.15
91,461,5.2
91,471,5.2
91,481,5.15
91,491,5.1
91,500,5.1
96,111,5.25
96,121,5.3
96,131,5.25
96,141,5.3
96,151,5.35
96,161,5.2
96,171,5.25
96,181,5.3
96,191,5.3
96,201,5.3
96,211,5.25
96,221,5.3
96,231,5.3
96,241,5.3
96,251,5.3
96,261,5.4
96,271,5.3
96,281,5.3
96,291,5.3
96,301,5.3
96,311,5.3
96,321,5.3
96,331,5.35
96,341,5.35
96,351,5.35
96,361,5.35
96,371,5.35
96,381,5.4
96,391,5.4
96,401,5.35
96,411,5.4
96,421,5.45
96,431,5.4
96,441,5.35
96,451,5.35
96,461,5.35
96,471,5.35
96,481,5.4
96,491,5.4
96,500,5.4
101,111,5.5
101,121,5.5
101,131,5.5
101,141,5.5
101,151,5.5
101,161,5.5
101,171,5.45
101,181,5.55
101,191,5.6
101,201,5.55
101,211,5.55
101,221,5.55
101,231,5.5
101,241,5.5
101,251,5.5
101,261,5.55
101,271,5.55
101,281,5.55
101,291,5.55
101,301,5.55
101,311,5.5
101,321,5.55
101,331,5.6
101,341,5.6
101,351,5.6
101,361,5.6
101,371,5.65
101,381,5.6
101,391,5.65
101,401,5.6
101,411,5.65
101,421,5.6
101,431,5.6
101,441,5.65
101,451,5.65
101,461,5.6
101,471,5.65
101,481,5.6
101,491,5.6
101,500,5.65
106,111,5.7
106,121,5.75
106,131,5.75
106,141,5.75
106,151,5.8
106,161,5.75
106,171,5.75
106,181,5.8
106,191,5.75
106,201,5.8
106,211,5.8
106,221,5.8
106,231,5.8
106,241,5.8
106,251,5.75
106,261,5.8
106,271,5.85
106,281,5.75
106,291,5.8
106,301,5.85
106,311,5.8
106,321,5.85
106,331,5.8
106,341,5.85
106,351,5.85
106,361,5.8
106,371,5.85
106,381,5.85
106,391,5.8
106,401,5.85
106,411,5.85
106,421,5.8
106,431,5.85
106,441,5.85
106,451,5.85
106,461,5.85
106,471,5.9
106,481,5.85
106,491,5.85
106,500,5.9
111,111,6.05
111,121,6.0
111,131,6.0
111,141,6.0
111,151,6.0
111,161,6.0
111,171,6.0
111,181,6.0
111,191,6.0
111,201,6.0
111,211,6.0
111,221,6.0
111,231,6.05
111,241,6.1
111,251,6.0
111,261,6.0
111,271,6.05
111,281,6.05
111,291,6.05
111,301,6.0
111,311,6.05
111,321,6.05
111,331,6.1
111,341,6.1
111,351,6.15
111,361,6.05
111,371,6.15
111,381,6.1
111,391,6.1
111,401,6.1
111,411,6.1
111,421,6.15
111,431,6.1
111,441,6.05
111,451,6.1
111,461,6.1
111,471,6.1
111,481,6.1
111,491,6.05
111,500,6.1
116,111,6.1
116,121,6.1
116,131,6.1
116,141,6.1
116,151,6.1
116,161,6.1
116,171,6.05
116,181,6.1
116,191,6.15
116,201,6.1
116,211,6.15
116,221,6.15
116,231,6.15
116,241,6.15
116,251,6.15
116,261,6.15
116,271,6.2
116,281,6.15
116,291,6.2
116,301,6.15
116,311,6.2
116,321,6.15
116,331,6.2
116,341,6.2
116,351,6.2
116,361,6.15
116,371,6.25
116,381,6.25
116,391,6.2
116,401,6.3
116,411,6.2
116,421,6.2
116,431,6.25
116,441,6.25
116,451,6.25
116,461,6.2
116,471,6.25
116,481,6.2
116,491,6.2
116,500,6.2
121,111,6.35
121,121,6.35
121,131,6.3
121,141,6.4
121,151,6.35
121,161,6.35
121,171,6.35
121,181,6.4
121,191,6.4
121,201,6.4
121,211,6.35
121,221,6.4
121,231,6.4
121,241,6.4
121,251,6.4
121,261,6.45
121,271,6.4
121,281,6.4
121,291,6.4
121,301,6.45
121,311,6.4
121,321,6.4
121,331,6.5
121,341,6.4
121,351,6.45
121,361,6.4
121,371,6.45
121,381,6.5
121,391,6.4
121,401,6.5
121,411,6.5
121,421,6.5
121,431,6.4
121,441,6.5
121,451,6.5
121,461,6.5
121,471,6.5
121,481,6.45
121,491,6.5
121,500,6.4
126,111,6.6
126,121,6.6
126,131,6.6
126,141,6.6
126,151,6.55
126,161,6.6
126,171,6.55
126,181,6.6
126,191,6.6
126,201,6.6
126,211,6.6
126,221,6.65
126,231,6.65
126,241,6.7
126,251,6.6
126,261,6.6
126,271,6.7
126,281,6.65
126,291,6.65
126,301,6.7
126,311,6.65
126,321,6.65
126,331,6.65
126,341,6.7
126,351,6.7
126,361,6.7
126,371,6.7
126,381,6.7
126,391,6.7
126,401,6.75
126,411,6.7
126,421,6.75
126,431,6.7
126,441,6.75
126,451,6.75
126,461,6.7
126,471,6.75
126,481,6.7
126,491,6.75
126,500,6.8
131,111,6.7
131,121,6.7
131,131,6.7
131,141,6.7
131,151,6.65
131,161,6.9
131,171,6.85
131,181,6.85
131,191,6.85
131,201,6.85
131,211,6.85
131,221,6.85
131,231,6.9
131,241,6.9
131,251,6.8
131,261,6.9
131,271,6.9
131,281,7.0
131,291,6.9
131,301,6.9
131,311,6.95
131,321,6.9
131,331,6.9
131,341,6.95
131,351,6.95
131,361,6.9
131,371,7.0
131,381,6.95
131,391,6.95
131,401,6.95
131,411,6.95
131,421,7.0
131,431,7.0
131,441,7.0
131,451,7.0
131,461,7.0
131,471,6.95
131,481,7.0
131,491,6.95
131,500,6.95
136,111,6.95
136,121,7.1
136,131,7.05
136,141,7.1
136,151,7.1
136,161,7.1
136,171,7.05
136,181,7.1
136,191,7.1
136,201,7.1
136,211,7.1
136,221,7.1
136,231,7.15
136,241,7.15
136,251,7.15
136,261,7.15
136,271,7.15
136,281,7.15
136,291,7.2
136,301,7.2
136,311,7.2
136,321,7.2
136,331,7.2
136,341,7.2
136,351,7.25
136,361,7.15
136,371,7.15
136,381,7.2
136,391,7.2
136,401,7.25
136,411,7.2
136,421,7.25
136,431,7.2
136,441,7.2
136,451,7.25
136,461,7.2
136,471,7.25
136,481,7.25
136,491,7.2
136,500,7.2
141,111,7.35
141,121,7.4
141,131,7.3
141,141,7.35
141,151,7.3
141,161,7.3
141,171,7.35
141,181,7.3
141,191,7.4
141,201,7.4
141,211,7.35
141,221,7.4
141,231,7.4
141,241,7.35
141,251,7.45
141,261,7.4
141,271,7.4
141,281,7.45
141,291,7.4
141,301,7.45
141,311,7.4
141,321,7.45
141,331,7.4
141,341,7.45
141,351,7.4
141,361,7.4
141,371,7.4
141,381,7.45
141,391,7.4
141,401,7.45
141,411,7.45
141,421,7.45
141,431,7.45
141,441,7.5
141,451,7.45
141,461,7.5
141,471,7.4
141,481,7.4
141,491,7.45
141,500,7.45
146,111,7.4
146,121,7.45
146,131,7.5
146,141,7.6
146,151,7.55
146,161,7.5
146,171,7.55
146,181,7.55
146,191,7.55
146,201,7.6
146,211,7.65
146,221,7.6
146,231,7.6
146,241,7.6
146,251,7.65
146,261,7.6
146,271,7.6
146,281,7.6
146,291,7.65
146,301,7.65
146,311,7.65
146,321,7.7
146,331,7.65
146,341,7.65
146,351,7.7
146,361,7.7
146,371,7.7
146,381,7.7
146,391,7.7
146,401,7.7
146,411,7.7
146,421,7.7
146,431,7.7
146,441,7.75
146,451,7.7
146,461,7.7
146,471,7.7
146,481,7.7
146,491,7.7
146,500,7.7
151,111,7.8
151,121,7.75
151,131,7.85
151,141,7.8
151,151,7.8
151,161,7.8
151,171,7.8
151,181,7.8
151,191,7.8
151,201,7.9
151,211,7.8
151,221,7.85
151,231,7.85
151,241,7.9
151,251,7.95
151,261,7.85
151,271,7.9
151,281,7.9
151,291,7.9
151,301,7.85
151,311,7.9
151,321,7.9
151,331,7.95
151,341,7.9
151,351,7.95
151,361,7.95
151,371,7.85
151,381,7.95
151,391,7.9
151,401,7.95
151,411,7.9
151,421,8.0
151,431,7.95
151,441,7.9
151,451,7.9
151,461,7.95
151,471,8.0
151,481,7.95
151,491,7.95
151,500,7.9
156,111,8.0
156,121,8.05
156,131,8.05
156,141,8.0
156,151,8.05
156,161,8.1
156,171,8.0
156,181,8.1
156,191,8.05
156,201,8.05
156,211,8.1
156,221,8.1
156,231,8.15
156,241,8.1
156,251,8.1
156,261,8.2
156,271,8.1
156,281,8.2
156,291,8.15
156,301,8.1
156,311,8.15
156,321,8.2
156,331,8.2
156,341,8.15
156,351,8.2
156,361,8.15
156,371,8.25
156,381,8.2
156,391,8.2
156,401,8.2
156,411,8.25
156,421,8.2
156,431,8.2
156,441,8.2
156,451,8.2
156,461,8.2
156,471,8.2
156,481,8.2
156,491,8.2
156,500,8.2
161,111,8.2
161,121,8.1
161,131,8.2
161,141,8.2
161,151,8.25
161,161,8.2
161,171,8.2
161,181,8.25
161,191,8.2
161,201,8.2
161,211,8.3
161,221,8.3
161,231,8.3
161,241,8.3
161,251,8.3
161,261,8.25
161,271,8.35
161,281,8.3
161,291,8.4
161,301,8.35
161,311,8.4
161,321,8.4
161,331,8.4
161,341,8.4
161,351,8.4
161,361,8.4
161,371,8.5
161,381,8.45
161,391,8.5
161,401,8.4
161,411,8.4
161,421,8.45
161,431,8.5
161,441,8.45
161,451,8.45
161,461,8.5
161,471,8.5
161,481,8.5
161,491,8.45
161,500,8.5
166,111,8.5
166,121,8.5
166,131,8.5
166,141,8.45
166,151,8.4
166,161,8.55
166,171,8.5
166,181,8.5
166,191,8.55
166,201,8.55
166,211,8.55
166,221,8.55
166,231,8.5
166,241,8.55
166,251,8.65
166,261,8.7
166,271,8.65
166,281,8.65
166,291,8.7
166,301,8.65
166,311,8.65
166,321,8.7
166,331,8.65
166,341,8.7
166,351,8.65
166,361,8.6
166,371,8.7
166,381,8.7
166,391,8.75
166,401,8.75
166,411,8.7
166,421,8.75
166,431,8.7
166,441,8.65
166,451,8.7
166,461,8.75
166,471,8.7
166,481,8.8
166,491,8.75
166,500,8.7
171,111,8.8
171,121,8.8
171,131,8.8
171,141,8.8
171,151,8.8
171,161,8.8
171,171,8.8
171,181,8.8
171,191,8.8
171,201,8.8
171,211,8.85
171,221,8.8
171,231,8.9
171,241,8.85
171,251,8.9
171,261,8.85
171,271,8.9
171,281,8.9
171,291,8.9
171,301,8.9
171,311,8.9
171,321,8.95
171,331,8.95
171,341,8.9
171,351,8.9
171,361,8.85
171,371,8.95
171,381,8.9
171,391,9.0
171,401,9.0
171,411,8.9
171,421,8.9
171,431,8.95
171,441,8.95
171,451,9.0
171,461,8.95
171,471,8.95
171,481,8.95
171,491,8.95
171,500,8.95
176,111,8.95
176,121,9.05
176,131,9.0
176,141,9.05
176,151,9.0
176,161,9.0
176,171,9.05
176,181,9.1
176,191,9.1
176,201,9.1
176,211,9.1
176,221,9.05
176,231,9.05
176,241,9.05
176,251,9.1
176,261,9.05
176,271,9.1
176,281,9.1
176,291,9.1
176,301,9.15
176,311,9.1
176,321,9.1
176,331,9.1
176,341,9.1
176,351,9.15
176,361,9.15
176,371,9.15
176,381,9.25
176,391,9.15
176,401,9.2
176,411,9.2
176,421,9.2
176,431,9.2
176,441,9.25
176,451,9.25
176,461,9.2
176,471,9.2
176,481,9.2
176,491,9.15
176,500,9.2
181,111,9.15
181,121,9.25
181,131,9.2
181,141,9.25
181,151,9.2
181,161,9.2
181,171,9.3
181,181,9.35
181,191,9.25
181,201,9.3
181,211,9.35
181,221,9.3
181,231,9.4
181,241,9.4
181,251,9.4
181,261,9.35
181,271,9.35
181,281,9.3
181,291,9.35
181,301,9.3
181,311,9.3
181,321,9.35
181,331,9.35
181,341,9.3
181,351,9.3
181,361,9.3
181,371,9.4
181,381,9.35
181,391,9.4
181,401,9.4
181,411,9.4
181,421,9.45
181,431,9.4
181,441,9.4
181,451,9.35
181,461,9.5
181,471,9.45
181,481,9.5
181,491,9.4
181,500,9.45
186,111,9.5
186,121,9.45
186,131,9.4
186,141,9.4
186,151,9.5
186,161,9.45
186,171,9.5
186,181,9.5
186,191,9.6
186,201,9.5
186,211,9.55
186,221,9.5
186,231,9.55
186,241,9.55
186,251,9.5
186,261,9.6
186,271,9.55
186,281,9.65
186,291,9.7
186,301,9.6
186,311,9.65
186,321,9.65
186,331,9.65
186,341,9.6
186,351,9.7
186,361,9.65
186,371,9.75
186,381,9.7
186,391,9.7
186,401,9.7
186,411,9.7
186,421,9.75
186,431,9.7
186,441,9.7
186,451,9.75
186,461,9.7
186,471,9.7
186,481,9.75
186,491,9.65
186,500,9.7
191,111,9.8
191,121,9.7
191,131,9.75
191,141,9.75
191,151,9.75
191,161,9.7
191,171,9.8
191,181,9.8
191,191,9.8
191,201,9.8
191,211,9.8
191,221,9.85
191,231,9.85
191,241,9.85
191,251,9.75
191,261,9.85
191,271,9.95
191,281,9.85
191,291,9.85
191,301,9.95
191,311,9.85
191,321,9.9
191,331,9.95
191,341,9.95
191,351,9.9
191,361,9.95
191,371,9.95
191,381,10.0
191,391,9.95
191,401,9.9
191,411,10.0
191,421,10.0
191,431,10.0
191,441,10.0
191,451,9.95
191,461,9.95
191,471,10.0
191,481,10.05
191,491,10.05
191,500,9.95
196,111,10.0
196,121,9.95
196,131,10.0
196,141,10.0
196,151,10.0
196,161,10.0
196,171,10.0
196,181,10.0
196,191,10.0
196,201,10.1
196,211,10.1
196,221,10.1
196,231,10.05
196,241,10.1
196,251,10.1
196,261,10.1
196,271,10.05
196,281,10.2
196,291,10.1
196,301,10.15
196,311,10.15
196,321,10.15
196,331,10.1
196,341,10.15
196,351,10.2
196,361,10.2
196,371,10.2
196,381,10.2
196,391,10.2
196,401,10.2
196,411,10.25
196,421,10.2
196,431,10.2
196,441,10.2
196,451,10.2
196,461,10.25
196,471,10.2
196,481,10.25
196,491,10.15
196,500,10.2
201,111,10.25
201,121,10.25
201,131,10.25
201,141,10.3
201,151,10.25
201,161,10.2
201,171,10.2
201,181,10.3
201,191,10.3
201,201,10.3
201,211,10.35
201,221,10.35
201,231,10.3
201,241,10.35
201,251,10.35
201,261,10.35
201,271,10.35
201,281,10.35
201,291,10.35
201,301,10.4
201,311,10.4
201,321,10.4
201,331,10.45
201,341,10.45
201,351,10.5
201,361,10.4
201,371,10.4
201,381,10.5
201,391,10.45
201,401,10.5
201,411,10.5
201,421,10.5
201,431,10.45
201,441,10.45
201,451,10.45
201,461,10.45
201,471,10.45
201,481,10.45
201,491,10.45
201,500,10.45
206,111,10.5
206,121,10.5
206,131,10.55
206,141,10.5
206,151,10.5
206,161,10.5
206,171,10.5
206,181,10.5
206,191,10.55
206,201,10.6
206,211,10.6
206,221,10.6
206,231,10.6
206,241,10.6
206,251,10.6
206,261,10.6
206,271,10.65
206,281,10.7
206,291,10.6
206,301,10.6
206,311,10.7
206,321,10.65
206,331,10.7
206,341,10.7
206,351,10.75
206,361,10.65
206,371,10.7
206,381,10.75
206,391,10.7
206,401,10.7
206,411,10.7
206,421,10.7
206,431,10.8
206,441,10.75
206,451,10.7
206,461,10.7
206,471,10.75
206,481,10.7
206,491,10.7
206,500,10.75
211,111,10.75
211,121,10.75
211,131,10.75
211,141,10.7
211,151,10.75
211,161,10.7
211,171,10.7
211,181,10.8
211,191,10.8
211,201,10.85
211,211,10.8
211,221,10.85
211,231,10.8
211,241,10.9
211,251,10.85
211,261,10.9
211,271,10.9
211,281,10.9
211,291,10.9
211,301,10.9
211,311,11.0
211,321,10.95
211,331,10.95
211,341,10.95
211,351,10.95
211,361,10.95
211,371,10.95
211,381,11.0
211,391,10.95
211,401,11.0
211,411,10.95
211,421,11.0
211,431,10.95
211,441,11.0
211,451,11.0
211,461,11.0
211,471,10.9
211,481,10.9
211,491,10.95
211,500,11.0
216,111,11.0
216,121,11.05
216,131,10.95
216,141,11.0
216,151,11.0
216,161,11.0
216,171,11.0
216,181,11.05
216,191,11.05
216,201,11.05
