bri,mired,watt
1,111,1.86
1,121,1.87
1,131,1.85
1,141,1.86
1,151,1.83
1,161,1.83
1,171,1.83
1,181,1.82
1,191,1.8
1,201,1.82
1,211,1.8
1,221,1.82
1,231,1.83
1,241,1.8
1,251,1.83
1,261,1.8
1,271,1.79
1,281,1.86
1,291,1.82
1,301,1.81
1,311,1.86
1,321,1.85
1,331,1.84
1,341,1.81
1,351,1.84
1,361,1.88
1,371,1.84
1,381,1.85
1,391,1.85
1,401,1.85
1,411,1.86
1,421,1.87
1,431,1.84
1,441,1.82
1,451,1.84
1,461,1.86
1,471,1.88
1,481,1.85
1,491,1.84
1,500,1.85
6,111,1.82
6,121,1.8
6,131,1.83
6,141,1.86
6,151,1.86
6,161,1.83
6,171,1.82
6,181,1.83
6,191,1.82
6,201,1.82
6,211,1.82
6,221,1.83
6,231,1.83
6,241,1.84
6,251,1.83
6,261,1.84
6,271,1.83
6,281,1.82
6,291,1.83
6,301,1.84
6,311,1.82
6,321,1.83
6,331,1.84
6,341,1.85
6,351,1.83
6,361,1.85
6,371,1.85
6,381,1.85
6,391,1.84
6,401,1.86
6,411,1.84
6,421,1.88
6,431,1.86
6,441,1.89
6,451,1.89
6,461,1.85
6,471,1.81
6,481,1.85
6,491,1.84
6,500,1.85
11,111,2.35
11,121,2.29
11,131,2.23
11,141,2.23
11,151,2.22
11,161,2.26
11,171,2.29
11,181,2.28
11,191,2.25
11,201,2.24
11,211,2.29
11,221,2.25
11,231,2.29
11,241,2.29
11,251,2.26
11,261,2.24
11,271,2.24
11,281,2.3
11,291,2.28
11,301,2.32
11,311,2.29
11,321,2.3
11,331,2.26
11,341,2.3
11,351,2.31
11,361,2.35
11,371,2.34
11,381,2.36
11,391,2.34
11,401,2.36
11,411,2.35
11,421,2.4
11,431,2.37
11,441,2.39
11,451,2.38
11,461,2.39
11,471,2.4
11,481,2.41
11,491,2.44
11,500,2.43
16,111,2.97
16,121,2.88
16,131,2.82
16,141,2.91
16,151,2.99
16,161,2.99
16,171,3.09
16,181,3.1
16,191,3.09
16,201,3.08
16,211,3.02
16,221,2.98
16,231,2.98
16,241,2.95
16,251,2.88
16,261,2.91
16,271,2.88
16,281,2.89
16,291,2.86
16,301,2.89
16,311,2.88
16,321,2.89
16,331,2.86
16,341,2.9
16,351,2.92
16,361,2.94
16,371,2.92
16,381,2.93
16,391,2.93
16,401,2.94
16,411,2.96
16,421,2.97
16,431,2.98
16,441,2.97
16,451,2.96
16,461,3.02
16,471,2.98
16,481,3.03
16,491,2.99
16,500,2.97
21,111,3.42
21,121,3.38
21,131,3.41
21,141,3.5
21,151,3.64
21,161,3.73
21,171,3.78
21,181,3.9
21,191,3.84
21,201,3.82
21,211,3.7
21,221,3.71
21,231,3.66
21,241,3.59
21,251,3.59
21,261,3.54
21,271,3.48
21,281,3.48
21,291,3.43
21,301,3.43
21,311,3.41
21,321,3.4
21,331,3.37
21,341,3.41
21,351,3.37
21,361,3.38
21,371,3.38
21,381,3.4
21,391,3.39
21,401,3.38
21,411,3.41
21,421,3.41
21,431,3.45
21,441,3.42
21,451,3.44
21,461,3.45
21,471,3.45
21,481,3.44
21,491,3.49
21,500,3.47
26,111,3.87
26,121,3.78
26,131,3.94
26,141,4.09
26,151,4.26
26,161,4.35
26,171,4.44
26,181,4.54
26,191,4.45
26,201,4.44
26,211,4.37
26,221,4.33
26,231,4.25
26,241,4.23
26,251,4.16
26,261,4.1
26,271,4.02
26,281,4.02
26,291,4.01
26,301,3.97
26,311,3.9
26,321,3.87
26,331,3.87
26,341,3.82
26,351,3.84
26,361,3.85
26,371,3.83
26,381,3.78
26,391,3.79
26,401,3.79
26,411,3.84
26,421,3.82
26,431,3.83
26,441,3.85
26,451,3.84
26,461,3.93
26,471,3.89
26,481,3.9
26,491,3.9
26,500,3.92
31,111,4.29
31,121,4.25
31,131,4.46
31,141,4.74
31,151,4.91
31,161,5.0
31,171,5.01
31,181,5.14
31,191,5.08
31,201,5.03
31,211,4.98
31,221,4.93
31,231,4.87
31,241,4.78
31,251,4.75
31,261,4.71
31,271,4.63
31,281,4.56
31,291,4.54
31,301,4.42
31,311,4.4
31,321,4.38
31,331,4.33
31,341,4.28
31,351,4.28
31,361,4.26
31,371,4.25
31,381,4.22
31,391,4.23
31,401,4.22
31,411,4.25
31,421,4.26
31,431,4.26
31,441,4.26
31,451,4.26
31,461,4.28
31,471,4.32
31,481,4.3
31,491,4.31
31,500,4.32
36,111,4.7
36,121,4.71
36,131,5.02
36,141,5.22
36,151,5.4
36,161,5.53
36,171,5.6
36,181,5.69
36,191,5.65
36,201,5.55
36,211,5.53
36,221,5.46
36,231,5.37
36,241,5.36
36,251,5.29
36,261,5.21
36,271,5.15
36,281,5.11
36,291,5.07
36,301,5.01
36,311,4.96
36,321,4.92
36,331,4.82
36,341,4.79
36,351,4.79
36,361,4.71
36,371,4.73
36,381,4.67
36,391,4.69
36,401,4.66
36,411,4.66
36,421,4.71
36,431,4.69
36,441,4.69
36,451,4.69
36,461,4.73
36,471,4.73
36,481,4.74
36,491,4.76
36,500,4.73
41,111,5.12
41,121,5.16
41,131,5.55
41,141,5.76
41,151,5.91
41,161,6.03
41,171,6.17
41,181,6.23
41,191,6.16
41,201,6.06
41,211,6.02
41,221,5.94
41,231,5.98
41,241,5.82
41,251,5.75
41,261,5.77
41,271,5.64
41,281,5.62
41,291,5.55
41,301,5.5
41,311,5.45
41,321,5.41
41,331,5.3
41,341,5.28
41,351,5.21
41,361,5.18
41,371,5.17
41,381,5.1
41,391,5.07
41,401,5.09
41,411,5.06
41,421,5.09
41,431,5.06
41,441,5.09
41,451,5.12
41,461,5.1
41,471,5.13
41,481,5.14
41,491,5.12
41,500,5.18
46,111,5.51
46,121,5.63
46,131,6.0
46,141,6.24
46,151,6.42
46,161,6.53
46,171,6.67
46,181,6.77
46,191,6.68
46,201,6.62
46,211,6.54
46,221,6.41
46,231,6.41
46,241,6.33
46,251,6.28
46,261,6.25
46,271,6.16
46,281,6.05
46,291,6.04
46,301,5.98
46,311,5.92
46,321,5.85
46,331,5.76
46,341,5.69
46,351,5.67
46,361,5.64
46,371,5.62
46,381,5.55
46,391,5.52
46,401,5.51
46,411,5.5
46,421,5.45
46,431,5.47
46,441,5.47
46,451,5.47
46,461,5.5
46,471,5.48
46,481,5.51
46,491,5.54
46,500,5.56
51,111,5.91
51,121,6.08
51,131,6.51
51,141,6.71
51,151,6.91
51,161,7.01
51,171,7.17
51,181,7.24
51,191,7.2
51,201,7.11
51,211,7.06
51,221,6.94
51,231,6.88
51,241,6.85
51,251,6.74
51,261,6.69
51,271,6.63
51,281,6.6
51,291,6.53
51,301,6.45
51,311,6.39
51,321,6.33
51,331,6.3
51,341,6.2
51,351,6.15
51,361,6.11
51,371,6.07
51,381,5.99
51,391,6.0
51,401,5.92
51,411,5.88
51,421,5.89
