bri,watt
1,2.46
2,2.45
3,2.43
4,2.41
5,2.3
6,2.5
7,2.55
8,3.0
9,2.95
10,2.96
11,3.02
12,2.98
13,3.02
14,2.97
15,3.01
16,3.13
17,3.14
18,3.25
19,3.17
20,3.12
21,3.33
22,3.38
23,3.31
24,3.38
25,3.35
26,3.67
27,3.56
28,3.59
29,3.66
30,3.57
31,3.88
32,4.04
33,3.88
34,3.9
35,3.98
36,4.19
37,4.16
38,4.24
39,4.21
40,4.24
41,4.48
42,4.5
43,4.44
44,4.52
45,4.53
46,4.83
47,4.9
48,4.87
49,4.87
50,4.85
51,5.2
52,5.16
53,5.13
54,5.17
55,5.09
56,5.2
57,5.17
58,5.47
59,5.5
60,5.48
61,5.3
62,5.63
63,5.82
64,5.83
65,5.72
66,5.88
67,6.03
68,6.12
69,6.1
70,6.08
71,6.09
72,6.41
73,6.4
74,6.47
75,6.5
76,6.55
77,6.76
78,6.73
79,6.71
80,6.83
81,6.77
82,7.08
83,7.03
84,7.0
85,7.06
86,7.08
87,7.4
88,7.33
89,7.42
90,7.48
91,7.48
92,7.51
93,7.71
94,7.64
95,7.82
96,7.88
97,7.98
98,8.03
99,7.99
100,8.03
101,8.08
102,8.34
103,8.3
104,8.29
105,8.31
106,8.21
107,8.34
108,8.5
109,8.55
110,8.59
111,8.63
112,8.56
113,8.73
114,8.96
115,8.97
116,9.02
117,8.96
118,9.2
119,9.26
120,9.26
121,9.21
122,9.29
123,9.61
124,9.65
125,9.72
126,9.64
127,9.7
128,9.93
129,9.86
130,9.95
131,10.02
132,10.07
133,10.27
134,10.35
135,10.24
136,10.36
137,10.34
138,10.66
139,10.58
140,10.6
141,10.72
142,10.73
143,10.98
144,11.0
145,10.96
146,11.14
147,11.04
148,11.32
149,11.31
150,11.41
151,11.4
152,11.4
153,11.64
154,11.6
155,11.7
156,11.69
157,11.66
158,11.69
159,11.9
160,11.93
161,11.97
162,11.94
163,12.02
164,12.33
165,12.34
166,12.35
167,12.37
168,12.35
169,12.61
170,12.64
171,12.77
172,12.71
173,12.66
174,12.91
175,12.97
176,13.06
177,13.07
178,13.07
179,13.34
180,13.42
181,13.37
182,13.26
183,13.36
184,13.71
185,13.67
186,13.62
187,13.63
188,13.7
189,14.02
190,13.98
191,13.98
192,13.97
193,14.05
194,14.34
195,14.33
196,14.32
197,14.41
198,14.32
199,14.67
200,14.58
201,14.69
202,14.68
203,14.67
204,14.99
205,15.0
206,15.02
207,14.94
208,15.0
209,14.91
210,15.18
211,15.31
212,15.36
213,15.13
214,15.34
215,15.55
216,15.49
217,15.54
218,15.6
219,15.64
220,15.96
221,15.79
222,15.99
223,16.01
224,16.07
225,16.32
226,16.22
227,16.34
228,16.36
229,16.31
230,16.72
231,16.56
232,16.51
233,16.71
234,16.68
235,16.96
236,17.0
237,16.95
238,16.93
239,17.1
240,17.31
241,17.32
242,17.23
243,17.34
244,17.39
245,17.59
246,17.52
247,17.6
248,17.53
249,17.62
250,17.91
251,17.94
252,18.01
253,18.05
254,17.93
255,18.28
