effect,bri,watt
none,5,3.85
none,15,4.72
none,25,5.55
none,35,6.2
none,45,7.07
none,55,7.97
none,65,8.85
none,75,9.45
none,85,10.3
none,95,10.9
none,105,11.75
none,115,12.4
none,125,13.22
none,135,13.9
none,145,14.65
none,155,15.28
none,165,16.1
none,175,16.73
none,185,17.35
none,195,18.25
none,205,19.08
none,215,19.95
none,225,20.58
none,235,21.4
none,245,22.27
none,255,23.15
Afternoon,5,2.2
Afternoon,15,2.85
Afternoon,25,3.08
Afternoon,35,3.52
Afternoon,45,4.5
Afternoon,55,4.42
Afternoon,65,5.1
Afternoon,75,5.58
Afternoon,85,5.97
Afternoon,95,7.28
Afternoon,105,7.12
Afternoon,115,6.92
Afternoon,125,7.92
Afternoon,135,8.8
Afternoon,145,9.43
Afternoon,155,8.4
Afternoon,165,9.97
Afternoon,175,9.6
Afternoon,185,9.75
Afternoon,195,9.95
Afternoon,205,10.07
Afternoon,215,10.78
Afternoon,225,10.55
Afternoon,235,10.8
Afternoon,245,10.8
Afternoon,255,10.72
Aurora,5,1.92
Aurora,15,2.12
Aurora,25,2.38
Aurora,35,2.48
Aurora,45,2.83
Aurora,55,2.98
Aurora,65,3.05
Aurora,75,3.17
Aurora,85,3.33
Aurora,95,3.6
Aurora,105,3.8
Aurora,115,3.92
Aurora,125,4.15
Aurora,135,4.4
Aurora,145,4.5
Aurora,155,4.85
Aurora,165,4.92
Aurora,175,5.07
Aurora,185,5.28
Aurora,195,5.3
Aurora,205,5.7
Aurora,215,5.72
Aurora,225,5.85
Aurora,235,6.05
Aurora,245,6.2
Aurora,255,6.6
Birthday,5,1.92
Birthday,15,2.25
Birthday,25,2.33
Birthday,35,2.55
Birthday,45,2.88
Birthday,55,3.33
Birthday,65,2.72
Birthday,75,3.1
Birthday,85,3.3
Birthday,95,3.92
Birthday,105,3.85
Birthday,115,3.57
Birthday,125,3.2
Birthday,135,5.6
Birthday,145,5.22
Birthday,155,4.5
Birthday,165,3.6
Birthday,175,4.92
Birthday,185,5.5
Birthday,195,5.25
Birthday,205,5.17
Birthday,215,5.78
Birthday,225,5.83
Birthday,235,6.03
Birthday,245,6.75
Birthday,255,7.3
Blossom,5,2
Blossom,15,2.27
Blossom,25,2.35
Blossom,35,2.58
Blossom,45,2.9
Blossom,55,3.2
Blossom,65,3.25
Blossom,75,3.73
Blossom,85,3.65
Blossom,95,3.82
Blossom,105,4.3
Blossom,115,4.2
Blossom,125,4.47
Blossom,135,5.08
Blossom,145,4.78
Blossom,155,5.47
Blossom,165,5.4
Blossom,175,5.12
Blossom,185,5.88
Blossom,195,6.45
Blossom,205,6.4
Blossom,215,6.75
Blossom,225,7.15
Blossom,235,6.1
Blossom,245,7.28
Blossom,255,6.83
breathe,5,3.8
breathe,15,4.75
breathe,25,5.6
breathe,35,6.25
breathe,45,7.07
breathe,55,7.95
breathe,65,8.85
breathe,75,9.45
breathe,85,10.35
breathe,95,10.95
breathe,105,11.7
breathe,115,12.38
breathe,125,13.32
breathe,135,13.88
breathe,145,14.7
breathe,155,15.3
