bri,hue,sat,watt
1,1,1,2.6
1,2732,1,2.4
1,5463,1,2.35
1,8194,1,2.45
1,10925,1,2.4
1,13656,1,2.35
1,16387,1,2.45
1,19118,1,2.4
1,21849,1,2.35
1,24580,1,2.4
1,27311,1,2.45
1,30042,1,2.4
1,32773,1,2.45
1,35504,1,2.45
1,38235,1,2.45
1,40966,1,2.4
1,43697,1,2.25
1,46428,1,2.3
1,49159,1,2.35
1,51890,1,2.3
1,54621,1,2.45
1,57352,1,2.35
1,60083,1,2.35
1,62814,1,2.35
1,65535,1,2.4
1,1,33,2.3
1,2732,33,2.4
1,5463,33,2.3
1,8194,33,2.35
1,10925,33,2.3
1,13656,33,2.4
1,16387,33,2.4
1,19118,33,2.2
1,21849,33,2.3
1,24580,33,2.25
1,27311,33,2.4
1,30042,33,2.3
1,32773,33,2.4
1,35504,33,2.35
1,38235,33,2.35
1,40966,33,2.35
1,43697,33,2.4
1,46428,33,2.4
1,49159,33,2.4
1,51890,33,2.3
1,54621,33,2.4
1,57352,33,2.4
1,60083,33,2.35
1,62814,33,2.35
1,65535,33,2.3
1,1,65,2.25
1,2732,65,2.25
1,5463,65,2.35
1,8194,65,2.35
1,10925,65,2.4
1,13656,65,2.4
1,16387,65,2.35
1,19118,65,2.3
1,21849,65,2.3
1,24580,65,2.3
1,27311,65,2.2
1,30042,65,2.4
1,32773,65,2.25
1,35504,65,2.35
1,38235,65,2.25
1,40966,65,2.35
1,43697,65,2.25
1,46428,65,2.35
1,49159,65,2.2
1,51890,65,2.35
1,54621,65,2.35
1,57352,65,2.4
1,60083,65,2.4
1,62814,65,2.25
1,65535,65,2.35
1,1,97,2.3
1,2732,97,2.3
1,5463,97,2.3
1,8194,97,2.3
1,10925,97,2.3
1,13656,97,2.3
1,16387,97,2.3
1,19118,97,2.3
1,21849,97,2.15
1,24580,97,2.4
1,27311,97,2.3
1,30042,97,2.3
1,32773,97,2.3
1,35504,97,2.35
1,38235,97,2.25
1,40966,97,2.25
1,43697,97,2.15
1,46428,97,2.3
1,49159,97,2.3
1,51890,97,2.35
1,54621,97,2.4
1,57352,97,2.2
1,60083,97,2.35
1,62814,97,2.2
1,65535,97,2.3
1,1,129,2.2
1,2732,129,2.3
1,5463,129,2.25
1,8194,129,2.3
1,10925,129,2.35
1,13656,129,2.25
1,16387,129,2.3
1,19118,129,2.3
1,21849,129,2.2
1,24580,129,2.25
1,27311,129,2.2
1,30042,129,2.3
1,32773,129,2.2
1,35504,129,2.3
1,38235,129,2.2
1,40966,129,2.35
1,43697,129,2.15
1,46428,129,2.25
1,49159,129,2.2
1,51890,129,2.3
1,54621,129,2.3
1,57352,129,2.3
1,60083,129,2.3
1,62814,129,2.3
1,65535,129,2.1
1,1,161,2.1
1,2732,161,2.2
1,5463,161,2.15
1,8194,161,2.3
1,10925,161,2.2
1,13656,161,2.3
1,16387,161,2.25
1,19118,161,2.2
1,21849,161,2.1
1,24580,161,2.1
1,27311,161,2.2
1,30042,161,2.2
1,32773,161,2.3
1,35504,161,2.25
1,38235,161,2.2
1,40966,161,2.15
1,43697,161,2.2
1,46428,161,2.2
1,49159,161,2.25
1,51890,161,2.2
1,54621,161,2.3
1,57352,161,2.25
1,60083,161,2.2
1,62814,161,2.25
1,65535,161,2.05
1,1,193,2.25
1,2732,193,2.1
1,5463,193,2.2
1,8194,193,2.25
1,10925,193,2.3
1,13656,193,2.3
1,16387,193,2.2
1,19118,193,2.1
1,21849,193,2.15
1,24580,193,2.15
1,27311,193,2.2
1,30042,193,2.15
1,32773,193,2.2
1,35504,193,2.2
1,38235,193,2.1
