bri,mired,watt
2,111,10.75
2,121,4.3
2,131,4.1
2,141,4.2
2,151,4.2
2,161,4.25
2,171,4.2
2,181,4.2
2,191,4.2
2,201,4.15
2,211,4.25
2,221,4.2
2,231,4.15
2,241,4.15
2,251,4.15
2,261,4.2
2,271,4.25
2,281,4.2
2,291,4.2
2,301,4.2
2,311,4.3
2,321,4.25
2,331,4.2
2,341,4.2
2,351,4.2
2,361,4.25
2,371,4.3
2,381,4.3
2,391,4.2
2,401,4.3
2,411,4.25
2,421,4.25
2,431,4.25
2,441,4.25
2,451,4.25
2,461,4.3
2,471,4.25
2,481,4.2
2,491,4.2
2,500,4.2
12,111,4.15
12,121,4.2
12,131,4.2
12,141,4.3
12,151,5.0
12,161,5.05
12,171,5.0
12,181,5.05
12,191,5.1
12,201,5.1
12,211,4.75
12,221,4.7
12,231,4.75
12,241,4.7
12,251,4.75
12,261,4.75
12,271,4.8
12,281,4.85
12,291,4.8
12,301,4.85
12,311,4.85
12,321,4.9
12,331,4.9
12,341,4.95
12,351,5.0
12,361,5.0
12,371,5.05
12,381,5.05
12,391,5.05
12,401,5.1
12,411,5.05
12,421,5.0
12,431,5.1
12,441,5.15
12,451,5.1
12,461,5.15
12,471,5.05
12,481,5.15
12,491,5.1
12,500,5.05
22,111,5.05
22,121,5.05
22,131,5.2
22,141,5.65
22,151,5.7
22,161,5.75
22,171,5.75
22,181,5.7
22,191,5.7
22,201,5.3
22,211,5.1
22,221,5.1
22,231,5.15
22,241,5.2
22,251,5.2
22,261,5.2
22,271,5.3
22,281,5.35
22,291,5.4
22,301,5.3
22,311,5.4
22,321,5.45
22,331,5.45
22,341,5.55
22,351,5.6
22,361,5.65
22,371,5.65
22,381,5.65
22,391,5.75
22,401,5.8
22,411,5.8
22,421,5.7
22,431,5.75
22,441,5.7
22,451,5.7
22,461,5.75
22,471,5.65
22,481,5.7
22,491,5.75
22,500,5.7
32,111,5.75
32,121,5.7
32,131,5.6
32,141,5.8
32,151,6.5
32,161,6.4
32,171,6.45
32,181,6.35
32,191,6.4
32,201,6.45
32,211,5.85
32,221,5.55
32,231,5.55
32,241,5.55
32,251,5.6
32,261,5.7
32,271,5.65
32,281,5.75
32,291,5.8
32,301,5.8
32,311,5.9
32,321,6.0
32,331,6.1
32,341,6.1
32,351,6.25
32,361,6.25
32,371,6.4
32,381,6.45
32,391,6.45
32,401,6.4
32,411,6.4
32,421,6.5
32,431,6.4
32,441,6.4
32,451,6.45
32,461,6.45
32,471,6.4
32,481,6.4
32,491,6.35
32,500,6.4
42,111,6.35
42,121,6.4
42,131,6.4
42,141,6.7
42,151,6.9
42,161,7.0
42,171,6.9
42,181,6.95
42,191,6.9
42,201,6.9
42,211,5.9
42,221,5.9
42,231,5.8
42,241,5.9
42,251,5.95
42,261,6.05
42,271,6.05
42,281,6.15
42,291,6.2
42,301,6.3
42,311,6.45
42,321,6.5
42,331,6.55
42,341,6.6
42,351,6.65
42,361,6.75
42,371,6.95
42,381,6.85
42,391,6.9
42,401,6.9
42,411,6.95
42,421,6.9
42,431,6.95
42,441,6.9
42,451,6.9
42,461,6.95
