effect,bri,watt
none,5,2.88
none,15,3.15
none,25,3.48
none,35,3.7
none,45,4.05
none,55,4.38
none,65,4.7
none,75,4.95
none,85,5.3
none,95,5.67
none,105,5.88
none,115,6.25
none,125,6.62
none,135,6.78
none,145,7.1
none,155,7.47
none,165,7.72
none,175,8.1
none,185,8.4
none,195,8.6
none,205,8.97
none,215,9.28
none,225,9.53
none,235,9.9
none,245,10.2
none,255,10.57
sunrise,5,2.9
sunrise,15,2.9
sunrise,25,2.92
sunrise,35,2.92
sunrise,45,2.95
sunrise,55,2.9
sunrise,65,2.92
sunrise,75,2.92
sunrise,85,2.9
sunrise,95,2.95
sunrise,105,2.9
sunrise,115,2.9
sunrise,125,2.92
sunrise,135,2.9
sunrise,145,2.92
sunrise,155,2.95
sunrise,165,2.9
sunrise,175,2.92
sunrise,185,2.9
sunrise,195,2.9
sunrise,205,2.92
sunrise,215,2.9
sunrise,225,2.88
sunrise,235,2.9
sunrise,245,2.9
sunrise,255,2.92
sunset,5,3.32
sunset,15,3.68
sunset,25,3.82
sunset,35,4.03
sunset,45,4.3
sunset,55,4.57
sunset,65,4.8
sunset,75,5.05
sunset,85,5.22
sunset,95,5.53
sunset,105,5.75
sunset,115,6.03
sunset,125,6.22
sunset,135,6.33
sunset,145,6.65
sunset,155,6.8
sunset,165,7.05
sunset,175,7.35
sunset,185,7.6
sunset,195,7.72
sunset,205,8.03
sunset,215,8.35
sunset,225,8.43
sunset,235,8.72
sunset,245,8.97
sunset,255,9.32
movie,5,2.88
movie,15,3.0
movie,25,3.12
movie,35,3.25
movie,45,3.4
movie,55,3.55
movie,65,3.7
movie,75,3.88
movie,85,4.0
movie,95,4.22
movie,105,4.35
movie,115,4.55
movie,125,4.7
movie,135,4.8
movie,145,5.0
movie,155,5.15
movie,165,5.3
movie,175,5.5
movie,185,5.67
movie,195,5.72
movie,205,6.0
movie,215,6.15
movie,225,6.3
movie,235,6.5
movie,245,6.72
movie,255,6.93
dating,5,3.32
dating,15,3.6
dating,25,3.85
dating,35,4.03
dating,45,4.33
dating,55,4.5
dating,65,4.75
dating,75,4.97
dating,85,5.17
dating,95,5.47
dating,105,5.62
dating,115,5.9
dating,125,6.12
dating,135,6.25
dating,145,6.55
dating,155,6.7
dating,165,6.93
dating,175,7.2
dating,185,7.45
dating,195,7.6
dating,205,7.9
dating,215,8.12
dating,225,8.22
dating,235,8.5
dating,245,8.8
dating,255,9.07
romantic,5,3.27
romantic,15,3.62
romantic,25,3.8
romantic,35,3.98
romantic,45,4.28
romantic,55,4.55
romantic,65,4.85
romantic,75,4.78
romantic,85,5.25
romantic,95,5.5
romantic,105,5.67
romantic,115,6.03
romantic,125,6.22
romantic,135,6.33
romantic,145,6.65
romantic,155,6.8
romantic,165,7.03
romantic,175,7.38
romantic,185,7.4
romantic,195,7.75
romantic,205,7.97
romantic,215,8.28
romantic,225,8.42
romantic,235,8.07
romantic,245,9.03
romantic,255,9.2
twinkle,5,2.92
twinkle,15,3.35
twinkle,25,3.73
twinkle,35,4.12
twinkle,45,4.6
twinkle,55,5.03
twinkle,65,5.33
twinkle,75,5.38
twinkle,85,5.65
twinkle,95,6.67
twinkle,105,7.68
twinkle,115,7.1
twinkle,125,7.75
twinkle,135,7.47
twinkle,145,8.62
twinkle,155,9.03
twinkle,165,9.28
twinkle,175,9.32
twinkle,185,11.3
twinkle,195,9.92
twinkle,205,10.4
twinkle,215,10.88
twinkle,225,11.53
twinkle,235,12.57
twinkle,245,11.62
twinkle,255,13.2
candlelight,5,2.7
candlelight,15,2.77
candlelight,25,2.82
candlelight,35,2.9
candlelight,45,3.0
candlelight,55,3.0
candlelight,65,3.1
candlelight,75,3.15
candlelight,85,3.08
candlelight,95,3.38
candlelight,105,3.48
candlelight,115,3.5
candlelight,125,3.5
candlelight,135,3.5
candlelight,145,3.65
candlelight,155,3.88
candlelight,165,3.77
candlelight,175,3.83
candlelight,185,3.95
candlelight,195,3.8
candlelight,205,4.17
candlelight,215,4.42
candlelight,225,4.33
candlelight,235,4.3
candlelight,245,4.3
candlelight,255,4.55
