bri,mired,watt
1,153,1.6
1,163,0.95
1,173,0.9
1,183,1.0
1,193,0.9
1,203,0.95
1,213,1.1
1,223,1.0
1,233,0.9
1,243,0.95
1,253,1.05
1,263,0.85
1,273,1.0
1,283,0.85
1,293,0.95
1,303,0.9
1,313,1.0
1,323,1.1
1,333,0.85
1,343,1.05
1,353,0.9
1,363,0.95
1,373,1.0
1,383,0.9
1,393,1.0
1,403,0.9
1,413,0.9
1,423,0.9
1,433,1.0
1,443,0.95
1,453,0.95
1,463,0.95
1,473,0.85
1,483,0.85
1,493,0.95
1,500,0.9
6,153,1.1
6,163,1.1
6,173,1.1
6,183,1.1
6,193,1.1
6,203,1.1
6,213,1.2
6,223,1.1
6,233,1.05
6,243,0.95
6,253,1.2
6,263,1.0
6,273,0.95
6,283,0.95
6,293,1.05
6,303,1.1
6,313,1.05
6,323,1.15
6,333,1.05
6,343,1.1
6,353,1.0
6,363,1.0
6,373,1.2
6,383,1.1
6,393,1.2
6,403,1.05
6,413,1.15
6,423,1.0
6,433,1.05
6,443,1.05
6,453,1.2
6,463,1.05
6,473,1.0
6,483,1.05
6,493,1.1
6,500,1.05
11,153,1.15
11,163,1.2
11,173,1.1
11,183,1.25
11,193,1.35
11,203,1.15
11,213,1.25
11,223,1.3
11,233,1.2
11,243,1.25
11,253,1.25
11,263,1.3
11,273,1.3
11,283,1.15
11,293,1.2
11,303,1.15
11,313,1.35
11,323,1.3
11,333,1.2
11,343,1.2
11,353,1.25
11,363,1.35
11,373,1.2
11,383,1.25
11,393,1.15
11,403,1.3
11,413,1.2
11,423,1.25
11,433,1.15
11,443,1.25
11,453,1.4
11,463,1.1
11,473,1.25
11,483,1.2
11,493,1.2
11,500,1.1
16,153,1.25
16,163,1.35
16,173,1.35
16,183,1.3
16,193,1.35
16,203,1.45
16,213,1.4
16,223,1.35
16,233,1.35
16,243,1.25
16,253,1.45
16,263,1.35
16,273,1.35
16,283,1.4
16,293,1.35
16,303,1.45
16,313,1.25
16,323,1.35
16,333,1.35
16,343,1.35
16,353,1.35
16,363,1.4
16,373,1.5
16,383,1.35
16,393,1.3
16,403,1.4
16,413,1.35
16,423,1.25
16,433,1.3
16,443,1.3
16,453,1.35
16,463,1.25
16,473,1.35
16,483,1.35
16,493,1.2
16,500,1.3
21,153,1.4
21,163,1.55
21,173,1.4
21,183,1.45
21,193,1.45
21,203,1.5
21,213,1.45
21,223,1.5
21,233,1.5
21,243,1.4
21,253,1.45
21,263,1.55
21,273,1.65
21,283,1.6
21,293,1.4
21,303,1.45
21,313,1.65
21,323,1.45
21,333,1.4
21,343,1.6
21,353,1.35
21,363,1.4
21,373,1.45
21,383,1.35
21,393,1.4
21,403,1.45
