bri,mired,watt
2,200,0.62
2,210,0.58
2,220,0.6
2,230,0.58
2,240,0.58
2,250,0.58
2,260,0.6
2,270,0.6
2,280,0.6
2,290,0.6
2,300,0.6
2,310,0.58
2,320,0.62
2,330,0.62
2,340,0.6
2,350,0.58
2,360,0.6
2,370,0.6
2,380,0.6
2,390,0.58
2,400,0.58
2,410,0.6
2,420,0.58
2,430,0.58
2,440,0.57
2,450,0.58
2,454,0.6
7,200,0.58
7,210,0.6
7,220,0.6
7,230,0.6
7,240,0.6
7,250,0.6
7,260,0.6
7,270,0.6
7,280,0.62
7,290,0.62
7,300,0.6
7,310,0.6
7,320,0.62
7,330,0.58
7,340,0.6
7,350,0.63
7,360,0.58
7,370,0.58
7,380,0.62
7,390,0.58
7,400,0.6
7,410,0.62
7,420,0.58
7,430,0.6
7,440,0.6
7,450,0.57
7,454,0.57
12,200,0.6
12,210,0.62
12,220,0.6
12,230,0.6
12,240,0.6
12,250,0.62
12,260,0.62
12,270,0.57
12,280,0.57
12,290,0.58
12,300,0.6
12,310,0.6
12,320,0.6
12,330,0.62
12,340,0.62
12,350,0.62
12,360,0.6
12,370,0.58
12,380,0.62
12,390,0.58
12,400,0.6
12,410,0.58
12,420,0.6
12,430,0.6
12,440,0.6
12,450,0.63
12,454,0.6
17,200,0.62
17,210,0.6
17,220,0.6
17,230,0.57
17,240,0.6
17,250,0.63
17,260,0.6
17,270,0.62
17,280,0.6
17,290,0.58
17,300,0.6
17,310,0.62
17,320,0.62
17,330,0.6
17,340,0.6
17,350,0.62
17,360,0.6
17,370,0.6
17,380,0.6
17,390,0.6
17,400,0.6
17,410,0.6
17,420,0.6
17,430,0.6
17,440,0.6
17,450,0.62
17,454,0.6
22,200,0.62
22,210,0.6
22,220,0.67
22,230,0.63
22,240,0.6
22,250,0.65
22,260,0.63
22,270,0.65
22,280,0.62
22,290,0.62
22,300,0.63
22,310,0.62
22,320,0.62
22,330,0.63
22,340,0.63
22,350,0.62
22,360,0.63
22,370,0.63
22,380,0.62
22,390,0.65
22,400,0.67
22,410,0.62
22,420,0.65
22,430,0.62
22,440,0.6
22,450,0.6
22,454,0.63
27,200,0.67
27,210,0.68
27,220,0.67
27,230,0.65
27,240,0.65
27,250,0.67
27,260,0.7
27,270,0.67
27,280,0.65
27,290,0.63
27,300,0.65
27,310,0.63
27,320,0.65
27,330,0.67
27,340,0.65
27,350,0.65
27,360,0.65
27,370,0.63
27,380,0.65
27,390,0.63
27,400,0.65
27,410,0.65
27,420,0.67
27,430,0.7
27,440,0.63
27,450,0.65
27,454,0.68
32,200,0.7
32,210,0.7
32,220,0.68
32,230,0.67
32,240,0.68
32,250,0.67
32,260,0.67
32,270,0.72
32,280,0.67
32,290,0.67
32,300,0.68
32,310,0.7
32,320,0.72
32,330,0.68
32,340,0.68
32,350,0.68
32,360,0.7
32,370,0.7
32,380,0.7
32,390,0.68
32,400,0.68
32,410,0.68
32,420,0.7
32,430,0.7
32,440,0.68
32,450,0.7
32,454,0.67
37,200,0.75
37,210,0.73
37,220,0.75
37,230,0.73
37,240,0.73
37,250,0.73
37,260,0.75
37,270,0.73
37,280,0.72
37,290,0.73
37,300,0.73
37,310,0.73
37,320,0.7
37,330,0.7
37,340,0.72
37,350,0.73
37,360,0.75
37,370,0.73
37,380,0.72
37,390,0.75
37,400,0.72
37,410,0.73
37,420,0.75
37,430,0.73
37,440,0.73
37,450,0.73
37,454,0.72
42,200,0.78
42,210,0.78
42,220,0.78
42,230,0.8
42,240,0.77
42,250,0.8
42,260,0.77
42,270,0.77
42,280,0.8
42,290,0.78
42,300,0.77
42,310,0.78
42,320,0.78
42,330,0.8
42,340,0.77
42,350,0.75
42,360,0.78
42,370,0.8
42,380,0.8
42,390,0.8
42,400,0.75
42,410,0.78
42,420,0.77
42,430,0.78
42,440,0.8
42,450,0.8
42,454,0.77
47,200,0.83
47,210,0.85
47,220,0.85
47,230,0.83
47,240,0.83
47,250,0.83
47,260,0.85
47,270,0.8
47,280,0.83
47,290,0.87
47,300,0.8
47,310,0.85
47,320,0.85
47,330,0.85
47,340,0.85
47,350,0.83
47,360,0.85
47,370,0.83
47,380,0.85
47,390,0.82
47,400,0.82
47,410,0.85
47,420,0.83
47,430,0.82
47,440,0.83
47,450,0.83
47,454,0.82
52,200,0.88
52,210,0.9
52,220,0.88
52,230,0.9
52,240,0.9
52,250,0.92
52,260,0.92
52,270,0.88
52,280,0.92
52,290,0.88
52,300,0.9
52,310,0.87
52,320,0.9
52,330,0.92
52,340,0.88
52,350,0.93
52,360,0.9
52,370,0.88
52,380,0.93
52,390,0.87
52,400,0.88
52,410,0.92
52,420,0.88
52,430,0.87
52,440,0.9
52,450,0.87
52,454,0.88
57,200,0.95
57,210,0.93
57,220,0.97
57,230,0.95
57,240,0.93
57,250,0.93
