bri,mired,watt
1,250,1.21
1,260,1.18
1,270,1.21
1,280,1.2
1,290,1.18
1,300,1.2
1,310,1.22
1,320,1.24
1,330,1.18
1,340,1.18
1,350,1.21
1,360,1.2
1,370,1.23
1,380,1.18
1,390,1.2
1,400,1.18
1,410,1.19
1,420,1.21
1,430,1.19
1,440,1.19
1,450,1.15
1,454,1.18
6,250,1.24
6,260,1.26
6,270,1.29
6,280,1.23
6,290,1.28
6,300,1.26
6,310,1.24
6,320,1.27
6,330,1.26
6,340,1.2
6,350,1.23
6,360,1.26
6,370,1.25
6,380,1.24
6,390,1.24
6,400,1.2
6,410,1.24
6,420,1.25
6,430,1.22
6,440,1.24
6,450,1.24
6,454,1.24
11,250,1.29
11,260,1.27
11,270,1.29
11,280,1.26
11,290,1.27
11,300,1.29
11,310,1.28
11,320,1.3
11,330,1.3
11,340,1.25
11,350,1.31
11,360,1.31
11,370,1.28
11,380,1.27
11,390,1.28
11,400,1.28
11,410,1.28
11,420,1.27
11,430,1.29
11,440,1.28
11,450,1.26
11,454,1.28
16,250,1.28
16,260,1.33
16,270,1.3
16,280,1.35
16,290,1.39
16,300,1.36
16,310,1.33
16,320,1.39
16,330,1.36
16,340,1.36
16,350,1.36
16,360,1.33
16,370,1.31
16,380,1.32
16,390,1.34
16,400,1.35
16,410,1.34
16,420,1.37
16,430,1.31
16,440,1.36
16,450,1.33
16,454,1.31
21,250,1.38
21,260,1.37
21,270,1.38
21,280,1.35
21,290,1.36
21,300,1.39
21,310,1.37
21,320,1.39
21,330,1.37
21,340,1.36
21,350,1.36
21,360,1.41
21,370,1.37
21,380,1.36
21,390,1.41
21,400,1.41
21,410,1.39
21,420,1.39
21,430,1.38
21,440,1.35
21,450,1.37
21,454,1.36
26,250,1.36
26,260,1.38
26,270,1.42
26,280,1.37
26,290,1.44
26,300,1.42
26,310,1.36
26,320,1.44
26,330,1.41
26,340,1.41
26,350,1.4
26,360,1.43
26,370,1.44
26,380,1.43
26,390,1.49
26,400,1.43
26,410,1.4
26,420,1.43
26,430,1.37
26,440,1.39
26,450,1.42
26,454,1.4
31,250,1.46
31,260,1.48
31,270,1.46
31,280,1.42
31,290,1.48
31,300,1.47
31,310,1.49
31,320,1.53
31,330,1.46
31,340,1.49
31,350,1.53
31,360,1.44
31,370,1.46
31,380,1.48
31,390,1.43
31,400,1.48
31,410,1.45
31,420,1.45
31,430,1.44
31,440,1.45
31,450,1.46
31,454,1.48
36,250,1.47
36,260,1.49
36,270,1.54
36,280,1.52
36,290,1.52
36,300,1.55
36,310,1.51
36,320,1.53
36,330,1.54
36,340,1.55
36,350,1.55
36,360,1.57
36,370,1.49
36,380,1.48
36,390,1.49
36,400,1.52
36,410,1.49
36,420,1.5
36,430,1.48
36,440,1.53
36,450,1.5
36,454,1.46
41,250,1.57
41,260,1.52
41,270,1.58
41,280,1.6
41,290,1.57
41,300,1.62
41,310,1.56
41,320,1.57
41,330,1.56
41,340,1.55
41,350,1.55
41,360,1.53
41,370,1.6
41,380,1.58
41,390,1.55
41,400,1.56
41,410,1.54
41,420,1.61
41,430,1.5
41,440,1.59
41,450,1.55
41,454,1.59
46,250,1.59
46,260,1.6
46,270,1.61
46,280,1.6
46,290,1.64
46,300,1.67
46,310,1.66
46,320,1.67
46,330,1.64
46,340,1.63
46,350,1.67
46,360,1.64
46,370,1.69
46,380,1.61
46,390,1.65
46,400,1.63
46,410,1.62
46,420,1.6
46,430,1.64
46,440,1.59
46,450,1.61
46,454,1.59
51,250,1.66
51,260,1.7
51,270,1.68
51,280,1.68
51,290,1.72
51,300,1.7
51,310,1.72
51,320,1.68
51,330,1.73
51,340,1.68
51,350,1.72
51,360,1.65
51,370,1.69
51,380,1.72
51,390,1.68
51,400,1.73
51,410,1.68
51,420,1.72
51,430,1.63
51,440,1.68
51,450,1.68
51,454,1.68
56,250,1.69
56,260,1.82
56,270,1.78
56,280,1.76
56,290,1.83
56,300,1.81
56,310,1.73
56,320,1.82
56,330,1.83
56,340,1.76
56,350,1.79
56,360,1.77
56,370,1.68
56,380,1.77
56,390,1.72
56,400,1.81
56,410,1.71
56,420,1.72
56,430,1.75
56,440,1.81
56,450,1.74
56,454,1.79
61,250,1.81
61,260,1.82
61,270,1.82
61,280,1.86
61,290,1.87
61,300,1.88
61,310,1.84
61,320,1.86
61,330,1.9
61,340,1.82
61,350,1.86
61,360,1.83
61,370,1.84
61,380,1.83
61,390,1.82
61,400,1.8
61,410,1.85
61,420,1.89
61,430,1.88
61,440,1.88
61,450,1.78
61,454,1.83
66,250,1.83
66,260,1.91
66,270,1.91
66,280,1.87
66,290,1.96
66,300,1.92
66,310,1.99
66,320,1.84
66,330,1.86
66,340,1.94
66,350,1.93
66,360,1.92
66,370,1.92
66,380,1.93
66,390,1.86
66,400,1.83
66,410,1.88
66,420,1.88
66,430,1.91
66,440,1.91
66,450,1.95
66,454,1.95
71,250,1.96
71,260,1.96
71,270,2.04
71,280,1.92
71,290,1.95
71,300,2.03
71,310,2.05
71,320,2.0
71,330,1.96
71,340,2.0
71,350,2.03
71,360,2.01
71,370,1.91
71,380,1.96
71,390,1.97
71,400,1.96
71,410,1.95
71,420,1.97
71,430,1.93
71,440,1.95
71,450,1.99
71,454,1.93
76,250,2.02
76,260,1.98
76,270,2.02
76,280,2.03
76,290,2.07
76,300,2.06
76,310,2.07
76,320,2.04
76,330,2.05
76,340,2.08
76,350,2.07
76,360,2.09
76,370,2.09
76,380,2.06
76,390,2.0
76,400,2.06
76,410,2.05
76,420,2.08
76,430,2.04
76,440,2.02
76,450,2.01
76,454,2.02
81,250,2.11
81,260,2.13
81,270,2.14
81,280,2.14
81,290,2.14
81,300,2.17
81,310,2.16
81,320,2.15
81,330,2.13
81,340,2.17
81,350,2.21
81,360,2.16
81,370,2.13
81,380,2.16
81,390,2.17
81,400,2.16
81,410,2.14
81,420,2.16
81,430,2.13
81,440,2.12
81,450,2.15
81,454,2.09
86,250,2.23
86,260,2.21
86,270,2.25
86,280,2.23
86,290,2.27
86,300,2.25
86,310,2.22
86,320,2.28
86,330,2.24
86,340,2.25
86,350,2.23
86,360,2.24
86,370,2.19
86,380,2.25
86,390,2.25
86,400,2.23
86,410,2.22
86,420,2.21
86,430,2.2
86,440,2.16
86,450,2.21
86,454,2.18
91,250,2.28
91,260,2.33
91,270,2.29
91,280,2.36
91,290,2.36
91,300,2.36
91,310,2.34
91,320,2.35
91,330,2.36
91,340,2.36
91,350,2.35
91,360,2.37
91,370,2.36
91,380,2.36
91,390,2.33
91,400,2.34
91,410,2.3
91,420,2.26
91,430,2.3
91,440,2.32
91,450,2.3
91,454,2.28
96,250,2.4
96,260,2.49
96,270,2.41
96,280,2.39
96,290,2.44
96,300,2.44
96,310,2.46
96,320,2.46
96,330,2.42
96,340,2.44
96,350,2.47
96,360,2.43
96,370,2.45
96,380,2.5
96,390,2.38
96,400,2.41
96,410,2.42
96,420,2.41
96,430,2.41
96,440,2.4
96,450,2.4
96,454,2.4
101,250,2.55
101,260,2.5
101,270,2.54
