bri,hue,sat,watt
1,1,1,0.43
1,2732,1,0.35
1,5463,1,0.43
1,8194,1,0.35
1,10925,1,0.4
1,13656,1,0.35
1,16387,1,0.43
1,19118,1,0.35
1,21849,1,0.4
1,24580,1,0.32
1,27311,1,0.43
1,30042,1,0.3
1,32773,1,0.4
1,35504,1,0.32
1,38235,1,0.4
1,40966,1,0.4
1,43697,1,0.38
1,46428,1,0.35
1,49159,1,0.43
1,51890,1,0.35
1,54621,1,0.38
1,57352,1,0.32
1,60083,1,0.43
1,62814,1,0.35
1,65535,1,0.43
1,1,33,0.32
1,2732,33,0.4
1,5463,33,0.38
1,8194,33,0.4
1,10925,33,0.38
1,13656,33,0.35
1,16387,33,0.35
1,19118,33,0.4
1,21849,33,0.35
1,24580,33,0.4
1,27311,33,0.3
1,30042,33,0.4
1,32773,33,0.32
1,35504,33,0.38
1,38235,33,0.32
1,40966,33,0.4
1,43697,33,0.38
1,46428,33,0.38
1,49159,33,0.35
1,51890,33,0.38
1,54621,33,0.32
1,57352,33,0.4
1,60083,33,0.3
1,62814,33,0.38
1,65535,33,0.35
1,1,65,0.35
1,2732,65,0.3
1,5463,65,0.38
1,8194,65,0.3
1,10925,65,0.4
1,13656,65,0.38
1,16387,65,0.4
1,19118,65,0.35
1,21849,65,0.4
1,24580,65,0.35
1,27311,65,0.38
1,30042,65,0.35
1,32773,65,0.4
1,35504,65,0.38
1,38235,65,0.38
1,40966,65,0.3
1,43697,65,0.4
1,46428,65,0.32
1,49159,65,0.4
1,51890,65,0.35
1,54621,65,0.4
1,57352,65,0.32
1,60083,65,0.4
1,62814,65,0.35
1,65535,65,0.38
1,1,97,0.3
1,2732,97,0.4
1,5463,97,0.32
1,8194,97,0.38
1,10925,97,0.38
1,13656,97,0.4
1,16387,97,0.35
1,19118,97,0.38
1,21849,97,0.35
1,24580,97,0.38
1,27311,97,0.35
1,30042,97,0.38
1,32773,97,0.32
1,35504,97,0.38
1,38235,97,0.32
1,40966,97,0.35
1,43697,97,0.35
1,46428,97,0.38
1,49159,97,0.35
1,51890,97,0.38
1,54621,97,0.35
1,57352,97,0.4
1,60083,97,0.35
1,62814,97,0.35
1,65535,97,0.32
1,1,129,0.38
1,2732,129,0.35
1,5463,129,0.35
1,8194,129,0.32
1,10925,129,0.4
1,13656,129,0.32
1,16387,129,0.4
1,19118,129,0.35
1,21849,129,0.38
1,24580,129,0.35
1,27311,129,0.38
1,30042,129,0.35
1,32773,129,0.35
1,35504,129,0.32
1,38235,129,0.38
1,40966,129,0.38
1,43697,129,0.35
1,46428,129,0.35
1,49159,129,0.35
1,51890,129,0.32
1,54621,129,0.4
1,57352,129,0.35
1,60083,129,0.38
1,62814,129,0.35
1,65535,129,0.38
1,1,161,0.35
1,2732,161,0.35
1,5463,161,0.32
1,8194,161,0.38
1,10925,161,0.35
1,13656,161,0.38
1,16387,161,0.35
1,19118,161,0.35
1,21849,161,0.35
1,24580,161,0.4
1,27311,161,0.32
1,30042,161,0.4
1,32773,161,0.35
1,35504,161,0.38
1,38235,161,0.35
1,40966,161,0.35
1,43697,161,0.35
1,46428,161,0.35
1,49159,161,0.35
1,51890,161,0.38
1,54621,161,0.32
1,57352,161,0.38
1,60083,161,0.35
1,62814,161,0.4
1,65535,161,0.32
1,1,193,0.35
1,2732,193,0.32
1,5463,193,0.38
1,8194,193,0.32
1,10925,193,0.4
1,13656,193,0.35
1,16387,193,0.4
1,19118,193,0.35
1,21849,193,0.4
1,24580,193,0.32
1,27311,193,0.4
1,30042,193,0.35
1,32773,193,0.38
1,35504,193,0.32
1,38235,193,0.38
1,40966,193,0.32
1,43697,193,0.4
1,46428,193,0.32
1,49159,193,0.38
1,51890,193,0.3
1,54621,193,0.4
1,57352,193,0.32
1,60083,193,0.38
1,62814,193,0.32
1,65535,193,0.38
1,1,225,0.32
1,2732,225,0.38
1,5463,225,0.32
1,8194,225,0.4
1,10925,225,0.35
1,13656,225,0.35
1,16387,225,0.32
1,19118,225,0.35
1,21849,225,0.3
1,24580,225,0.35
1,27311,225,0.3
1,30042,225,0.38
1,32773,225,0.35
1,35504,225,0.4
1,38235,225,0.35
1,40966,225,0.38
1,43697,225,0.32
1,46428,225,0.38
1,49159,225,0.3
1,51890,225,0.38
1,54621,225,0.32
1,57352,225,0.38
1,60083,225,0.35
1,62814,225,0.38
1,65535,225,0.38
1,1,255,0.38
1,2732,255,0.32
1,5463,255,0.38
1,8194,255,0.35
1,10925,255,0.38
1,13656,255,0.35
1,16387,255,0.35
1,19118,255,0.3
1,21849,255,0.38
1,24580,255,0.35
1,27311,255,0.38
1,30042,255,0.32
1,32773,255,0.38
1,35504,255,0.32
1,38235,255,0.38
1,40966,255,0.35
1,43697,255,0.35
1,46428,255,0.38
1,49159,255,0.4
1,51890,255,0.35
1,54621,255,0.38
1,57352,255,0.35
1,60083,255,0.38
1,62814,255,0.32
1,65535,255,0.4
33,1,1,0.47
33,2732,1,0.45
33,5463,1,0.45
33,8194,1,0.45
33,10925,1,0.47
33,13656,1,0.45
33,16387,1,0.47
33,19118,1,0.45
33,21849,1,0.45
33,24580,1,0.5
33,27311,1,0.45
33,30042,1,0.43
33,32773,1,0.45
33,35504,1,0.5
33,38235,1,0.45
33,40966,1,0.45
33,43697,1,0.45
33,46428,1,0.43
33,49159,1,0.45
33,51890,1,0.43
33,54621,1,0.47
33,57352,1,0.47
33,60083,1,0.45
33,62814,1,0.45
33,65535,1,0.45
33,1,33,0.43
33,2732,33,0.43
33,5463,33,0.43
33,8194,33,0.47
33,10925,33,0.43
33,13656,33,0.43
33,16387,33,0.43
33,19118,33,0.45
33,21849,33,0.43
33,24580,33,0.45
33,27311,33,0.45
33,30042,33,0.43
33,32773,33,0.43
33,35504,33,0.43
33,38235,33,0.45
33,40966,33,0.43
33,43697,33,0.43
33,46428,33,0.4
33,49159,33,0.4
33,51890,33,0.43
33,54621,33,0.4
33,57352,33,0.4
33,60083,33,0.43
33,62814,33,0.45
33,65535,33,0.4
33,1,65,0.38
33,2732,65,0.4
33,5463,65,0.4
33,8194,65,0.53
33,10925,65,0.4
33,13656,65,0.43
33,16387,65,0.45
33,19118,65,0.4
33,21849,65,0.43
33,24580,65,0.4
33,27311,65,0.43
33,30042,65,0.45
33,32773,65,0.4
33,35504,65,0.43
33,38235,65,0.45
33,40966,65,0.43
33,43697,65,0.4
33,46428,65,0.43
33,49159,65,0.4
33,51890,65,0.4
33,54621,65,0.4
33,57352,65,0.4
33,60083,65,0.4
33,62814,65,0.43
33,65535,65,0.43
33,1,97,0.4
33,2732,97,0.4
33,5463,97,0.4
33,8194,97,0.45
33,10925,97,0.47
33,13656,97,0.4
33,16387,97,0.4
33,19118,97,0.4
33,21849,97,0.4
33,24580,97,0.4
33,27311,97,0.4
33,30042,97,0.43
33,32773,97,0.4
33,35504,97,0.45
33,38235,97,0.43
33,40966,97,0.43
33,43697,97,0.4
33,46428,97,0.45
33,49159,97,0.43
33,51890,97,0.4
33,54621,97,0.38
33,57352,97,0.4
33,60083,97,0.4
33,62814,97,0.4
33,65535,97,0.4
33,1,129,0.4
33,2732,129,0.4
33,5463,129,0.4
33,8194,129,0.43
33,10925,129,0.43
33,13656,129,0.45
33,16387,129,0.4
33,19118,129,0.4
33,21849,129,0.38
33,24580,129,0.4
33,27311,129,0.43
33,30042,129,0.43
33,32773,129,0.4
33,35504,129,0.4
33,38235,129,0.45
33,40966,129,0.4
33,43697,129,0.43
33,46428,129,0.4
33,49159,129,0.4
33,51890,129,0.43
33,54621,129,0.4
33,57352,129,0.4
33,60083,129,0.4
33,62814,129,0.4
33,65535,129,0.4
33,1,161,0.38
33,2732,161,0.4
33,5463,161,0.4
33,8194,161,0.4
33,10925,161,0.4
33,13656,161,0.4
33,16387,161,0.4
33,19118,161,0.4
33,21849,161,0.4
33,24580,161,0.4
33,27311,161,0.43
33,30042,161,0.4
33,32773,161,0.43
33,35504,161,0.4
33,38235,161,0.43
33,40966,161,0.4
33,43697,161,0.4
33,46428,161,0.43
33,49159,161,0.4
33,51890,161,0.4
33,54621,161,0.43
33,57352,161,0.4
33,60083,161,0.38
33,62814,161,0.4
33,65535,161,0.4
33,1,193,0.38
33,2732,193,0.4
33,5463,193,0.38
33,8194,193,0.43
33,10925,193,0.45
33,13656,193,0.4
33,16387,193,0.4
33,19118,193,0.4
33,21849,193,0.43
33,24580,193,0.4
33,27311,193,0.4
33,30042,193,0.4
33,32773,193,0.43
33,35504,193,0.43
33,38235,193,0.4
33,40966,193,0.38
33,43697,193,0.38
33,46428,193,0.38
33,49159,193,0.4
33,51890,193,0.43
33,54621,193,0.4
33,57352,193,0.4
33,60083,193,0.4
33,62814,193,0.4
33,65535,193,0.38
33,1,225,0.38
33,2732,225,0.4
33,5463,225,0.4
33,8194,225,0.4
33,10925,225,0.4
33,13656,225,0.4
33,16387,225,0.4
33,19118,225,0.43
33,21849,225,0.4
33,24580,225,0.4
33,27311,225,0.4
33,30042,225,0.4
33,32773,225,0.45
33,35504,225,0.4
33,38235,225,0.43
33,40966,225,0.4
33,43697,225,0.38
33,46428,225,0.4
33,49159,225,0.4
33,51890,225,0.4
33,54621,225,0.4
33,57352,225,0.4
33,60083,225,0.4
33,62814,225,0.4
33,65535,225,0.4
33,1,255,0.4
33,2732,255,0.38
33,5463,255,0.4
33,8194,255,0.4
33,10925,255,0.43
33,13656,255,0.43
33,16387,255,0.4
33,19118,255,0.35
33,21849,255,0.38
33,24580,255,0.4
33,27311,255,0.4
33,30042,255,0.4
33,32773,255,0.43
33,35504,255,0.4
33,38235,255,0.4
33,40966,255,0.4
33,43697,255,0.4
33,46428,255,0.4
33,49159,255,0.4
33,51890,255,0.43
33,54621,255,0.4
33,57352,255,0.4
33,60083,255,0.43
33,62814,255,0.38
33,65535,255,0.4
65,1,1,0.53
65,2732,1,0.53
65,5463,1,0.53
65,8194,1,0.5
65,10925,1,0.53
65,13656,1,0.55
65,16387,1,0.55
65,19118,1,0.5
65,21849,1,0.53
65,24580,1,0.53
65,27311,1,0.5
65,30042,1,0.5
65,32773,1,0.55
65,35504,1,0.5
65,38235,1,0.5
65,40966,1,0.53
65,43697,1,0.47
65,46428,1,0.53
65,49159,1,0.53
65,51890,1,0.55
65,54621,1,0.53
65,57352,1,0.5
65,60083,1,0.5
65,62814,1,0.53
65,65535,1,0.5
65,1,33,0.45
65,2732,33,0.43
65,5463,33,0.45
65,8194,33,0.65
65,10925,33,0.5
65,13656,33,0.43
65,16387,33,0.45
65,19118,33,0.45
65,21849,33,0.47
65,24580,33,0.45
65,27311,33,0.45
65,30042,33,0.47
65,32773,33,0.5
65,35504,33,0.5
65,38235,33,0.5
65,40966,33,0.47
65,43697,33,0.47
65,46428,33,0.47
65,49159,33,0.5
65,51890,33,0.45
65,54621,33,0.43
65,57352,33,0.45
65,60083,33,0.43
65,62814,33,0.43
65,65535,33,0.45
65,1,65,0.43
65,2732,65,0.45
65,5463,65,0.43
65,8194,65,0.78
65,10925,65,0.47
65,13656,65,0.47
65,16387,65,0.47
65,19118,65,0.45
65,21849,65,0.45
65,24580,65,0.47
65,27311,65,0.45
65,30042,65,0.45
65,32773,65,0.5
65,35504,65,0.47
65,38235,65,0.5
65,40966,65,0.47
65,43697,65,0.47
65,46428,65,0.45
65,49159,65,0.45
65,51890,65,0.45
65,54621,65,0.47
65,57352,65,0.47
65,60083,65,0.45
65,62814,65,0.43
65,65535,65,0.43
65,1,97,0.45
65,2732,97,0.43
65,5463,97,0.43
65,8194,97,0.7
65,10925,97,0.5
65,13656,97,0.47
65,16387,97,0.5
65,19118,97,0.45
65,21849,97,0.45
65,24580,97,0.45
65,27311,97,0.45
65,30042,97,0.45
65,32773,97,0.45
65,35504,97,0.45
65,38235,97,0.53
65,40966,97,0.47
65,43697,97,0.45
65,46428,97,0.5
65,49159,97,0.45
65,51890,97,0.43
65,54621,97,0.45
65,57352,97,0.45
65,60083,97,0.43
65,62814,97,0.45
65,65535,97,0.45
65,1,129,0.45
65,2732,129,0.43
65,5463,129,0.43
65,8194,129,0.43
65,10925,129,0.45
65,13656,129,0.45
65,16387,129,0.45
65,19118,129,0.4
65,21849,129,0.45
65,24580,129,0.45
65,27311,129,0.45
65,30042,129,0.47
65,32773,129,0.45
65,35504,129,0.45
65,38235,129,0.45
65,40966,129,0.47
65,43697,129,0.45
65,46428,129,0.45
65,49159,129,0.5
65,51890,129,0.45
65,54621,129,0.45
65,57352,129,0.45
65,60083,129,0.45
65,62814,129,0.43
65,65535,129,0.45
65,1,161,0.4
65,2732,161,0.4
65,5463,161,0.4
65,8194,161,0.4
65,10925,161,0.45
65,13656,161,0.45
65,16387,161,0.43
65,19118,161,0.45
65,21849,161,0.43
65,24580,161,0.4
65,27311,161,0.4
65,30042,161,0.45
65,32773,161,0.43
65,35504,161,0.47
65,38235,161,0.45
65,40966,161,0.45
65,43697,161,0.4
65,46428,161,0.45
65,49159,161,0.47
65,51890,161,0.43
65,54621,161,0.43
65,57352,161,0.43
65,60083,161,0.45
65,62814,161,0.43
65,65535,161,0.38
65,1,193,0.43
65,2732,193,0.4
65,5463,193,0.4
65,8194,193,0.45
65,10925,193,0.43
65,13656,193,0.45
65,16387,193,0.43
65,19118,193,0.45
65,21849,193,0.4
65,24580,193,0.4
65,27311,193,0.4
65,30042,193,0.4
65,32773,193,0.45
65,35504,193,0.47
65,38235,193,0.45
65,40966,193,0.45
65,43697,193,0.45
65,46428,193,0.43
65,49159,193,0.45
65,51890,193,0.45
65,54621,193,0.43
65,57352,193,0.4
65,60083,193,0.43
65,62814,193,0.4
65,65535,193,0.4
65,1,225,0.4
65,2732,225,0.4
65,5463,225,0.43
65,8194,225,0.43
65,10925,225,0.45
65,13656,225,0.43
65,16387,225,0.43
65,19118,225,0.45
65,21849,225,0.4
65,24580,225,0.4
65,27311,225,0.4
65,30042,225,0.4
65,32773,225,0.4
65,35504,225,0.47
65,38235,225,0.45
65,40966,225,0.4
65,43697,225,0.4
65,46428,225,0.4
65,49159,225,0.43
65,51890,225,0.45
65,54621,225,0.45
65,57352,225,0.43
65,60083,225,0.4
65,62814,225,0.4
65,65535,225,0.4
65,1,255,0.4
65,2732,255,0.4
65,5463,255,0.43
65,8194,255,0.43
65,10925,255,0.45
65,13656,255,0.45
65,16387,255,0.43
65,19118,255,0.4
65,21849,255,0.4
65,24580,255,0.4
65,27311,255,0.4
65,30042,255,0.43
65,32773,255,0.45
65,35504,255,0.45
65,38235,255,0.45
65,40966,255,0.43
65,43697,255,0.4
65,46428,255,0.4
65,49159,255,0.45
65,51890,255,0.45
65,54621,255,0.45
65,57352,255,0.43
65,60083,255,0.4
65,62814,255,0.43
65,65535,255,0.43
97,1,1,0.65
97,2732,1,0.7
97,5463,1,0.65
97,8194,1,0.65
97,10925,1,0.65
97,13656,1,0.65
97,16387,1,0.65
97,19118,1,0.7
97,21849,1,0.68
97,24580,1,0.65
97,27311,1,0.65
97,30042,1,0.65
97,32773,1,0.65
97,35504,1,0.65
97,38235,1,0.62
97,40966,1,0.7
97,43697,1,0.65
97,46428,1,0.62
97,49159,1,0.68
97,51890,1,0.68
97,54621,1,0.7
97,57352,1,0.68
97,60083,1,0.7
97,62814,1,0.68
97,65535,1,0.68
97,1,33,0.53
97,2732,33,0.53
97,5463,33,0.55
97,8194,33,0.93
97,10925,33,0.6
97,13656,33,0.57
97,16387,33,0.57
97,19118,33,0.55
97,21849,33,0.57
97,24580,33,0.57
97,27311,33,0.55
97,30042,33,0.57
97,32773,33,0.57
97,35504,33,0.57
97,38235,33,0.6
97,40966,33,0.57
97,43697,33,0.57
97,46428,33,0.55
97,49159,33,0.57
97,51890,33,0.55
97,54621,33,0.53
97,57352,33,0.55
97,60083,33,0.53
97,62814,33,0.53
97,65535,33,0.55
97,1,65,0.5
97,2732,65,0.53
97,5463,65,0.55
97,8194,65,1.02
97,10925,65,0.57
97,13656,65,0.53
97,16387,65,0.57
97,19118,65,0.57
97,21849,65,0.55
97,24580,65,0.55
97,27311,65,0.55
97,30042,65,0.55
97,32773,65,0.55
97,35504,65,0.55
97,38235,65,0.6
97,40966,65,0.55
97,43697,65,0.57
97,46428,65,0.55
97,49159,65,0.55
97,51890,65,0.53
97,54621,65,0.5
97,57352,65,0.5
97,60083,65,0.5
97,62814,65,0.5
97,65535,65,0.5
97,1,97,0.47
97,2732,97,0.5
97,5463,97,0.5
97,8194,97,0.9
97,10925,97,0.55
97,13656,97,0.55
97,16387,97,0.5
97,19118,97,0.53
97,21849,97,0.5
97,24580,97,0.47
97,27311,97,0.55
97,30042,97,0.5
97,32773,97,0.53
97,35504,97,0.55
97,38235,97,0.62
97,40966,97,0.6
97,43697,97,0.6
97,46428,97,0.55
97,49159,97,0.55
97,51890,97,0.5
97,54621,97,0.5
97,57352,97,0.5
97,60083,97,0.47
97,62814,97,0.5
97,65535,97,0.5
97,1,129,0.47
97,2732,129,0.45
97,5463,129,0.53
97,8194,129,0.53
97,10925,129,0.53
97,13656,129,0.55
97,16387,129,0.53
97,19118,129,0.5
97,21849,129,0.45
97,24580,129,0.5
97,27311,129,0.5
97,30042,129,0.55
97,32773,129,0.53
97,35504,129,0.55
97,38235,129,0.55
97,40966,129,0.53
97,43697,129,0.5
97,46428,129,0.53
97,49159,129,0.55
97,51890,129,0.53
97,54621,129,0.53
97,57352,129,0.5
97,60083,129,0.5
97,62814,129,0.5
97,65535,129,0.47
97,1,161,0.45
97,2732,161,0.47
97,5463,161,0.45
97,8194,161,0.47
97,10925,161,0.5
97,13656,161,0.53
97,16387,161,0.5
97,19118,161,0.47
97,21849,161,0.45
97,24580,161,0.47
97,27311,161,0.45
97,30042,161,0.5
97,32773,161,0.53
97,35504,161,0.57
97,38235,161,0.53
97,40966,161,0.5
97,43697,161,0.5
97,46428,161,0.5
97,49159,161,0.55
97,51890,161,0.55
97,54621,161,0.5
97,57352,161,0.47
97,60083,161,0.5
97,62814,161,0.43
97,65535,161,0.47
97,1,193,0.45
97,2732,193,0.47
97,5463,193,0.5
97,8194,193,0.5
97,10925,193,0.53
97,13656,193,0.53
97,16387,193,0.53
97,19118,193,0.47
97,21849,193,0.45
97,24580,193,0.5
97,27311,193,0.47
97,30042,193,0.5
97,32773,193,0.5
97,35504,193,0.55
97,38235,193,0.47
97,40966,193,0.45
97,43697,193,0.45
97,46428,193,0.5
97,49159,193,0.5
97,51890,193,0.5
97,54621,193,0.5
97,57352,193,0.5
97,60083,193,0.47
97,62814,193,0.45
