bri,watt
3,0.73
5,0.73
8,0.73
11,0.73
13,0.73
15,0.75
18,0.76
20,0.76
23,0.77
26,0.81
28,0.81
31,0.88
33,0.85
36,0.88
38,0.95
41,0.92
43,0.92
46,0.90
48,0.91
51,0.91
54,0.91
56,0.93
59,1.00
61,1.02
64,0.99
66,0.98
69,1.00
71,1.18
74,1.13
76,1.20
79,1.20
82,1.22
84,1.19
87,1.22
89,1.23
92,1.23
94,1.22
97,1.34
99,1.37
102,1.40
105,1.42
107,1.44
110,1.46
112,1.48
115,1.50
117,1.50
120,1.53
122,1.55
125,1.61
128,1.59
130,1.70
133,1.63
135,1.79
138,1.75
140,1.87
143,1.87
145,1.95
148,2.00
150,2.03
153,2.09
156,2.15
158,2.15
161,2.24
163,2.22
166,2.20
168,2.28
171,2.26
173,2.30
176,2.37
178,2.40
181,2.47
184,2.54
186,2.60
189,2.68
191,2.75
194,2.83
196,2.89
199,2.98
201,3.04
204,3.17
207,3.22
209,3.39
212,3.36
214,3.61
217,3.89
219,3.91
222,4.13
224,4.23
227,4.39
230,4.55
232,4.66
235,4.84
237,4.95
240,5.14
242,5.27
245,5.26
247,5.55
250,5.55
252,5.55
255,5.55
