bri,mired,watt
1,250,0.29
1,260,0.29
1,270,0.29
1,280,0.29
1,290,0.29
1,300,0.29
1,310,0.29
1,320,0.05
1,330,0.29
1,340,0.29
1,350,0.29
1,360,0.29
1,370,0.29
1,380,0.29
1,390,0.29
1,400,0.29
1,410,0.29
1,420,0.29
1,430,0.29
1,440,0.29
1,450,0.29
1,454,0.29
6,250,0.77
6,260,0.77
6,270,1.01
6,280,1.01
6,290,0.77
6,300,0.77
6,310,1.01
6,320,1.01
6,330,1.01
6,340,0.77
6,350,1.01
6,360,0.77
6,370,1.01
6,380,1.01
6,390,1.01
6,400,0.77
6,410,0.77
6,420,0.77
6,430,1.01
6,440,1.01
6,450,1.01
6,454,1.01
11,250,1.01
11,260,0.77
11,270,0.77
11,280,0.77
11,290,1.01
11,300,1.01
11,310,0.77
11,320,0.77
11,330,1.01
11,340,0.77
11,350,0.77
11,360,1.01
11,370,0.77
11,380,1.01
11,390,0.77
11,400,1.01
11,410,0.77
11,420,0.77
11,430,1.01
11,440,0.77
11,450,0.77
11,454,1.01
16,250,1.01
16,260,1.01
16,270,1.01
16,280,1.01
16,290,1.01
16,300,1.01
16,310,1.01
16,320,0.77
16,330,0.77
16,340,1.01
16,350,1.01
16,360,0.77
16,370,1.01
16,380,1.01
16,390,1.01
16,400,1.01
16,410,0.77
16,420,1.01
16,430,1.01
16,440,0.77
16,450,0.77
16,454,0.77
21,250,0.77
21,260,1.01
21,270,1.01
21,280,1.01
21,290,1.01
21,300,1.01
21,310,0.77
21,320,1.01
21,330,1.01
21,340,1.01
21,350,1.01
21,360,1.01
21,370,1.01
21,380,0.77
21,390,1.01
21,400,1.01
21,410,1.01
21,420,1.01
21,430,1.01
21,440,0.77
21,450,1.01
21,454,1.01
26,250,1.01
26,260,1.01
26,270,1.01
26,280,1.01
26,290,1.01
26,300,1.01
26,310,1.25
26,320,1.01
26,330,1.25
26,340,1.01
26,350,1.01
26,360,1.01
26,370,1.01
26,380,1.01
26,390,1.01
26,400,1.01
26,410,1.25
26,420,1.01
26,430,1.01
26,440,1.01
26,450,1.01
26,454,1.25
31,250,1.01
31,260,1.01
31,270,1.01
31,280,1.01
31,290,1.01
31,300,1.25
31,310,1.25
31,320,1.25
31,330,1.25
31,340,1.25
31,350,1.25
31,360,1.25
31,370,1.25
31,380,1.01
31,390,1.01
31,400,1.01
31,410,1.01
31,420,1.01
31,430,1.01
31,440,1.01
31,450,1.01
31,454,1.25
36,250,1.25
36,260,1.01
36,270,1.25
36,280,1.01
36,290,1.25
36,300,1.25
36,310,1.25
36,320,1.25
36,330,1.25
36,340,1.25
36,350,1.25
36,360,1.01
36,370,1.25
36,380,1.25
36,390,1.01
36,400,1.25
36,410,1.25
36,420,1.01
36,430,1.25
36,440,1.01
36,450,1.25
36,454,1.01
41,250,1.25
41,260,1.25
41,270,1.25
41,280,1.25
41,290,1.25
41,300,1.25
41,310,1.25
41,320,1.25
41,330,1.25
41,340,1.01
41,350,1.25
41,360,1.25
41,370,1.25
41,380,1.25
41,390,1.25
41,400,1.25
41,410,1.25
41,420,1.25
41,430,1.25
41,440,1.25
41,450,1.25
41,454,1.25
46,250,1.25
46,260,1.49
46,270,1.25
46,280,1.25
46,290,1.49
46,300,1.25
46,310,1.49
46,320,1.25
46,330,1.25
46,340,1.25
46,350,1.49
46,360,1.25
46,370,1.49
46,380,1.25
46,390,1.25
46,400,1.25
46,410,1.25
46,420,1.25
46,430,1.25
46,440,1.25
46,450,1.25
46,454,1.25
51,250,1.25
51,260,1.49
51,270,1.49
51,280,1.49
51,290,1.25
51,300,1.25
51,310,1.49
51,320,1.49
51,330,1.49
51,340,1.49
51,350,1.49
51,360,1.49
51,370,1.49
51,380,1.49
51,390,1.49
51,400,1.49
51,410,1.49
51,420,1.49
51,430,1.49
51,440,1.49
51,450,1.49
51,454,1.49
56,250,1.49
56,260,1.49
56,270,1.73
56,280,1.73
56,290,1.49
56,300,1.49
56,310,1.49
56,320,1.49
56,330,1.49
56,340,1.49
56,350,1.73
56,360,1.49
56,370,1.49
56,380,1.49
56,390,1.49
56,400,1.49
56,410,1.49
56,420,1.49
56,430,1.73
56,440,1.49
56,450,1.49
56,454,1.73
61,250,1.73
61,260,1.73
61,270,1.49
61,280,1.73
61,290,1.49
61,300,1.73
61,310,1.49
61,320,1.73
61,330,1.49
61,340,1.73
61,350,1.73
61,360,1.73
61,370,1.73
61,380,1.73
61,390,1.49
61,400,1.73
61,410,1.49
61,420,1.73
61,430,1.49
61,440,1.73
61,450,1.73
61,454,1.49
66,250,1.73
66,260,1.73
66,270,1.73
66,280,1.73
66,290,1.73
66,300,1.97
66,310,1.73
66,320,1.73
66,330,1.73
66,340,1.97
66,350,1.73
66,360,1.73
66,370,1.73
66,380,1.73
66,390,1.73
66,400,1.73
66,410,1.73
66,420,1.73
66,430,1.73
66,440,1.73
66,450,1.73
66,454,1.97
71,250,1.73
71,260,1.97
71,270,1.97
71,280,1.97
71,290,1.97
71,300,1.97
71,310,1.97
71,320,1.97
71,330,1.97
71,340,1.97
71,350,1.97
71,360,1.73
71,370,1.73
71,380,1.73
71,390,1.73
71,400,1.97
71,410,1.97
71,420,1.97
71,430,1.97
71,440,1.97
71,450,1.97
71,454,1.97
76,250,1.97
76,260,1.97
76,270,1.97
76,280,2.21
76,290,2.21
76,300,1.97
76,310,2.21
76,320,1.97
76,330,1.97
76,340,1.97
76,350,1.97
76,360,1.97
76,370,2.21
76,380,1.97
76,390,1.97
76,400,2.21
76,410,2.21
76,420,1.97
76,430,1.97
76,440,1.97
76,450,1.97
76,454,2.21
81,250,2.21
81,260,2.21
81,270,2.21
81,280,2.21
81,290,2.21
81,300,1.97
81,310,2.21
81,320,2.21
81,330,2.21
81,340,2.21
81,350,1.97
81,360,2.21
81,370,2.21
81,380,2.21
81,390,2.21
81,400,1.97
81,410,2.21
81,420,2.21
81,430,1.97
81,440,2.21
81,450,2.21
81,454,2.21
86,250,2.21
86,260,2.21
86,270,2.21
86,280,2.45
86,290,2.45
86,300,2.45
86,310,2.21
86,320,2.21
86,330,2.45
86,340,2.45
86,350,2.21
86,360,2.21
