bri,mired,watt
1,250,0.55
1,260,0.43
1,270,0.49
1,280,0.44
1,290,0.5
1,300,0.5
1,310,0.42
1,320,0.45
1,330,0.52
1,340,0.49
1,350,0.46
1,360,0.48
1,370,0.47
1,380,0.45
1,390,0.45
1,400,0.5
1,410,0.48
1,420,0.44
1,430,0.44
1,440,0.41
1,450,0.45
1,454,0.45
6,250,0.65
6,260,0.53
6,270,0.59
6,280,0.54
6,290,0.6
6,300,0.6
6,310,0.52
6,320,0.55
6,330,0.62
6,340,0.59
6,350,0.56
6,360,0.58
6,370,0.57
6,380,0.55
6,390,0.55
6,400,0.6
6,410,0.58
6,420,0.54
6,430,0.54
6,440,0.51
6,450,0.55
6,454,0.55
11,250,0.57
11,260,0.58
11,270,0.54
11,280,0.62
11,290,0.61
11,300,0.62
11,310,0.61
11,320,0.6
11,330,0.65
11,340,0.63
11,350,0.57
11,360,0.52
11,370,0.52
11,380,0.67
11,390,0.58
11,400,0.59
11,410,0.6
11,420,0.58
11,430,0.6
11,440,0.64
11,450,0.58
11,454,0.59
16,250,0.61
16,260,0.59
16,270,0.58
16,280,0.62
16,290,0.63
16,300,0.64
16,310,0.65
16,320,0.57
16,330,0.57
16,340,0.62
16,350,0.67
16,360,0.64
16,370,0.62
16,380,0.63
16,390,0.65
16,400,0.6
16,410,0.59
16,420,0.62
16,430,0.65
16,440,0.66
16,450,0.65
16,454,0.6
21,250,0.55
21,260,0.66
21,270,0.64
21,280,0.73
21,290,0.69
21,300,0.69
21,310,0.67
21,320,0.64
21,330,0.65
21,340,0.66
21,350,0.66
21,360,0.64
21,370,0.68
21,380,0.74
21,390,0.59
21,400,0.63
21,410,0.68
21,420,0.6
21,430,0.74
21,440,0.62
21,450,0.62
21,454,0.61
26,250,0.68
26,260,0.71
26,270,0.73
26,280,0.71
26,290,0.68
26,300,0.66
26,310,0.68
26,320,0.69
26,330,0.69
26,340,0.61
26,350,0.64
26,360,0.66
26,370,0.62
26,380,0.65
26,390,0.65
26,400,0.64
26,410,0.64
26,420,0.69
26,430,0.68
26,440,0.67
26,450,0.65
26,454,0.68
31,250,0.72
31,260,0.79
31,270,0.73
31,280,0.72
31,290,0.76
31,300,0.76
31,310,0.69
31,320,0.7
31,330,0.69
31,340,0.73
31,350,0.72
31,360,0.73
31,370,0.63
31,380,0.71
31,390,0.67
31,400,0.71
31,410,0.73
31,420,0.66
31,430,0.69
31,440,0.7
31,450,0.71
31,454,0.71
36,250,0.71
36,260,0.73
36,270,0.71
36,280,0.75
36,290,0.7
36,300,0.66
36,310,0.65
36,320,0.76
36,330,0.71
36,340,0.78
36,350,0.74
36,360,0.73
36,370,0.79
36,380,0.7
36,390,0.73
36,400,0.71
36,410,0.77
36,420,0.76
36,430,0.71
36,440,0.71
36,450,0.71
36,454,0.73
41,250,0.76
41,260,0.76
41,270,0.73
41,280,0.74
41,290,0.75
41,300,0.79
41,310,0.78
41,320,0.76
41,330,0.77
41,340,0.75
41,350,0.82
41,360,0.82
41,370,0.75
41,380,0.79
41,390,0.76
41,400,0.72
41,410,0.82
41,420,0.8
41,430,0.71
41,440,0.71
41,450,0.78
41,454,0.78
46,250,0.84
46,260,0.77
46,270,0.83
46,280,0.83
46,290,0.82
46,300,0.85
46,310,0.8
46,320,0.78
46,330,0.81
46,340,0.83
46,350,0.78
46,360,0.84
46,370,0.83
46,380,0.81
46,390,0.72
46,400,0.81
46,410,0.76
46,420,0.74
46,430,0.78
46,440,0.78
46,450,0.81
46,454,0.76
51,250,0.83
51,260,0.87
51,270,0.84
51,280,0.86
51,290,0.86
51,300,0.84
51,310,0.83
51,320,0.86
51,330,0.8
51,340,0.83
51,350,0.85
51,360,0.87
51,370,0.83
51,380,0.84
51,390,0.83
51,400,0.86
51,410,0.76
51,420,0.86
51,430,0.86
51,440,0.83
51,450,0.76
51,454,0.8
56,250,0.84
56,260,0.86
56,270,0.9
56,280,0.83
56,290,0.87
56,300,0.82
56,310,0.83
56,320,0.87
56,330,0.92
56,340,0.83
56,350,0.85
56,360,0.86
56,370,0.85
56,380,0.84
56,390,0.87
56,400,0.86
56,410,0.79
56,420,0.8
56,430,0.78
56,440,0.85
56,450,0.84
56,454,0.91
61,250,0.91
61,260,0.89
61,270,0.87
61,280,0.86
61,290,0.92
61,300,0.97
61,310,0.9
61,320,0.88
61,330,0.9
61,340,0.85
61,350,0.92
61,360,0.86
61,370,0.85
61,380,0.92
61,390,0.88
61,400,0.91
61,410,0.87
61,420,0.86
61,430,0.91
61,440,0.91
61,450,0.89
61,454,0.91
66,250,0.95
66,260,0.99
66,270,0.96
66,280,0.9
66,290,0.96
66,300,0.93
66,310,0.93
66,320,0.91
66,330,0.87
66,340,0.94
66,350,0.99
66,360,0.94
66,370,0.95
66,380,0.91
66,390,0.9
66,400,0.95
66,410,0.92
66,420,0.94
66,430,0.89
66,440,0.91
66,450,0.87
66,454,0.88
71,250,0.99
71,260,0.95
71,270,0.97
71,280,0.91
71,290,1.01
71,300,0.95
71,310,0.91
71,320,0.96
71,330,0.96
71,340,0.89
71,350,0.97
71,360,0.96
71,370,0.97
71,380,0.94
71,390,0.95
71,400,0.94
71,410,0.91
71,420,0.92
71,430,0.98
71,440,0.9
71,450,0.91
71,454,0.93
76,250,1.07
76,260,1.0
76,270,1.02
76,280,1.0
76,290,1.0
76,300,1.01
76,310,1.01
76,320,0.99
76,330,0.99
76,340,1.01
76,350,1.02
76,360,1.0
76,370,1.0
76,380,1.01
76,390,0.98
76,400,0.92
76,410,1.0
76,420,1.0
76,430,1.0
76,440,1.01
76,450,1.0
76,454,0.99
81,250,1.03
81,260,1.01
81,270,0.98
81,280,1.05
81,290,1.04
81,300,1.03
81,310,1.12
81,320,1.05
81,330,1.03
81,340,1.02
81,350,1.02
81,360,1.1
81,370,1.02
81,380,1.03
81,390,1.03
81,400,1.03
81,410,1.04
81,420,0.91
81,430,1.01
81,440,1.04
81,450,1.01
81,454,1.02
86,250,1.05
86,260,1.1
86,270,1.07
86,280,1.1
86,290,1.1
86,300,1.05
86,310,1.0
86,320,1.06
86,330,1.07
86,340,1.11
86,350,1.04
86,360,1.09
86,370,0.99
86,380,1.13
86,390,1.08
86,400,1.05
86,410,1.06
86,420,1.03
86,430,1.06
86,440,1.02
86,450,1.06
86,454,1.07
91,250,1.16
91,260,1.1
91,270,1.1
91,280,1.2
91,290,1.16
91,300,1.17
91,310,1.14
91,320,1.13
91,330,1.13
91,340,1.15
91,350,1.13
91,360,1.07
91,370,1.09
91,380,1.09
91,390,1.05
91,400,1.07
91,410,1.07
91,420,1.12
91,430,1.15
91,440,1.12
91,450,1.11
91,454,1.14
96,250,1.16
96,260,1.16
96,270,1.09
96,280,1.17
96,290,1.15
96,300,1.15
96,310,1.16
96,320,1.14
96,330,1.17
96,340,1.17
96,350,1.17
96,360,1.13
96,370,1.11
96,380,1.23
96,390,1.14
96,400,1.11
96,410,1.16
96,420,1.15
96,430,1.14
96,440,1.15
96,450,1.11
96,454,1.16
101,250,1.14
101,260,1.21
101,270,1.22
101,280,1.17
101,290,1.23
101,300,1.23
101,310,1.23
101,320,1.2
101,330,1.15
101,340,1.17
101,350,1.18
101,360,1.17
101,370,1.18
101,380,1.19
101,390,1.12
101,400,1.27
101,410,1.23
101,420,1.23
101,430,1.18
101,440,1.23
101,450,1.2
101,454,1.17
106,250,1.29
106,260,1.28
106,270,1.26
106,280,1.25
106,290,1.36
106,300,1.29
106,310,1.25
106,320,1.27
106,330,1.23
106,340,1.25
106,350,1.2
106,360,1.21
106,370,1.21
106,380,1.2
106,390,1.3
106,400,1.32
106,410,1.22
106,420,1.26
106,430,1.25
106,440,1.24
106,450,1.26
106,454,1.27
111,250,1.28
111,260,1.24
111,270,1.3
111,280,1.36
111,290,1.34
111,300,1.32
111,310,1.3
111,320,1.32
111,330,1.27
111,340,1.33
111,350,1.28
111,360,1.32
111,370,1.31
111,380,1.3
111,390,1.28
111,400,1.26
111,410,1.31
111,420,1.34
111,430,1.39
111,440,1.26
111,450,1.31
111,454,1.27
116,250,1.39
116,260,1.37
116,270,1.27
116,280,1.34
116,290,1.35
116,300,1.39
116,310,1.46
116,320,1.34
116,330,1.32
116,340,1.37
116,350,1.32
116,360,1.36
116,370,1.4
116,380,1.36
116,390,1.39
116,400,1.34
116,410,1.4
116,420,1.33
116,430,1.37
116,440,1.32
116,450,1.38
116,454,1.31
121,250,1.43
121,260,1.47
121,270,1.43
121,280,1.38
121,290,1.37
121,300,1.4
121,310,1.47
121,320,1.4
121,330,1.37
121,340,1.44
121,350,1.37
121,360,1.45
121,370,1.46
121,380,1.38
121,390,1.46
121,400,1.46
121,410,1.41
121,420,1.42
121,430,1.41
121,440,1.43
121,450,1.42
121,454,1.43
126,250,1.57
126,260,1.53
126,270,1.48
126,280,1.5
126,290,1.52
126,300,1.53
126,310,1.5
126,320,1.43
126,330,1.5
126,340,1.54
126,350,1.5
126,360,1.47
126,370,1.51
126,380,1.46
126,390,1.49
126,400,1.5
126,410,1.44
126,420,1.46
126,430,1.48
126,440,1.45
126,450,1.54
126,454,1.51
131,250,1.61
131,260,1.6
131,270,1.58
131,280,1.6
131,290,1.59
131,300,1.63
131,310,1.52
131,320,1.51
131,330,1.54
131,340,1.57
131,350,1.56
131,360,1.49
131,370,1.53
131,380,1.54
131,390,1.59
131,400,1.53
131,410,1.54
131,420,1.57
131,430,1.58
131,440,1.55
131,450,1.46
131,454,1.54
136,250,1.62
136,260,1.67
136,270,1.59
136,280,1.65
136,290,1.65
136,300,1.62
136,310,1.64
136,320,1.59
136,330,1.65
136,340,1.63
136,350,1.62
136,360,1.7
136,370,1.65
136,380,1.53
136,390,1.59
136,400,1.62
136,410,1.53
136,420,1.58
136,430,1.55
136,440,1.51
136,450,1.63
136,454,1.58
141,250,1.7
141,260,1.68
141,270,1.66
141,280,1.68
141,290,1.7
141,300,1.69
141,310,1.72
141,320,1.69
141,330,1.75
141,340,1.65
141,350,1.75
141,360,1.74
141,370,1.67
141,380,1.69
141,390,1.68
141,400,1.69
141,410,1.66
141,420,1.71
141,430,1.72
141,440,1.66
141,450,1.75
141,454,1.69
146,250,1.76
146,260,1.71
146,270,1.76
146,280,1.83
146,290,1.84
146,300,1.78
146,310,1.78
146,320,1.75
146,330,1.79
146,340,1.81
146,350,1.79
146,360,1.81
146,370,1.76
146,380,1.72
146,390,1.78
146,400,1.73
146,410,1.8
146,420,1.74
146,430,1.77
146,440,1.75
146,450,1.71
146,454,1.76
151,250,1.95
151,260,1.95
151,270,1.86
151,280,1.85
151,290,1.82
151,300,1.89
151,310,1.88
151,320,1.86
151,330,1.92
151,340,1.85
151,350,1.9
151,360,1.87
151,370,1.85
151,380,1.88
151,390,1.85
151,400,1.85
151,410,1.84
151,420,1.82
151,430,1.79
151,440,1.82
151,450,1.87
151,454,1.86
156,250,1.97
156,260,1.99
156,270,1.86
156,280,1.92
156,290,1.96
156,300,1.92
156,310,1.94
156,320,1.97
156,330,1.97
156,340,1.93
156,350,1.98
156,360,2.01
156,370,1.93
156,380,1.96
156,390,1.95
156,400,1.97
156,410,1.96
156,420,1.96
156,430,1.98
156,440,1.95
156,450,1.92
156,454,1.89
161,250,2.03
161,260,1.95
161,270,2.0
161,280,2.07
161,290,2.01
161,300,2.05
161,310,2.05
161,320,2.1
161,330,2.09
161,340,2.02
161,350,2.07
161,360,2.07
161,370,1.93
161,380,1.95
161,390,2.09
161,400,2.02
161,410,2.04
161,420,2.06
161,430,2.03
161,440,1.99
161,450,2.09
161,454,1.98
166,250,2.16
166,260,2.22
166,270,2.22
166,280,2.15
166,290,2.21
166,300,2.13
166,310,2.1
166,320,2.09
166,330,2.17
166,340,2.15
166,350,2.14
166,360,2.14
166,370,2.05
166,380,2.21
166,390,2.14
166,400,2.12
166,410,2.09
166,420,2.11
166,430,2.14
166,440,2.12
166,450,2.15
166,454,2.15
171,250,2.24
171,260,2.28
171,270,2.27
171,280,2.3
171,290,2.26
171,300,2.24
171,310,2.21
171,320,2.19
171,330,2.22
171,340,2.27
171,350,2.25
171,360,2.29
171,370,2.22
171,380,2.27
171,390,2.24
171,400,2.27
171,410,2.23
171,420,2.2
171,430,2.3
171,440,2.23
171,450,2.27
171,454,2.22
176,250,2.38
176,260,2.34
176,270,2.36
176,280,2.36
176,290,2.44
176,300,2.43
176,310,2.37
176,320,2.4
176,330,2.33
176,340,2.35
176,350,2.3
176,360,2.34
176,370,2.45
176,380,2.42
176,390,2.39
176,400,2.39
176,410,2.39
176,420,2.38
176,430,2.27
176,440,2.37
176,450,2.35
176,454,2.39
181,250,2.5
181,260,2.48
181,270,2.51
181,280,2.48
181,290,2.54
181,300,2.53
181,310,2.51
181,320,2.5
181,330,2.51
181,340,2.46
181,350,2.53
181,360,2.53
181,370,2.53
181,380,2.56
181,390,2.58
181,400,2.51
181,410,2.48
181,420,2.52
181,430,2.47
181,440,2.4
